entry_ts,market,side,qty,entry_trigger_cents,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_notional_dollars,exit_ts,exit_trigger_cents,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_notional_dollars,outcome,resolution_source,result,gross_pnl_dollars,gross_pnl_percent,market_status,market_result,settlement_ts
2026-03-20 11:23:38,KXBTC15M-26MAR201130-30,yes,5,92,92,,92,4.6,2026-03-20 11:24:19,75,72,,72,3.6,exited_before_settlement,bot_exit_signal,,-1.0,-21.7391,,,
2026-03-20 11:41:23,KXBTC15M-26MAR201145-45,yes,3,90,90,,90,2.7,,,,,,,win,kalshi_api,yes,0.3,11.1111,finalized,yes,2026-03-20T15:45:10.80696Z
2026-03-20 11:56:08,KXBTC15M-26MAR201200-00,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-20T16:00:10.857832Z
2026-03-20 12:07:24,KXBTC15M-26MAR201215-15,yes,5,90,90,,90,4.5,2026-03-20 12:08:20,78,76,,76,3.8,exited_before_settlement,bot_exit_signal,,-0.7,-15.5556,,,
2026-03-20 12:31:53,KXBTC15M-26MAR201245-45,no,5,90,90,,90,4.5,2026-03-20 12:33:25,78,76,,76,3.8,exited_before_settlement,bot_exit_signal,,-0.7,-15.5556,,,
2026-03-20 12:52:01,KXBTC15M-26MAR201300-00,no,5,90,90,,90,4.5,2026-03-20 12:52:42,78,77,,77,3.85,exited_before_settlement,bot_exit_signal,,-0.65,-14.4444,,,
2026-03-20 13:13:41,KXBTC15M-26MAR201315-15,no,2,90,90,,90,1.8,,,,,,,win,kalshi_api,no,0.2,11.1111,finalized,no,2026-03-20T17:15:10.859349Z
2026-03-20 13:26:17,KXBTC15M-26MAR201330-30,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-20T17:30:10.859344Z
2026-03-20 13:36:42,KXBTC15M-26MAR201345-45,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-20T17:45:10.856968Z
2026-03-20 19:27:51,KXBTC15M-26MAR201930-30,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-20T23:30:10.859022Z
2026-03-20 19:43:31,KXBTC15M-26MAR201945-45,yes,5,90,90,,90,4.5,,,,,,,win,kalshi_api,yes,0.5,11.1111,finalized,yes,2026-03-20T23:45:10.808901Z
2026-03-20 19:58:01,KXBTC15M-26MAR202000-00,no,5,90,90,,90,4.5,2026-03-20 19:58:32,72,70,,70,3.5,exited_before_settlement,bot_exit_signal,,-1.0,-22.2222,,,
2026-03-20 20:13:56,KXBTC15M-26MAR202015-15,yes,2,90,90,,90,1.8,,,,,,,win,kalshi_api,yes,0.2,11.1111,finalized,yes,2026-03-21T00:15:10.810921Z
2026-03-20 20:19:46,KXBTC15M-26MAR202030-30,yes,5,90,90,,90,4.5,,,,,,,win,kalshi_api,yes,0.5,11.1111,finalized,yes,2026-03-21T00:30:10.853419Z
2026-03-20 20:41:09,KXBTC15M-26MAR202045-45,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-21T00:45:10.80065Z
2026-03-20 20:54:56,KXBTC15M-26MAR202100-00,yes,5,90,90,,90,4.5,,,,,,,win,kalshi_api,yes,0.5,11.1111,finalized,yes,2026-03-21T01:00:10.858473Z
2026-03-20 21:10:21,KXBTC15M-26MAR202115-15,yes,5,90,90,,90,4.5,2026-03-20 21:12:09,77,76,,76,3.8,exited_before_settlement,bot_exit_signal,,-0.7,-15.5556,,,
2026-03-20 21:24:56,KXBTC15M-26MAR202130-30,no,5,91,91,,91,4.55,,,,,,,win,kalshi_api,no,0.45,9.8901,finalized,no,2026-03-21T01:30:10.853985Z
2026-03-20 21:54:27,KXBTC15M-26MAR202200-00,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-21T02:00:10.956778Z
2026-03-20 22:21:44,KXBTC15M-26MAR202230-30,yes,5,92,92,,92,4.6,,,,,,,win,kalshi_api,yes,0.4,8.6957,finalized,yes,2026-03-21T02:30:10.7997Z
2026-03-20 22:40:17,KXBTC15M-26MAR202245-45,yes,5,90,90,,90,4.5,,,,,,,win,kalshi_api,yes,0.5,11.1111,finalized,yes,2026-03-21T02:45:10.918605Z
2026-03-20 22:53:44,KXBTC15M-26MAR202300-00,yes,5,90,90,,90,4.5,2026-03-20 22:55:26,78,77,,77,3.85,exited_before_settlement,bot_exit_signal,,-0.65,-14.4444,,,
2026-03-20 23:11:10,KXBTC15M-26MAR202315-15,yes,5,90,91,,91,4.55,2026-03-20 23:12:10,71,69,,69,3.45,exited_before_settlement,bot_exit_signal,,-1.1,-24.1758,,,
2026-03-20 23:28:34,KXBTC15M-26MAR202330-30,yes,5,90,90,,90,4.5,,,,,,,win,kalshi_api,yes,0.5,11.1111,finalized,yes,2026-03-21T03:30:10.858412Z
2026-03-20 23:35:12,KXBTC15M-26MAR202345-45,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-21T03:45:10.854625Z
2026-03-20 23:56:43,KXBTC15M-26MAR210000-00,yes,5,90,90,,90,4.5,,,,,,,win,kalshi_api,yes,0.5,11.1111,finalized,yes,2026-03-21T04:01:16.623166Z
2026-03-21 00:05:53,KXBTC15M-26MAR210015-15,yes,5,90,90,,90,4.5,2026-03-21 00:09:18,78,77,,77,3.85,exited_before_settlement,bot_exit_signal,,-0.65,-14.4444,,,
2026-03-21 00:25:28,KXBTC15M-26MAR210030-30,yes,5,90,90,,90,4.5,2026-03-21 00:26:34,74,72,,72,3.6,exited_before_settlement,bot_exit_signal,,-0.9,-20.0,,,
