policy,market,opportunity_key,entry_dt,close_time,source_line_no,selected_side,selected_ask_cents,selected_edge_cents,selected_p_side,p_yes,registered_utc,exit_dt,exit_bid_cents,exit_p_side,exit_fee_cents,outcome,resolved_utc,win,gross_pnl_cents,entry_fee_cents,total_fee_cents,fee_net_cents,fee_net_1c_entry_cents,status
v38_edgehole80_block_first_10_20_p65_prob54,KXBTC15M-26MAY042300-00,heartbeat:58462,2026-05-05 02:50:09.031000+00:00,2026-05-05 03:00:00+00:00,58462,no,95.0,3.9149465926155926,0.9891494659261559,0.010850534073844032,2026-05-05 02:54:06.049938+00:00,,,,0.0,no,2026-05-05 07:17:16.060657+00:00,True,10.0,1.0,1.0,9.0,7.0,settled
v38_edgehole80_block_first_10_20_p65_prob54,KXBTC15M-26MAY042315-15,heartbeat:58534,2026-05-05 03:05:10.692000+00:00,2026-05-05 03:15:00+00:00,58534,no,74.0,1.0162800223429542,0.7501628002234295,0.2498371997765705,2026-05-05 03:33:16.190065+00:00,2026-05-05 03:11:11.389000+00:00,12.0,0.1825293811191503,2.0,,,,-124.0,3.0,5.0,-129.0,-131.0,exited
v38_edgehole80_block_first_10_20_p65_prob54,KXBTC15M-26MAY042330-30,heartbeat:58636,2026-05-05 03:21:12.092000+00:00,2026-05-05 03:30:00+00:00,58636,yes,95.0,0.5347460868516691,0.9553474608685167,0.9553474608685167,2026-05-05 03:33:16.190065+00:00,,,,0.0,yes,2026-05-05 07:17:16.060657+00:00,True,10.0,1.0,1.0,9.0,7.0,settled
v38_edgehole80_block_first_10_20_p65_prob54,KXBTC15M-26MAY042345-45,heartbeat:58733,2026-05-05 03:39:13.659000+00:00,2026-05-05 03:45:00+00:00,58733,yes,99.0,0.05286247718801462,0.9905286247718801,0.9905286247718801,2026-05-05 07:17:16.010245+00:00,,,,0.0,yes,2026-05-05 07:17:16.060657+00:00,True,2.0,1.0,1.0,1.0,-1.0,settled
v38_edgehole80_block_first_10_20_p65_prob54,KXBTC15M-26MAY050000-00,heartbeat:58818,2026-05-05 03:51:14.776000+00:00,2026-05-05 04:00:00+00:00,58818,no,79.0,0.014964375397482854,0.7901496437539749,0.20985035624602508,2026-05-05 03:56:01.758245+00:00,,,,0.0,no,2026-05-05 07:17:16.060657+00:00,True,42.0,3.0,3.0,39.0,37.0,settled
v38_edgehole80_block_first_10_20_p65_prob54,KXBTC15M-26MAY050015-15,heartbeat:58906,2026-05-05 04:06:16.314000+00:00,2026-05-05 04:15:00+00:00,58906,yes,81.0,2.9938015006976713,0.8399380150069767,0.8399380150069767,2026-05-05 04:54:52.662433+00:00,2026-05-05 04:10:01.601000+00:00,27.0,0.2511882883870651,3.0,,,,-108.0,3.0,6.0,-114.0,-116.0,exited
v38_edgehole80_block_first_10_20_p65_prob54,KXBTC15M-26MAY050030-30,heartbeat:60061,2026-05-05 04:23:02.754000+00:00,2026-05-05 04:30:00+00:00,60061,yes,83.0,1.0787841213020357,0.8407878412130203,0.8407878412130203,2026-05-05 04:54:52.662433+00:00,,,,0.0,no,2026-05-05 07:17:16.060657+00:00,False,-166.0,2.0,2.0,-168.0,-170.0,settled
v38_edgehole80_block_first_10_20_p65_prob54,KXBTC15M-26MAY050045-45,heartbeat:60610,2026-05-05 04:35:03.884000+00:00,2026-05-05 04:45:00+00:00,60610,no,69.0,2.065131232291918,0.7106513123229192,0.2893486876770807,2026-05-05 07:17:16.010245+00:00,2026-05-05 04:37:04.067000+00:00,43.0,0.516162002911639,4.0,,,,-52.0,3.0,7.0,-59.0,-61.0,exited
v38_edgehole80_block_first_10_20_p65_prob54,KXBTC15M-26MAY050100-00,heartbeat:60676,2026-05-05 04:50:05.176000+00:00,2026-05-05 05:00:00+00:00,60676,yes,95.0,1.3431627680241007,0.963431627680241,0.963431627680241,2026-05-05 07:17:16.010245+00:00,,,,0.0,yes,2026-05-05 07:17:16.060657+00:00,True,10.0,1.0,1.0,9.0,7.0,settled
v38_edgehole80_block_first_10_20_p65_prob54,KXBTC15M-26MAY050115-15,heartbeat:60743,2026-05-05 05:05:21.396000+00:00,2026-05-05 05:15:00+00:00,60743,no,69.0,6.843344379469102,0.758433443794691,0.24156655620530895,2026-05-05 07:17:16.010245+00:00,2026-05-05 05:12:07.382000+00:00,17.0,0.10684778917928228,2.0,,,,-104.0,3.0,5.0,-109.0,-111.0,exited
