model,alpha,beta,train_logloss,raw_train_logloss,train_raw_logloss,train_cal_logloss,train_raw_brier,train_cal_brier,train_rows,validation_raw_logloss,validation_cal_logloss,validation_raw_brier,validation_cal_brier,validation_rows,holdout_raw_logloss,holdout_cal_logloss,holdout_raw_brier,holdout_cal_brier,holdout_rows
book,0.20000000000000018,0.75,0.6680336004998356,0.6704005208125983,0.6704005208125983,0.6680336004998356,0.2388050319488818,0.23765700685304805,313,0.6833461489290421,0.6908735279056212,0.24522523809523808,0.24891583785626265,105,0.6510173210130954,0.6509109052077351,0.23062476415094338,0.2302235764520798,106
brownian15,0.20000000000000018,0.35,0.681505850897167,0.6852226694637422,0.6852226694637422,0.681505850897167,0.246260098688218,0.24432902805229353,313,0.7103121889058853,0.715905651149739,0.2583072389301099,0.26127444033481007,105,0.6843946794620004,0.6830273734064846,0.24536032101995242,0.2449480277518895,106
brownian30,0.20000000000000018,0.325,0.6817043935937065,0.6860105958338979,0.6860105958338979,0.6817043935937065,0.24664930956279482,0.2444168960495268,313,0.708413124350011,0.7146751093738565,0.2574488381551199,0.2606809407149509,105,0.6817257643999346,0.6821344173420074,0.2440903952548638,0.24451689218295145,106
mean_book_rv15,0.30000000000000027,0.7,0.6659526203150918,0.6727304093559224,0.6727304093559224,0.6659526203150918,0.24013024825339013,0.23674556645218553,313,0.6927640300529392,0.6997665833623169,0.2497131087175005,0.2530537347483251,105,0.6617892725289773,0.651890497484106,0.23480086155336136,0.2299528532812711,106
min_book_rv15,0.3500000000000001,1.6,0.6576528383718988,0.6769138043826624,0.6769138043826624,0.6576528383718988,0.24214275776824226,0.23255692570322067,313,0.7035582964929972,0.7204257663583105,0.2551059479827148,0.2622289455467723,105,0.6793949068689571,0.651123476307159,0.24327382953628093,0.22957678356551975,106
regime_blend,-0.1499999999999999,1.0750000000000002,0.6774086549798514,0.6789664394107486,0.6789664394107486,0.6774086549798514,0.2432685897869565,0.2425074419020645,313,0.7212805129699442,0.7186021462045873,0.26336034135598824,0.2622704754114894,105,0.6714021208291348,0.6685952552076252,0.24017484020420782,0.2387104596266302,106
