dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask
current,logit65_edge10_strict,hour,14,11,8,3,0.7272727272727273,-83.0,-7.545454545454546,78.0
current,logit65_edge10_strict,hour,15,11,8,3,0.7272727272727273,-86.0,-7.818181818181818,74.0
current,logit65_edge10_strict,hour,16,8,6,2,0.75,-53.0,-6.625,78.0
current,logit65_edge10_strict,hour,17,12,8,4,0.6666666666666666,-160.0,-13.333333333333334,77.0
current,logit65_edge10_strict,hour,18,12,10,2,0.8333333333333334,67.0,5.583333333333333,75.5
current,logit65_edge10_strict,hour,19,11,10,1,0.9090909090909091,155.0,14.090909090909092,74.0
current,logit65_edge10_strict,hour,2,13,10,3,0.7692307692307693,-28.0,-2.1538461538461537,74.0
current,logit65_edge10_strict,hour,20,12,12,0,1.0,197.0,16.416666666666668,85.5
current,logit65_edge10_strict,hour,21,10,9,1,0.9,87.0,8.7,80.5
current,logit65_edge10_strict,hour,22,10,10,0,1.0,185.0,18.5,84.0
current,logit65_edge10_strict,hour,23,12,10,2,0.8333333333333334,33.0,2.75,75.0
current,logit65_edge10_strict,hour,3,16,14,2,0.875,93.0,5.8125,81.0
current,logit65_edge10_strict,hour,4,15,11,4,0.7333333333333333,-63.0,-4.2,75.0
current,logit65_edge10_strict,hour,5,16,13,3,0.8125,73.0,4.5625,73.0
current,logit65_edge10_strict,hour,6,12,11,1,0.9166666666666666,130.0,10.833333333333334,78.0
current,logit65_edge10_strict,hour,7,11,9,2,0.8181818181818182,40.0,3.6363636363636362,75.0
current,logit65_edge10_strict,hour,8,10,6,4,0.6,-208.0,-20.8,76.5
current,logit65_edge10_strict,hour,9,11,8,3,0.7272727272727273,-56.0,-5.090909090909091,74.0
current,logit65_edge10_strict,ask,ask<=60,1,1,0,1.0,39.0,39.0,59.0
current,logit65_edge10_strict,ask,ask<=70,31,23,8,0.7419354838709677,135.0,4.354838709677419,68.0
current,logit65_edge10_strict,ask,ask<=80,152,117,35,0.7697368421052632,53.0,0.34868421052631576,74.0
current,logit65_edge10_strict,ask,ask<=95,92,83,9,0.9021739130434783,230.0,2.5,85.5
current,logit65_edge10_strict,time,sec<=300,32,29,3,0.90625,220.0,6.875,85.5
current,logit65_edge10_strict,time,sec<=600,95,74,21,0.7789473684210526,-248.0,-2.610526315789474,78.0
current,logit65_edge10_strict,time,sec<=900,149,121,28,0.8120805369127517,485.0,3.2550335570469797,74.0
current,logit65_edge10_strict,score,p<=0.70,117,87,30,0.7435897435897436,49.0,0.4188034188034188,73.0
current,logit65_edge10_strict,score,p<=0.80,109,90,19,0.8256880733944955,216.0,1.981651376146789,79.0
current,logit65_edge10_strict,score,p<=0.90,43,40,3,0.9302325581395349,157.0,3.6511627906976742,89.0
current,logit65_edge10_strict,score,p>0.90,7,7,0,1.0,35.0,5.0,94.0
current,logit65_edge10_strict,edge,edge<=-5,194,160,34,0.8247422680412371,441.0,2.2731958762886597,76.0
current,logit65_edge10_strict,edge,edge<=0,72,55,17,0.7638888888888888,-158.0,-2.1944444444444446,74.0
current,logit65_edge10_strict,edge,edge<=5,9,8,1,0.8888888888888888,135.0,15.0,69.0
current,logit65_edge10_strict,edge,edge>5,1,1,0,1.0,39.0,39.0,59.0
current,logit55_edge10_control,split,holdout,58,42,16,0.7241379310344828,-1.0,-0.017241379310344827,69.0
current,logit55_edge10_control,split,train,173,130,43,0.7514450867052023,809.0,4.676300578034682,67.0
current,logit55_edge10_control,split,validation,57,45,12,0.7894736842105263,401.0,7.035087719298246,68.0
current,logit55_edge10_control,side,no,143,108,35,0.7552447552447552,697.0,4.874125874125874,68.0
current,logit55_edge10_control,side,yes,145,109,36,0.7517241379310344,512.0,3.5310344827586206,68.0
current,logit55_edge10_control,hour,0,9,7,2,0.7777777777777778,61.0,6.777777777777778,69.0
current,logit55_edge10_control,hour,1,8,6,2,0.75,0.0,0.0,74.0
current,logit55_edge10_control,hour,10,12,11,1,0.9166666666666666,268.0,22.333333333333332,64.5
current,logit55_edge10_control,hour,11,12,8,4,0.6666666666666666,-85.0,-7.083333333333333,70.5
current,logit55_edge10_control,hour,12,12,11,1,0.9166666666666666,208.0,17.333333333333332,70.0
current,logit55_edge10_control,hour,13,12,7,5,0.5833333333333334,-194.0,-16.166666666666668,68.0
current,logit55_edge10_control,hour,14,11,9,2,0.8181818181818182,81.0,7.363636363636363,70.0
current,logit55_edge10_control,hour,15,11,8,3,0.7272727272727273,27.0,2.4545454545454546,68.0
current,logit55_edge10_control,hour,16,8,5,3,0.625,-87.0,-10.875,67.0
current,logit55_edge10_control,hour,17,12,9,3,0.75,70.0,5.833333333333333,67.0
current,logit55_edge10_control,hour,18,12,8,4,0.6666666666666666,-79.0,-6.583333333333333,73.5
current,logit55_edge10_control,hour,19,12,11,1,0.9166666666666666,262.0,21.833333333333332,67.5
current,logit55_edge10_control,hour,2,13,8,5,0.6153846153846154,-101.0,-7.769230769230769,67.0
current,logit55_edge10_control,hour,20,12,10,2,0.8333333333333334,188.0,15.666666666666666,62.0
current,logit55_edge10_control,hour,21,12,10,2,0.8333333333333334,132.0,11.0,71.0
current,logit55_edge10_control,hour,22,12,10,2,0.8333333333333334,137.0,11.416666666666666,67.5
current,logit55_edge10_control,hour,23,12,11,1,0.9166666666666666,276.0,23.0,64.5
current,logit55_edge10_control,hour,3,16,10,6,0.625,-209.0,-13.0625,71.5
current,logit55_edge10_control,hour,4,16,13,3,0.8125,201.0,12.5625,67.0
current,logit55_edge10_control,hour,5,16,12,4,0.75,101.0,6.3125,67.5
current,logit55_edge10_control,hour,6,12,11,1,0.9166666666666666,268.0,22.333333333333332,66.5
current,logit55_edge10_control,hour,7,12,9,3,0.75,68.0,5.666666666666667,65.5
current,logit55_edge10_control,hour,8,12,5,7,0.4166666666666667,-332.0,-27.666666666666668,66.0
current,logit55_edge10_control,hour,9,12,8,4,0.6666666666666666,-52.0,-4.333333333333333,68.0
current,logit55_edge10_control,ask,ask<=60,31,21,10,0.6774193548387096,244.0,7.870967741935484,59.0
current,logit55_edge10_control,ask,ask<=70,156,111,45,0.7115384615384616,558.0,3.576923076923077,65.0
current,logit55_edge10_control,ask,ask<=80,66,53,13,0.803030303030303,243.0,3.6818181818181817,74.0
