rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_sigma_t_dollars>=75,23,0.4339622641509434,-18.839181999999997,12.610818000000005,17,6,-7.08918,-11.510002,-0.24000000000000005,10,9,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_sigma_t_dollars>=75,21,0.39622641509433965,-18.939181999999995,12.510818000000008,16,5,-7.08918,-11.610002,-0.24000000000000005,10,7,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=10,19,0.3584905660377358,-20.269181999999997,11.180818000000006,14,5,-7.68918,-11.610002,-0.97,9,7,3,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_sigma_t_dollars>=75,18,0.33962264150943394,-21.349181999999995,10.100818000000007,14,4,-8.06918,-13.040002,-0.24000000000000005,9,5,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_sigma_t_dollars>=75,19,0.3584905660377358,-22.349181999999995,9.100818000000007,15,4,-6.23918,-15.870002000000001,-0.24000000000000005,9,6,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds<=180,20,0.37735849056603776,-22.44918,9.000820000000004,15,5,-7.08918,-15.12,-0.24000000000000005,10,6,4,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=18 AND exit_sigma_t_dollars>=75,16,0.3018867924528302,-22.79918,8.650820000000003,13,3,-5.89918,-15.940000000000001,-0.96,7,6,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=0,18,0.33962264150943394,-22.81918,8.630820000000003,13,5,-7.34918,-14.51,-0.96,7,8,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=15,13,0.24528301886792453,-23.119182,8.330818000000004,9,4,-10.99918,-10.380002,-1.74,5,6,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND fair_minus_exit_bid_cents>=15,6,0.11320754716981132,-23.160000000000004,8.29,5,1,-8.8,-11.09,-3.27,2,4,0,True,True
suppress_collapse_exit_if_exit_btc_age_ms<=100 AND entry_to_exit_loss_cents>=20,8,0.1509433962264151,-23.640002000000003,7.809998,6,2,-8.69,-11.680002,-3.27,3,5,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=100,5,0.09433962264150944,-24.220002,7.229998000000002,5,0,-10.1,-10.850002,-3.27,2,3,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND exit_sigma_t_dollars>=50,9,0.16981132075471697,-24.270000000000003,7.18,8,1,-6.13,-16.369999999999997,-1.77,5,2,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_fair_drawdown_cents<=8,7,0.1320754716981132,-24.37,7.080000000000002,7,0,-6.13,-16.47,-1.77,5,0,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND position_seconds<=45,26,0.49056603773584906,-24.549999999999997,6.900000000000006,18,8,-6.030000000000001,-15.69,-2.83,16,3,7,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=75 AND exit_sigma_t_dollars>=75,14,0.2641509433962264,-24.759181999999996,6.690818000000007,11,3,-7.819180000000001,-15.970002,-0.97,7,4,3,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND exit_fair_drawdown_cents<=8,10,0.18867924528301888,-24.89,6.560000000000002,8,2,-7.710000000000002,-15.409999999999998,-1.77,7,1,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms>=500,8,0.1509433962264151,-25.069999999999997,6.380000000000006,7,1,-10.059999999999999,-14.770000000000001,-0.24000000000000005,2,2,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND fair_minus_exit_bid_cents>=15,6,0.11320754716981132,-25.07,6.380000000000003,4,2,-8.8,-13.0,-3.27,2,4,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=500,15,0.2830188679245283,-25.219182,6.230818000000003,10,5,-8.73918,-13.210002000000001,-3.27,8,7,0,True,True
