model,split,bin,rows,mean_pred,realized,error
v28_live_surface,all,"[0.500,0.550]",3452,0.5245990332823676,0.5341830822711472,-0.009584048988779625
v28_live_surface,all,"[0.550,0.600]",2738,0.5736452543729043,0.6329437545653762,-0.05929850019247196
v28_live_surface,all,"[0.600,0.650]",2009,0.6233799072710866,0.6918865107018417,-0.0685066034307551
v28_live_surface,all,"[0.650,0.700]",1584,0.6741867230737687,0.7064393939393939,-0.03225267086562522
v28_live_surface,all,"[0.700,0.750]",1341,0.7252454342619249,0.7621178225205071,-0.03687238825858219
v28_live_surface,all,"[0.750,0.800]",1300,0.7754616209749422,0.803076923076923,-0.02761530210198082
v28_live_surface,all,"[0.800,0.850]",1140,0.8267100436988005,0.887719298245614,-0.061009254546813496
v28_live_surface,all,"[0.850,0.900]",1357,0.8752930710514071,0.9292557111274871,-0.05396264007607998
v28_live_surface,all,"[0.900,0.950]",1706,0.9266097181034709,0.9460726846424384,-0.019462966538967508
v28_live_surface,all,"[0.950,0.975]",1237,0.9632391152079998,0.9539207760711399,0.009318339136859866
v28_live_surface,all,"[0.975,1.000]",3581,0.9931864670548204,0.9938564646746719,-0.0006699976198515367
v28_live_surface,train,"[0.500,0.550]",2158,0.5245726898608978,0.5315106580166821,-0.006937968155784291
v28_live_surface,train,"[0.550,0.600]",1724,0.5733193700463899,0.6200696055684455,-0.046750235522055594
v28_live_surface,train,"[0.600,0.650]",1281,0.6235438630297871,0.6986729117876659,-0.07512904875787874
v28_live_surface,train,"[0.650,0.700]",925,0.6746678862188095,0.7221621621621621,-0.04749427594335265
v28_live_surface,train,"[0.700,0.750]",789,0.7244593455604461,0.7680608365019012,-0.043601490941455046
v28_live_surface,train,"[0.750,0.800]",757,0.7747859370362682,0.7992073976221928,-0.024421460585924648
v28_live_surface,train,"[0.800,0.850]",723,0.8272764905852139,0.8893499308437067,-0.06207344025849282
v28_live_surface,train,"[0.850,0.900]",810,0.8748994496472787,0.9222222222222223,-0.04732277257494355
v28_live_surface,train,"[0.900,0.950]",1021,0.926221228780616,0.9490695396669931,-0.022848310886377177
v28_live_surface,train,"[0.950,0.975]",688,0.962928926003245,0.9491279069767442,0.013801019026500772
v28_live_surface,train,"[0.975,1.000]",1977,0.9932377996835802,0.9919069296914517,0.0013308699921285028
v28_live_surface,validation,"[0.500,0.550]",522,0.5254025719631302,0.5593869731800766,-0.03398440121694635
v28_live_surface,validation,"[0.550,0.600]",465,0.5763019937413109,0.610752688172043,-0.03445069443073212
v28_live_surface,validation,"[0.600,0.650]",306,0.623547744767789,0.6503267973856209,-0.026779052617831978
v28_live_surface,validation,"[0.650,0.700]",331,0.674788201500179,0.6555891238670695,0.019199077633109574
v28_live_surface,validation,"[0.700,0.750]",230,0.7258763340477196,0.6826086956521739,0.043267638395545704
v28_live_surface,validation,"[0.750,0.800]",317,0.7774899470097327,0.8264984227129337,-0.04900847570320099
v28_live_surface,validation,"[0.800,0.850]",235,0.8259110743836979,0.8680851063829788,-0.042174031999280825
