rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_sigma_t_dollars>=75,23,0.4339622641509434,-18.929181999999997,12.780818000000004,17,6,-7.07918,-11.610002000000001,-0.24000000000000005,10,9,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_sigma_t_dollars>=75,21,0.39622641509433965,-19.029182,12.680818000000002,16,5,-7.07918,-11.710002,-0.24000000000000005,10,7,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=10,19,0.3584905660377358,-20.359181999999993,11.350818000000007,14,5,-7.679179999999999,-11.710002,-0.97,9,7,3,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_sigma_t_dollars>=75,18,0.33962264150943394,-21.439182,10.270818000000002,14,4,-8.059180000000001,-13.140002000000003,-0.24000000000000005,9,5,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_sigma_t_dollars>=75,19,0.3584905660377358,-22.439182,9.270818000000002,15,4,-6.22918,-15.970002000000001,-0.24000000000000005,9,6,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds<=180,20,0.37735849056603776,-22.659179999999996,9.050820000000005,15,5,-7.07918,-15.34,-0.24000000000000005,10,6,4,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=18 AND exit_sigma_t_dollars>=75,16,0.3018867924528302,-23.00918,8.70082,13,3,-6.009180000000001,-16.040000000000003,-0.96,7,6,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=0,18,0.33962264150943394,-23.029179999999997,8.680820000000004,13,5,-7.45918,-14.61,-0.96,7,8,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=15,13,0.24528301886792453,-23.139181999999995,8.570818000000006,9,4,-10.919179999999999,-10.480002000000002,-1.74,5,6,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND fair_minus_exit_bid_cents>=15,6,0.11320754716981132,-23.42,8.29,5,1,-8.84,-11.309999999999999,-3.27,2,4,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=100,5,0.09433962264150944,-24.430002,7.279997999999999,5,0,-10.09,-11.070002000000002,-3.27,2,3,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND exit_sigma_t_dollars>=50,9,0.16981132075471697,-24.53,7.18,8,1,-6.170000000000001,-16.59,-1.77,5,2,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_fair_drawdown_cents<=8,7,0.1320754716981132,-24.630000000000003,7.079999999999998,7,0,-6.170000000000001,-16.69,-1.77,5,0,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND position_seconds<=45,26,0.49056603773584906,-24.679999999999996,7.030000000000005,18,8,-6.159999999999999,-15.69,-2.83,16,3,7,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=75 AND exit_sigma_t_dollars>=75,14,0.2641509433962264,-24.849181999999995,6.860818000000005,11,3,-7.80918,-16.070002000000002,-0.97,7,4,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=500,15,0.2830188679245283,-25.309182000000003,6.4008179999999975,10,5,-8.729180000000001,-13.310002,-3.27,8,7,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND exit_fair_drawdown_cents<=8,10,0.18867924528301888,-25.310000000000002,6.399999999999999,8,2,-7.910000000000001,-15.629999999999999,-1.77,7,1,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms>=500,8,0.1509433962264151,-25.329999999999995,6.380000000000006,7,1,-10.1,-14.990000000000002,-0.24000000000000005,2,2,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND fair_minus_exit_bid_cents>=15,6,0.11320754716981132,-25.38,6.330000000000002,4,2,-8.84,-13.27,-3.27,2,4,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_fair_drawdown_cents<=8,10,0.18867924528301888,-25.61,6.100000000000001,8,2,-7.250000000000001,-16.59,-1.77,6,2,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=5,10,0.18867924528301888,-25.840000000000003,5.869999999999997,7,3,-9.959999999999999,-13.380000000000003,-2.5,2,7,1,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds>=90,5,0.09433962264150944,-25.870002,5.839998000000001,4,1,-11.749999999999998,-10.850002,-3.27,0,5,0,True,True
suppress_collapse_exit_if_exit_btc_age_ms<=100 AND entry_to_exit_loss_cents>=20,9,0.16981132075471697,-26.080002,5.6299980000000005,6,3,-10.839999999999998,-11.970002000000001,-3.27,4,5,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=15,3,0.05660377358490566,-26.15,5.560000000000002,3,0,-11.749999999999998,-11.129999999999999,-3.27,0,3,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=4 AND exit_sigma_t_dollars>=50,7,0.1320754716981132,-26.28,5.43,6,1,-7.15,-16.59,-2.54,4,2,1,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_fair_drawdown_cents<=4,5,0.09433962264150944,-26.380000000000003,5.329999999999998,5,0,-7.15,-16.69,-2.54,4,0,1,True,True
suppress_collapse_exit_if_exit_p_hold>=0.65 AND exit_fair_drawdown_cents<=8,7,0.1320754716981132,-26.410000000000004,5.299999999999997,6,1,-9.01,-15.629999999999999,-1.77,4,1,2,True,True
