dataset,policy,block_index,block_start_close_dt,block_end_close_dt,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,coverage_pass,positive_net
current,book_margin,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,63.5,True,True
current,book_margin,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,65.0,True,True
current,book_margin,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,62.0,True,True
current,book_margin,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,65.0,True,True
current,book_margin,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,66.0,True,False
current,book_margin,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,64.0,True,False
current,book_margin,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,62.5,True,True
current,book_margin,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,20,1.0,17,3,0.85,285.0,0.20141342756183744,67.0,True,True
current,book_margin,14,2026-05-04 03:15:00+00:00,2026-05-04 03:15:00+00:00,1,1,1.0,0,1,0.0,-64.0,-1.0,62.0,True,False
current,book_margin_early,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,18,0.9,12,6,0.6666666666666666,6.0,0.005025125628140704,63.0,True,True
current,book_margin_early,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,19,0.95,14,5,0.7368421052631579,126.0,0.0989010989010989,64.0,True,True
current,book_margin_early,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,20,1.0,15,5,0.75,139.0,0.10213078618662748,63.5,True,True
current,book_margin_early,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,63.0,True,True
current,book_margin_early,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,19,0.95,11,8,0.5789473684210527,-149.0,-0.11929543634907927,62.0,True,False
current,book_margin_early,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,62.0,True,False
