rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_sigma_t_dollars>=75,23,0.4339622641509434,-18.76918,12.510820000000006,17,6,-7.1391800000000005,-11.38,-0.25000000000000006,10,9,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_sigma_t_dollars>=75,21,0.39622641509433965,-18.789179999999998,12.490820000000006,16,5,-7.1391800000000005,-11.4,-0.25000000000000006,10,7,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=10,19,0.3584905660377358,-20.119179999999997,11.160820000000008,14,5,-7.739180000000001,-11.4,-0.98,9,7,3,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_sigma_t_dollars>=75,18,0.33962264150943394,-21.11918,10.160820000000005,14,4,-8.03918,-12.83,-0.25000000000000006,9,5,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_sigma_t_dollars>=75,19,0.3584905660377358,-22.27918,9.000820000000004,15,4,-6.289180000000001,-15.74,-0.25000000000000006,9,6,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds<=180,20,0.37735849056603776,-22.31918,8.960820000000005,15,5,-7.1391800000000005,-14.93,-0.25000000000000006,10,6,4,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=18 AND exit_sigma_t_dollars>=75,16,0.3018867924528302,-22.66918,8.610820000000004,13,3,-6.06918,-15.63,-0.97,7,6,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=0,18,0.33962264150943394,-22.68918,8.590820000000004,13,5,-7.5191799999999995,-14.200000000000001,-0.97,7,8,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=15,13,0.24528301886792453,-22.889179999999996,8.390820000000009,9,4,-10.96918,-10.17,-1.7499999999999998,5,6,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND fair_minus_exit_bid_cents>=15,6,0.11320754716981132,-23.000000000000004,8.280000000000001,5,1,-8.82,-10.9,-3.2800000000000002,2,4,0,True,True
suppress_collapse_exit_if_exit_btc_age_ms<=100 AND entry_to_exit_loss_cents>=20,8,0.1509433962264151,-23.63,7.650000000000006,6,2,-8.66,-11.69,-3.2800000000000002,3,5,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=100,5,0.09433962264150944,-24.180000000000003,7.100000000000001,5,0,-10.139999999999999,-10.76,-3.2800000000000002,2,3,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND exit_sigma_t_dollars>=50,9,0.16981132075471697,-24.26,7.020000000000003,8,1,-6.300000000000001,-16.18,-1.78,5,2,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_fair_drawdown_cents<=8,7,0.1320754716981132,-24.280000000000005,7.0,7,0,-6.300000000000001,-16.2,-1.78,5,0,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND position_seconds<=45,26,0.49056603773584906,-24.479999999999997,6.800000000000008,18,8,-6.15,-15.42,-2.9099999999999997,16,3,7,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=75 AND exit_sigma_t_dollars>=75,14,0.2641509433962264,-24.529179999999997,6.750820000000008,11,3,-7.78918,-15.76,-0.98,7,4,3,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND exit_fair_drawdown_cents<=8,10,0.18867924528301888,-24.880000000000006,6.399999999999999,8,2,-7.88,-15.219999999999999,-1.78,7,1,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms>=500,8,0.1509433962264151,-24.979999999999997,6.300000000000008,7,1,-10.23,-14.500000000000002,-0.25000000000000006,2,2,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND fair_minus_exit_bid_cents>=15,6,0.11320754716981132,-24.98,6.300000000000004,4,2,-8.82,-12.88,-3.2800000000000002,2,4,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=500,15,0.2830188679245283,-25.069180000000006,6.210819999999998,10,5,-8.70918,-13.08,-3.2800000000000002,8,7,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_fair_drawdown_cents<=8,10,0.18867924528301888,-25.26,6.020000000000003,8,2,-7.300000000000001,-16.18,-1.78,6,2,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=5,10,0.18867924528301888,-25.570000000000004,5.710000000000001,7,3,-10.09,-12.97,-2.51,2,7,1,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND entry_to_exit_loss_cents>=10,6,0.11320754716981132,-25.640000000000004,5.640000000000001,5,1,-6.930000000000001,-16.2,-2.51,5,0,1,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds>=90,5,0.09433962264150944,-25.700000000000003,5.580000000000002,4,1,-11.799999999999999,-10.62,-3.2800000000000002,0,5,0,True,True
