dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,median_seconds_to_close,positive_net,coverage_pass
current,book_margin_window480_780,13,20,20,1.0,13,7,0.65,-166.0,-0.11323328785811733,68.0,768.591,False,True
current,book_margin_window480_780,14,15,15,1.0,8,7,0.5333333333333333,-253.0,-0.2402659069325736,64.0,759.692,False,True
current,book_margin_window540_780,0,20,17,0.85,11,6,0.6470588235294118,-54.0,-0.04679376083188908,63.0,765.526,False,True
current,book_margin_window540_780,1,20,19,0.95,15,4,0.7894736842105263,161.0,0.12023898431665422,68.0,766.278,True,True
current,book_margin_window540_780,2,20,18,0.9,14,4,0.7777777777777778,122.0,0.09546165884194054,68.0,768.328,True,True
current,book_margin_window540_780,3,20,20,1.0,16,4,0.8,188.0,0.13314447592067988,67.5,759.6804999999999,True,True
current,book_margin_window540_780,4,20,17,0.85,10,7,0.5882352941176471,-158.0,-0.13644214162348878,67.0,739.927,False,True
current,book_margin_window540_780,5,20,20,1.0,12,8,0.6,-156.0,-0.11504424778761062,64.5,765.795,False,True
current,book_margin_window540_780,6,20,18,0.9,14,4,0.7777777777777778,101.0,0.07775211701308699,69.0,771.6555000000001,True,True
current,book_margin_window540_780,7,20,18,0.9,13,5,0.7222222222222222,35.0,0.02766798418972332,66.5,757.7885,True,True
current,book_margin_window540_780,8,20,20,1.0,13,7,0.65,-94.0,-0.06743185078909612,66.0,764.021,False,True
current,book_margin_window540_780,9,20,18,0.9,16,2,0.8888888888888888,343.0,0.2728719172633254,67.0,766.0375,True,True
current,book_margin_window540_780,10,20,18,0.9,12,6,0.6666666666666666,-82.0,-0.06396255850234009,67.5,767.5445,False,True
current,book_margin_window540_780,11,20,20,1.0,13,7,0.65,-116.0,-0.08192090395480225,67.5,767.1205,False,True
current,book_margin_window540_780,12,20,19,0.95,16,3,0.8421052631578947,277.0,0.20937263794406652,65.0,768.357,True,True
current,book_margin_window540_780,13,20,20,1.0,13,7,0.65,-166.0,-0.11323328785811733,68.0,768.591,False,True
current,book_margin_window540_780,14,15,15,1.0,8,7,0.5333333333333333,-253.0,-0.2402659069325736,64.0,759.692,False,True
current,book_margin_window600_780,0,20,17,0.85,11,6,0.6470588235294118,-54.0,-0.04679376083188908,63.0,765.526,False,True
current,book_margin_window600_780,1,20,18,0.9,14,4,0.7777777777777778,131.0,0.10323089046493301,66.0,767.1165000000001,True,True
current,book_margin_window600_780,2,20,18,0.9,14,4,0.7777777777777778,122.0,0.09546165884194054,68.0,768.328,True,True
current,book_margin_window600_780,3,20,20,1.0,16,4,0.8,188.0,0.13314447592067988,67.5,759.6804999999999,True,True
current,book_margin_window600_780,4,20,17,0.85,10,7,0.5882352941176471,-158.0,-0.13644214162348878,67.0,739.927,False,True
current,book_margin_window600_780,5,20,18,0.9,10,8,0.5555555555555556,-226.0,-0.18433931484502447,65.0,766.435,False,True
current,book_margin_window600_780,6,20,17,0.85,13,4,0.7647058823529411,81.0,0.06644790812141099,69.0,772.317,True,True
current,book_margin_window600_780,7,20,17,0.85,12,5,0.7058823529411765,-1.0,-0.0008326394671107411,68.0,765.633,False,True
current,book_margin_window600_780,8,20,18,0.9,12,6,0.6666666666666666,-61.0,-0.04837430610626487,66.0,766.7805,False,True
current,book_margin_window600_780,9,20,17,0.85,15,2,0.8823529411764706,312.0,0.26262626262626265,67.0,766.118,True,True
current,book_margin_window600_780,10,20,17,0.85,11,6,0.6470588235294118,-112.0,-0.0924092409240924,67.0,768.281,False,True
current,book_margin_window600_780,11,20,19,0.95,12,7,0.631578947368421,-134.0,-0.10044977511244378,66.0,769.047,False,True
current,book_margin_window600_780,12,20,18,0.9,15,3,0.8333333333333334,240.0,0.19047619047619047,65.0,768.9915,True,True
current,book_margin_window600_780,13,20,20,1.0,13,7,0.65,-166.0,-0.11323328785811733,68.0,768.591,False,True
current,book_margin_window600_780,14,15,15,1.0,8,7,0.5333333333333333,-253.0,-0.2402659069325736,64.0,759.692,False,True
current,book_margin_window480_720,0,20,17,0.85,10,7,0.5882352941176471,-186.0,-0.15682967959527824,65.0,705.369,False,True
current,book_margin_window480_720,1,20,19,0.95,15,4,0.7894736842105263,109.0,0.07836089144500359,68.0,710.491,True,True
current,book_margin_window480_720,2,20,19,0.95,15,4,0.7894736842105263,109.0,0.07836089144500359,69.0,710.041,True,True
current,book_margin_window480_720,3,20,20,1.0,16,4,0.8,147.0,0.10116999311768754,68.0,708.6105,True,True
current,book_margin_window480_720,4,20,19,0.95,12,7,0.631578947368421,-141.0,-0.10514541387024609,67.0,700.641,False,True
current,book_margin_window480_720,5,20,20,1.0,13,7,0.65,-97.0,-0.06943450250536864,64.0,706.217,False,True
current,book_margin_window480_720,6,20,19,0.95,14,5,0.7368421052631579,-3.0,-0.0021382751247327157,72.0,709.331,False,True
current,book_margin_window480_720,7,20,18,0.9,12,6,0.6666666666666666,-86.0,-0.06687402799377916,66.0,706.0065,False,True
current,book_margin_window480_720,8,20,20,1.0,14,6,0.7,-20.0,-0.014084507042253521,68.0,707.631,False,True
current,book_margin_window480_720,9,20,18,0.9,16,2,0.8888888888888888,284.0,0.21580547112462006,70.5,709.863,True,True
current,book_margin_window480_720,10,20,18,0.9,12,6,0.6666666666666666,-103.0,-0.07904834996162702,70.0,706.2055,False,True
current,book_margin_window480_720,11,20,20,1.0,12,8,0.6,-297.0,-0.19839679358717435,75.5,711.367,False,True
current,book_margin_window480_720,12,20,19,0.95,16,3,0.8421052631578947,200.0,0.14285714285714285,71.0,710.763,True,True
current,book_margin_window480_720,13,20,19,0.95,13,6,0.6842105263157895,-80.0,-0.057971014492753624,66.0,711.542,False,True
current,book_margin_window480_720,14,15,15,1.0,8,7,0.5333333333333333,-265.0,-0.24882629107981222,62.0,703.339,False,True
current,book_margin_window540_720,0,20,16,0.8,10,6,0.625,-119.0,-0.1063449508489723,65.0,707.5635,False,True
