dataset,model,feature_set,c_value,block_index,train_base_markets,block_start_close_dt,block_end_close_dt,edge_floor_cents,train_edge_net_pnl_cents,train_edge_coverage,features,base_markets,selected_markets,wins,losses,accuracy,coverage,net_pnl_cents,net_roi_on_cost,median_ask,median_edge_cents
current,prob3_C0.05,prob3,0.05,14,280,2026-05-04 03:15:00+00:00,2026-05-04 08:00:00+00:00,-5.0,-112.0,0.9928571428571429,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,6,14,0.3,1.0,-608.0,-0.5033112582781457,55.5,-2.3610490532982595
current,prob3_C0.1,prob3,0.1,4,80,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,-10.0,948.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,10,10,0.5,1.0,-140.0,-0.12280701754385964,53.0,-1.477846963876111
current,prob3_C0.1,prob3,0.1,5,100,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,-10.0,503.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,10,10,0.5,1.0,-192.0,-0.1610738255033557,57.0,-3.3007557319931067
current,prob3_C0.1,prob3,0.1,6,120,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,-10.0,412.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,13,7,0.65,1.0,80.0,0.06557377049180328,54.0,-2.5927371745759444
current,prob3_C0.1,prob3,0.1,7,140,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,-10.0,492.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,19,13,6,0.6842105263157895,0.95,193.0,0.17434507678410116,55.0,-2.985043646903506
current,prob3_C0.1,prob3,0.1,8,160,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,-10.0,696.0,0.99375,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,14,6,0.7,1.0,183.0,0.15036976170912078,59.0,-2.964757216877583
current,prob3_C0.1,prob3,0.1,9,180,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,-5.0,655.0,0.9944444444444445,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,19,8,11,0.42105263157894735,0.95,-329.0,-0.2914083259521701,55.0,-2.7114661549545858
current,prob3_C0.1,prob3,0.1,10,200,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,0.0,860.0,0.755,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,15,13,2,0.8666666666666667,0.75,100.0,0.08333333333333333,80.0,0.5610504252624793
current,prob3_C0.1,prob3,0.1,11,220,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,0.0,867.0,0.8227272727272728,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,16,13,3,0.8125,0.8,30.0,0.023622047244094488,80.0,0.46100853517690865
current,prob3_C0.1,prob3,0.1,12,240,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,-5.0,-140.0,0.9916666666666667,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,9,11,0.45,1.0,-260.0,-0.22413793103448276,54.5,-2.586452837456715
current,prob3_C0.1,prob3,0.1,13,260,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,0.0,1141.0,0.7730769230769231,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,16,16,0,1.0,0.8,227.0,0.16533139111434814,85.0,0.13314080909545822
current,prob3_C0.1,prob3,0.1,14,280,2026-05-04 03:15:00+00:00,2026-05-04 08:00:00+00:00,0.0,1502.0,0.925,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,17,13,4,0.7647058823529411,0.85,-67.0,-0.04901243599122165,83.0,0.4839624009304089
current,prob3_C0.25,prob3,0.25,4,80,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,-5.0,641.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,10,10,0.5,1.0,-148.0,-0.1289198606271777,53.0,-1.8256632683745728
current,prob3_C0.25,prob3,0.25,5,100,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,-5.0,493.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,10,10,0.5,1.0,-192.0,-0.1610738255033557,57.0,-2.8527056183884483
current,prob3_C0.25,prob3,0.25,6,120,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,0.0,126.0,0.7583333333333333,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,14,12,2,0.8571428571428571,0.7,97.0,0.08794197642792384,76.0,0.7669295084137175
current,prob3_C0.25,prob3,0.25,7,140,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,-10.0,286.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,19,13,6,0.6842105263157895,0.95,193.0,0.17434507678410116,55.0,-2.6319900118975
current,prob3_C0.25,prob3,0.25,8,160,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,-5.0,391.0,0.99375,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,13,7,0.65,1.0,84.0,0.06907894736842106,59.0,-2.345897442947379
current,prob3_C0.25,prob3,0.25,9,180,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,-5.0,656.0,0.9944444444444445,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,19,8,11,0.42105263157894735,0.95,-329.0,-0.2914083259521701,55.0,-2.314302282740705
current,prob3_C0.25,prob3,0.25,10,200,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,0.0,948.0,0.825,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,17,15,2,0.8823529411764706,0.85,278.0,0.22749590834697217,69.0,0.5075956227438496
current,prob3_C0.25,prob3,0.25,11,220,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,0.0,986.0,0.9,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,19,15,4,0.7894736842105263,0.95,2.0,0.0013351134846461949,83.0,0.3794480475593218
current,prob3_C0.25,prob3,0.25,12,240,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,0.0,1343.0,0.7958333333333333,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,18,13,5,0.7222222222222222,0.9,-107.0,-0.07604832977967306,79.5,0.3325247997075387
current,prob3_C0.25,prob3,0.25,13,260,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,0.0,432.0,0.9423076923076923,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,14,6,0.7,1.0,-90.0,-0.06040268456375839,71.0,0.2355173440690841
current,prob3_C0.25,prob3,0.25,14,280,2026-05-04 03:15:00+00:00,2026-05-04 08:00:00+00:00,-10.0,-8.0,0.9928571428571429,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,8,12,0.4,1.0,-409.0,-0.33829611248966085,55.5,-1.8219085538379503
current,prob_gap_margin_C0.05,prob_gap_margin,0.05,4,80,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,-10.0,570.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,20,10,10,0.5,1.0,-128.0,-0.11347517730496454,53.0,-0.5623586501193749
current,prob_gap_margin_C0.05,prob_gap_margin,0.05,5,100,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,-10.0,717.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,20,10,10,0.5,1.0,-192.0,-0.1610738255033557,57.0,-3.661606532953723
current,prob_gap_margin_C0.05,prob_gap_margin,0.05,6,120,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,-10.0,442.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,20,13,7,0.65,1.0,81.0,0.06644790812141099,54.0,-2.5907245983180296
current,prob_gap_margin_C0.05,prob_gap_margin,0.05,7,140,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,-10.0,527.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,19,12,7,0.631578947368421,0.95,94.0,0.08499095840867993,55.0,-3.140773419185976
current,prob_gap_margin_C0.05,prob_gap_margin,0.05,8,160,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,-10.0,704.0,0.99375,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,20,14,6,0.7,1.0,183.0,0.15036976170912078,59.0,-3.6591488987615257
current,prob_gap_margin_C0.05,prob_gap_margin,0.05,9,180,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,-10.0,767.0,0.9944444444444445,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,19,7,12,0.3684210526315789,0.95,-428.0,-0.37943262411347517,55.0,-3.1204615043523845
current,prob_gap_margin_C0.05,prob_gap_margin,0.05,10,200,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,0.0,554.0,0.84,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,17,13,4,0.7647058823529411,0.85,24.0,0.018808777429467086,70.0,0.42246095761655056
current,prob_gap_margin_C0.05,prob_gap_margin,0.05,11,220,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,0.0,650.0,0.8954545454545455,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,17,14,3,0.8235294117647058,0.85,152.0,0.12179487179487179,73.0,0.36563147112055105
current,prob_gap_margin_C0.05,prob_gap_margin,0.05,12,240,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,-10.0,-231.0,0.9916666666666667,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,20,12,8,0.6,1.0,42.0,0.03626943005181347,54.5,-2.8522668287786104
current,prob_gap_margin_C0.05,prob_gap_margin,0.05,13,260,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,-10.0,-298.0,0.9923076923076923,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,20,15,5,0.75,1.0,189.0,0.14416475972540047,60.5,-2.793002354283125
current,prob_gap_margin_C0.05,prob_gap_margin,0.05,14,280,2026-05-04 03:15:00+00:00,2026-05-04 08:00:00+00:00,0.0,1152.0,0.7535714285714286,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,14,13,1,0.9285714285714286,0.7,230.0,0.21495327102803738,72.0,0.26566684115528005
current,prob_gap_margin_C0.1,prob_gap_margin,0.1,4,80,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,-10.0,948.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,20,10,10,0.5,1.0,-140.0,-0.12280701754385964,53.0,-1.4353116208060115
current,prob_gap_margin_C0.1,prob_gap_margin,0.1,5,100,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,-10.0,503.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,20,10,10,0.5,1.0,-192.0,-0.1610738255033557,57.0,-3.3115708337150096
current,prob_gap_margin_C0.1,prob_gap_margin,0.1,6,120,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,-10.0,525.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,20,13,7,0.65,1.0,80.0,0.06557377049180328,54.0,-2.5973863522250973
current,prob_gap_margin_C0.1,prob_gap_margin,0.1,7,140,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,-10.0,401.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,19,13,6,0.6842105263157895,0.95,193.0,0.17434507678410116,55.0,-2.9802128431707544
current,prob_gap_margin_C0.1,prob_gap_margin,0.1,8,160,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,-10.0,696.0,0.99375,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,20,14,6,0.7,1.0,183.0,0.15036976170912078,59.0,-2.992886675338621
current,prob_gap_margin_C0.1,prob_gap_margin,0.1,9,180,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,-10.0,655.0,0.9944444444444445,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,19,8,11,0.42105263157894735,0.95,-329.0,-0.2914083259521701,55.0,-2.8272965567878785
current,prob_gap_margin_C0.1,prob_gap_margin,0.1,10,200,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,0.0,414.0,0.79,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,16,14,2,0.875,0.8,189.0,0.15606936416184972,73.5,0.3431451698214758
current,prob_gap_margin_C0.1,prob_gap_margin,0.1,11,220,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,0.0,740.0,0.8545454545454545,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,16,13,3,0.8125,0.8,58.0,0.04669887278582931,77.0,0.43851063322144057
current,prob_gap_margin_C0.1,prob_gap_margin,0.1,12,240,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,-10.0,-233.0,0.9916666666666667,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,20,9,11,0.45,1.0,-260.0,-0.22413793103448276,54.5,-2.640757092790203
current,prob_gap_margin_C0.1,prob_gap_margin,0.1,13,260,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,0.0,1221.0,0.7884615384615384,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,15,14,1,0.9333333333333333,0.75,135.0,0.1067193675889328,85.0,0.16572512587055144
current,prob_gap_margin_C0.1,prob_gap_margin,0.1,14,280,2026-05-04 03:15:00+00:00,2026-05-04 08:00:00+00:00,0.0,1489.0,0.9214285714285714,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,18,15,3,0.8333333333333334,0.9,48.0,0.03305785123966942,83.0,0.5877357632593103
current,prob_gap_margin_C0.25,prob_gap_margin,0.25,4,80,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,-5.0,641.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,20,10,10,0.5,1.0,-148.0,-0.1289198606271777,53.0,-1.8287373679859975
current,prob_gap_margin_C0.25,prob_gap_margin,0.25,5,100,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,-5.0,493.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,20,10,10,0.5,1.0,-192.0,-0.1610738255033557,57.0,-2.8512865636613505
current,prob_gap_margin_C0.25,prob_gap_margin,0.25,6,120,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,-10.0,107.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,20,13,7,0.65,1.0,80.0,0.06557377049180328,54.0,-2.472224633300609
current,prob_gap_margin_C0.25,prob_gap_margin,0.25,7,140,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,-10.0,187.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,19,13,6,0.6842105263157895,0.95,193.0,0.17434507678410116,55.0,-2.6689753726957335
current,prob_gap_margin_C0.25,prob_gap_margin,0.25,8,160,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,0.0,450.0,0.79375,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,14,12,2,0.8571428571428571,0.7,146.0,0.13851992409867173,73.5,0.9945196314976741
current,prob_gap_margin_C0.25,prob_gap_margin,0.25,9,180,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,-5.0,656.0,0.9944444444444445,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,19,8,11,0.42105263157894735,0.95,-329.0,-0.2914083259521701,55.0,-2.324872185452378
current,prob_gap_margin_C0.25,prob_gap_margin,0.25,10,200,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,0.0,559.0,0.84,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,17,15,2,0.8823529411764706,0.85,288.0,0.2376237623762376,69.0,0.412962020141066
current,prob_gap_margin_C0.25,prob_gap_margin,0.25,11,220,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,0.0,1222.0,0.8909090909090909,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,18,14,4,0.7777777777777778,0.9,22.0,0.015965166908563134,74.0,0.3263573507078448
current,prob_gap_margin_C0.25,prob_gap_margin,0.25,12,240,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,0.0,1258.0,0.7916666666666666,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,16,12,4,0.75,0.8,-70.0,-0.05511811023622047,79.5,0.41926449678533473
current,prob_gap_margin_C0.25,prob_gap_margin,0.25,13,260,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,0.0,750.0,0.9384615384615385,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,20,16,4,0.8,1.0,39.0,0.024983984625240232,74.0,0.29541126913580484
current,prob_gap_margin_C0.25,prob_gap_margin,0.25,14,280,2026-05-04 03:15:00+00:00,2026-05-04 08:00:00+00:00,0.0,204.0,0.975,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,abs_book_rv15_gap,margin_per_rv_sigma_15m",20,20,13,7,0.65,1.0,-183.0,-0.12339851652056642,71.0,0.30140109969419626
current,prob_path_compact_C0.05,prob_path_compact,0.05,4,80,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,-5.0,600.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,logit_drift_p_5m_rv_15m,abs_book_rv15_gap,margin_per_rv_sigma_15m,adverse_move_15m,signed_move_5m,seconds_to_close",20,20,9,11,0.45,1.0,-229.0,-0.20283436669619131,53.0,1.6004299722054363
current,prob_path_compact_C0.05,prob_path_compact,0.05,5,100,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,-15.0,435.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,logit_drift_p_5m_rv_15m,abs_book_rv15_gap,margin_per_rv_sigma_15m,adverse_move_15m,signed_move_5m,seconds_to_close",20,20,10,10,0.5,1.0,-192.0,-0.1610738255033557,57.0,-4.115405458262895
current,prob_path_compact_C0.05,prob_path_compact,0.05,6,120,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,-15.0,-143.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,logit_drift_p_5m_rv_15m,abs_book_rv15_gap,margin_per_rv_sigma_15m,adverse_move_15m,signed_move_5m,seconds_to_close",20,20,12,8,0.6,1.0,-7.0,-0.00579950289975145,54.0,-0.7092515581984138
current,prob_path_compact_C0.05,prob_path_compact,0.05,7,140,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,-15.0,232.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,logit_drift_p_5m_rv_15m,abs_book_rv15_gap,margin_per_rv_sigma_15m,adverse_move_15m,signed_move_5m,seconds_to_close",20,19,12,7,0.631578947368421,0.95,111.0,0.10192837465564739,54.0,-2.094691720289646
current,prob_path_compact_C0.05,prob_path_compact,0.05,8,160,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,-15.0,543.0,0.99375,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,logit_drift_p_5m_rv_15m,abs_book_rv15_gap,margin_per_rv_sigma_15m,adverse_move_15m,signed_move_5m,seconds_to_close",20,20,12,8,0.6,1.0,3.0,0.002506265664160401,59.0,-1.632646541777106
current,prob_path_compact_C0.05,prob_path_compact,0.05,9,180,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,-10.0,786.0,0.9944444444444445,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,logit_drift_p_5m_rv_15m,abs_book_rv15_gap,margin_per_rv_sigma_15m,adverse_move_15m,signed_move_5m,seconds_to_close",20,19,9,10,0.47368421052631576,0.95,-225.0,-0.2,55.0,-3.2055319422428425
current,prob_path_compact_C0.05,prob_path_compact,0.05,10,200,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,-15.0,678.0,0.99,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,logit_drift_p_5m_rv_15m,abs_book_rv15_gap,margin_per_rv_sigma_15m,adverse_move_15m,signed_move_5m,seconds_to_close",20,20,7,13,0.35,1.0,-455.0,-0.3939393939393939,54.5,-2.190325383696649
current,prob_path_compact_C0.05,prob_path_compact,0.05,11,220,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,-10.0,413.0,0.990909090909091,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,logit_drift_p_5m_rv_15m,abs_book_rv15_gap,margin_per_rv_sigma_15m,adverse_move_15m,signed_move_5m,seconds_to_close",20,20,10,10,0.5,1.0,-192.0,-0.1610738255033557,56.5,-2.493966945521617
current,prob_path_compact_C0.05,prob_path_compact,0.05,12,240,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,0.0,434.0,0.8208333333333333,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m,logit_drift_p_5m_rv_15m,abs_book_rv15_gap,margin_per_rv_sigma_15m,adverse_move_15m,signed_move_5m,seconds_to_close",20,15,9,6,0.6,0.75,-91.0,-0.09182643794147326,61.0,1.1437435898994863
