dataset,model,feature_set,c_value,block_index,train_base_markets,block_start_close_dt,block_end_close_dt,edge_floor_cents,train_edge_net_pnl_cents,train_edge_coverage,features,base_markets,selected_markets,wins,losses,accuracy,coverage,net_pnl_cents,net_roi_on_cost,median_ask,median_edge_cents
current,prob3_C0.05,prob3,0.05,4,80,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,-10.0,667.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,11,9,0.55,1.0,-33.0,-0.02912621359223301,53.0,-0.7767448634086271
current,prob3_C0.05,prob3,0.05,5,100,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,-10.0,717.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,10,10,0.5,1.0,-192.0,-0.1610738255033557,57.0,-3.6693237794747517
current,prob3_C0.05,prob3,0.05,6,120,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,-10.0,442.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,13,7,0.65,1.0,81.0,0.06644790812141099,54.0,-2.6046067409706097
current,prob3_C0.05,prob3,0.05,7,140,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,-10.0,605.0,1.0,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,19,13,6,0.6842105263157895,0.95,193.0,0.17434507678410116,55.0,-3.1395096213429383
current,prob3_C0.05,prob3,0.05,8,160,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,-10.0,798.0,0.99375,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,14,6,0.7,1.0,183.0,0.15036976170912078,59.0,-3.606157443628529
current,prob3_C0.05,prob3,0.05,9,180,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,-10.0,666.0,0.9944444444444445,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,19,7,12,0.3684210526315789,0.95,-428.0,-0.37943262411347517,55.0,-3.0769849204762565
current,prob3_C0.05,prob3,0.05,10,200,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,0.0,355.0,0.825,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,17,13,4,0.7647058823529411,0.85,52.0,0.041666666666666664,68.0,0.4272633023006662
current,prob3_C0.05,prob3,0.05,11,220,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,0.0,628.0,0.8681818181818182,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,17,14,3,0.8235294117647058,0.85,58.0,0.043219076005961254,80.0,0.29125482766980326
current,prob3_C0.05,prob3,0.05,12,240,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,-10.0,-231.0,0.9916666666666667,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,11,9,0.55,1.0,-59.0,-0.05090595340811044,54.5,-2.886261715598394
current,prob3_C0.05,prob3,0.05,13,260,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,-5.0,-301.0,0.9923076923076923,"logit_book_p_side,logit_brownian_p_rv_15m,logit_brownian_p_rv_30m",20,20,15,5,0.75,1.0,189.0,0.14416475972540047,60.5,-2.641878510465947
