mode,family,label,score_feature,min_score,ask_max,require_book_agreement,observed_pass,target_pass,all_rows,all_wins,all_accuracy,all_retention,all_total_rows,train_rows,train_wins,train_accuracy,train_retention,train_total_rows,validation_rows,validation_wins,validation_accuracy,validation_retention,validation_total_rows,holdout_rows,holdout_wins,holdout_accuracy,holdout_retention,holdout_total_rows
two_side_minute_bucket,brownian_rv30_book_agree,brownian_p_rv_30m>=0.90; book agrees; ask<=100,brownian_p_rv_30m,0.9,100.0,True,False,False,1553,1520,0.978750804893754,0.2807302964569776,5532,894,876,0.9798657718120806,0.26935824043386564,3319,325,318,0.9784615384615385,0.2938517179023508,1106,334,326,0.9760479041916168,0.3017163504968383,1107
two_side_minute_bucket,mean_book_rv15,score_mean_book_rv15>=0.90; ask<=100,score_mean_book_rv15,0.9,100.0,False,False,False,1724,1694,0.9825986078886311,0.3116413593637021,5532,981,967,0.9857288481141692,0.2955709551069599,3319,381,374,0.9816272965879265,0.3444846292947559,1106,362,353,0.9751381215469613,0.32700993676603435,1107
two_side_minute_bucket,brownian_rv15,brownian_p_rv_15m>=0.90; ask<=100,brownian_p_rv_15m,0.9,100.0,False,False,False,1620,1588,0.980246913580247,0.2928416485900217,5532,946,930,0.9830866807610994,0.28502561012353117,3319,344,337,0.9796511627906976,0.31103074141048825,1106,330,321,0.9727272727272728,0.2981029810298103,1107
two_side_minute_bucket,brownian_rv15_book_agree,brownian_p_rv_15m>=0.90; book agrees; ask<=100,brownian_p_rv_15m,0.9,100.0,True,False,False,1620,1588,0.980246913580247,0.2928416485900217,5532,946,930,0.9830866807610994,0.28502561012353117,3319,344,337,0.9796511627906976,0.31103074141048825,1106,330,321,0.9727272727272728,0.2981029810298103,1107
two_side_minute_bucket,brownian_rv30,brownian_p_rv_30m>=0.85; ask<=100,brownian_p_rv_30m,0.85,100.0,False,False,False,1912,1857,0.9712343096234309,0.34562545191612437,5532,1108,1074,0.9693140794223827,0.3338354926182585,3319,407,398,0.9778869778869779,0.3679927667269439,1106,397,385,0.9697732997481109,0.35862691960252935,1107
two_side_minute_bucket,brownian_rv30_book_agree,brownian_p_rv_30m>=0.85; book agrees; ask<=100,brownian_p_rv_30m,0.85,100.0,True,False,False,1912,1857,0.9712343096234309,0.34562545191612437,5532,1108,1074,0.9693140794223827,0.3338354926182585,3319,407,398,0.9778869778869779,0.3679927667269439,1106,397,385,0.9697732997481109,0.35862691960252935,1107
two_side_minute_bucket,mean_book_rv15_drift5,score_mean_book_rv15_drift5>=0.90; ask<=100,score_mean_book_rv15_drift5,0.9,100.0,False,False,False,1885,1842,0.9771883289124669,0.3407447577729573,5532,1074,1053,0.9804469273743017,0.32359144320578487,3319,417,408,0.9784172661870504,0.3770343580470163,1106,394,381,0.9670050761421319,0.35591689250225833,1107
two_side_minute_bucket,min_book_rv15,score_min_book_rv15>=0.85; ask<=100,score_min_book_rv15,0.85,100.0,False,False,False,1863,1824,0.9790660225442834,0.33676789587852496,5532,1063,1045,0.9830667920978363,0.3202771919252787,3319,414,406,0.9806763285024155,0.3743218806509946,1106,386,373,0.966321243523316,0.3486901535682023,1107
two_side_minute_bucket,book,book_p_side>=0.90; ask<=100,book_p_side,0.9,100.0,False,False,False,1908,1869,0.9795597484276729,0.34490238611713664,5532,1068,1049,0.9822097378277154,0.32178366978005424,3319,432,426,0.9861111111111112,0.39059674502712477,1106,408,394,0.9656862745098039,0.3685636856368564,1107
two_side_minute_bucket,brownian_rv15,brownian_p_rv_15m>=0.85; ask<=100,brownian_p_rv_15m,0.85,100.0,False,False,False,1946,1894,0.9732785200411099,0.35177151120751987,5532,1124,1097,0.9759786476868327,0.3386562217535402,3319,423,412,0.9739952718676123,0.38245931283905965,1106,399,385,0.9649122807017544,0.3604336043360434,1107
