file,candidate,combined_all_net_pnl_cents,current_all_net_pnl_cents,current_validation_net_pnl_cents,current_holdout_net_pnl_cents,v21_all_net_pnl_cents,v21_train_net_pnl_cents,v21_validation_net_pnl_cents,v21_holdout_net_pnl_cents
profit_touch_hazard_frontier_20260502_222011Z.csv,hazard45_touch80_ask80_locked,1158.0,354.0,95.0,-14.0,804.0,69.0,510.0,225.0
profit_touch_hazard_frontier_20260502_222011Z.csv,hazard45_touch90_ask80_control,1171.0,367.0,100.0,-15.0,804.0,69.0,510.0,225.0
profit_touch_hazard_frontier_20260502_222011Z.csv,hazard45_touch80_ask95_control,1092.0,419.0,109.0,16.0,673.0,-116.0,536.0,253.0
profit_touch_hazard_frontier_20260502_222011Z.csv,hazard50_touch80_ask80_control,427.0,582.0,182.0,75.0,-155.0,-385.0,319.0,-89.0
profit_touch_hazard_frontier_20260502_222011Z.csv,hazard45_touch80_ask80_sec120_control,1158.0,354.0,95.0,-14.0,804.0,69.0,510.0,225.0
profit_touch_hazard_frontier_20260503_022110Z.csv,hazard45_touch80_ask80_locked,1317.0,513.0,36.0,163.0,804.0,69.0,510.0,225.0
profit_touch_hazard_frontier_20260503_022110Z.csv,hazard45_touch90_ask80_control,1326.0,522.0,41.0,158.0,804.0,69.0,510.0,225.0
profit_touch_hazard_frontier_20260503_022110Z.csv,hazard45_touch80_ask95_control,1251.0,578.0,45.0,188.0,673.0,-116.0,536.0,253.0
profit_touch_hazard_frontier_20260503_022110Z.csv,hazard50_touch80_ask80_control,557.0,712.0,126.0,233.0,-155.0,-385.0,319.0,-89.0
profit_touch_hazard_frontier_20260503_022110Z.csv,hazard45_touch80_ask80_sec120_control,1317.0,513.0,36.0,163.0,804.0,69.0,510.0,225.0
profit_touch_hazard_frontier_20260504_053420Z.csv,hazard45_touch80_ask80_locked,1691.0,887.0,529.0,4.0,804.0,69.0,510.0,225.0
profit_touch_hazard_frontier_20260504_053420Z.csv,hazard45_touch90_ask80_control,1701.0,897.0,528.0,2.0,804.0,69.0,510.0,225.0
profit_touch_hazard_frontier_20260504_053420Z.csv,hazard45_touch80_ask95_control,1584.0,911.0,536.0,-44.0,673.0,-116.0,536.0,253.0
profit_touch_hazard_frontier_20260504_053420Z.csv,hazard50_touch80_ask80_control,745.0,900.0,391.0,-73.0,-155.0,-385.0,319.0,-89.0
profit_touch_hazard_frontier_20260504_053420Z.csv,hazard45_touch80_ask80_sec120_control,1691.0,887.0,529.0,4.0,804.0,69.0,510.0,225.0
profit_touch_hazard_frontier_latest.csv,hazard45_touch80_ask80_locked,1691.0,887.0,529.0,4.0,804.0,69.0,510.0,225.0
profit_touch_hazard_frontier_latest.csv,hazard45_touch90_ask80_control,1701.0,897.0,528.0,2.0,804.0,69.0,510.0,225.0
profit_touch_hazard_frontier_latest.csv,hazard45_touch80_ask95_control,1584.0,911.0,536.0,-44.0,673.0,-116.0,536.0,253.0
profit_touch_hazard_frontier_latest.csv,hazard50_touch80_ask80_control,745.0,900.0,391.0,-73.0,-155.0,-385.0,319.0,-89.0
profit_touch_hazard_frontier_latest.csv,hazard45_touch80_ask80_sec120_control,1691.0,887.0,529.0,4.0,804.0,69.0,510.0,225.0
