name,registered,delta_registered,resolved,delta_resolved,pending,delta_pending,wins,delta_wins,losses,delta_losses,accuracy,delta_accuracy,break_even,delta_break_even,wilson95_lower,delta_wilson95_lower,prob_win_rate_gt_break_even,delta_prob_win_rate_gt_break_even,posterior_p05_edge_cents,delta_posterior_p05_edge_cents,registered_coverage,delta_registered_coverage,resolved_coverage,delta_resolved_coverage,net_pnl_cents,delta_net_pnl_cents,net_roi_on_cost,delta_net_roi_on_cost,registered_ready,delta_registered_ready,registered_bayesian_ready,delta_registered_bayesian_ready
book_score_gap020_wait,86,0,86,0,0,0,58,0,28,0,0.6744186046511628,0.0,0.7184883720930233,0.0,0.569778553659483,0.0,0.168415,0.0,-13.21753563735875,0.0,0.9148936170212766,0.0,0.9347826086956522,0.0,-379.0,0.0,-0.061336785887684,0.0,False,0,False,0
challenger,129,0,129,0,0,0,87,0,42,0,0.6744186046511628,0.0,0.6683720930232557,0.0,0.5895305031355976,0.0,0.542025,0.0,-6.542049170885558,0.0,0.6354679802955665,0.0,0.645,0.0,78.0,0.0,0.0090466249130132,0.0,False,0,False,0
frontier_v2,116,0,116,0,0,0,72,0,44,0,0.6206896551724138,0.0,0.631896551724138,0.0,0.5298630447498485,0.0,0.39015,0.0,-8.75444364683019,0.0,0.8,0.0,0.8111888111888111,0.0,-130.0,0.0,-0.0177353342428376,0.0,False,0,False,0
frontier_v2_continuous,107,0,107,0,0,0,66,0,41,0,0.616822429906542,0.0,0.6333644859813085,0.0,0.5221772310609086,0.0,0.34989,0.0,-9.66421241873619,0.0,0.9553571428571428,0.0,0.9727272727272728,0.0,-177.0,0.0,-0.0261177512173528,0.0,False,0,False,0
hazard_fallback_logit55,69,0,69,0,0,0,48,0,21,0,0.6956521739130435,0.0,0.715072463768116,0.0,0.5791642983213836,0.0,0.334375,0.0,-11.745937081681918,0.0,0.8846153846153846,0.0,0.9078947368421052,0.0,-134.0,0.0,-0.0271584920956627,0.0,False,0,False,0
hazard_fallback_logit55_wait8,62,0,62,0,0,0,42,0,20,0,0.6774193548387096,0.0,0.724516129032258,0.0,0.5536808809284809,0.0,0.186235,0.0,-15.149216113641264,0.0,0.8378378378378378,0.0,0.8611111111111112,0.0,-292.0,0.0,-0.0650044523597506,0.0,False,0,False,0
hazard_fallback_score60,65,0,65,0,0,0,46,0,19,0,0.7076923076923077,0.0,0.72,0.0,0.588039627634997,0.0,0.383875,0.0,-11.32310695485928,0.0,0.8904109589041096,0.0,0.9154929577464788,0.0,-80.0,0.0,-0.017094017094017,0.0,False,0,False,0
hazard_mean_touch80,70,0,70,0,0,0,50,0,20,0,0.7142857142857143,0.0,0.7245714285714285,0.0,0.5994980341827975,0.0,0.39359,0.0,-10.73674439695672,0.0,0.8536585365853658,0.0,0.875,0.0,-72.0,0.0,-0.0141955835962145,0.0,False,0,False,0
hazard_mean_touch80_ask76,54,0,54,0,0,0,37,0,17,0,0.6851851851851852,0.0,0.7174074074074075,0.0,0.552565551752049,0.0,0.273135,0.0,-14.467879047339917,0.0,0.7941176470588235,0.0,0.8181818181818182,0.0,-174.0,0.0,-0.0449148167268972,0.0,False,0,False,0
impulse_reversal_book_margin_fade,59,0,59,0,0,0,33,0,26,0,0.559322033898305,0.0,0.5561016949152543,0.0,0.4328935482915867,0.0,0.51322,0.0,-10.401995597128511,0.0,0.921875,0.0,0.9516129032258064,0.0,19.0,0.0,0.0057909174032307,0.0,False,0,False,0
kinetic_combo_price_guard,101,0,101,0,0,0,67,0,34,0,0.6633663366336634,0.0,0.6506930693069307,0.0,0.5667267191475078,0.0,0.588235,0.0,-6.825056650736653,0.0,0.6273291925465838,0.0,0.6352201257861635,0.0,128.0,0.0,0.0194765672550213,0.0,False,0,False,0
kinetic_guard,127,0,127,0,0,0,89,0,38,0,0.7007874015748031,0.0,0.7001574803149606,0.0,0.6162093720641555,0.0,0.484755,0.0,-7.039083713983279,0.0,0.671957671957672,0.0,0.679144385026738,0.0,8.0,0.0,0.0008996851102114,0.0,False,0,False,0
kinetic_path_confirm,119,0,119,0,0,0,89,0,30,0,0.7478991596638656,0.0,0.7550420168067227,0.0,0.6629702080798199,0.0,0.402235,0.0,-7.848518369933958,0.0,0.6502732240437158,0.0,0.6574585635359116,0.0,-85.0,0.0,-0.0094602114635503,0.0,False,0,False,0
kinetic_price_guard,108,0,108,0,0,0,69,0,39,0,0.6388888888888888,0.0,0.6437962962962963,0.0,0.5449722923436944,0.0,0.442825,0.0,-8.406701989181446,0.0,0.574468085106383,0.0,0.5806451612903226,0.0,-53.0,0.0,-0.0076226089457788,0.0,False,0,False,0
kinetic_touch,135,0,135,0,0,0,89,0,46,0,0.6592592592592592,0.0,0.685111111111111,0.0,0.5758930961040766,0.0,0.247065,0.0,-9.526263618172605,0.0,0.7105263157894737,0.0,0.7180851063829787,0.0,-349.0,0.0,-0.0377338090604389,0.0,False,0,False,0
logit_blend_edge10,76,0,76,0,0,0,49,0,27,0,0.6447368421052632,0.0,0.6213157894736842,0.0,0.5325638551414933,0.0,0.648625,0.0,-7.102717161533786,0.0,0.9382716049382716,0.0,0.9620253164556962,0.0,178.0,0.0,0.037695891571368,0.0,False,0,False,0
logit_blend_thresh55_edge15,70,0,70,0,0,0,49,0,21,0,0.7,0.0,0.7152857142857143,0.0,0.5845568276122731,0.0,0.362175,0.0,-11.295380524556606,0.0,0.8860759493670886,0.0,0.9090909090909092,0.0,-107.0,0.0,-0.0213700818853604,0.0,False,0,False,0
original,138,0,138,0,0,0,92,0,46,0,0.6666666666666666,0.0,0.6634782608695652,0.0,0.5844433722661659,0.0,0.51643,0.0,-6.595872914854239,0.0,0.6764705882352942,0.0,0.6865671641791045,0.0,44.0,0.0,0.0048055919615552,0.0,False,0,False,0
score_min60,103,0,103,0,0,0,72,0,31,0,0.6990291262135923,0.0,0.7231067961165049,0.0,0.6046054631486113,0.0,0.274885,0.0,-10.312760571391252,0.0,0.927927927927928,0.0,0.944954128440367,0.0,-248.0,0.0,-0.033297529538131,0.0,False,0,False,0
score_min60_gap020,92,0,92,0,0,0,64,0,28,0,0.6956521739130435,0.0,0.7221739130434783,0.0,0.5953572670272532,0.0,0.264825,0.0,-11.076625174163429,0.0,0.92,0.0,0.9387755102040816,0.0,-244.0,0.0,-0.036724864539434,0.0,False,0,False,0
touch_hazard,147,0,147,0,0,0,88,0,59,0,0.5986394557823129,0.0,0.6026530612244898,0.0,0.5178635047399761,0.0,0.45225,0.0,-7.197927907975344,0.0,0.735,0.0,0.7461928934010152,0.0,-59.0,0.0,-0.0066598938932159,0.0,False,0,False,0
touch_overlay,139,0,139,0,0,0,85,0,54,0,0.6115107913669064,0.0,0.6001438848920864,0.0,0.5285251826755655,0.0,0.59877,0.0,-5.8446767772714265,0.0,0.7202072538860104,0.0,0.7315789473684211,0.0,158.0,0.0,0.0189403020858307,0.0,False,0,False,0
v2_wait_score_min60_brownian70_early,98,0,98,0,0,0,69,0,29,0,0.7040816326530612,0.0,0.7215306122448979,0.0,0.6073991576853616,0.0,0.32708,0.0,-9.857448737433076,0.0,0.9245283018867924,0.0,0.9423076923076924,0.0,-171.0,0.0,-0.0241832838353839,0.0,False,0,False,0
v2_wait_score_min60_early,102,0,102,0,0,0,71,0,31,0,0.696078431372549,0.0,0.7214705882352941,0.0,0.6010479530545229,0.0,0.26512,0.0,-10.5271985143588,0.0,0.9272727272727272,0.0,0.9444444444444444,0.0,-259.0,0.0,-0.0351949993205598,0.0,False,0,False,0
