name,registered,delta_registered,resolved,delta_resolved,pending,delta_pending,wins,delta_wins,losses,delta_losses,accuracy,delta_accuracy,break_even,delta_break_even,wilson95_lower,delta_wilson95_lower,prob_win_rate_gt_break_even,delta_prob_win_rate_gt_break_even,posterior_p05_edge_cents,delta_posterior_p05_edge_cents,registered_coverage,delta_registered_coverage,resolved_coverage,delta_resolved_coverage,net_pnl_cents,delta_net_pnl_cents,net_roi_on_cost,delta_net_roi_on_cost,registered_ready,delta_registered_ready,registered_bayesian_ready,delta_registered_bayesian_ready
book_early_score_gap020_wait,89,0,89,0,0,0,61,0,28,0,0.6853932584269663,0.0,0.7188764044943821,0.0,0.5829550301758069,0.0,0.22384,0.0,-11.968992947676565,0.0,0.9175257731958762,0.0,0.936842105263158,0.0,-298.0,0.0,-0.0465770553297905,0.0,False,0,False,0
book_hour04_v2_switch,86,0,86,0,0,0,52,0,34,0,0.6046511627906976,0.0,0.6482558139534883,0.0,0.4989772079672809,0.0,0.190225,0.0,-13.288154710152172,0.0,0.9555555555555556,0.0,0.9772727272727272,0.0,-375.0,0.0,-0.0672645739910313,0.0,False,0,False,0
book_margin,106,0,106,0,0,0,73,0,33,0,0.6886792452830188,0.0,0.6819811320754716,0.0,0.5952376131106486,0.0,0.539845,0.0,-7.153871284822274,0.0,0.954954954954955,0.0,0.9724770642201837,0.0,71.0,0.0,0.0098215520818923,0.0,False,0,False,0
book_margin_adverse100,70,0,70,0,0,0,46,0,24,0,0.6571428571428571,0.0,0.6765714285714286,0.0,0.5403954969794421,0.0,0.34403,0.0,-11.757696515218145,0.0,0.7526881720430108,0.0,0.7692307692307693,0.0,-136.0,0.0,-0.0287162162162162,0.0,False,0,False,0
book_margin_delayed_adv100_brownian55,82,0,82,0,0,0,55,0,27,0,0.6707317073170732,0.0,0.7103658536585366,0.0,0.5633838807286914,0.0,0.19995,0.0,-13.052164286446924,0.0,0.9318181818181818,0.0,0.9534883720930232,0.0,-325.0,0.0,-0.055793991416309,0.0,False,0,False,0
book_margin_early,102,0,102,0,0,0,70,0,32,0,0.6862745098039216,0.0,0.6822549019607842,0.0,0.5908573003203406,0.0,0.513085,0.0,-7.630129415501915,0.0,0.9532710280373832,0.0,0.9714285714285714,0.0,41.0,0.0,0.0058916510992958,0.0,False,0,False,0
book_margin_gap015,90,0,90,0,0,0,61,0,29,0,0.6777777777777778,0.0,0.6727777777777777,0.0,0.5756683783279567,0.0,0.519965,0.0,-8.037964166347708,0.0,0.8571428571428571,0.0,0.8737864077669902,0.0,45.0,0.0,0.0074318744838976,0.0,False,0,False,0
book_p80_ask90_frontier,41,0,41,0,0,0,34,0,7,0,0.8292682926829268,0.0,0.8475609756097561,0.0,0.6873738759959582,0.0,0.30456,0.0,-13.781083716243126,0.0,0.7735849056603774,0.0,0.7884615384615384,0.0,-75.0,0.0,-0.0215827338129496,0.0,False,0,False,0
book_p80_profit_frontier,42,0,42,0,0,0,34,0,8,0,0.8095238095238095,0.0,0.8497619047619048,0.0,0.6669922598996131,0.0,0.187935,0.0,-16.018888406592737,0.0,0.7777777777777778,0.0,0.7924528301886793,0.0,-169.0,0.0,-0.047352199495657,0.0,False,0,False,0
book_refmargin_score_switch,79,0,79,0,0,0,55,0,24,0,0.6962025316455697,0.0,0.7188607594936708,0.0,0.5876533928859551,0.0,0.303225,0.0,-11.418513182086237,0.0,0.9080459770114944,0.0,0.9294117647058824,0.0,-179.0,0.0,-0.0315196337383342,0.0,False,0,False,0
