name,path,fresh_metric_source,label,overlay,lock_close_dt,fresh_base_markets,fresh_markets,fresh_wins,fresh_losses,fresh_accuracy,fresh_break_even,fresh_coverage,fresh_net_pnl_cents,fresh_net_roi,fresh_avg_entry_cost_cents,all_accuracy,all_break_even,all_net_pnl_cents,all_net_roi,posterior_alpha,posterior_beta,prob_win_rate_gt_break_even,posterior_mean_win_rate,posterior_p05_win_rate,posterior_p95_win_rate,posterior_mean_edge_cents,posterior_p05_edge_cents,posterior_p95_edge_cents,posterior_extra_perfect_wins_to_gate,posterior_ready
score_min60,logs\edge_research\profit_frontier_score_min60_validation_latest.json,registered_signal_readiness,choose=score_min_book_rv15; score_min_book_rv15>=0.6; ask<=95; sec_to_close>=120,,2026-05-03T22:15:00+00:00,108,102,72,30,0.7058823529411765,0.7239215686274509,0.9444444444444444,-184.0,-0.024918743228602384,72.3921568627451,0.7568493150684932,0.7148287671232877,1227.0,0.05878407512096968,73.0,31.0,0.32021,0.7018287629576049,0.6260687045991853,0.7731183777130552,-2.2092805669846003,-9.785286402826564,4.919680908560427,39,False
score_min60_gap020,logs\edge_research\profit_frontier_score_min60_gap020_validation_latest.json,registered_signal_readiness,choose=score_min_book_rv15; score_min_book_rv15>=0.6; ask<=95; sec_to_close>=120; abs_book_rv15_gap<=0.20,,2026-05-04T01:15:00+00:00,97,91,64,27,0.7032967032967034,0.7230769230769231,0.9381443298969072,-180.0,-0.02735562310030395,72.3076923076923,0.7620689655172413,0.714,1394.0,0.06732348111658457,65.0,28.0,0.31527,0.698987919030787,0.6184614509056905,0.774335579200764,-2.408900404613599,-10.461547217123256,5.125865612384091,38,False
book_early_score_gap020_wait,logs\edge_research\profit_book_early_score_gap020_wait_validation_latest.json,registered_signal_readiness,,,2026-05-04T02:00:00+00:00,94,88,61,27,0.6931818181818182,0.7197727272727273,0.9361702127659575,-234.0,-0.03694347963372276,71.97727272727273,0.7605633802816901,0.7139084507042254,1325.0,0.06535141800246609,62.0,28.0,0.27042,0.6889915464554014,0.6067373196661934,0.7663786648566143,-3.0781180817325953,-11.303540760653394,4.660593758388707,39,False
book_score_gap020_wait,logs\edge_research\profit_book_score_gap020_wait_validation_latest.json,registered_signal_readiness,,,2026-05-04T02:45:00+00:00,91,85,58,27,0.6823529411764706,0.7194117647058823,0.9340659340659341,-315.0,-0.05151267375306623,71.94117647058823,0.7568493150684932,0.7125,1295.0,0.06224465272770968,59.0,28.0,0.20889,0.6782878362375856,0.5934425281402158,0.7581029553556817,-4.112392846829672,-12.596923656566656,3.8691190649799387,42,False
v2_wait_score_min60_early,logs\edge_research\profit_v2_wait_score_min60_early_validation_latest.json,registered_signal_readiness,,,2026-05-03T22:00:00+00:00,107,101,71,30,0.7029702970297029,0.7222772277227724,0.9439252336448598,-195.0,-0.026730637422892393,72.22772277227723,0.7615658362989324,0.7145907473309608,1320.0,0.06573705179282868,72.0,31.0,0.311335,0.6990480458149915,0.6228215107641328,0.770842633188918,-2.3229181907780907,-9.945571695863956,4.856540546614567,39,False
v2_wait_score_min60_brownian70_early,logs\edge_research\profit_v2_wait_score_min60_brownian70_early_validation_latest.json,registered_signal_readiness,,,2026-05-03T23:30:00+00:00,103,97,69,28,0.711340206185567,0.7223711340206185,0.941747572815534,-107.0,-0.015270443841872414,72.23711340206185,0.7615658362989324,0.7119928825622776,1393.0,0.0696256310291398,70.0,29.0,0.378555,0.7069593164722704,0.6298362059464173,0.7794622814353909,-1.5411817548348052,-9.253492807420123,5.709114741477234,35,False
challenger,logs\edge_research\profit_challenger_fresh_validation_latest.json,registered_signal_readiness,choose=brownian_p_rv_15m; brownian_p_rv_15m>=0.55; ask<=95; sec_to_close>=120; adverse15<=10_or_margin_rv15>=0.5,ask>=50 AND ask<=80,2026-05-02T21:15:00+00:00,199,128,87,41,0.6796875,0.66859375,0.6432160804020101,142.0,0.016592661836877774,66.859375,0.6642857142857143,0.6570714285714285,202.0,0.01097945428850962,88.0,42.0,0.5889,0.6769794864519346,0.6081219170451442,0.7427517693062851,0.8385736451934757,-6.047183295485582,7.415801930628514,25,False
touch_hazard,logs\edge_research\profit_touch_hazard_fresh_validation_latest.json,registered_signal_readiness,choose=book_touch_blend_15; book_touch_blend_15>=0.35; 0<=ask<=80; sec>=120; gate=none,,2026-05-02T22:00:00+00:00,196,146,87,59,0.5958904109589042,0.6026027397260274,0.7448979591836735,-98.0,-0.01113889520345533,60.26027397260274,0.5924657534246576,0.5922945205479452,5.0,0.0002891008962127783,88.0,60.0,0.424425,0.5945355430655919,0.5276485834112931,0.6601244565635747,-0.806719666043568,-7.495415631473434,5.752171683754722,30,False
touch_overlay,logs\edge_research\profit_touch_hazard_overlay_fresh_validation_latest.json,registered_signal_readiness,choose=book_touch_blend_15; book_touch_blend_15>=0.35; 0<=ask<=80; sec>=120; gate=none,ask>=50 AND touch_loss15>=0.80,2026-05-03T00:00:00+00:00,189,138,84,54,0.6086956521739131,0.600072463768116,0.7301587301587301,119.0,0.014370245139475908,60.007246376811594,0.6028368794326241,0.593936170212766,251.0,0.014985969311600693,85.0,55.0,0.572425,0.6070978890485653,0.5386079830941936,0.6738076949937919,0.7025425280449311,-6.1464480673922415,7.373523122567598,23,False
kinetic_touch,logs\edge_research\profit_kinetic_touch_fresh_validation_latest.json,registered_signal_readiness,choose=kinetic_touch_score_15; kinetic_touch_score_15>=0.55; 50<=ask<=95; sec>=120; gate=touch_loss15<=0.90,,2026-05-03T02:15:00+00:00,187,134,89,45,0.664179104477612,0.6854477611940298,0.7165775401069518,-285.0,-0.031028851388132824,68.54477611940298,0.6791808873720137,0.669283276450512,290.0,0.014788373278939317,90.0,46.0,0.28645,0.6617929637728822,0.5937313096254647,0.726892343278723,-2.365479742114768,-9.171645156856503,4.144458208469315,42,False
