mode,split,model,horizon_seconds,posterior_temperature,side_rows,opportunities,brier,logloss,ece10,side_choice_wins,side_choice_accuracy
two_side_all_heartbeats,all,v34_h110_t098,110,0.98,38042,19021,0.14599261488331397,0.4403299700109674,0.01699718435756122,14768,0.7764050260238684
two_side_all_heartbeats,train,v34_h110_t098,110,0.98,22796,11398,0.14955452885766923,0.453961071917158,0.022654240384018632,8819,0.7737322337252149
two_side_all_heartbeats,validation,v34_h110_t098,110,0.98,7636,3818,0.1343458670912287,0.401956131138985,0.010299188715663567,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h110_t098,110,0.98,7610,3805,0.14700932647082518,0.4380025106907226,0.010774877522259902,2929,0.7697766097240473
two_side_all_heartbeats,all,v34_h110_t100,110,1.0,38042,19021,0.1460322457911683,0.44016039967661524,0.017772768019697835,14768,0.7764050260238684
two_side_all_heartbeats,train,v34_h110_t100,110,1.0,22796,11398,0.14963029140552123,0.4538369764101001,0.02374814708519215,8819,0.7737322337252149
two_side_all_heartbeats,validation,v34_h110_t100,110,1.0,7636,3818,0.134289562403409,0.4016349701160548,0.007122496487841732,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h110_t100,110,1.0,7610,3805,0.14703698725294764,0.4378488276540027,0.012177825503241913,2929,0.7697766097240473
two_side_all_heartbeats,all,v34_h110_t102,110,1.02,38042,19021,0.14608322429063023,0.4400591471804565,0.01858884877186358,14768,0.7764050260238684
two_side_all_heartbeats,train,v34_h110_t102,110,1.02,22796,11398,0.14971658371741872,0.45377921589925674,0.0242311609036507,8819,0.7737322337252149
two_side_all_heartbeats,validation,v34_h110_t102,110,1.02,7636,3818,0.13424728700601848,0.40139276823931946,0.009672724465752302,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h110_t102,110,1.02,7610,3805,0.14707575459447061,0.4377587244578221,0.013246865080004187,2929,0.7697766097240473
two_side_all_heartbeats,all,v34_h120_t098,120,0.98,38042,19021,0.1460159484583703,0.44090357512984485,0.016251760549480854,14767,0.776352452552442
two_side_all_heartbeats,train,v34_h120_t098,120,0.98,22796,11398,0.14960902681188668,0.45481819899259734,0.021981057094857218,8818,0.7736444990349184
