dataset,candidate,slice,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_edge
current,book_margin_locked_equiv,split=holdout,62,45,17,0.7258064516129032,231.0,3.725806451612903,65.0,-2.5
current,book_margin_locked_equiv,split=train,182,128,54,0.7032967032967034,603.0,3.3131868131868134,63.0,-2.5
current,book_margin_locked_equiv,split=validation,61,43,18,0.7049180327868853,117.0,1.9180327868852458,65.0,-2.5
current,book_margin_locked_equiv,side=no,155,110,45,0.7096774193548387,482.0,3.109677419354839,64.0,-2.5
current,book_margin_locked_equiv,side=yes,150,106,44,0.7066666666666667,469.0,3.1266666666666665,64.0,-2.5
current,book_margin_locked_equiv,"score=(-1.001, 0.625]",138,96,42,0.6956521739130435,802.0,5.811594202898551,62.0,-2.5
current,book_margin_locked_equiv,"score=(0.625, 0.65]",59,33,26,0.559322033898305,-625.0,-10.59322033898305,64.0,-2.5
current,book_margin_locked_equiv,"score=(0.65, 0.7]",63,48,15,0.7619047619047619,389.0,6.174603174603175,68.0,-2.5
current,book_margin_locked_equiv,"score=(0.7, 0.8]",38,33,5,0.868421052631579,379.0,9.973684210526315,75.0,-2.5
current,book_margin_locked_equiv,"edge=(-3.0, 0.0]",256,187,69,0.73046875,1358.0,5.3046875,64.0,-2.5
current,book_margin_locked_equiv,"edge=(-5.0, -3.0]",49,29,20,0.5918367346938775,-407.0,-8.306122448979592,64.0,-3.0
current,book_margin_locked_equiv,"ask=(60.0, 70.0]",260,177,83,0.6807692307692308,566.0,2.1769230769230767,63.0,-2.5
current,book_margin_locked_equiv,"ask=(70.0, 80.0]",38,33,5,0.868421052631579,379.0,9.973684210526315,75.0,-2.5
current,book_margin_locked_equiv,"time=(-1.001, 600.0]",20,15,5,0.75,143.0,7.15,64.0,-2.5
current,book_margin_locked_equiv,"time=(600.0, 720.0]",43,30,13,0.6976744186046512,82.0,1.9069767441860466,64.0,-2.5
current,book_margin_locked_equiv,"time=(720.0, 840.0]",161,121,40,0.7515527950310559,1208.0,7.503105590062112,64.0,-2.5
current,book_margin_locked_equiv,"time=(840.0, 10000.0]",81,50,31,0.6172839506172839,-482.0,-5.950617283950617,64.0,-2.5
current,score_min60_locked_equiv,split=holdout,62,46,16,0.7419354838709677,103.0,1.6612903225806452,69.5,-6.154248716742451
current,score_min60_locked_equiv,split=train,181,136,45,0.7513812154696132,784.0,4.331491712707182,68.0,-3.428141344580908
current,score_min60_locked_equiv,split=validation,61,47,14,0.7704918032786885,287.0,4.704918032786885,69.0,-5.099982600180482
current,score_min60_locked_equiv,side=no,150,114,36,0.76,673.0,4.486666666666666,69.0,-3.712921111942471
current,score_min60_locked_equiv,side=yes,154,115,39,0.7467532467532467,501.0,3.2532467532467533,68.0,-4.230294153060427
current,score_min60_locked_equiv,"score=(-1.001, 0.625]",118,85,33,0.7203389830508474,509.0,4.313559322033898,63.0,-3.579215283618076
current,score_min60_locked_equiv,"score=(0.625, 0.65]",57,41,16,0.7192982456140351,113.0,1.9824561403508771,68.0,-5.184923423608836
current,score_min60_locked_equiv,"score=(0.65, 0.7]",79,61,18,0.7721518987341772,345.0,4.367088607594937,69.0,-3.8372436790712783
