ts_wall,market,source,side,p_side,ask_prob,v28_minus_ask_prob,edge_cents,seconds_to_close,sigma_t_dollars,abs_d_sigma,eligible_depth,recross_hazard_score,book_age_ms,btc_age_ms,spectral_tag,window_n,lambda_plus,top_eigenvalue,top_over_mp_edge,outlier_count,outlier_share,side_won,gross_cents,result
2026-05-05T16:50:05.755107+00:00,KXBTC15M-26MAY051300-00,approved_entry,yes,0.867375,0.81,0.057374999999999954,2.23752,594.247,115.035336,0.93606,65.0,0.36657919808610573,578.0,31.0,insufficient_history,0,,,,,,True,36,yes
2026-05-05T17:21:10.942716+00:00,KXBTC15M-26MAY051330-30,approved_entry,yes,0.879391,0.82,0.05939100000000008,2.439055,529.068,106.389306,0.992205,7.02,0.30242891547156237,469.0,0.0,insufficient_history,0,,,,,,True,0,yes
2026-05-05T18:11:18.433368+00:00,KXBTC15M-26MAY051415-15,rejected_actionable,yes,0.996384,0.99,0.006384000000000056,-1.861634,221.567,67.037052,3.139756,10.0,0.014400165595452295,16.0,16.0,insufficient_history,0,,,,,,True,2,yes
2026-05-05T18:11:18.433368+00:00,KXBTC15M-26MAY051415-15,rejected_actionable,no,0.003616,0.01,-0.006384000000000001,-3.138366,221.567,67.037052,3.139756,12688.0,0.014400165595452295,16.0,16.0,insufficient_history,0,,,,,,False,-2,yes
2026-05-05T18:15:15.666697+00:00,KXBTC15M-26MAY051430-30,rejected_actionable,yes,0.501306,0.47,0.031306000000000056,-0.869392,884.333,138.588871,0.052746,47.8,1.3031899471925121,0.0,62.0,insufficient_history,0,,,,,,False,-94,no
2026-05-05T18:15:15.666697+00:00,KXBTC15M-26MAY051430-30,rejected_actionable,no,0.498694,0.55,-0.05130600000000002,-9.130608,884.333,138.588871,0.052746,1076.0,1.3031899471925121,0.0,62.0,insufficient_history,0,,,,,,True,90,no
2026-05-05T18:15:35.666511+00:00,KXBTC15M-26MAY051430-30,rejected_actionable,yes,0.445128,0.43,0.01512800000000003,-2.487157,864.335,136.981974,0.080887,731.99,1.2380963339945752,16.0,422.0,insufficient_history,0,,,,,,False,-86,no
2026-05-05T18:15:35.667267+00:00,KXBTC15M-26MAY051430-30,rejected_actionable,no,0.554872,0.58,-0.025127999999999928,-6.512843,864.335,136.981974,0.080887,12.76,1.2380963339945752,16.0,422.0,insufficient_history,0,,,,,,True,84,no
2026-05-05T18:15:55.660659+00:00,KXBTC15M-26MAY051430-30,rejected_actionable,no,0.509456,0.52,-0.010543999999999998,-5.054448,844.35,135.413925,0.028653,5.0,1.274557655123666,1000.0,187.0,insufficient_history,0,,,,,,True,96,no
2026-05-05T18:15:55.666701+00:00,KXBTC15M-26MAY051430-30,rejected_actionable,yes,0.490545,0.49,0.0005450000000000177,-3.945541,844.334,135.412655,0.028653,1790.61,1.274533625440402,16.0,203.0,insufficient_history,0,,,,,,False,-98,no
2026-05-05T18:16:15.666816+00:00,KXBTC15M-26MAY051430-30,rejected_actionable,yes,0.427159,0.42,0.0071590000000000265,-3.284078,824.334,134.199425,0.123249,1747.82,1.1354150489951023,16.0,141.0,insufficient_history,0,,,,,,False,-84,no
2026-05-05T18:16:15.667377+00:00,KXBTC15M-26MAY051430-30,rejected_actionable,no,0.572841,0.6,-0.027158999999999933,-6.715922,824.334,134.199425,0.123249,667.22,1.1354150489951023,16.0,141.0,insufficient_history,0,,,,,,True,80,no
2026-05-05T18:16:35.666883+00:00,KXBTC15M-26MAY051430-30,rejected_actionable,yes,0.378104,0.38,-0.0018960000000000088,-4.189644,804.334,132.536431,0.240764,686.38,0.9848492392016469,31.0,31.0,insufficient_history,0,,,,,,False,-76,no
2026-05-05T18:16:35.666883+00:00,KXBTC15M-26MAY051430-30,rejected_actionable,no,0.621896,0.63,-0.008104,-4.810356,804.334,132.536431,0.240764,152.44,0.9848492392016469,31.0,31.0,insufficient_history,0,,,,,,True,74,no
2026-05-05T18:16:55.667158+00:00,KXBTC15M-26MAY051430-30,rejected_actionable,yes,0.390606,0.38,0.010606000000000004,-2.939448,784.334,130.885426,0.209725,10.0,0.9906908382377616,31.0,141.0,insufficient_history,0,,,,,,False,-76,no
2026-05-05T18:16:55.667158+00:00,KXBTC15M-26MAY051430-30,rejected_actionable,no,0.609394,0.63,-0.020606000000000013,-6.060552,784.334,130.885426,0.209725,611.07,0.9906908382377616,31.0,141.0,insufficient_history,0,,,,,,True,74,no
2026-05-05T18:17:15.665757+00:00,KXBTC15M-26MAY051430-30,rejected_actionable,yes,0.354894,0.35,0.0048940000000000095,-3.510568,764.35,128.800372,0.298524,652.0,0.8806324239354404,0.0,343.0,insufficient_history,0,,,,,,False,-70,no
2026-05-05T18:17:15.667149+00:00,KXBTC15M-26MAY051430-30,rejected_actionable,no,0.645106,0.66,-0.014894000000000074,-5.489432,764.35,128.800372,0.298524,68.26,0.8806324239354404,0.0,359.0,insufficient_history,0,,,,,,True,68,no
