guard,trade_retention,market_retention,recurring_market_coverage,trades,markets,net_pnl_dollars,net_delta_vs_baseline_dollars,negative_trades,negative_trades_delta,settled_losses,train_net,validation_net,holdout_net,train_retention,validation_retention,holdout_retention,strict_pass
edge_cents>=2.1 AND btc_age_ms<=350,0.8611111111111112,0.8994082840236687,0.37438423645320196,217,152,19.659999999999997,1.0599999999999952,105,-15,2,13.039999999999997,3.1599999999999997,3.46,0.873015873015873,0.8095238095238095,0.8888888888888888,True
edge_cents>=2.1 AND ask_cents>=60,0.9206349206349206,0.9585798816568047,0.39901477832512317,232,162,19.560000000000002,0.9600000000000009,107,-13,1,13.58,1.72,4.26,0.9206349206349206,0.873015873015873,0.9682539682539683,True
edge_cents>=2.1 AND eligible_depth<=2000,0.9166666666666666,0.9349112426035503,0.3891625615763547,231,158,19.519999999999996,0.9199999999999946,110,-10,3,15.479999999999997,0.94,3.0999999999999996,0.9206349206349206,0.873015873015873,0.9523809523809523,True
ask_cents>=60 AND eligible_depth<=2000,0.9206349206349206,0.9526627218934911,0.39655172413793105,232,161,19.36,0.759999999999998,110,-10,1,14.199999999999998,1.4599999999999995,3.7,0.9126984126984127,0.9047619047619048,0.9523809523809523,True
ask_cents<=87 AND btc_age_ms<=350,0.8611111111111112,0.893491124260355,0.37192118226600984,217,151,19.32,0.7199999999999989,107,-13,2,12.859999999999998,3.3799999999999994,3.079999999999999,0.8492063492063492,0.8571428571428571,0.8888888888888888,True
sigma_t_dollars>=35 AND btc_age_ms<=600,0.876984126984127,0.9112426035502958,0.3793103448275862,221,154,19.18,0.5799999999999983,107,-13,0,13.399999999999997,4.0200000000000005,1.7599999999999998,0.873015873015873,0.873015873015873,0.8888888888888888,True
ask_cents>=60,0.9603174603174603,0.9822485207100592,0.4088669950738916,242,166,19.119999999999997,0.519999999999996,113,-7,1,13.54,1.4799999999999998,4.1,0.9523809523809523,0.9523809523809523,0.9841269841269841,True
p_side>=0.85 AND ask_cents>=60,0.9603174603174603,0.9822485207100592,0.4088669950738916,242,166,19.119999999999997,0.519999999999996,113,-7,1,13.54,1.4799999999999998,4.1,0.9523809523809523,0.9523809523809523,0.9841269841269841,True
eligible_depth<=2000,0.9563492063492064,0.9644970414201184,0.4014778325123153,241,163,19.08,0.4799999999999969,116,-4,3,15.44,0.7,2.9400000000000004,0.9523809523809523,0.9523809523809523,0.9682539682539683,True
p_side>=0.85 AND eligible_depth<=2000,0.9563492063492064,0.9644970414201184,0.4014778325123153,241,163,19.08,0.4799999999999969,116,-4,3,15.44,0.7,2.9400000000000004,0.9523809523809523,0.9523809523809523,0.9682539682539683,True
edge_cents>=2.1,0.9603174603174603,0.9763313609467456,0.4064039408866995,242,165,19.040000000000003,0.4400000000000013,114,-6,3,14.58,0.9599999999999995,3.5,0.9682539682539683,0.9206349206349206,0.9841269841269841,True
p_side>=0.85 AND edge_cents>=2.1,0.9603174603174603,0.9763313609467456,0.4064039408866995,242,165,19.040000000000003,0.4400000000000013,114,-6,3,14.58,0.9599999999999995,3.5,0.9682539682539683,0.9206349206349206,0.9841269841269841,True
ask_cents>=60 AND sigma_t_dollars<=175,0.9206349206349206,0.9467455621301775,0.39408866995073893,232,160,19.0,0.3999999999999986,107,-13,1,13.54,1.5999999999999999,3.8600000000000008,0.9523809523809523,0.9047619047619048,0.873015873015873,True
abs_d_sigma>=0.8 AND btc_age_ms<=350,0.8412698412698413,0.8816568047337278,0.3669950738916256,212,149,19.0,0.3999999999999986,102,-18,2,11.859999999999998,3.64,3.499999999999999,0.8174603174603174,0.8412698412698413,0.8888888888888888,True
sigma_t_dollars<=175 AND eligible_depth<=2000,0.9166666666666666,0.9289940828402367,0.3866995073891626,231,157,18.96,0.35999999999999943,110,-10,3,15.44,0.8200000000000003,2.7,0.9523809523809523,0.9047619047619048,0.8571428571428571,True
abs_d_sigma<=1.35 AND eligible_depth<=2000,0.9087301587301587,0.9230769230769231,0.3842364532019704,229,156,18.939999999999998,0.3399999999999963,112,-8,3,15.44,0.8799999999999994,2.619999999999999,0.8968253968253969,0.9206349206349206,0.9206349206349206,True
edge_cents>=2.5,0.8531746031746031,0.8816568047337278,0.3669950738916256,215,149,18.939999999999998,0.3399999999999963,107,-13,2,12.599999999999996,4.119999999999999,2.2199999999999998,0.8571428571428571,0.8095238095238095,0.8888888888888888,True
p_side>=0.85 AND edge_cents>=2.5,0.8531746031746031,0.8816568047337278,0.3669950738916256,215,149,18.939999999999998,0.3399999999999963,107,-13,2,12.599999999999996,4.119999999999999,2.2199999999999998,0.8571428571428571,0.8095238095238095,0.8888888888888888,True
edge_cents>=2.1 AND sigma_t_dollars<=175,0.9206349206349206,0.9408284023668639,0.3916256157635468,232,159,18.92,0.3200000000000003,108,-12,3,14.58,1.0799999999999992,3.26,0.9682539682539683,0.873015873015873,0.873015873015873,True
p_side<=0.945 AND eligible_depth<=2000,0.9047619047619048,0.9230769230769231,0.3842364532019704,228,156,18.84,0.23999999999999844,112,-8,3,15.44,0.6400000000000001,2.76,0.8968253968253969,0.9365079365079365,0.8888888888888888,True
edge_cents>=2.1 AND abs_d_sigma<=1.35,0.9007936507936508,0.9171597633136095,0.3817733990147783,227,155,18.660000000000004,0.060000000000002274,109,-11,3,14.560000000000002,1.1399999999999992,2.96,0.8968253968253969,0.8888888888888888,0.9206349206349206,True
edge_cents>=2.1 AND eligible_depth<=1300,0.8531746031746031,0.8757396449704142,0.3645320197044335,215,148,22.36,3.759999999999998,103,-17,2,15.339999999999998,3.92,3.0999999999999988,0.8968253968253969,0.7777777777777778,0.8412698412698413,False
sigma_t_dollars<=175 AND eligible_depth<=1300,0.8492063492063492,0.8698224852071006,0.3620689655172414,214,147,21.779999999999998,3.179999999999996,103,-17,2,15.279999999999996,3.8,2.7,0.9206349206349206,0.8095238095238095,0.746031746031746,False
p_side<=0.945 AND eligible_depth<=1300,0.8373015873015873,0.863905325443787,0.35960591133004927,211,146,21.660000000000004,3.0600000000000023,105,-15,2,15.279999999999998,3.6199999999999997,2.76,0.8650793650793651,0.8412698412698413,0.7777777777777778,False
btc_age_ms<=600 AND eligible_depth<=1300,0.8373015873015873,0.863905325443787,0.35960591133004927,211,146,21.339999999999996,2.739999999999995,104,-16,2,14.739999999999997,3.8399999999999994,2.76,0.8650793650793651,0.8253968253968254,0.7936507936507936,False
btc_age_ms<=600 AND eligible_depth>=10,0.8571428571428571,0.9230769230769231,0.3842364532019704,216,156,21.06,2.4599999999999973,100,-20,2,12.159999999999998,3.9199999999999995,4.9799999999999995,0.9126984126984127,0.7936507936507936,0.8095238095238095,False
abs_d_sigma<=1.2 AND eligible_depth<=1300,0.8015873015873016,0.8402366863905325,0.3497536945812808,202,142,20.939999999999998,2.3399999999999963,100,-20,2,14.54,4.0600000000000005,2.339999999999999,0.8333333333333334,0.7936507936507936,0.746031746031746,False
btc_age_ms<=600 AND eligible_depth>=25,0.8015873015873016,0.863905325443787,0.35960591133004927,202,146,20.779999999999998,2.179999999999996,92,-28,2,12.4,3.6999999999999993,4.680000000000001,0.8492063492063492,0.7619047619047619,0.746031746031746,False
edge_cents>=2.1 AND eligible_depth<=1000,0.8134920634920635,0.8461538461538461,0.3522167487684729,205,143,20.699999999999996,2.0999999999999943,98,-22,2,14.239999999999998,3.4799999999999995,2.9799999999999995,0.8650793650793651,0.7301587301587301,0.7936507936507936,False
sigma_t_dollars<=150 AND btc_age_ms<=600,0.8531746031746031,0.8757396449704142,0.3645320197044335,215,148,20.44,1.8399999999999999,100,-20,2,14.039999999999997,3.52,2.88,0.9206349206349206,0.8571428571428571,0.7142857142857143,False
ask_cents>=60 AND eligible_depth<=1000,0.8095238095238095,0.863905325443787,0.35960591133004927,204,146,20.26,1.6600000000000001,98,-22,0,12.679999999999998,4.0,3.5799999999999996,0.8412698412698413,0.7619047619047619,0.7936507936507936,False
ask_cents>=60 AND btc_age_ms<=200,0.8174603174603174,0.8757396449704142,0.3645320197044335,206,148,20.2,1.5999999999999979,98,-22,0,11.5,4.4,4.299999999999999,0.8253968253968254,0.746031746031746,0.873015873015873,False
sigma_t_dollars<=175 AND eligible_depth<=1000,0.8134920634920635,0.8461538461538461,0.3522167487684729,205,143,20.08,1.4799999999999969,99,-21,2,13.919999999999996,3.3600000000000003,2.8,0.8809523809523809,0.7619047619047619,0.7301587301587301,False
sigma_t_dollars>=35 AND eligible_depth<=1300,0.8293650793650794,0.8698224852071006,0.3620689655172414,209,147,19.979999999999997,1.3799999999999955,103,-17,0,14.439999999999996,3.5799999999999996,1.9599999999999989,0.8571428571428571,0.7777777777777778,0.8253968253968254,False
btc_age_ms<=200 AND eligible_depth<=2000,0.8134920634920635,0.8579881656804734,0.35714285714285715,205,145,19.96,1.3599999999999994,101,-19,2,13.200000000000001,3.6199999999999997,3.1400000000000006,0.8253968253968254,0.746031746031746,0.8571428571428571,False
p_side<=0.945 AND btc_age_ms<=200,0.8055555555555556,0.8520710059171598,0.35467980295566504,203,144,19.86,1.259999999999998,100,-20,2,12.459999999999997,3.64,3.759999999999999,0.8015873015873016,0.7936507936507936,0.8253968253968254,False
abs_d_sigma<=1.2 AND btc_age_ms<=350,0.8095238095238095,0.8461538461538461,0.3522167487684729,204,143,19.86,1.259999999999998,99,-21,2,12.659999999999997,3.9600000000000004,3.24,0.8174603174603174,0.8095238095238095,0.7936507936507936,False
edge_cents>=2.5 AND eligible_depth<=2000,0.8174603174603174,0.8402366863905325,0.3497536945812808,206,142,19.800000000000004,1.2000000000000028,103,-17,2,13.499999999999998,4.3,2.0,0.8095238095238095,0.7777777777777778,0.873015873015873,False
btc_age_ms<=350 AND eligible_depth>=10,0.8134920634920635,0.8875739644970414,0.3694581280788177,205,150,19.78,1.1799999999999997,96,-24,2,11.159999999999997,3.4999999999999996,5.120000000000001,0.873015873015873,0.7301587301587301,0.7777777777777778,False
sigma_t_dollars<=175 AND btc_age_ms<=350,0.8571428571428571,0.8816568047337278,0.3669950738916256,216,149,19.7,1.0999999999999979,104,-16,2,12.999999999999998,3.6399999999999992,3.0600000000000005,0.9047619047619048,0.8253968253968254,0.7936507936507936,False
btc_age_ms<=200,0.8531746031746031,0.893491124260355,0.37192118226600984,215,151,19.46,0.8599999999999994,105,-15,2,12.279999999999998,3.64,3.5400000000000005,0.8650793650793651,0.7936507936507936,0.8888888888888888,False
p_side>=0.85 AND btc_age_ms<=200,0.8531746031746031,0.893491124260355,0.37192118226600984,215,151,19.46,0.8599999999999994,105,-15,2,12.279999999999998,3.64,3.5400000000000005,0.8650793650793651,0.7936507936507936,0.8888888888888888,False
edge_cents>=2.5 AND ask_cents>=60,0.8134920634920635,0.863905325443787,0.35960591133004927,205,146,19.46,0.8599999999999994,100,-20,0,11.599999999999996,4.879999999999999,2.980000000000001,0.8095238095238095,0.7619047619047619,0.873015873015873,False
edge_cents>=2.5 AND sigma_t_dollars<=175,0.8214285714285714,0.8579881656804734,0.35714285714285715,207,145,19.4,0.7999999999999972,101,-19,2,12.599999999999996,4.24,2.5600000000000005,0.8571428571428571,0.7619047619047619,0.8095238095238095,False
sigma_t_dollars<=175 AND btc_age_ms<=200,0.8134920634920635,0.8579881656804734,0.35714285714285715,205,145,19.34,0.7399999999999984,99,-21,2,12.279999999999998,3.7599999999999993,3.3000000000000007,0.8650793650793651,0.746031746031746,0.7777777777777778,False
abs_d_sigma<=1.35 AND btc_age_ms<=200,0.8095238095238095,0.8520710059171598,0.35467980295566504,204,144,19.32,0.7199999999999989,101,-19,2,12.459999999999997,3.64,3.219999999999999,0.8015873015873016,0.7936507936507936,0.8412698412698413,False
sigma_t_dollars<=150 AND btc_age_ms<=350,0.8095238095238095,0.8461538461538461,0.3522167487684729,204,143,19.32,0.7199999999999989,96,-24,2,13.039999999999996,3.2600000000000002,3.0199999999999996,0.8809523809523809,0.7936507936507936,0.6825396825396826,False
edge_cents>=2.1 AND btc_age_ms<=200,0.8214285714285714,0.8757396449704142,0.3645320197044335,207,148,19.200000000000003,0.6000000000000014,101,-19,2,12.22,3.2799999999999994,3.6999999999999993,0.8412698412698413,0.7301587301587301,0.873015873015873,False
ask_cents>=60 AND eligible_depth>=10,0.8690476190476191,0.9408284023668639,0.3916256157635468,219,159,19.140000000000004,0.5400000000000027,99,-21,1,12.339999999999998,1.2800000000000002,5.52,0.9206349206349206,0.7936507936507936,0.8412698412698413,False
abs_d_sigma>=0.8 AND btc_age_ms<=200,0.8015873015873016,0.8579881656804734,0.35714285714285715,202,145,19.14,0.5399999999999991,97,-23,2,11.639999999999999,3.76,3.74,0.7857142857142857,0.7619047619047619,0.873015873015873,False
sigma_t_dollars<=135 AND btc_age_ms<=600,0.8095238095238095,0.8402366863905325,0.3497536945812808,204,142,19.08,0.4799999999999969,94,-26,2,13.96,3.5399999999999996,1.5800000000000007,0.8888888888888888,0.8412698412698413,0.6190476190476191,False
ask_cents<=87 AND btc_age_ms<=200,0.8174603174603174,0.8698224852071006,0.3620689655172414,206,147,18.96,0.35999999999999943,102,-18,2,12.139999999999997,3.5,3.3200000000000003,0.8095238095238095,0.7777777777777778,0.873015873015873,False
ask_cents>=60 AND eligible_depth>=25,0.8134920634920635,0.893491124260355,0.37192118226600984,205,151,18.860000000000003,0.26000000000000156,91,-29,1,12.579999999999998,1.06,5.22,0.8571428571428571,0.7619047619047619,0.7777777777777778,False
seconds_to_close>=180 AND eligible_depth<=1300,0.8134920634920635,0.8461538461538461,0.3522167487684729,205,143,18.760000000000005,0.1600000000000037,105,-15,0,13.88,3.6,1.2799999999999996,0.8412698412698413,0.7619047619047619,0.8095238095238095,False
p_side>=0.85,1.0,1.0,0.41625615763546797,252,169,18.6,0.0,120,0,3,14.539999999999997,0.7200000000000006,3.34,1.0,1.0,1.0,False
p_side<=0.945 AND edge_cents>=2.1,0.8968253968253969,0.9171597633136095,0.3817733990147783,226,155,18.560000000000002,-0.03999999999999915,109,-11,3,14.560000000000002,0.8999999999999999,3.0999999999999996,0.8968253968253969,0.9047619047619048,0.8888888888888888,False
ask_cents>=60 AND abs_d_sigma<=1.35,0.9047619047619048,0.9289940828402367,0.3866995073891626,228,157,18.499999999999996,-0.10000000000000497,109,-11,1,13.279999999999998,1.659999999999999,3.56,0.8888888888888888,0.9206349206349206,0.9206349206349206,False
sigma_t_dollars<=175,0.9603174603174603,0.9644970414201184,0.4014778325123153,242,163,18.48,-0.120000000000001,114,-6,3,14.539999999999997,0.8400000000000003,3.1,1.0,0.9523809523809523,0.8888888888888888,False
p_side>=0.85 AND sigma_t_dollars<=175,0.9603174603174603,0.9644970414201184,0.4014778325123153,242,163,18.48,-0.120000000000001,114,-6,3,14.539999999999997,0.8400000000000003,3.1,1.0,0.9523809523809523,0.8888888888888888,False
p_side<=0.945 AND ask_cents>=60,0.9007936507936508,0.9289940828402367,0.3866995073891626,227,157,18.399999999999995,-0.2000000000000064,109,-11,1,13.279999999999998,1.4199999999999993,3.6999999999999984,0.8888888888888888,0.9365079365079365,0.8888888888888888,False
p_side<=0.945 AND abs_d_sigma<=1.35,0.9325396825396826,0.9408284023668639,0.3916256157635468,235,159,18.36,-0.240000000000002,114,-6,3,14.519999999999996,0.8999999999999997,2.9399999999999986,0.9285714285714286,0.9682539682539683,0.9047619047619048,False
ask_cents>=60 AND abs_d_sigma>=0.8,0.9047619047619048,0.9467455621301775,0.39408866995073893,228,160,18.299999999999997,-0.30000000000000426,105,-15,1,12.399999999999999,1.5999999999999994,4.299999999999999,0.8650793650793651,0.9206349206349206,0.9682539682539683,False
ask_cents>=60 AND sigma_t_dollars<=150,0.8690476190476191,0.9053254437869822,0.3768472906403941,219,153,18.279999999999998,-0.32000000000000384,99,-21,1,13.579999999999998,0.8799999999999992,3.82,0.9285714285714286,0.8571428571428571,0.7619047619047619,False
abs_d_sigma>=0.8 AND eligible_depth<=2000,0.9007936507936508,0.9349112426035503,0.3891625615763547,227,158,18.259999999999998,-0.3400000000000034,108,-12,3,14.299999999999997,0.8199999999999994,3.1400000000000006,0.8650793650793651,0.9206349206349206,0.9523809523809523,False
eligible_depth>=10 AND eligible_depth<=2000,0.8611111111111112,0.9230769230769231,0.3842364532019704,217,156,18.240000000000002,-0.35999999999999943,102,-18,3,13.379999999999997,0.4999999999999996,4.359999999999999,0.9126984126984127,0.7936507936507936,0.8253968253968254,False
sigma_t_dollars<=150 AND eligible_depth<=2000,0.8650793650793651,0.8875739644970414,0.3694581280788177,218,150,18.24,-0.360000000000003,102,-18,3,15.479999999999997,0.1000000000000004,2.66,0.9285714285714286,0.8571428571428571,0.746031746031746,False
edge_cents>=2.1 AND abs_d_sigma>=0.8,0.9047619047619048,0.9467455621301775,0.39408866995073893,228,160,18.22,-0.38000000000000256,106,-14,3,13.439999999999998,1.0799999999999994,3.6999999999999993,0.8809523809523809,0.8888888888888888,0.9682539682539683,False
abs_d_sigma<=1.35,0.9404761904761905,0.9408284023668639,0.3916256157635468,237,159,18.22,-0.38000000000000256,115,-5,3,14.519999999999996,0.8999999999999997,2.8,0.9285714285714286,0.9682539682539683,0.9365079365079365,False
p_side>=0.85 AND abs_d_sigma<=1.35,0.9404761904761905,0.9408284023668639,0.3916256157635468,237,159,18.22,-0.38000000000000256,115,-5,3,14.519999999999996,0.8999999999999997,2.8,0.9285714285714286,0.9682539682539683,0.9365079365079365,False
ask_cents<=85 AND btc_age_ms<=600,0.8571428571428571,0.8816568047337278,0.3669950738916256,216,149,18.22,-0.38000000000000256,108,-12,2,11.839999999999998,3.72,2.66,0.8174603174603174,0.9047619047619048,0.8888888888888888,False
p_side<=0.945,0.9365079365079365,0.9408284023668639,0.3916256157635468,236,159,18.119999999999997,-0.480000000000004,115,-5,3,14.519999999999996,0.6600000000000001,2.9399999999999986,0.9285714285714286,0.9841269841269841,0.9047619047619048,False
p_side>=0.85 AND p_side<=0.945,0.9365079365079365,0.9408284023668639,0.3916256157635468,236,159,18.119999999999997,-0.480000000000004,115,-5,3,14.519999999999996,0.6600000000000001,2.9399999999999986,0.9285714285714286,0.9841269841269841,0.9047619047619048,False
abs_d_sigma<=1.2 AND eligible_depth<=2000,0.8611111111111112,0.893491124260355,0.37192118226600984,217,151,18.119999999999997,-0.480000000000004,106,-14,3,14.699999999999996,0.9399999999999997,2.4800000000000004,0.8650793650793651,0.873015873015873,0.8412698412698413,False
edge_cents>=2.1 AND eligible_depth>=10,0.8690476190476191,0.9408284023668639,0.3916256157635468,219,159,18.1,-0.5,101,-19,3,12.52,0.6599999999999994,4.92,0.9285714285714286,0.7777777777777778,0.8412698412698413,False
edge_cents>=2.5 AND btc_age_ms<=600,0.8134920634920635,0.8461538461538461,0.3522167487684729,205,143,18.1,-0.5,103,-17,2,12.379999999999997,3.68,2.04,0.8174603174603174,0.7936507936507936,0.8253968253968254,False
edge_cents>=2.1 AND sigma_t_dollars<=150,0.873015873015873,0.9053254437869822,0.3768472906403941,220,153,18.099999999999998,-0.5000000000000036,101,-19,3,14.619999999999996,0.2599999999999993,3.22,0.9444444444444444,0.8412698412698413,0.7619047619047619,False
abs_d_sigma<=1.35 AND sigma_t_dollars<=175,0.9007936507936508,0.9053254437869822,0.3768472906403941,227,153,18.099999999999998,-0.5000000000000036,109,-11,3,14.519999999999996,1.0199999999999998,2.5599999999999996,0.9285714285714286,0.9206349206349206,0.8253968253968254,False
p_side<=0.945 AND sigma_t_dollars<=175,0.8968253968253969,0.9053254437869822,0.3768472906403941,226,153,18.0,-0.6000000000000014,109,-11,3,14.519999999999996,0.7800000000000002,2.7,0.9285714285714286,0.9365079365079365,0.7936507936507936,False
eligible_depth>=25 AND eligible_depth<=2000,0.8055555555555556,0.8698224852071006,0.3620689655172414,203,147,17.96,-0.6400000000000006,94,-26,3,13.62,0.28,4.0600000000000005,0.8492063492063492,0.7619047619047619,0.7619047619047619,False
p_side<=0.945 AND ask_cents<=87,0.9166666666666666,0.9230769230769231,0.3842364532019704,231,156,17.96,-0.6400000000000006,113,-7,3,14.5,0.5199999999999994,2.9399999999999986,0.8968253968253969,0.9682539682539683,0.9047619047619048,False
abs_d_sigma>=0.8,0.9444444444444444,0.9704142011834319,0.4039408866995074,238,164,17.78,-0.8200000000000003,112,-8,3,13.399999999999999,0.8399999999999994,3.539999999999999,0.9126984126984127,0.9682539682539683,0.9841269841269841,False
p_side>=0.85 AND abs_d_sigma>=0.8,0.9444444444444444,0.9704142011834319,0.4039408866995074,238,164,17.78,-0.8200000000000003,112,-8,3,13.399999999999999,0.8399999999999994,3.539999999999999,0.9126984126984127,0.9682539682539683,0.9841269841269841,False
eligible_depth>=10,0.9047619047619048,0.9585798816568047,0.39901477832512317,228,162,17.76,-0.8399999999999999,106,-14,3,12.48,0.5199999999999996,4.76,0.9603174603174603,0.8412698412698413,0.8571428571428571,False
p_side>=0.85 AND eligible_depth>=10,0.9047619047619048,0.9585798816568047,0.39901477832512317,228,162,17.76,-0.8399999999999999,106,-14,3,12.48,0.5199999999999996,4.76,0.9603174603174603,0.8412698412698413,0.8571428571428571,False
sigma_t_dollars<=150,0.9087301587301587,0.9230769230769231,0.3842364532019704,229,156,17.759999999999998,-0.8400000000000034,106,-14,3,14.579999999999998,0.11999999999999894,3.0599999999999996,0.9761904761904762,0.9047619047619048,0.7777777777777778,False
