guard,trade_retention,market_retention,recurring_market_coverage,trades,markets,net_pnl_dollars,net_delta_vs_baseline_dollars,negative_trades,negative_trades_delta,settled_losses,train_net,validation_net,holdout_net,train_retention,validation_retention,holdout_retention,strict_pass
ask_cents>=60 AND eligible_depth<=1300,0.8531746031746031,0.893491124260355,0.37192118226600984,215,151,22.18,3.5799999999999983,103,-17,0,14.039999999999997,4.44,3.699999999999999,0.8809523809523809,0.8095238095238095,0.8412698412698413,True
eligible_depth<=1300,0.8888888888888888,0.9053254437869822,0.3768472906403941,224,153,21.9,3.299999999999997,109,-11,2,15.279999999999996,3.68,2.9399999999999986,0.9206349206349206,0.8571428571428571,0.8571428571428571,True
p_side>=0.85 AND eligible_depth<=1300,0.8888888888888888,0.9053254437869822,0.3768472906403941,224,153,21.9,3.299999999999997,109,-11,2,15.279999999999996,3.68,2.9399999999999986,0.9206349206349206,0.8571428571428571,0.8571428571428571,True
ask_cents>=60 AND btc_age_ms<=600,0.9047619047619048,0.9349112426035503,0.3891625615763547,228,158,21.8,3.1999999999999993,107,-13,0,13.0,4.880000000000001,3.9200000000000004,0.8968253968253969,0.9047619047619048,0.9206349206349206,True
btc_age_ms<=600 AND eligible_depth<=2000,0.9007936507936508,0.9171597633136095,0.3817733990147783,227,155,21.759999999999998,3.1599999999999966,110,-10,2,14.9,4.1000000000000005,2.7600000000000007,0.8968253968253969,0.9047619047619048,0.9047619047619048,True
abs_d_sigma<=1.35 AND eligible_depth<=1300,0.8412698412698413,0.863905325443787,0.35960591133004927,212,146,21.759999999999998,3.1599999999999966,105,-15,2,15.279999999999998,3.86,2.62,0.8650793650793651,0.8253968253968254,0.8095238095238095,True
abs_d_sigma<=1.35 AND btc_age_ms<=600,0.8928571428571429,0.9053254437869822,0.3768472906403941,225,153,21.32,2.719999999999999,109,-11,2,14.179999999999994,4.3,2.8400000000000007,0.8809523809523809,0.9206349206349206,0.8888888888888888,True
btc_age_ms<=600,0.9444444444444444,0.9526627218934911,0.39655172413793105,238,161,21.28,2.6799999999999997,114,-6,2,13.999999999999998,4.12,3.16,0.9444444444444444,0.9523809523809523,0.9365079365079365,True
p_side>=0.85 AND btc_age_ms<=600,0.9444444444444444,0.9526627218934911,0.39655172413793105,238,161,21.28,2.6799999999999997,114,-6,2,13.999999999999998,4.12,3.16,0.9444444444444444,0.9523809523809523,0.9365079365079365,True
p_side<=0.945 AND btc_age_ms<=600,0.8888888888888888,0.9053254437869822,0.3768472906403941,224,153,21.22,2.6199999999999974,109,-11,2,14.179999999999994,4.0600000000000005,2.9800000000000004,0.8809523809523809,0.9365079365079365,0.8571428571428571,True
sigma_t_dollars<=175 AND btc_age_ms<=600,0.9047619047619048,0.9171597633136095,0.3817733990147783,228,155,21.160000000000004,2.5600000000000023,108,-12,2,13.999999999999998,4.24,2.92,0.9444444444444444,0.9047619047619048,0.8253968253968254,True
edge_cents>=2.1 AND btc_age_ms<=600,0.9087301587301587,0.9349112426035503,0.3891625615763547,229,158,21.119999999999997,2.519999999999996,109,-11,2,14.039999999999997,3.759999999999999,3.3199999999999994,0.9126984126984127,0.8888888888888888,0.9206349206349206,True
abs_d_sigma>=0.8 AND eligible_depth<=1300,0.8333333333333334,0.8757396449704142,0.3645320197044335,210,148,21.08,2.479999999999997,101,-19,2,14.139999999999999,3.8000000000000003,3.139999999999999,0.8333333333333334,0.8253968253968254,0.8412698412698413,True
abs_d_sigma<=1.2 AND btc_age_ms<=600,0.8492063492063492,0.8816568047337278,0.3669950738916256,214,149,20.72,2.1199999999999974,103,-17,2,13.659999999999998,4.359999999999999,2.6999999999999993,0.8571428571428571,0.873015873015873,0.8095238095238095,True
ask_cents<=87 AND eligible_depth<=1300,0.8412698412698413,0.863905325443787,0.35960591133004927,212,146,20.5,1.8999999999999986,106,-14,2,14.719999999999997,3.68,2.0999999999999996,0.8492063492063492,0.8571428571428571,0.8095238095238095,True
abs_d_sigma>=0.8 AND btc_age_ms<=600,0.8888888888888888,0.9230769230769231,0.3842364532019704,224,156,20.46,1.8599999999999994,106,-14,2,12.859999999999996,4.24,3.3600000000000003,0.8571428571428571,0.9206349206349206,0.9206349206349206,True
ask_cents<=87 AND btc_age_ms<=600,0.9047619047619048,0.9289940828402367,0.3866995073891626,228,157,20.38,1.7799999999999976,111,-9,2,13.86,3.980000000000001,2.540000000000001,0.8888888888888888,0.9365079365079365,0.9047619047619048,True
ask_cents>=60 AND btc_age_ms<=350,0.8571428571428571,0.8994082840236687,0.37438423645320196,216,152,20.34,1.7399999999999984,103,-17,0,11.999999999999998,4.28,4.0600000000000005,0.8571428571428571,0.8253968253968254,0.8888888888888888,True
btc_age_ms<=350 AND eligible_depth<=2000,0.8531746031746031,0.8816568047337278,0.3669950738916256,215,149,20.3,1.6999999999999993,106,-14,2,13.9,3.5000000000000004,2.9000000000000004,0.8571428571428571,0.8253968253968254,0.873015873015873,True
p_side<=0.945 AND btc_age_ms<=350,0.8452380952380952,0.8698224852071006,0.3620689655172414,213,147,20.16,1.5599999999999987,105,-15,2,13.179999999999998,3.4600000000000004,3.5199999999999996,0.8412698412698413,0.8571428571428571,0.8412698412698413,True
eligible_depth<=1000,0.8452380952380952,0.8757396449704142,0.3645320197044335,213,148,19.98,1.379999999999999,104,-16,2,13.919999999999996,3.2399999999999998,2.8199999999999994,0.8809523809523809,0.8095238095238095,0.8095238095238095,True
p_side>=0.85 AND eligible_depth<=1000,0.8452380952380952,0.8757396449704142,0.3645320197044335,213,148,19.98,1.379999999999999,104,-16,2,13.919999999999996,3.2399999999999998,2.8199999999999994,0.8809523809523809,0.8095238095238095,0.8095238095238095,True
abs_d_sigma<=1.35 AND btc_age_ms<=350,0.8452380952380952,0.8698224852071006,0.3620689655172414,213,147,19.86,1.259999999999998,105,-15,2,13.179999999999998,3.6999999999999997,2.9800000000000004,0.8412698412698413,0.8412698412698413,0.8571428571428571,True
btc_age_ms<=350,0.8968253968253969,0.9171597633136095,0.3817733990147783,226,155,19.82,1.2199999999999989,110,-10,2,12.999999999999998,3.52,3.3000000000000007,0.9047619047619048,0.873015873015873,0.9047619047619048,True
p_side>=0.85 AND btc_age_ms<=350,0.8968253968253969,0.9171597633136095,0.3817733990147783,226,155,19.82,1.2199999999999989,110,-10,2,12.999999999999998,3.52,3.3000000000000007,0.9047619047619048,0.873015873015873,0.9047619047619048,True
