market,entry_dt,side,ask_cents,overlay,net_pnl_cents,entry_dt_anchor,entry_dt_reference,legacy_key,executable_match,selected_anchor,reference_after_selected,stale_anchor_after_future_reference,dataset,lock
KXBTC15M-26APR302230-30,2026-05-01 02:16:28.787000+00:00,yes,66.0,session_switch:book_margin,-68.0,2026-05-01 02:16:28.787000+00:00,2026-05-01 02:17:13.847000+00:00,"('KXBTC15M-26APR302230-30', '2026-05-01 02:16:28.787000+00:00', 'yes')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26APR302245-45,2026-05-01 02:31:15.054000+00:00,no,63.0,session_switch:book_margin,35.0,2026-05-01 02:31:15.054000+00:00,2026-05-01 02:31:00.060000+00:00,"('KXBTC15M-26APR302245-45', '2026-05-01 02:31:15.054000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26APR302300-00,2026-05-01 02:45:46.371000+00:00,no,61.0,session_switch:book_margin,37.0,2026-05-01 02:45:46.371000+00:00,2026-05-01 02:45:31.363000+00:00,"('KXBTC15M-26APR302300-00', '2026-05-01 02:45:46.371000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26APR302315-15,2026-05-01 03:01:32.704000+00:00,no,67.0,session_switch:book_margin,-69.0,2026-05-01 03:01:32.704000+00:00,2026-05-01 03:01:02.653000+00:00,"('KXBTC15M-26APR302315-15', '2026-05-01 03:01:32.704000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26APR302330-30,2026-05-01 03:16:04.060000+00:00,yes,72.0,session_switch:book_margin,26.0,2026-05-01 03:16:04.060000+00:00,2026-05-01 03:16:04.060000+00:00,"('KXBTC15M-26APR302330-30', '2026-05-01 03:16:04.060000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26APR302345-45,2026-05-01 03:31:49.987000+00:00,no,63.0,session_switch:book_margin,35.0,2026-05-01 03:31:49.987000+00:00,2026-05-01 03:39:05.762000+00:00,"('KXBTC15M-26APR302345-45', '2026-05-01 03:31:49.987000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010000-00,2026-05-01 03:48:36.506000+00:00,yes,62.0,session_switch:book_margin,-64.0,2026-05-01 03:48:36.506000+00:00,2026-05-01 03:46:06.291000+00:00,"('KXBTC15M-26MAY010000-00', '2026-05-01 03:48:36.506000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010015-15,2026-05-01 04:02:07.599000+00:00,yes,62.0,session_switch:frontier_v2,36.0,2026-05-01 04:02:07.599000+00:00,2026-05-01 04:02:07.599000+00:00,"('KXBTC15M-26MAY010015-15', '2026-05-01 04:02:07.599000+00:00', 'yes')",True,False,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010030-30,2026-05-01 04:15:38.601000+00:00,no,60.0,session_switch:frontier_v2,38.0,2026-05-01 04:18:38.910000+00:00,2026-05-01 04:15:38.601000+00:00,"('KXBTC15M-26MAY010030-30', '2026-05-01 04:15:38.601000+00:00', 'no')",True,False,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010045-45,2026-05-01 04:31:10.172000+00:00,yes,62.0,session_switch:frontier_v2,36.0,2026-05-01 04:30:55.131000+00:00,2026-05-01 04:31:10.172000+00:00,"('KXBTC15M-26MAY010045-45', '2026-05-01 04:31:10.172000+00:00', 'yes')",True,False,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010100-00,2026-05-01 04:47:11.857000+00:00,no,59.0,session_switch:frontier_v2,39.0,2026-05-01 04:52:12.213000+00:00,2026-05-01 04:47:11.857000+00:00,"('KXBTC15M-26MAY010100-00', '2026-05-01 04:47:11.857000+00:00', 'no')",True,False,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010115-15,2026-05-01 05:04:28.364000+00:00,yes,62.0,session_switch:book_margin,36.0,2026-05-01 05:04:28.364000+00:00,2026-05-01 05:00:28.009000+00:00,"('KXBTC15M-26MAY010115-15', '2026-05-01 05:04:28.364000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010130-30,2026-05-01 05:16:14.396000+00:00,no,61.0,session_switch:book_margin,37.0,2026-05-01 05:16:14.396000+00:00,2026-05-01 05:15:29.245000+00:00,"('KXBTC15M-26MAY010130-30', '2026-05-01 05:16:14.396000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010145-45,2026-05-01 05:37:31.528000+00:00,no,61.0,session_switch:book_margin,-63.0,2026-05-01 05:37:31.528000+00:00,2026-05-01 05:30:46.021000+00:00,"('KXBTC15M-26MAY010145-45', '2026-05-01 05:37:31.528000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
