market,entry_dt,side,ask_cents,overlay,net_pnl_cents,entry_dt_anchor,entry_dt_reference,legacy_key,executable_match,selected_anchor,reference_after_selected,stale_anchor_after_future_reference,dataset,lock
KXBTC15M-26MAY010200-00,2026-05-01 05:47:17.330000+00:00,yes,63.0,session_switch:book_margin,35.0,2026-05-01 05:47:17.330000+00:00,2026-05-01 05:46:02.247000+00:00,"('KXBTC15M-26MAY010200-00', '2026-05-01 05:47:17.330000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010215-15,2026-05-01 06:06:48.950000+00:00,yes,65.0,session_switch:book_margin,-67.0,2026-05-01 06:06:48.950000+00:00,2026-05-01 06:00:48.324000+00:00,"('KXBTC15M-26MAY010215-15', '2026-05-01 06:06:48.950000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010230-30,2026-05-01 06:16:04.667000+00:00,yes,64.0,session_switch:book_margin,34.0,2026-05-01 06:16:04.667000+00:00,2026-05-01 06:16:04.667000+00:00,"('KXBTC15M-26MAY010230-30', '2026-05-01 06:16:04.667000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010245-45,2026-05-01 06:32:51.577000+00:00,no,61.0,session_switch:book_margin,37.0,2026-05-01 06:32:51.577000+00:00,2026-05-01 06:33:06.589000+00:00,"('KXBTC15M-26MAY010245-45', '2026-05-01 06:32:51.577000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010300-00,2026-05-01 06:45:37.835000+00:00,yes,71.0,session_switch:book_margin,27.0,2026-05-01 06:45:37.835000+00:00,2026-05-01 06:45:37.835000+00:00,"('KXBTC15M-26MAY010300-00', '2026-05-01 06:45:37.835000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010315-15,2026-05-01 07:01:24.190000+00:00,no,63.0,session_switch:book_margin,-65.0,2026-05-01 07:01:24.190000+00:00,2026-05-01 07:00:39.117000+00:00,"('KXBTC15M-26MAY010315-15', '2026-05-01 07:01:24.190000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010330-30,2026-05-01 07:15:55.466000+00:00,no,64.0,session_switch:book_margin,34.0,2026-05-01 07:15:55.466000+00:00,2026-05-01 07:16:10.484000+00:00,"('KXBTC15M-26MAY010330-30', '2026-05-01 07:15:55.466000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010345-45,2026-05-01 07:31:28.144000+00:00,no,64.0,session_switch:book_margin,-66.0,2026-05-01 07:31:28.144000+00:00,2026-05-01 07:32:13.160000+00:00,"('KXBTC15M-26MAY010345-45', '2026-05-01 07:31:28.144000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010400-00,2026-05-01 07:47:14.675000+00:00,yes,63.0,session_switch:book_margin,35.0,2026-05-01 07:47:14.675000+00:00,2026-05-01 07:45:44.577000+00:00,"('KXBTC15M-26MAY010400-00', '2026-05-01 07:47:14.675000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010415-15,2026-05-01 08:00:45.795000+00:00,no,65.0,session_switch:book_margin,-67.0,2026-05-01 08:00:45.795000+00:00,2026-05-01 08:01:00.792000+00:00,"('KXBTC15M-26MAY010415-15', '2026-05-01 08:00:45.795000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010430-30,2026-05-01 08:15:47.179000+00:00,yes,65.0,session_switch:book_margin,33.0,2026-05-01 08:15:47.179000+00:00,2026-05-01 08:15:17.101000+00:00,"('KXBTC15M-26MAY010430-30', '2026-05-01 08:15:47.179000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010445-45,2026-05-01 08:31:03.537000+00:00,no,61.0,session_switch:book_margin,37.0,2026-05-01 08:31:03.537000+00:00,2026-05-01 08:31:03.537000+00:00,"('KXBTC15M-26MAY010445-45', '2026-05-01 08:31:03.537000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010500-00,2026-05-01 08:57:06.103000+00:00,no,65.0,session_switch:book_margin,-67.0,2026-05-01 08:57:06.103000+00:00,2026-05-01 08:45:20.107000+00:00,"('KXBTC15M-26MAY010500-00', '2026-05-01 08:57:06.103000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010515-15,2026-05-01 09:02:21.425000+00:00,no,61.0,session_switch:book_margin,37.0,2026-05-01 09:02:21.425000+00:00,2026-05-01 09:01:06.340000+00:00,"('KXBTC15M-26MAY010515-15', '2026-05-01 09:02:21.425000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010530-30,2026-05-01 09:17:23.073000+00:00,no,64.0,session_switch:book_margin,-66.0,2026-05-01 09:17:23.073000+00:00,2026-05-01 09:16:07.985000+00:00,"('KXBTC15M-26MAY010530-30', '2026-05-01 09:17:23.073000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010545-45,2026-05-01 09:30:24.305000+00:00,no,70.0,session_switch:book_margin,28.0,2026-05-01 09:30:24.305000+00:00,2026-05-01 09:31:09.365000+00:00,"('KXBTC15M-26MAY010545-45', '2026-05-01 09:30:24.305000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010600-00,2026-05-01 09:45:40.622000+00:00,no,68.0,session_switch:book_margin,30.0,2026-05-01 09:45:40.622000+00:00,2026-05-01 09:46:10.646000+00:00,"('KXBTC15M-26MAY010600-00', '2026-05-01 09:45:40.622000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010615-15,2026-05-01 10:01:11.973000+00:00,no,65.0,session_switch:book_margin,33.0,2026-05-01 10:01:11.973000+00:00,2026-05-01 10:00:41.938000+00:00,"('KXBTC15M-26MAY010615-15', '2026-05-01 10:01:11.973000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010630-30,2026-05-01 10:16:28.615000+00:00,yes,69.0,session_switch:book_margin,29.0,2026-05-01 10:16:28.615000+00:00,2026-05-01 10:16:13.597000+00:00,"('KXBTC15M-26MAY010630-30', '2026-05-01 10:16:28.615000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010645-45,2026-05-01 10:33:00.078000+00:00,no,70.0,session_switch:book_margin,28.0,2026-05-01 10:33:00.078000+00:00,2026-05-01 10:33:00.078000+00:00,"('KXBTC15M-26MAY010645-45', '2026-05-01 10:33:00.078000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010700-00,2026-05-01 10:49:16.519000+00:00,yes,64.0,session_switch:book_margin,34.0,2026-05-01 10:49:16.519000+00:00,2026-05-01 10:45:31.231000+00:00,"('KXBTC15M-26MAY010700-00', '2026-05-01 10:49:16.519000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010715-15,2026-05-01 11:00:32.301000+00:00,yes,64.0,session_switch:book_margin,34.0,2026-05-01 11:00:32.301000+00:00,2026-05-01 11:00:32.301000+00:00,"('KXBTC15M-26MAY010715-15', '2026-05-01 11:00:32.301000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010730-30,2026-05-01 11:16:03.632000+00:00,no,61.0,session_switch:book_margin,-63.0,2026-05-01 11:16:03.632000+00:00,2026-05-01 11:15:18.591000+00:00,"('KXBTC15M-26MAY010730-30', '2026-05-01 11:16:03.632000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010745-45,2026-05-01 11:30:34.653000+00:00,yes,69.0,session_switch:book_margin,29.0,2026-05-01 11:30:34.653000+00:00,2026-05-01 11:31:04.710000+00:00,"('KXBTC15M-26MAY010745-45', '2026-05-01 11:30:34.653000+00:00', 'yes')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010800-00,2026-05-01 11:47:51.311000+00:00,no,61.0,session_switch:book_margin,-63.0,2026-05-01 11:47:51.311000+00:00,2026-05-01 11:45:50.999000+00:00,"('KXBTC15M-26MAY010800-00', '2026-05-01 11:47:51.311000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010815-15,2026-05-01 12:03:07.543000+00:00,yes,68.0,session_switch:book_margin,30.0,2026-05-01 12:03:07.543000+00:00,2026-05-01 12:02:07.457000+00:00,"('KXBTC15M-26MAY010815-15', '2026-05-01 12:03:07.543000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010830-30,2026-05-01 12:16:08.489000+00:00,yes,63.0,session_switch:book_margin,35.0,2026-05-01 12:16:08.489000+00:00,2026-05-01 12:15:23.494000+00:00,"('KXBTC15M-26MAY010830-30', '2026-05-01 12:16:08.489000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010845-45,2026-05-01 12:31:09.776000+00:00,yes,65.0,session_switch:book_margin,33.0,2026-05-01 12:31:09.776000+00:00,2026-05-01 12:31:09.776000+00:00,"('KXBTC15M-26MAY010845-45', '2026-05-01 12:31:09.776000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010900-00,2026-05-01 12:47:11.200000+00:00,yes,72.0,session_switch:book_margin,26.0,2026-05-01 12:47:11.200000+00:00,2026-05-01 12:47:11.200000+00:00,"('KXBTC15M-26MAY010900-00', '2026-05-01 12:47:11.200000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010915-15,2026-05-01 13:01:12.346000+00:00,yes,72.0,session_switch:book_margin,26.0,2026-05-01 13:01:12.346000+00:00,2026-05-01 13:00:27.289000+00:00,"('KXBTC15M-26MAY010915-15', '2026-05-01 13:01:12.346000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010930-30,2026-05-01 13:15:58.471000+00:00,yes,61.0,session_switch:book_margin,-63.0,2026-05-01 13:15:58.471000+00:00,2026-05-01 13:16:13.496000+00:00,"('KXBTC15M-26MAY010930-30', '2026-05-01 13:15:58.471000+00:00', 'yes')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY010945-45,2026-05-01 13:30:29.790000+00:00,no,64.0,session_switch:book_margin,34.0,2026-05-01 13:30:29.790000+00:00,2026-05-01 13:31:14.875000+00:00,"('KXBTC15M-26MAY010945-45', '2026-05-01 13:30:29.790000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011000-00,2026-05-01 13:46:30.977000+00:00,yes,69.0,session_switch:book_margin,29.0,2026-05-01 13:46:30.977000+00:00,2026-05-01 13:45:45.900000+00:00,"('KXBTC15M-26MAY011000-00', '2026-05-01 13:46:30.977000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011015-15,2026-05-01 14:02:47.065000+00:00,no,68.0,session_switch:book_margin,-70.0,2026-05-01 14:02:47.065000+00:00,2026-05-01 14:03:02.102000+00:00,"('KXBTC15M-26MAY011015-15', '2026-05-01 14:02:47.065000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011030-30,2026-05-01 14:16:03.091000+00:00,no,74.0,session_switch:book_margin,24.0,2026-05-01 14:16:03.091000+00:00,2026-05-01 14:15:33.074000+00:00,"('KXBTC15M-26MAY011030-30', '2026-05-01 14:16:03.091000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011045-45,2026-05-01 14:31:04.282000+00:00,no,70.0,session_switch:book_margin,28.0,2026-05-01 14:31:04.282000+00:00,2026-05-01 14:31:04.282000+00:00,"('KXBTC15M-26MAY011045-45', '2026-05-01 14:31:04.282000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011100-00,2026-05-01 14:45:35.508000+00:00,no,63.0,session_switch:book_margin,-65.0,2026-05-01 14:45:35.508000+00:00,2026-05-01 14:47:05.613000+00:00,"('KXBTC15M-26MAY011100-00', '2026-05-01 14:45:35.508000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011115-15,2026-05-01 15:01:06.839000+00:00,no,61.0,session_switch:book_margin,-63.0,2026-05-01 15:01:06.839000+00:00,2026-05-01 15:01:06.839000+00:00,"('KXBTC15M-26MAY011115-15', '2026-05-01 15:01:06.839000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011130-30,2026-05-01 15:15:53.253000+00:00,yes,63.0,session_switch:book_margin,35.0,2026-05-01 15:15:53.253000+00:00,2026-05-01 15:16:08.293000+00:00,"('KXBTC15M-26MAY011130-30', '2026-05-01 15:15:53.253000+00:00', 'yes')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011145-45,2026-05-01 15:30:39.367000+00:00,yes,62.0,session_switch:book_margin,36.0,2026-05-01 15:30:39.367000+00:00,2026-05-01 15:31:09.415000+00:00,"('KXBTC15M-26MAY011145-45', '2026-05-01 15:30:39.367000+00:00', 'yes')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011200-00,2026-05-01 15:46:10.726000+00:00,no,61.0,session_switch:book_margin,37.0,2026-05-01 15:46:10.726000+00:00,2026-05-01 15:46:10.726000+00:00,"('KXBTC15M-26MAY011200-00', '2026-05-01 15:46:10.726000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011215-15,2026-05-01 16:01:12.086000+00:00,yes,82.0,session_switch:book_margin,-84.0,2026-05-01 16:01:12.086000+00:00,2026-05-01 16:01:12.086000+00:00,"('KXBTC15M-26MAY011215-15', '2026-05-01 16:01:12.086000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011230-30,2026-05-01 16:16:43.401000+00:00,no,65.0,session_switch:book_margin,33.0,2026-05-01 16:16:43.401000+00:00,2026-05-01 16:16:13.362000+00:00,"('KXBTC15M-26MAY011230-30', '2026-05-01 16:16:43.401000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011245-45,2026-05-01 16:31:14.600000+00:00,no,62.0,session_switch:book_margin,36.0,2026-05-01 16:31:14.600000+00:00,2026-05-01 16:31:14.600000+00:00,"('KXBTC15M-26MAY011245-45', '2026-05-01 16:31:14.600000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011300-00,2026-05-01 16:46:01.027000+00:00,no,62.0,session_switch:book_margin,36.0,2026-05-01 16:46:01.027000+00:00,2026-05-01 16:46:01.027000+00:00,"('KXBTC15M-26MAY011300-00', '2026-05-01 16:46:01.027000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011315-15,2026-05-01 17:01:02.359000+00:00,yes,62.0,session_switch:book_margin,36.0,2026-05-01 17:01:02.359000+00:00,2026-05-01 17:00:32.370000+00:00,"('KXBTC15M-26MAY011315-15', '2026-05-01 17:01:02.359000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011330-30,2026-05-01 17:15:48.701000+00:00,yes,64.0,session_switch:book_margin,-66.0,2026-05-01 17:15:48.701000+00:00,2026-05-01 17:15:48.701000+00:00,"('KXBTC15M-26MAY011330-30', '2026-05-01 17:15:48.701000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011345-45,2026-05-01 17:30:20.097000+00:00,yes,63.0,session_switch:book_margin,35.0,2026-05-01 17:30:20.097000+00:00,2026-05-01 17:30:20.097000+00:00,"('KXBTC15M-26MAY011345-45', '2026-05-01 17:30:20.097000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011400-00,2026-05-01 17:49:06.665000+00:00,no,61.0,session_switch:book_margin,-63.0,2026-05-01 17:49:06.665000+00:00,2026-05-01 17:49:06.665000+00:00,"('KXBTC15M-26MAY011400-00', '2026-05-01 17:49:06.665000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011415-15,2026-05-01 18:01:22.831000+00:00,no,63.0,session_switch:book_margin,35.0,2026-05-01 18:01:22.831000+00:00,2026-05-01 18:02:07.934000+00:00,"('KXBTC15M-26MAY011415-15', '2026-05-01 18:01:22.831000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011430-30,2026-05-01 18:19:08.979000+00:00,yes,62.0,session_switch:book_margin,36.0,2026-05-01 18:19:08.979000+00:00,2026-05-01 18:16:08.833000+00:00,"('KXBTC15M-26MAY011430-30', '2026-05-01 18:19:08.979000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011445-45,2026-05-01 18:31:54.937000+00:00,no,66.0,session_switch:book_margin,32.0,2026-05-01 18:31:54.937000+00:00,2026-05-01 18:30:39.889000+00:00,"('KXBTC15M-26MAY011445-45', '2026-05-01 18:31:54.937000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011500-00,2026-05-01 18:49:26.438000+00:00,yes,62.0,session_switch:book_margin,-64.0,2026-05-01 18:49:26.438000+00:00,2026-05-01 18:47:11.247000+00:00,"('KXBTC15M-26MAY011500-00', '2026-05-01 18:49:26.438000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011515-15,2026-05-01 19:03:12.559000+00:00,yes,68.0,session_switch:book_margin,30.0,2026-05-01 19:03:12.559000+00:00,2026-05-01 19:03:12.559000+00:00,"('KXBTC15M-26MAY011515-15', '2026-05-01 19:03:12.559000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011530-30,2026-05-01 19:15:43.726000+00:00,no,61.0,session_switch:book_margin,37.0,2026-05-01 19:15:43.726000+00:00,2026-05-01 19:16:13.718000+00:00,"('KXBTC15M-26MAY011530-30', '2026-05-01 19:15:43.726000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011545-45,2026-05-01 19:31:00.016000+00:00,no,64.0,session_switch:book_margin,34.0,2026-05-01 19:31:00.016000+00:00,2026-05-01 19:31:00.016000+00:00,"('KXBTC15M-26MAY011545-45', '2026-05-01 19:31:00.016000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011600-00,2026-05-01 19:45:16.208000+00:00,yes,62.0,session_switch:book_margin,36.0,2026-05-01 19:45:16.208000+00:00,2026-05-01 19:45:16.208000+00:00,"('KXBTC15M-26MAY011600-00', '2026-05-01 19:45:16.208000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011615-15,2026-05-01 20:00:47.851000+00:00,no,63.0,session_switch:book_margin,35.0,2026-05-01 20:00:47.851000+00:00,2026-05-01 20:00:32.836000+00:00,"('KXBTC15M-26MAY011615-15', '2026-05-01 20:00:47.851000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011630-30,2026-05-01 20:16:04.145000+00:00,no,65.0,session_switch:book_margin,33.0,2026-05-01 20:16:04.145000+00:00,2026-05-01 20:16:04.145000+00:00,"('KXBTC15M-26MAY011630-30', '2026-05-01 20:16:04.145000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011645-45,2026-05-01 20:30:50.380000+00:00,no,64.0,session_switch:book_margin,34.0,2026-05-01 20:30:50.380000+00:00,2026-05-01 20:31:05.389000+00:00,"('KXBTC15M-26MAY011645-45', '2026-05-01 20:30:50.380000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011700-00,2026-05-01 20:47:21.794000+00:00,yes,61.0,session_switch:book_margin,-63.0,2026-05-01 20:47:21.794000+00:00,2026-05-01 20:46:06.742000+00:00,"('KXBTC15M-26MAY011700-00', '2026-05-01 20:47:21.794000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011715-15,2026-05-01 21:02:23.132000+00:00,yes,78.0,session_switch:book_margin,20.0,2026-05-01 21:02:23.132000+00:00,2026-05-01 21:03:08.152000+00:00,"('KXBTC15M-26MAY011715-15', '2026-05-01 21:02:23.132000+00:00', 'yes')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011730-30,2026-05-01 21:18:09.551000+00:00,yes,68.0,session_switch:book_margin,30.0,2026-05-01 21:18:09.551000+00:00,2026-05-01 21:15:24.266000+00:00,"('KXBTC15M-26MAY011730-30', '2026-05-01 21:18:09.551000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011745-45,2026-05-01 21:30:40.615000+00:00,yes,63.0,session_switch:book_margin,35.0,2026-05-01 21:30:40.615000+00:00,2026-05-01 21:31:10.674000+00:00,"('KXBTC15M-26MAY011745-45', '2026-05-01 21:30:40.615000+00:00', 'yes')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011800-00,2026-05-01 21:45:41.746000+00:00,yes,66.0,session_switch:book_margin,32.0,2026-05-01 21:45:41.746000+00:00,2026-05-01 21:45:41.746000+00:00,"('KXBTC15M-26MAY011800-00', '2026-05-01 21:45:41.746000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011815-15,2026-05-01 22:00:42.839000+00:00,yes,62.0,session_switch:book_margin,36.0,2026-05-01 22:00:42.839000+00:00,2026-05-01 22:00:42.839000+00:00,"('KXBTC15M-26MAY011815-15', '2026-05-01 22:00:42.839000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011830-30,2026-05-01 22:17:59.345000+00:00,yes,61.0,session_switch:book_margin,37.0,2026-05-01 22:17:59.345000+00:00,2026-05-01 22:15:29.092000+00:00,"('KXBTC15M-26MAY011830-30', '2026-05-01 22:17:59.345000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011845-45,2026-05-01 22:31:15.462000+00:00,yes,61.0,session_switch:book_margin,-63.0,2026-05-01 22:31:15.462000+00:00,2026-05-01 22:30:30.403000+00:00,"('KXBTC15M-26MAY011845-45', '2026-05-01 22:31:15.462000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY011900-00,2026-05-01 22:46:16.638000+00:00,no,62.0,session_switch:book_margin,36.0,2026-05-01 22:46:16.638000+00:00,2026-05-01 22:45:31.535000+00:00,"('KXBTC15M-26MAY011900-00', '2026-05-01 22:46:16.638000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
