dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask
current,logit_edge10,selector,fallback_logit_edge10,13,6,7,0.46153846153846156,-194.0,-14.923076923076923,51.0
current,logit_edge10,selector,hazard_primary,277,207,70,0.7472924187725631,840.0,3.032490974729242,69.0
current,logit_edge10,split,holdout,59,43,16,0.7288135593220338,-1.0,-0.01694915254237288,70.0
current,logit_edge10,split,train,174,125,49,0.7183908045977011,273.0,1.5689655172413792,69.0
current,logit_edge10,split,validation,57,45,12,0.7894736842105263,374.0,6.56140350877193,69.0
current,logit_edge10,side,no,144,106,38,0.7361111111111112,386.0,2.6805555555555554,69.0
current,logit_edge10,side,yes,146,107,39,0.7328767123287672,260.0,1.7808219178082192,69.0
current,logit_edge10,hour,0,9,6,3,0.6666666666666666,-55.0,-6.111111111111111,69.0
current,logit_edge10,hour,1,8,7,1,0.875,112.0,14.0,70.0
current,logit_edge10,hour,10,12,11,1,0.9166666666666666,265.0,22.083333333333332,66.5
current,logit_edge10,hour,11,12,9,3,0.75,30.0,2.5,70.5
current,logit_edge10,hour,12,12,10,2,0.8333333333333334,142.0,11.833333333333334,69.0
current,logit_edge10,hour,13,12,6,6,0.5,-246.0,-20.5,70.0
current,logit_edge10,hour,14,11,7,4,0.6363636363636364,-103.0,-9.363636363636363,73.0
current,logit_edge10,hour,15,12,8,4,0.6666666666666666,-3.0,-0.25,66.5
current,logit_edge10,hour,16,8,5,3,0.625,-67.0,-8.375,68.0
current,logit_edge10,hour,17,12,9,3,0.75,52.0,4.333333333333333,69.5
current,logit_edge10,hour,18,12,9,3,0.75,34.0,2.8333333333333335,72.5
current,logit_edge10,hour,19,12,10,2,0.8333333333333334,145.0,12.083333333333334,70.0
current,logit_edge10,hour,2,14,9,5,0.6428571428571429,-120.0,-8.571428571428571,71.0
current,logit_edge10,hour,20,12,10,2,0.8333333333333334,148.0,12.333333333333334,71.5
current,logit_edge10,hour,21,12,10,2,0.8333333333333334,89.0,7.416666666666667,73.0
current,logit_edge10,hour,22,12,10,2,0.8333333333333334,143.0,11.916666666666666,69.5
current,logit_edge10,hour,23,12,10,2,0.8333333333333334,162.0,13.5,68.0
current,logit_edge10,hour,3,16,12,4,0.75,32.0,2.0,70.5
current,logit_edge10,hour,4,16,11,5,0.6875,-23.0,-1.4375,69.5
current,logit_edge10,hour,5,16,12,4,0.75,93.0,5.8125,68.0
current,logit_edge10,hour,6,12,11,1,0.9166666666666666,258.0,21.5,67.0
current,logit_edge10,hour,7,12,8,4,0.6666666666666666,-28.0,-2.3333333333333335,67.0
current,logit_edge10,hour,8,12,6,6,0.5,-247.0,-20.583333333333332,69.0
current,logit_edge10,hour,9,12,7,5,0.5833333333333334,-167.0,-13.916666666666666,69.0
current,logit_edge10,ask,ask<=60,26,13,13,0.5,-180.0,-6.923076923076923,55.0
current,logit_edge10,ask,ask<=70,141,102,39,0.723404255319149,499.0,3.5390070921985815,67.0
current,logit_edge10,ask,ask<=80,120,95,25,0.7916666666666666,287.0,2.3916666666666666,74.0
current,logit_edge10,ask,ask<=95,3,3,0,1.0,40.0,13.333333333333334,83.0
current,logit_edge10,time,sec<=300,4,4,0,1.0,104.0,26.0,74.0
current,logit_edge10,time,sec<=600,53,37,16,0.6981132075471698,-185.0,-3.490566037735849,72.0
current,logit_edge10,time,sec<=900,233,172,61,0.7381974248927039,727.0,3.1201716738197427,69.0
current,logit_thresh55_edge15,selector,fallback_logit_thresh55_edge15,12,11,1,0.9166666666666666,197.0,16.416666666666668,67.5
current,logit_thresh55_edge15,selector,hazard_primary,277,207,70,0.7472924187725631,840.0,3.032490974729242,69.0
current,logit_thresh55_edge15,split,holdout,59,44,15,0.7457627118644068,84.0,1.423728813559322,70.0
current,logit_thresh55_edge15,split,train,173,129,44,0.7456647398843931,579.0,3.346820809248555,69.0
