model,gate_kind,shift_scale,anchor_sigma_mult,max_weight,gate_center,gate_width,posterior_temperature,all_heartbeats_train_brier,all_heartbeats_train_logloss,all_heartbeats_train_brier_delta,all_heartbeats_train_logloss_delta,all_heartbeats_validation_brier,all_heartbeats_validation_logloss,all_heartbeats_validation_brier_delta,all_heartbeats_validation_logloss_delta,all_heartbeats_holdout_brier,all_heartbeats_holdout_logloss,all_heartbeats_holdout_brier_delta,all_heartbeats_holdout_logloss_delta,all_heartbeats_all_brier,all_heartbeats_all_logloss,all_heartbeats_all_brier_delta,all_heartbeats_all_logloss_delta,minute_bucket_train_brier,minute_bucket_train_logloss,minute_bucket_train_brier_delta,minute_bucket_train_logloss_delta,minute_bucket_validation_brier,minute_bucket_validation_logloss,minute_bucket_validation_brier_delta,minute_bucket_validation_logloss_delta,minute_bucket_holdout_brier,minute_bucket_holdout_logloss,minute_bucket_holdout_brier_delta,minute_bucket_holdout_logloss_delta,minute_bucket_all_brier,minute_bucket_all_logloss,minute_bucket_all_brier_delta,minute_bucket_all_logloss_delta,validation_mean_brier_delta,validation_mean_logloss_delta,holdout_mean_brier_delta,holdout_mean_logloss_delta,all_splits_mean_brier_delta,validation_both_datasets_brier_improved,holdout_both_datasets_brier_improved
sweep_sigma_ss1.25_asm0.90_w0.125_c0.650_gw0.050_t1.00,sigma,1.25,0.9,0.125,0.65,0.05,1.0,0.14978826290585565,0.45422899023552105,0.00024170412947518982,0.00042888998225465436,0.1332656101637563,0.3985589652915308,-0.002751796340846463,-0.008411832425567256,0.14734756999865972,0.43860474436271185,0.00020522939142422758,0.00012480657810071127,0.14598350370911437,0.4399290895582594,-0.0003664642725001166,-0.0014064980365598445,0.1525440981760151,0.45525629647461857,0.0003468842867969668,0.0006812142924208509,0.136349425111141,0.4065529146820123,-0.0032084991899978543,-0.009377380517625156,0.15111883957386651,0.44756121209700034,0.0005009120690320223,0.0007582108657187558,0.14901264209953333,0.4439552524889816,-0.00033517929082382825,-0.0013200591773177561,-0.0029801477654221586,-0.008894606471596206,0.00035307073022812496,0.00044150872190973356,-0.0007775942756859852,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.650_gw0.050_t0.99,sigma,1.25,0.9,0.125,0.65,0.05,0.99,0.1497465236781787,0.45427471464474667,0.0001999649017982441,0.00047461439148027695,0.1332806281364677,0.3986557501898442,-0.0027367783681350455,-0.008315047527253816,0.14733204711364903,0.4386698889240168,0.00018970650641353393,0.0001899511394056752,0.1459584014708138,0.43998894795760113,-0.0003915665108006894,-0.0013466396372180944,0.1524936504116165,0.45518303943881816,0.0002964365223983578,0.0006079572566204394,0.1363491452829732,0.4065694711868753,-0.0032087790181656584,-0.00936082401276217,0.1510932148344622,0.4475587427028861,0.0004752873296277049,0.0007557414716045097,0.1489772090006764,0.443914136574149,-0.0003706123896807523,-0.0013611750921503352,-0.002972778693150352,-0.008837935770007993,0.0003324969180206194,0.00047284630550509243,-0.0007973603543438105,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.650_gw0.050_t0.98,sigma,1.25,0.9,0.125,0.65,0.05,0.98,0.14970744535679303,0.4543374388838793,0.00016088658041257808,0.0005373386306128936,0.1332991040172077,0.3987717786171381,-0.0027183024873950468,-0.008199019099959959,0.14731938772146433,0.4387514593919879,0.00017704711422883435,0.0002715216073767568,0.14593616064321527,0.44006614174571285,-0.0004138073383992136,-0.0012694458491063765,0.1524458062620371,0.455124049876693,0.00024859237281896207,0.0005489676944953059,0.13635217468643607,0.4066034669388922,-0.0032057496147027964,-0.009326828260745268,0.1510703251684127,0.44757088954230956,0.0004523976635782134,0.0007678883110279755,0.14894454723451467,0.4438879936798887,-0.0004032741558424868,-0.0013873179864106744,-0.0029620260510489216,-0.008762923680352613,0.0003147223889035239,0.0005197049592023661,-0.0008141880618432092,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.650_gw0.100_t1.00,sigma,1.25,0.9,0.125,0.65,0.1,1.0,0.14978544232969707,0.45422343635684553,0.00023888355331661004,0.00042333610357914164,0.13335603431752618,0.3987990120772489,-0.0026613721870765716,-0.00817178563984916,0.1473267355080869,0.43854916844415587,0.00018439490085139787,6.923065954472785e-05,0.1459957961887636,0.43996282748731796,-0.0003541717928508825,-0.0013727601075012585,0.15254132719441965,0.4552519308234631,0.00034411330520150996,0.0006768486412653818,0.13644332847425714,0.4067947343035435,-0.0031145958268817275,-0.009135560896093964,0.151099341649149,0.4475116973070786,0.0004814141443145181,0.000708696075797044,0.14902591343237917,0.44399122944298425,-0.0003219079579779849,-0.0012840822233151084,-0.0028879840069791496,-0.008653673267971562,0.000332904522582958,0.0003889633676708859,-0.0007545270183790439,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.650_gw0.100_t0.99,sigma,1.25,0.9,0.125,0.65,0.1,0.99,0.14974352142067548,0.45426864122038874,0.00019696264429502897,0.00046854096712234394,0.13337153377938527,0.39889805340401613,-0.0026458727252174907,-0.008072744313081914,0.14731098265651,0.43861349947765416,0.00016864204927449777,0.00013356169304301613,0.14597063572528116,0.44002266474102303,-0.0003793322563333257,-0.0013129228537961946,0.1524906972136309,0.45517809187321084,0.0002934833244127577,0.0006030096910131233,0.13644367350758574,0.40681375597277036,-0.003114250793553125,-0.009116539226867115,0.1510734062819195,0.4475083505537969,0.0004554787770850166,0.000705349322515314,0.14899043428783465,0.4439500835300872,-0.00035738710252250505,-0.0013252281362121643,-0.002880061759385308,-0.008594641769974515,0.0003120604131797572,0.00041945550777916507,-0.0007742594539505524,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.650_gw0.100_t0.98,sigma,1.25,0.9,0.125,0.65,0.1,0.98,0.1497042573304089,0.45433082991145546,0.0001576985540284459,0.0005307296581890664,0.13339049391623778,0.399016379461326,-0.002626912588364977,-0.007954418255772033,0.14729809026437132,0.4386942338130441,0.00015574965713582856,0.0002142960284329809,0.14594833417171174,0.44009983154265003,-0.00040163380990274056,-0.0012357560521691902,0.15244266789504,0.4551185028593407,0.00024545400582184906,0.0005434206771429695,0.13644733497064082,0.40685026702174026,-0.0031105893304980425,-0.009080028177897215,0.15105019891931779,0.447519594949423,0.00043227141448329287,0.0007165937181414228,0.14895772473660465,0.4439239051606018,-0.000390096653752503,-0.0013514065056975388,-0.0028687509594315097,-0.008517223216834624,0.0002940105358095607,0.00046544487328720185,-0.0007910547145656005,True,False
sweep_sigma_ss1.25_asm1.00_w0.125_c0.650_gw0.050_t1.00,sigma,1.25,1.0,0.125,0.65,0.05,1.0,0.14974665846360738,0.45411885334933993,0.0002000996872269234,0.00031875309607354296,0.13341139022140625,0.3989171574493789,-0.0026060162831965106,-0.008053640267719153,0.14727613514325053,0.43841583100437076,0.00013379453601503055,-6.410678024038052e-05,0.14597354477964325,0.4398971996524439,-0.00037642320197123214,-0.0014383879423753299,0.15248839133568565,0.455127743786571,0.00029117744646750543,0.0005526616043732835,0.13650056446182907,0.4069279319327595,-0.003057359839309798,-0.009002363266877977,0.15099940727680258,0.44725663087608164,0.0003814797719680907,0.00045362964480005763,0.14898568157665854,0.4438925123315075,-0.0003621398136986198,-0.001382799334791851,-0.002831688061253154,-0.008528001767298565,0.0002576371539915606,0.00019476143227983855,-0.000776137446804793,True,False
sweep_sigma_ss1.25_asm1.00_w0.125_c0.650_gw0.050_t0.99,sigma,1.25,1.0,0.125,0.65,0.05,0.99,0.14970490610038467,0.4541639953948528,0.00015834732400421547,0.00036389514158641223,0.13342744656534453,0.39901720231370574,-0.0025899599392582295,-0.0079535954033923,0.14726070003393138,0.43848040566122043,0.0001183594266958854,4.6787660928915287e-07,0.1459486606565259,0.43995724943405734,-0.0004013073250885846,-0.0013783381607618828,0.15243775989215824,0.4550537579863716,0.00024054600294010076,0.0004786758041738781,0.13650151914947561,0.40694821553797306,-0.0030564051516632496,-0.008982079661664422,0.15097345999950185,0.44725235719043954,0.00035553249466735437,0.0004493559591579599,0.14895032140617778,0.4438513462544914,-0.0003974999841793725,-0.0014239654118079481,-0.0028231825454607395,-0.00846783753252836,0.00023694596068161988,0.00022491191788362452,-0.0007955966404356538,True,False
sweep_sigma_ss1.25_asm1.00_w0.125_c0.650_gw0.050_t0.98,sigma,1.25,1.0,0.125,0.65,0.05,0.98,0.14966581845884597,0.45422613820495145,0.00011925968246551122,0.0004260379516850543,0.13344697724701063,0.3991365667482136,-0.0025704292575921273,-0.00783423096888447,0.14724813691471433,0.4385614182294291,0.00010579630747883928,8.148044481798289e-05,0.14592664522809004,0.440034652829383,-0.00042332275352444104,-0.0013009347654362458,0.15238973228386832,0.4549940381179176,0.00019251839465017628,0.0004189559357198891,0.1365058050920044,0.4069860281196876,-0.0030521192091344518,-0.008944267079949886,0.15095024859530212,0.4472626817262425,0.0003323210904676299,0.00045968049496092345,0.14891773727573682,0.4438251666664435,-0.00043008411462033824,-0.0014501449998558513,-0.0028112742333632895,-0.008389249024417178,0.0002190586989732346,0.00027058046988945317,-0.0008121088319440704,True,False
sweep_dollar_ss1.25_asm1.00_w0.125_c40.000_gw5.000_t1.00,dollar,1.25,1.0,0.125,40.0,5.0,1.0,0.14983740670351983,0.4543008393959392,0.000290847927139376,0.0005007391426727903,0.13343491572142463,0.39904865599450634,-0.0025824907831781263,-0.007922141722591702,0.14722232889249748,0.4381372015795951,7.998828526198376e-05,-0.0003427362050160143,0.1460218827226261,0.439976909102166,-0.000328085258988392,-0.001358678492653198,0.15257385116464486,0.45530445477826026,0.0003766372754267222,0.0007293725960625386,0.13652618406426828,0.40701150003711783,-0.0030317402368705837,-0.008918795162519644,0.15089829005108454,0.44691500914873294,0.0002803625462500514,0.00011200791745136218,0.14902188957590828,0.443947051882899,-0.000325931814448871,-0.001328259783400343,-0.002807115510024355,-0.008420468442555673,0.0001801754157560176,-0.00011536414378232607,-0.0007643991643284295,True,False
sweep_dollar_ss1.25_asm1.00_w0.125_c40.000_gw5.000_t0.99,dollar,1.25,1.0,0.125,40.0,5.0,0.99,0.1497945208548158,0.454342650503586,0.000247962078435332,0.0005425502503196289,0.13345168655284867,0.39915391361468666,-0.0025657199517540863,-0.007816884102411381,0.14720230344298083,0.43818623993368666,5.996283574533079e-05,-0.0002936978509244792,0.14599554453301658,0.4400329012969047,-0.0003544234485979014,-0.0013026862979145237,0.15252202075908616,0.45522686014722485,0.00032480686986802176,0.0006517779650271338,0.1365280346059358,0.40703614537165905,-0.0030298896952030696,-0.008894149827978426,0.15086710699417538,0.44689434966475805,0.0002491794893408894,9.134843347646804e-05,0.14898494438822535,0.443901323772897,-0.0003628770021318062,-0.001373987893402373,-0.002797804823478578,-0.008355516965194904,0.0001545711625431101,-0.00010117470872400558,-0.000785616395594597,True,False
sweep_dollar_ss1.25_asm1.00_w0.125_c40.000_gw5.000_t0.98,dollar,1.25,1.0,0.125,40.0,5.0,0.98,0.1497542573797802,0.4544013266968447,0.000207698603399753,0.0006012264435782955,0.13347193114585562,0.3992786133750454,-0.0025454753587471346,-0.007692184342052655,0.14718502931053978,0.43825122353287776,4.2688703304288866e-05,-0.00022871425173337512,0.14597202540645687,0.4401060918510677,-0.0003779425751576082,-0.0012294957437515297,0.1524727529429226,0.4551633895804239,0.00027553905370444887,0.0005883073982261844,0.1365332232105818,0.4070784256166094,-0.0030247010905570526,-0.008851869583028082,0.15083852464335412,0.44688777912747285,0.00022059713851962925,8.477789619126819e-05,0.14895072487552027,0.4438704166046272,-0.000397096514836881,-0.001404895061672129,-0.0027850882246520936,-0.008272026962540369,0.00013164292091195906,-7.196817777105347e-05,-0.0008039421583960112,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.650_gw0.200_t1.00,sigma,1.25,0.9,0.125,0.65,0.2,1.0,0.1497800104178486,0.4542117869146753,0.000233451641468152,0.0004116866614088943,0.1334819404516847,0.3991171023463999,-0.002535466052918045,-0.007853695370698133,0.14728673949428922,0.438492050723657,0.00014439888705372605,1.2112939045849647e-05,0.14600981289958156,0.4400082696501519,-0.0003401550820329169,-0.0013273179446673389,0.15252504173099493,0.45521053856663335,0.0003278278417767899,0.0006354563844356287,0.13656153159110218,0.4070872850903831,-0.0029963927100366827,-0.008843010109254368,0.15106283670310852,0.4474611019761411,0.0004449091982740294,0.0006581007448595022,0.14903255429231638,0.44401495181710715,-0.0003152670980407779,-0.0012603598491922052,-0.002765929381477364,-0.00834835273997625,0.00029465404266387774,0.0003351068419526759,-0.0007302118657303384,True,False
sweep_dollar_ss1.25_asm1.00_w0.125_c60.000_gw5.000_t1.00,dollar,1.25,1.0,0.125,60.0,5.0,1.0,0.14973540210511505,0.4540676344818231,0.0001888433287345892,0.0002675342285566873,0.1335249145566826,0.3994494840559262,-0.0024924919479201446,-0.007521313661171869,0.14725016393980828,0.438241805316304,0.00010782333257278176,-0.00023813246830711732,0.14598439150215478,0.4399385467208813,-0.0003655764794597005,-0.001397040873937938,0.15244994878780224,0.4550200285052426,0.0002527348985841005,0.00044494632304487025,0.13652088187691325,0.40716767132131815,-0.0030370424242256167,-0.008762623878319331,0.15091939422189515,0.4469766951080887,0.0003014667170606611,0.0001736938768071017,0.14895071929169157,0.4438200703964164,-0.000397102098665586,-0.0014552412698829453,-0.0027647671860728806,-0.0081419687697456,0.00020464502481672142,-3.2219295750007815e-05,-0.0007797776825322714,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.650_gw0.200_t0.99,sigma,1.25,0.9,0.125,0.65,0.2,0.99,0.14973783558056555,0.454256142061477,0.00019127680418509763,0.0004560418082106277,0.1334982726298624,0.3992195911452003,-0.0025191338747403424,-0.007751206571897762,0.14727054615843407,0.43855604700683387,0.00012820555119857913,7.610922222273109e-05,0.14598457930607972,0.4400682227574835,-0.0003653886755347613,-0.0012673648373357493,0.15247411185126064,0.4551356438071217,0.0002768979620424994,0.0005605616249239609,0.13656280748763136,0.40710986650792125,-0.0029951168135075035,-0.008820428691716231,0.151036404877996,0.4474573114052053,0.00041847737316150213,0.0006543101739237001,0.14899698275674517,0.44397379766647466,-0.0003508386336119884,-0.0013015139998246994,-0.002757125344123923,-0.008285817631806996,0.00027334146218004063,0.00036520969807321557,-0.0007498988329433612,True,False
sweep_dollar_ss1.25_asm1.00_w0.125_c60.000_gw5.000_t0.99,dollar,1.25,1.0,0.125,60.0,5.0,0.99,0.14969517502473892,0.45411743459143333,0.000148616248358463,0.00031733433816694134,0.1335462688051941,0.3995735699761956,-0.0024711376994086542,-0.007397227740902457,0.14723220594204303,0.4382974667587867,8.986533480753733e-05,-0.00018247102582441554,0.14596098011879918,0.440004430401107,-0.00038898786281529873,-0.0013311571937122402,0.1524005903588037,0.4549498128070001,0.00020337646958556999,0.0003747306248023663,0.13652708324559418,0.4072101132543374,-0.0030308410555446863,-0.008720181945300054,0.15089026325408622,0.4469621344005708,0.00027233574925172865,0.00015913316928922727,0.14891653893095858,0.44378355424387184,-0.0004312824593985798,-0.0014917574224275199,-0.0027509893774766703,-0.008058704843101255,0.000181100542029633,-1.1668928267594136e-05,-0.0007979641588250069,True,False
sweep_sigma_ss1.25_asm1.00_w0.125_c0.650_gw0.100_t1.00,sigma,1.25,1.0,0.125,0.65,0.1,1.0,0.14974529502900058,0.45411470193992387,0.00019873625262012418,0.00031460168665747856,0.1334926935986526,0.39913825162875605,-0.0025247129059501605,-0.007832546088341996,0.14725698247699787,0.4383605627936011,0.0001146418697623719,-0.00011937499101005722,0.14598521608880613,0.43992803526941243,-0.0003647518928083515,-0.0014075523254067912,0.15248722371388088,0.45512578158477535,0.00029000982466273473,0.0005506994025776257,0.13658472846907282,0.40714873536958285,-0.002973195832066039,-0.00878155983005463,0.15098328067533562,0.44721160199734766,0.0003653531705011259,0.00040860076606608065,0.14899863518344011,0.4439266131446318,-0.0003491862069170404,-0.0013486985216675795,-0.0027489543690080998,-0.008307052959198313,0.0002399975201317489,0.0001446128875280117,-0.0007548612700783072,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.650_gw0.200_t0.98,sigma,1.25,0.9,0.125,0.65,0.2,0.98,0.1496983137045555,0.45431744956390346,0.00015175492817504077,0.0005173493106370719,0.1335180740970575,0.3993414215184366,-0.0024993324075452683,-0.007629376198661442,0.1472572077837418,0.4386364242687379,0.0001148671765063003,0.00015648648412674993,0.1459622029401307,0.44014549349820253,-0.000387765041483773,-0.0011900940966166895,0.15242577960764347,0.45507496574838674,0.00022856571842533313,0.0004998835661890189,0.13656741155832233,0.4071500017748726,-0.0029905127428165312,-0.008780293424764885,0.1510126930553294,0.4474680852921377,0.0003947655504949188,0.0006650840608561359,0.14896417975615378,0.44394759871935396,-0.0003836416342033744,-0.0013277129469453919,-0.0027449225751808998,-0.008204834811713163,0.00025481636350060954,0.0004107852724914429,-0.0007666486294600344,True,False
sweep_sigma_ss1.25_asm1.00_w0.125_c0.650_gw0.100_t0.99,sigma,1.25,1.0,0.125,0.65,0.1,0.99,0.1497033568465187,0.4541592138348642,0.0001567980701382421,0.00035911358159779194,0.13350913491623223,0.39924020554785966,-0.0025082715883705253,-0.007730592169238382,0.14724132226140385,0.43842419252815584,9.898165416835636e-05,-5.5745256455297376e-05,0.14596025286007236,0.4399879016161686,-0.0003897151215421224,-0.0013476859786506479,0.1524364061525056,0.4550511135784517,0.00023919226328744658,0.00047603139625396196,0.13658620532354754,0.4071711155627283,-0.0029717189775913255,-0.008759179636909198,0.15095704975217686,0.44720637838186006,0.00033912224734236607,0.0004033771505784767,0.14896321142536018,0.44388526852461196,-0.0003846099649969792,-0.0013900431416873915,-0.0027399952829809254,-0.00824488590307379,0.0002190519507553612,0.00017381594706158965,-0.0007743160551709066,True,False
sweep_dollar_ss1.25_asm1.00_w0.125_c60.000_gw5.000_t0.98,dollar,1.25,1.0,0.125,60.0,5.0,0.98,0.14965763962640632,0.45418437660718214,0.00011108085002586865,0.00038427635391574677,0.1335711823469748,0.3997176205785728,-0.002446224157627963,-0.007253177138525246,0.14721704901642935,0.4383692828440447,7.470840919385213e-05,-0.00011065494056644587,0.14594045645181866,0.4400878250964325,-0.0004095115297958196,-0.0012477624983867064,0.15235386318725147,0.4548939865041072,0.00015664929803332894,0.0003189043219094523,0.1365367086814542,0.40727070104973473,-0.0030212156196846585,-0.00865959414990275,0.15086378209901868,0.4469618559976068,0.00024585459418419164,0.00015885476632521156,0.14888515248308964,0.44376215923755935,-0.00046266890726751053,-0.0015131524287400056,-0.0027337198886563108,-0.007956385644213998,0.0001602815016890219,2.4099912879382845e-05,-0.0008131911043125634,True,False
sweep_sigma_ss1.25_asm1.00_w0.125_c0.650_gw0.100_t0.98,sigma,1.25,1.0,0.125,0.65,0.1,0.98,0.14966407966451248,0.45422070840981565,0.00011752088813202222,0.00042060815654926254,0.13352905262488163,0.3993615140045979,-0.002488353879721128,-0.007609283712500137,0.14722853144281775,0.4385042359311527,8.619083558225604e-05,2.4298146541534837e-05,0.14593815598958165,0.4400651129090305,-0.0004118119920328289,-0.001270474685788725,0.15238818988704073,0.45499069220135857,0.00019097599782258445,0.0004156100191608503,0.13659101962453904,0.40721106814650426,-0.002966904676599824,-0.008719227053133216,0.15093354865628192,0.44721572748855365,0.0003156211514474261,0.0004127262572720669,0.1489305622183068,0.44385890242777953,-0.00041725917205034935,-0.0014164092385198224,-0.002727629278160476,-0.008164255382816676,0.00020090599351484106,0.00021851220190680087,-0.0007908249472227772,True,False
sweep_dollar_ss1.25_asm1.00_w0.125_c40.000_gw10.000_t1.00,dollar,1.25,1.0,0.125,40.0,10.0,1.0,0.14982505758762124,0.45426352796267827,0.0002784988112407849,0.00046342770941187883,0.13352973258834544,0.39929886073683063,-0.002487673916257316,-0.007671936980267413,0.14722550117830163,0.43816133141240726,8.316057106613761e-05,-0.0003186063722038779,0.14603414948685386,0.4400096003383648,-0.00031581849476061685,-0.0013259872564544417,0.15256171881505382,0.45526504705632065,0.0003645049258356736,0.0006899648741229281,0.1366114089306002,0.40725460760496973,-0.002946515370538666,-0.008675687594667747,0.1509061673365544,0.44695028100604983,0.00028823983171991086,0.00014727977476824972,0.14903327176472594,0.4439791971709814,-0.0003145496256312108,-0.0012961144953179682,-0.002717094643397991,-0.00817381228746758,0.00018570020139302423,-8.566329871781408e-05,-0.0007366308578222458,True,False
sweep_dollar_ss1.25_asm1.00_w0.125_c40.000_gw10.000_t0.99,dollar,1.25,1.0,0.125,40.0,10.0,0.99,0.14978189788574559,0.4543041301430617,0.00023533910936512914,0.0005040298897953099,0.1335468098585007,0.3994053670380969,-0.0024705966461020523,-0.007565430679001117,0.1472054046984304,0.4382103132314204,6.30640911949143e-05,-0.0002696245531907393,0.14600769449655704,0.44006510743744415,-0.0003422734850574427,-0.0012704801573750757,0.15250962562402354,0.4551862739990275,0.00031241173480539564,0.0006111918168297814,0.13661357908353533,0.4072810323211389,-0.0029443452176035334,-0.008649262878498598,0.15087493207990013,0.44692968727901833,0.0002570045750656391,0.00012668604773674597,0.14899622260464582,0.443933132075823,-0.00035159878571133785,-0.0013421795904763334,-0.002707470931852793,-0.008107346778749858,0.0001600343331302767,-7.146925272699667e-05,-0.0007578537255457513,True,False
sweep_dollar_ss1.25_asm1.00_w0.125_c40.000_gw10.000_t0.98,dollar,1.25,1.0,0.125,40.0,10.0,0.98,0.1497413574396761,0.4543615666340519,0.00019479866329563666,0.0005614663807855247,0.1335673645383685,0.39953133069872326,-0.0024500419662342454,-0.007439467018374779,0.14718806142357208,0.43827523606826446,4.572081633658076e-05,-0.000204701716346678,0.14598405781092533,0.4401377966638135,-0.0003659101706891543,-0.0011977909310057488,0.15246009254059642,0.4551215957537205,0.0002628786513782788,0.0005465135715227998,0.1366190900659813,0.4073251226707117,-0.0029388342351575614,-0.008605172528925786,0.1508462992355843,0.4469231799958286,0.000228371730749799,0.0001201787645470076,0.14896189852622851,0.44390187603572684,-0.0003859228641286405,-0.001373435630572517,-0.0026944381006959034,-0.008022319773650283,0.00013704627354318988,-4.22614758998352e-05,-0.0007761843899385853,True,False
sweep_dollar_ss1.25_asm1.00_w0.125_c60.000_gw10.000_t1.00,dollar,1.25,1.0,0.125,60.0,10.0,1.0,0.14973525016034198,0.45406779427896177,0.00018869138396152008,0.00026769402569537526,0.13359283837932875,0.39960258095530404,-0.0024245681252740015,-0.007368216761794,0.14723437979216192,0.438212100372841,9.203918492642349e-05,-0.0002678374117701665,0.14599477700273544,0.43996343069226734,-0.0003551909788790386,-0.0013721569025518798,0.15245510161334835,0.45503354039521937,0.00025788772413021244,0.0004584582130216508,0.13660822496806083,0.4073628311785877,-0.0029496993330780374,-0.008567464021049798,0.15091112980212215,0.4469752416061859,0.0002932022972876591,0.00017224037490431998,0.14896967137711895,0.443867012696892,-0.00037815001323820985,-0.0014082989694073622,-0.0026871337291760194,-0.007967840391421899,0.0001926207411070413,-4.7798518432923265e-05,-0.000757074478007704,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.500_gw0.100_t1.00,sigma,1.25,0.9,0.125,0.5,0.1,1.0,0.14986149172435445,0.45438782048920134,0.00031493294797399485,0.000587720235934952,0.13353522678928575,0.39920677723755754,-0.002482179715317001,-0.007764020479540501,0.14731206160714921,0.4384624463250855,0.00016972099991371947,-1.7491459525620368e-05,0.14607440055574827,0.4401258325900773,-0.00027556742586620775,-0.0012097550047419081,0.1526215336551464,0.45542482039960575,0.0004243197659282716,0.0008497382174080248,0.13666650306591532,0.40732495505793676,-0.0028914212352235402,-0.008605340141700724,0.15106042476196008,0.4473804769177896,0.00044249725712558474,0.0005774756865080111,0.14911099781681214,0.4441750376942698,-0.00023682357354501415,-0.001100273972029553,-0.0026868004752702707,-0.008184680310620612,0.0003061091285196521,0.00027999211349119535,-0.0006703549965998284,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.500_gw0.100_t0.99,sigma,1.25,0.9,0.125,0.5,0.1,0.99,0.1498178887087879,0.4544281650366545,0.00027132993240744363,0.0006280647833881159,0.13354959857158138,0.3993020177956967,-0.002467807933021371,-0.0076687799214013586,0.14729454284096483,0.43852116390816803,0.00015220223372933162,4.122612355689226e-05,0.14604765250822427,0.44018087154736013,-0.00030231547339021336,-0.0011547160474590923,0.1525692725470611,0.4553461879874372,0.0003720586578429552,0.0007711058052394804,0.13666603942426106,0.4073417189898879,-0.002891884876877804,-0.008588576209749565,0.15103247350283938,0.447371079280716,0.00041454599800488934,0.0005680780494344284,0.1490739756112019,0.4441293556332586,-0.00027384577915526287,-0.0011459560330407403,-0.0026798464049495874,-0.008128678065575462,0.0002833741158671105,0.00030465208649566033,-0.0006915926646524259,True,False
sweep_sigma_ss1.25_asm1.10_w0.125_c0.650_gw0.050_t1.00,sigma,1.25,1.1,0.125,0.65,0.05,1.0,0.1497121341300953,0.4540202791298775,0.00016557535371483634,0.00022017887661113233,0.1335702751030506,0.39929871662078226,-0.002447131401552144,-0.007672081096315786,0.14721942675247016,0.4382693883832079,7.708614523466162e-05,-0.0002105494014032483,0.14597340486574956,0.43988542476097975,-0.0003765631158649252,-0.0014501628338394745,0.1524377249870695,0.45498272598071837,0.0002405110978513647,0.0004076437985206516,0.13665109737861056,0.40731858723594905,-0.002906826922528305,-0.00861170796368843,0.15091988451238042,0.4470579656313567,0.0003019570075459277,0.00025496440007510834,0.14896959181112981,0.4438441796620089,-0.00037822957922734046,-0.0014311320042904585,-0.0026769791620402245,-0.008141894530002108,0.00018952157639029465,2.2207499335930025e-05,-0.0007614714532889431,True,False
sweep_dollar_ss1.25_asm1.00_w0.125_c60.000_gw10.000_t0.99,dollar,1.25,1.0,0.125,60.0,10.0,0.99,0.14969475943198823,0.45411682960529887,0.0001482006556077775,0.0003167293520324743,0.13361420754946934,0.3997266265853087,-0.002403198955133412,-0.007244171131789323,0.14721619307434974,0.43826721556708653,7.385246711424931e-05,-0.00021272221752460796,0.1459711648744849,0.4400287387296498,-0.00037880310712959386,-0.0013068488651694077,0.1524055556183214,0.45496281300356056,0.00020834172910325077,0.00038773082136284165,0.1366145400843686,0.4074053814441376,-0.0029433842167702617,-0.008524913755499852,0.15088178609023756,0.446960430964098,0.00026385858540306506,0.00015742973281640538,0.14893535883334638,0.4438301614261926,-0.00041246255701077317,-0.001445150240106774,-0.002673291585951837,-0.007884542443644588,0.00016885552625865718,-2.764624235410129e-05,-0.0007753882891125552,True,False
sweep_sigma_ss1.25_asm0.90_w0.125_c0.500_gw0.100_t0.98,sigma,1.25,0.9,0.125,0.5,0.1,0.98,0.14977689284380927,0.4544853143736517,0.00023033406742881124,0.0006852141203853024,0.13356739723868172,0.399416379263209,-0.002450009265921038,-0.007554418453889045,0.1472798368096176,0.43859609512431474,0.00013749620238209803,0.0001161573397036042,0.14602371727835653,0.4402530619423706,-0.000326250703257952,-0.001082525652448596,0.15251956406007433,0.455281628700311,0.00032235017085618933,0.0007065465181133046,0.13666886106705953,0.40737584141846905,-0.0028890632340793365,-0.008554453781168425,0.151007197439639,0.44737607547020525,0.0003892699348045092,0.0005730742389236654,0.1490396773932866,0.44409846941696834,-0.00030814399707054796,-0.0011768422493310116,-0.0026695362500001873,-0.008054436117528735,0.0002633830685933036,0.0003446157893136348,-0.0007099370207547945,True,False
