model,gate_kind,shift_scale,anchor_sigma_mult,max_weight,gate_center,gate_width,posterior_temperature,all_heartbeats_train_brier,all_heartbeats_train_logloss,all_heartbeats_train_brier_delta,all_heartbeats_train_logloss_delta,all_heartbeats_validation_brier,all_heartbeats_validation_logloss,all_heartbeats_validation_brier_delta,all_heartbeats_validation_logloss_delta,all_heartbeats_holdout_brier,all_heartbeats_holdout_logloss,all_heartbeats_holdout_brier_delta,all_heartbeats_holdout_logloss_delta,all_heartbeats_all_brier,all_heartbeats_all_logloss,all_heartbeats_all_brier_delta,all_heartbeats_all_logloss_delta,minute_bucket_train_brier,minute_bucket_train_logloss,minute_bucket_train_brier_delta,minute_bucket_train_logloss_delta,minute_bucket_validation_brier,minute_bucket_validation_logloss,minute_bucket_validation_brier_delta,minute_bucket_validation_logloss_delta,minute_bucket_holdout_brier,minute_bucket_holdout_logloss,minute_bucket_holdout_brier_delta,minute_bucket_holdout_logloss_delta,minute_bucket_all_brier,minute_bucket_all_logloss,minute_bucket_all_brier_delta,minute_bucket_all_logloss_delta,validation_mean_brier_delta,validation_mean_logloss_delta,holdout_mean_brier_delta,holdout_mean_logloss_delta,all_splits_mean_brier_delta,validation_both_datasets_brier_improved,holdout_both_datasets_brier_improved
sweep_sigma_ss1.00_asm1.10_w0.075_c0.500_gw0.100_t0.98,sigma,1.0,1.1,0.075,0.5,0.1,0.98,0.14950141647853363,0.4538727632077714,-4.514229784682855e-05,7.266295450503168e-05,0.13488281468580346,0.4034248227779192,-0.0011345918187992965,-0.003545974939178853,0.14700487319062108,0.4381473695700168,-0.00013746741661441186,-0.00033256821459431984,0.14606767646196503,0.44060083432112873,-0.0002822915196494524,-0.0007347532736904916,0.15214824495300508,0.4544378505938441,-4.8968936213061864e-05,-0.0001372315883536035,0.13812381843415605,0.4116759421995851,-0.00143410586698281,-0.004254353000052391,0.1504814863068444,0.4463628729595604,-0.0001364411979900837,-0.0004401282717211852,0.14900368047822865,0.44425215803167756,-0.0003441409121285044,-0.0010231536346217984,-0.0012843488428910532,-0.003900163969615622,-0.00013695430730224778,-0.0003863482431577525,-0.0004894529224077487,True,True
sweep_sigma_ss1.00_asm1.00_w0.075_c0.300_gw0.200_t0.98,sigma,1.0,1.0,0.075,0.3,0.2,0.98,0.1495356463713767,0.45395267213202495,-1.0912405003754566e-05,0.00015257187875855616,0.13489243777377286,0.40344420414117727,-0.0011249687308299006,-0.003526593575920778,0.14701038438543215,0.4381774470376558,-0.0001319562218033421,-0.0003024907469553195,0.14609122219377454,0.44065862543242285,-0.00025874578783993685,-0.0006769621623963773,0.1521887000665437,0.4545195547639236,-8.513822674444116e-06,-5.552741827413721e-05,0.13811702210895926,0.4116587383061952,-0.0014409021921795995,-0.004271556893442274,0.15050125770384323,0.44642502291106123,-0.00011666980099125923,-0.00037797832022035127,0.14903053216432463,0.44431012766845834,-0.0003172892260325244,-0.0009651839978410126,-0.00128293546150475,-0.003899075234681526,-0.00012431301139730067,-0.0003402345335878354,-0.0004723205289137167,True,True
sweep_dollar_ss1.00_asm1.00_w0.075_c20.000_gw20.000_t0.99,dollar,1.0,1.0,0.075,20.0,20.0,0.99,0.14958252784080425,0.45390823957436216,3.596906442379644e-05,0.00010813932109576818,0.13488784536635123,0.403392712235075,-0.0011295611382515225,-0.0035780854820230412,0.14700789392208197,0.4380389028110765,-0.00013444668515352753,-0.0004410349735346486,0.14611789507974018,0.44059394959141174,-0.0002320729018742973,-0.0007416380034074854,0.15224290137786206,0.4545874398307416,4.568748864391958e-05,1.2357648543903643e-05,0.13812209165532333,0.4116557418904184,-0.001435832645815538,-0.0042745533092190535,0.15050076008280824,0.4463439101771974,-0.00011716742202624864,-0.00045909105408420414,0.14906396112998624,0.4443340508191933,-0.00028386026037091616,-0.0009412608471060513,-0.0012826968920335302,-0.003926319395621047,-0.00012580705358988808,-0.00045006301380942637,-0.0004558918896965201,True,True
sweep_sigma_ss0.75_asm0.90_w0.100_c0.200_gw0.050_t0.98,sigma,0.75,0.9,0.1,0.2,0.05,0.98,0.14954626140395466,0.4539780616428679,-2.973724257948618e-07,0.00017796138960152197,0.13489515509178107,0.4034209134854071,-0.0011222514128216843,-0.0035498842316909474,0.14698514002220656,0.4380806459160801,-0.0001572005850289382,-0.0003992918685310487,0.14609307856617376,0.4406498003261331,-0.00025688941544071975,-0.0006857872686861222,0.1521986261093247,0.4545506580564275,1.4122201065502882e-06,-2.4424125770194927e-05,0.13811564651628133,0.4116196201529255,-0.0014422777848575319,-0.004310675046711954,0.15045081514964784,0.44627381723895837,-0.0001671123551866549,-0.0005291839923232122,0.14902613834310738,0.44429075002443,-0.0003216830472497767,-0.0009845616418693304,-0.001282264598839608,-0.0039302796392014505,-0.00016215647010779655,-0.00046423793042713046,-0.0004812878817023423,True,True
sweep_sigma_ss0.75_asm1.10_w0.100_c0.400_gw0.050_t0.99,sigma,0.75,1.1,0.1,0.4,0.05,0.99,0.14952517400547638,0.4537704084326861,-2.1384770904075978e-05,-2.9691820580268757e-05,0.13486946371989642,0.40318573562162047,-0.0011479427847063406,-0.003785062095477576,0.1469899165708512,0.43798474272702953,-0.00015242403638429658,-0.00049519505758161,0.14607624090999807,0.44045897692000685,-0.00027372707161640863,-0.0008766106748123725,0.1521809137731229,0.45445671868743487,-1.63001160952414e-05,-0.00011836349476285202,0.13814284699527518,0.4115603981357854,-0.0014150773058636823,-0.004369897063852102,0.15045866498958269,0.44623127318052436,-0.0001592625152518068,-0.0005717280507572253,0.14902253466202678,0.4442140334102853,-0.0003252867283303762,-0.0010612782560140421,-0.0012815100452850114,-0.004077479579664839,-0.00015584327581805169,-0.0005334615541694177,-0.00048539858820090726,True,True
sweep_sigma_ss1.00_asm1.00_w0.075_c0.300_gw0.050_t0.98,sigma,1.0,1.0,0.075,0.3,0.05,0.98,0.1495454850893184,0.45396103404657007,-1.0736870620642325e-06,0.00016093379330367474,0.1348914426799782,0.40345182951511066,-0.001125963824624543,-0.0035189682019873825,0.1469969291294778,0.43807472512076095,-0.00014541147775770646,-0.0004052126638501852,0.14609422651479265,0.44064461806613714,-0.00025574146682183496,-0.0006909695286820838,0.1521912268825974,0.4545239737119216,-5.987006620744584e-06,-5.110847027611776e-05,0.1381217905123378,0.41169130977174423,-0.0014361337888010584,-0.004238985427893249,0.15047830351911518,0.44630946812049155,-0.0001396239857193171,-0.0004935331107900343,0.1490284205197798,0.44429623535796636,-0.00031940087057735767,-0.0009790763083329934,-0.0012810488067128006,-0.003878976814940316,-0.0001425177317385118,-0.0004493728873201097,-0.0004756989617642389,True,True
sweep_sigma_ss0.75_asm1.00_w0.100_c0.300_gw0.100_t0.99,sigma,0.75,1.0,0.1,0.3,0.1,0.99,0.14955460735505943,0.4538315521714339,8.048578678976348e-06,3.1451918167502146e-05,0.1348788051681395,0.40324232185113906,-0.001138601336463263,-0.00372847586595898,0.14698506548929546,0.43796929671888474,-0.00015727511794003113,-0.0005106410657264027,0.14609478297417028,0.44050388467972285,-0.000255185007444203,-0.0008317029150963773,0.15221286650930752,0.454521121327072,1.5652620089373626e-05,-5.3960855125712026e-05,0.13813687306570846,0.41158229111249656,-0.001421051235430404,-0.004348004087140922,0.15046031310434618,0.4462327524062575,-0.00015761440048830955,-0.0005702488250241,0.1490408324562927,0.44425734915980586,-0.00030698893406444494,-0.0010179625064934972,-0.0012798262859468335,-0.004038239976549951,-0.00015744475921417034,-0.0005404449453752513,-0.00047514014859227627,True,True
sweep_dollar_ss1.25_asm1.00_w0.050_c60.000_gw5.000_t1.00,dollar,1.25,1.0,0.05,60.0,5.0,1.0,0.14956869980774587,0.4537437378721362,2.2141031365413566e-05,-5.636238113021497e-05,0.1348814177096776,0.40352356951553764,-0.001135988794925158,-0.003447228201560404,0.1470471289215758,0.4380300932774236,-9.521168565970739e-05,-0.00044984450718754676,0.1461161673293114,0.4405198789547094,-0.0002338006523030789,-0.0008157086401098246,0.1522211436872348,0.45452159163624845,2.392979801665862e-05,-5.349054594927516e-05,0.13813533133042621,0.4118479697355106,-0.0014225929707126495,-0.004082325464126901,0.15053091896218423,0.446356688669095,-8.700854265025759e-05,-0.00044631256218657933,0.14905958641580044,0.4443356439415974,-0.00028823497455671143,-0.0009396677247019425,-0.0012792908828189037,-0.0037647768328436526,-9.111011415498249e-05,-0.00044807853468706305,-0.00044912186076095,True,True
sweep_dollar_ss0.75_asm1.00_w0.100_c40.000_gw5.000_t0.99,dollar,0.75,1.0,0.1,40.0,5.0,0.99,0.14952591781522326,0.4537667440366124,-2.0640961157197824e-05,-3.335621665401245e-05,0.13490710737975634,0.4034949472679062,-0.00111029912484642,-0.003475850449191853,0.14698084078973656,0.4379308002885867,-0.00016149981749893905,-0.0005491374960244211,0.14608242712994962,0.4405080570052177,-0.0002675408516648603,-0.0008275305896014995,0.15217246871047874,0.454432628766584,-2.474517873940485e-05,-0.00014245341561369695,0.13811208830256086,0.4116533184052599,-0.0014458359985780045,-0.004276976794377552,0.15043500946321436,0.4461501865655309,-0.00018291804162012815,-0.0006528146657506784,0.14900657881574622,0.4442020221419514,-0.00034124257461093377,-0.0010732895243479312,-0.0012780675617122123,-0.0038764136217847023,-0.0001722089295595336,-0.0006009760808875497,-0.0004909898537400157,True,True
sweep_sigma_ss1.00_asm1.10_w0.075_c0.400_gw0.050_t1.00,sigma,1.0,1.1,0.075,0.4,0.05,1.0,0.1496059905292356,0.45380884721064874,5.943175285513802e-05,8.74695738234399e-06,0.1348641811795428,0.4031647234085919,-0.001153225325059959,-0.0038060743085061577,0.14700405026693303,0.4378814385602567,-0.000138290340302466,-0.000598499224354454,0.14612643578473275,0.4404571278167686,-0.00022353219688173165,-0.000878459778050622,0.15227262574386988,0.4546214478609711,7.541185465173572e-05,4.6365678773363506e-05,0.13815611263318084,0.41164049791817126,-0.001401811667958025,-0.004289797281466223,0.15049311083981534,0.44621755803381746,-0.00012481666501915067,-0.0005854431974641194,0.14908708441049667,0.44432616466481234,-0.00026073697986048194,-0.0009491470014870163,-0.001277518496508992,-0.0040479357949861905,-0.00013155350266080834,-0.0005919712109092867,-0.00044721673180545446,True,True
