dataset,candidate,label,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_median_ask,all_mean_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_entry_fee_cents,all_ask_cost_cents,all_entry_cost_cents,all_gross_pnl_cents,all_net_pnl_cents,all_gross_roi_on_ask,all_net_roi_on_cost,all_net_edge_per_selected_cents,all_net_edge_per_base_market_cents,all_fee_aware_break_even_accuracy,all_accuracy_minus_break_even,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_median_ask,train_mean_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_entry_fee_cents,train_ask_cost_cents,train_entry_cost_cents,train_gross_pnl_cents,train_net_pnl_cents,train_gross_roi_on_ask,train_net_roi_on_cost,train_net_edge_per_selected_cents,train_net_edge_per_base_market_cents,train_fee_aware_break_even_accuracy,train_accuracy_minus_break_even,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_median_ask,validation_mean_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_entry_fee_cents,validation_ask_cost_cents,validation_entry_cost_cents,validation_gross_pnl_cents,validation_net_pnl_cents,validation_gross_roi_on_ask,validation_net_roi_on_cost,validation_net_edge_per_selected_cents,validation_net_edge_per_base_market_cents,validation_fee_aware_break_even_accuracy,validation_accuracy_minus_break_even,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_median_ask,holdout_mean_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_entry_fee_cents,holdout_ask_cost_cents,holdout_entry_cost_cents,holdout_gross_pnl_cents,holdout_net_pnl_cents,holdout_gross_roi_on_ask,holdout_net_roi_on_cost,holdout_net_edge_per_selected_cents,holdout_net_edge_per_base_market_cents,holdout_fee_aware_break_even_accuracy,holdout_accuracy_minus_break_even,coverage_pass,all_splits_positive,oos_positive
current,logit_edge10,hazard_primary_else_logit_edge10: blend_logit_book_rv_hazard_mean>=0; fair_edge>=-10c; ask<=95; sec>=60,292,290,213,77,0.7344827586206897,0.9931506849315068,0.6808316281204947,69.0,69.22758620689655,73.0,0,0,768.285,578.0,20076.0,20654.0,1224.0,646.0,0.06096832038254633,0.03127723443400794,2.2275862068965515,2.212328767123288,0.7122068965517241,0.02227586206896559,175,174,125,49,0.7183908045977011,0.9942857142857143,0.6474001935910172,69.0,68.27011494252874,73.0,0,0,768.216,348.0,11879.0,12227.0,621.0,273.0,0.052277127704352215,0.022327635560644474,1.5689655172413792,1.56,0.7027011494252874,0.01568965517241372,58,57,45,12,0.7894736842105263,0.9827586206896551,0.6671387891680949,69.0,70.40350877192982,74.0,0,0,768.417,113.0,4013.0,4126.0,487.0,374.0,0.12135559431846499,0.09064469219583131,6.56140350877193,6.448275862068965,0.723859649122807,0.06561403508771935,59,59,43,16,0.7288135593220338,1.0,0.6040223703245484,70.0,70.91525423728814,74.5,0,0,767.621,117.0,4184.0,4301.0,116.0,-1.0,0.027724665391969407,-0.00023250406882120437,-0.01694915254237288,-0.01694915254237288,0.7289830508474577,-0.00016949152542389267,True,False,False
current,logit_thresh55_edge15,hazard_primary_else_logit_thresh55_edge15: blend_logit_book_rv_hazard_mean>=0.55; fair_edge>=-15c; ask<=95; sec>=60,292,289,218,71,0.754325259515571,0.9897260273972602,0.7015712604926225,69.0,69.85813148788927,73.0,0,0,766.215,574.0,20189.0,20763.0,1611.0,1037.0,0.07979592847590272,0.04994461301353369,3.588235294117647,3.5513698630136985,0.7184429065743946,0.035882352941176365,175,173,129,44,0.7456647398843931,0.9885714285714285,0.6759221529960465,69.0,69.23121387283237,73.0,0,0,765.806,344.0,11977.0,12321.0,923.0,579.0,0.0770643733823161,0.046992938884830776,3.346820809248555,3.3085714285714287,0.7121965317919075,0.03346820809248563,58,57,45,12,0.7894736842105263,0.9827586206896551,0.6671387891680949,69.0,70.40350877192982,74.0,0,0,768.417,113.0,4013.0,4126.0,487.0,374.0,0.12135559431846499,0.09064469219583131,6.56140350877193,6.448275862068965,0.723859649122807,0.06561403508771935,59,59,44,15,0.7457627118644068,1.0,0.6220385597107273,70.0,71.16949152542372,74.5,0,0,766.037,117.0,4199.0,4316.0,201.0,84.0,0.04786854012860205,0.019462465245597776,1.423728813559322,1.423728813559322,0.7315254237288136,0.014237288135593218,True,True,True
current,book60,hazard_primary_else_book60: book_p_side>=0.6; ask<=95; sec>=60,292,291,218,73,0.7491408934707904,0.9965753424657534,0.6963061362425106,69.0,69.50171821305842,73.0,0,0,766.964,581.0,20225.0,20806.0,1575.0,994.0,0.07787391841779975,0.04777468038065943,3.415807560137457,3.404109589041096,0.7149828178694159,0.034158075601374516,175,175,130,45,0.7428571428571429,1.0,0.673373465052407,69.0,68.81142857142858,73.0,0,0,766.153,350.0,12042.0,12392.0,958.0,608.0,0.07955489121408404,0.04906391220142027,3.474285714285714,3.474285714285714,0.7081142857142857,0.034742857142857186,58,57,45,12,0.7894736842105263,0.9827586206896551,0.6671387891680949,69.0,70.10526315789474,74.0,0,0,768.782,114.0,3996.0,4110.0,504.0,390.0,0.12612612612612611,0.0948905109489051,6.842105263157895,6.724137931034483,0.7210526315789474,0.06842105263157894,59,59,43,16,0.7288135593220338,1.0,0.6040223703245484,70.0,70.96610169491525,74.5,0,0,767.621,117.0,4187.0,4304.0,113.0,-4.0,0.0269882971101027,-0.0009293680297397769,-0.06779661016949153,-0.06779661016949153,0.7294915254237287,-0.0006779661016949046,True,False,False
current,score_min60,hazard_primary_else_score_min60: score_min_book_rv15>=0.6; ask<=95; sec>=60,292,289,218,71,0.754325259515571,0.9897260273972602,0.7015712604926225,69.0,69.89273356401384,73.0,0,0,766.215,573.0,20199.0,20772.0,1601.0,1028.0,0.07926134957176098,0.049489697669940304,3.557093425605536,3.5205479452054793,0.7187543252595157,0.03557093425605529,175,173,129,44,0.7456647398843931,0.9885714285714285,0.6759221529960465,69.0,69.30635838150289,73.0,0,0,765.806,343.0,11990.0,12333.0,910.0,567.0,0.07589658048373644,0.04597421551933836,3.277456647398844,3.24,0.7128901734104047,0.032774566473988354,58,57,45,12,0.7894736842105263,0.9827586206896551,0.6671387891680949,69.0,70.40350877192982,74.0,0,0,768.417,113.0,4013.0,4126.0,487.0,374.0,0.12135559431846499,0.09064469219583131,6.56140350877193,6.448275862068965,0.723859649122807,0.06561403508771935,59,59,44,15,0.7457627118644068,1.0,0.6220385597107273,70.0,71.11864406779661,74.5,0,0,766.037,117.0,4196.0,4313.0,204.0,87.0,0.04861773117254528,0.020171574310224902,1.4745762711864407,1.4745762711864407,0.7310169491525425,0.01474576271186434,True,True,True
v21,logit_edge10,hazard_primary_else_logit_edge10: blend_logit_book_rv_hazard_mean>=0; fair_edge>=-10c; ask<=95; sec>=60,221,219,163,56,0.7442922374429224,0.9909502262443439,0.6826476137278386,68.0,69.02739726027397,73.0,0,0,779.34506,433.0,15117.0,15550.0,1183.0,750.0,0.07825626777799828,0.04823151125401929,3.4246575342465753,3.3936651583710407,0.7100456621004566,0.03424657534246578,132,131,95,36,0.7251908396946565,0.9924242424242424,0.6431537162063813,68.0,68.90839694656489,72.0,0,0,779.458061,258.0,9027.0,9285.0,473.0,215.0,0.052398360474133154,0.023155627355950458,1.6412213740458015,1.628787878787879,0.7087786259541985,0.01641221374045798,44,44,36,8,0.8181818181818182,1.0,0.6803944911281532,69.0,69.5909090909091,74.25,0,0,719.900004,87.0,3062.0,3149.0,538.0,451.0,0.17570215545395165,0.1432200698634487,10.25,10.25,0.7156818181818182,0.10250000000000004,45,44,32,12,0.7272727272727273,0.9777777777777777,0.581511269075488,69.0,68.81818181818181,75.25,0,0,779.202374,88.0,3028.0,3116.0,172.0,84.0,0.05680317040951123,0.026957637997432605,1.9090909090909092,1.8666666666666667,0.7081818181818181,0.01909090909090916,True,True,True
v21,logit_thresh55_edge15,hazard_primary_else_logit_thresh55_edge15: blend_logit_book_rv_hazard_mean>=0.55; fair_edge>=-15c; ask<=95; sec>=60,221,218,165,53,0.7568807339449541,0.9864253393665159,0.695809328669057,68.0,69.4862385321101,73.0,0,0,779.22053,430.0,15148.0,15578.0,1352.0,922.0,0.08925270662793768,0.05918603158300167,4.229357798165138,4.171945701357466,0.7145871559633028,0.04229357798165134,132,130,94,36,0.7230769230769231,0.9848484848484849,0.6405947067150303,68.0,69.0,72.0,0,0,779.457031,256.0,8970.0,9226.0,430.0,174.0,0.04793756967670011,0.018859744201170606,1.3384615384615384,1.3181818181818181,0.7096923076923077,0.013384615384615328,44,44,36,8,0.8181818181818182,1.0,0.6803944911281532,68.5,69.5909090909091,74.0,0,0,719.772034,88.0,3062.0,3150.0,538.0,450.0,0.17570215545395165,0.14285714285714285,10.227272727272727,10.227272727272727,0.7159090909090909,0.10227272727272729,45,44,35,9,0.7954545454545454,0.9777777777777777,0.6549942193889834,70.0,70.81818181818181,77.25,0,0,779.160447,86.0,3116.0,3202.0,384.0,298.0,0.12323491655969192,0.09306683322923173,6.7727272727272725,6.622222222222222,0.7277272727272727,0.06772727272727275,True,True,True
v21,book60,hazard_primary_else_book60: book_p_side>=0.6; ask<=95; sec>=60,221,221,164,57,0.7420814479638009,1.0,0.6806117405123012,68.0,69.15837104072398,73.0,0,0,779.247148,437.0,15284.0,15721.0,1116.0,679.0,0.07301753467678618,0.043190636727943515,3.072398190045249,3.072398190045249,0.7113574660633484,0.030723981900452557,132,132,93,39,0.7045454545454546,1.0,0.6218192864909716,68.0,68.6969696969697,72.0,0,0,779.457978,261.0,9068.0,9329.0,232.0,-29.0,0.025584472871636524,-0.003108586129274306,-0.2196969696969697,-0.2196969696969697,0.7067424242424243,-0.0021969696969696972,44,44,36,8,0.8181818181818182,1.0,0.6803944911281532,68.5,69.5909090909091,74.0,0,0,719.772034,88.0,3062.0,3150.0,538.0,450.0,0.17570215545395165,0.14285714285714285,10.227272727272727,10.227272727272727,0.7159090909090909,0.10227272727272729,45,45,35,10,0.7777777777777778,1.0,0.6373070782524372,69.0,70.08888888888889,76.0,0,0,779.132922,88.0,3154.0,3242.0,346.0,258.0,0.10970196575776792,0.0795805058605799,5.733333333333333,5.733333333333333,0.7204444444444443,0.05733333333333346,True,False,True
v21,score_min60,hazard_primary_else_score_min60: score_min_book_rv15>=0.6; ask<=95; sec>=60,221,219,165,54,0.7534246575342466,0.9909502262443439,0.6922969448644035,69.0,69.68949771689498,73.0,0,0,779.214524,430.0,15262.0,15692.0,1238.0,808.0,0.08111649849298912,0.05149120570991588,3.689497716894977,3.6561085972850678,0.7165296803652969,0.03689497716894974,132,131,94,37,0.7175572519083969,0.9924242424242424,0.6351216228521418,68.0,69.16030534351145,72.0,0,0,779.456167,257.0,9060.0,9317.0,340.0,83.0,0.037527593818984545,0.00890844692497585,0.6335877862595419,0.6287878787878788,0.7112213740458017,0.006335877862595263,44,44,36,8,0.8181818181818182,1.0,0.6803944911281532,68.5,69.63636363636364,74.0,0,0,719.772034,88.0,3064.0,3152.0,536.0,448.0,0.17493472584856398,0.14213197969543148,10.181818181818182,10.181818181818182,0.7163636363636363,0.10181818181818192,45,44,35,9,0.7954545454545454,0.9777777777777777,0.6549942193889834,70.0,71.31818181818181,78.0,0,0,779.160447,85.0,3138.0,3223.0,362.0,277.0,0.11536010197578075,0.08594477195159789,6.295454545454546,6.155555555555556,0.7324999999999999,0.06295454545454549,True,True,True
