dataset,block,markets,wins,losses,accuracy,net_pnl_cents,first_close_dt,last_close_dt
current,1,20,18,2,0.9,89.0,2026-05-01T02:30:00+00:00,2026-05-01T07:30:00+00:00
current,2,20,17,3,0.85,-13.0,2026-05-01T07:45:00+00:00,2026-05-01T13:00:00+00:00
current,3,20,15,5,0.75,-216.0,2026-05-01T13:15:00+00:00,2026-05-01T18:15:00+00:00
current,4,20,19,1,0.95,192.0,2026-05-01T18:30:00+00:00,2026-05-01T23:30:00+00:00
current,5,20,16,4,0.8,-119.0,2026-05-01T23:45:00+00:00,2026-05-02T04:30:00+00:00
current,6,20,19,1,0.95,166.0,2026-05-02T04:45:00+00:00,2026-05-02T09:30:00+00:00
current,7,20,16,4,0.8,-119.0,2026-05-02T09:45:00+00:00,2026-05-02T14:30:00+00:00
current,8,20,16,4,0.8,-100.0,2026-05-02T14:45:00+00:00,2026-05-02T20:30:00+00:00
current,9,20,18,2,0.9,91.0,2026-05-02T20:45:00+00:00,2026-05-03T03:30:00+00:00
current,10,20,19,1,0.95,197.0,2026-05-03T03:45:00+00:00,2026-05-03T08:30:00+00:00
current,11,20,16,4,0.8,-97.0,2026-05-03T09:00:00+00:00,2026-05-03T14:15:00+00:00
current,12,20,17,3,0.85,13.0,2026-05-03T14:30:00+00:00,2026-05-03T19:45:00+00:00
current,13,20,19,1,0.95,174.0,2026-05-03T20:00:00+00:00,2026-05-04T00:45:00+00:00
current,14,20,17,3,0.85,3.0,2026-05-04T01:00:00+00:00,2026-05-04T06:00:00+00:00
current,15,20,17,3,0.85,-11.0,2026-05-04T06:15:00+00:00,2026-05-04T11:15:00+00:00
current,16,2,1,1,0.5,-71.0,2026-05-04T11:30:00+00:00,2026-05-04T13:15:00+00:00
v21,1,20,20,0,1.0,282.0,2026-04-30T04:45:00+00:00,2026-04-30T14:00:00+00:00
v21,2,20,15,5,0.75,-233.0,2026-04-30T14:15:00+00:00,2026-04-30T20:15:00+00:00
v21,3,20,18,2,0.9,74.0,2026-04-30T20:30:00+00:00,2026-05-01T02:30:00+00:00
v21,4,20,17,3,0.85,-51.0,2026-05-01T02:45:00+00:00,2026-05-01T08:15:00+00:00
v21,5,20,17,3,0.85,-49.0,2026-05-01T08:45:00+00:00,2026-05-01T15:15:00+00:00
v21,6,20,19,1,0.95,134.0,2026-05-01T15:30:00+00:00,2026-05-01T20:45:00+00:00
v21,7,20,18,2,0.9,64.0,2026-05-01T21:00:00+00:00,2026-05-02T02:00:00+00:00
v21,8,20,15,5,0.75,-240.0,2026-05-02T02:15:00+00:00,2026-05-02T07:15:00+00:00
v21,9,20,20,0,1.0,277.0,2026-05-02T07:30:00+00:00,2026-05-02T13:00:00+00:00
v21,10,12,11,1,0.9166666666666666,41.0,2026-05-02T13:15:00+00:00,2026-05-02T17:15:00+00:00
