dataset,block_kind,block,rows,base_brier,candidate_brier,brier_delta,base_logloss,candidate_logloss,logloss_delta
all_heartbeats,block10,0,1917,0.15083857147399132,0.15087230481948172,3.3733345490394306e-05,0.442159311961593,0.4427446856843503,0.0005853737227572986
all_heartbeats,block10,1,1919,0.173016626358114,0.17321185129560135,0.00019522493748735936,0.516198296108257,0.5155357796469441,-0.0006625164613128787
all_heartbeats,block10,2,1921,0.15627954419965898,0.15630211038767886,2.2566188019879085e-05,0.48683827985175376,0.49212604964055745,0.005287769788803687
all_heartbeats,block10,3,1921,0.1344816493507921,0.1345628149541921,8.11656033999908e-05,0.40435006992300626,0.40498111634501216,0.0006310464220058987
all_heartbeats,block10,4,1858,0.14808826934518643,0.14836182219495295,0.0002735528497665174,0.43203118542033225,0.43276940567287764,0.0007382202525453851
all_heartbeats,block10,5,1862,0.13412772028414544,0.13437894113860205,0.000251220854456613,0.4411157916333797,0.4429710083437775,0.001855216710397789
all_heartbeats,block10,6,1919,0.1470746559929329,0.14676825735546728,-0.00030639863746562135,0.4421271321245695,0.44146898564865517,-0.0006581464759143341
all_heartbeats,block10,7,1899,0.12148302038118637,0.1214949208062281,1.1900425041733165e-05,0.36136205484022943,0.36112769120589017,-0.000234363634339263
all_heartbeats,block10,8,1922,0.11971671764557877,0.11966841239587078,-4.8305249707988884e-05,0.36228655189391706,0.3619830671163358,-0.00030348477758124215
all_heartbeats,block10,9,1883,0.17486720972208578,0.17478089085604723,-8.631886603854833e-05,0.5152866704397722,0.5155911513804502,0.00030448094067803133
all_heartbeats,block20,0,984,0.1464177814306339,0.1464368691068724,1.9087676238510598e-05,0.42789039466611833,0.4279371129146606,4.671824854224349e-05
all_heartbeats,block20,1,933,0.15550101242004033,0.15555019200191214,4.917958187181104e-05,0.45720820222820313,0.4583616756150843,0.0011534733868811542
all_heartbeats,block20,2,989,0.162723254889382,0.16289812657977867,0.00017487169039667738,0.4948919925553443,0.49330201563590426,-0.001589976919440017
all_heartbeats,block20,3,930,0.1839630181673354,0.18417988757941708,0.00021686941208168276,0.5388562898865695,0.5391800727726627,0.000323782886093138
all_heartbeats,block20,4,992,0.08852302139639151,0.08866988331581956,0.00014686191942804572,0.29364825932046373,0.29392680754733136,0.00027854822686762537
all_heartbeats,block20,5,929,0.22863096575061845,0.22852080711026712,-0.00011015864035132661,0.6931294535514735,0.7037661445345083,0.010636690983034769
all_heartbeats,block20,6,988,0.11834411063428683,0.11850532146401915,0.00016121082973231948,0.36351784378332824,0.36493064772873124,0.0014128039454029961
all_heartbeats,block20,7,933,0.15157048992089628,0.1515668916618993,-3.5982589969840717e-06,0.4475893404760628,0.4473925450619312,-0.00019679541413158974
all_heartbeats,block20,8,986,0.14965324673981775,0.14999676300845446,0.00034351626863671214,0.43539915363705495,0.43624877943442547,0.0008496257973705235
all_heartbeats,block20,9,872,0.14631869628199093,0.14651313911913588,0.00019444283714495358,0.4282229094321572,0.428835159653513,0.0006122502213558034
all_heartbeats,block20,10,930,0.16075088713651103,0.16110241238365186,0.000351525247140827,0.5250907004219245,0.5263220839432665,0.001231383521342
all_heartbeats,block20,11,932,0.10756168469111965,0.10771281639836994,0.0001511317072502849,0.3573210865117631,0.3597987977133862,0.0024777112016231007
all_heartbeats,block20,12,931,0.1402036707941341,0.1397961782193857,-0.00040749257474839706,0.4071312791161857,0.4060075283668924,-0.001123750749293273
all_heartbeats,block20,13,988,0.15354923819949332,0.15333810115677488,-0.00021113704271844003,0.47510399361323896,0.47488458962570085,-0.00021940398753811374
