entries,wins_if_held,losses_if_held,win_rate_if_held,early_exits,early_exited_winners,early_exited_losers,left_censored_entries,rows_with_post_entry_predictor,net_pnl_cents,avg_pnl_cents,median_pnl_cents,max_drawdown_cents,lcb_avg_pnl_cents,entry_fee_cents,threshold,entry_mode,exit_gate,markets_considered,markets_with_raw_ticker,markets_with_threshold_touch
71,57,14,0.802817,13,9,4,11,29,-131.000000,-1.845070,18.000000,618.000000,-10.071552,2,80.000000,include_left_censored,candidate_fair_lt_entry_minus_5,188,79,71
71,57,14,0.802817,10,7,3,11,29,-155.000000,-2.183099,18.000000,657.000000,-10.732990,2,80.000000,include_left_censored,candidate_fair_lt_entry_minus_10,188,79,71
71,57,14,0.802817,19,10,9,11,55,-51.000000,-0.718310,18.000000,525.000000,-7.809451,2,80.000000,include_left_censored,bid_lt_entry_minus_5,188,79,71
71,57,14,0.802817,17,8,9,11,55,-39.000000,-0.549296,18.000000,518.000000,-7.797899,2,80.000000,include_left_censored,bid_lt_entry_minus_10,188,79,71
71,57,14,0.802817,15,6,9,11,55,-50.800000,-0.715493,18.000000,507.800000,-8.322606,2,80.000000,include_left_censored,bid_lt_entry_minus_15,188,79,71
71,57,14,0.802817,25,20,5,11,29,-88.400000,-1.245070,18.000000,530.000000,-8.860227,2,80.000000,include_left_censored,candidate_net_edge_lt_0,188,79,71
71,57,14,0.802817,18,13,5,11,29,-89.000000,-1.253521,18.000000,579.000000,-8.962955,2,80.000000,include_left_censored,candidate_fair_lt_80_or_bid_lt_entry_minus_10,188,79,71
71,57,14,0.802817,22,17,5,11,29,-142.000000,-2.000000,18.000000,579.000000,-9.640981,2,80.000000,include_left_censored,candidate_fair_lt_85_or_bid_lt_entry_minus_5,188,79,71
60,56,4,0.933333,0,0,0,0,15,140.000000,2.333333,9.000000,174.000000,-4.031731,1,90.000000,strict_cross,hold,188,79,60
60,56,4,0.933333,1,1,0,0,15,125.000000,2.083333,9.000000,174.000000,-4.283543,1,90.000000,strict_cross,candidate_fair_lt_60,188,79,60
60,56,4,0.933333,1,1,0,0,15,127.000000,2.116667,9.000000,174.000000,-4.247789,1,90.000000,strict_cross,candidate_fair_lt_70,188,79,60
60,56,4,0.933333,3,3,0,0,15,106.900000,1.781667,9.000000,174.000000,-4.575863,1,90.000000,strict_cross,candidate_fair_lt_75,188,79,60
60,56,4,0.933333,5,5,0,0,15,75.900000,1.265000,9.000000,174.000000,-5.095042,1,90.000000,strict_cross,candidate_fair_lt_80,188,79,60
