rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_sigma_t_dollars>=75,23,0.4339622641509434,-18.979181999999998,12.710818000000003,17,6,-6.99918,-11.730002000000002,-0.25000000000000006,10,9,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_sigma_t_dollars>=75,21,0.39622641509433965,-19.079182,12.610818000000002,16,5,-6.99918,-11.830002,-0.25000000000000006,10,7,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=10,19,0.3584905660377358,-20.409182,11.280818,14,5,-7.59918,-11.830002,-0.98,9,7,3,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_sigma_t_dollars>=75,18,0.33962264150943394,-21.489182,10.200818000000002,14,4,-7.9791799999999995,-13.260002,-0.25000000000000006,9,5,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_sigma_t_dollars>=75,19,0.3584905660377358,-22.419182,9.270818000000002,15,4,-6.07918,-16.090002000000002,-0.25000000000000006,9,6,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds<=180,20,0.37735849056603776,-22.70918,8.980820000000001,15,5,-6.99918,-15.46,-0.25000000000000006,10,6,4,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=18 AND exit_sigma_t_dollars>=75,16,0.3018867924528302,-22.98918,8.70082,13,3,-5.859179999999999,-16.160000000000004,-0.97,7,6,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=0,18,0.33962264150943394,-23.079179999999997,8.610820000000004,13,5,-7.379179999999999,-14.73,-0.97,7,8,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=15,13,0.24528301886792453,-23.259182000000003,8.430817999999999,9,4,-10.909180000000001,-10.600002,-1.7499999999999998,5,6,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND fair_minus_exit_bid_cents>=15,6,0.11320754716981132,-23.330000000000002,8.36,5,1,-8.62,-11.43,-3.2800000000000002,2,4,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=100,5,0.09433962264150944,-24.480002000000002,7.209997999999999,5,0,-10.01,-11.190002,-3.2800000000000002,2,3,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND exit_sigma_t_dollars>=50,9,0.16981132075471697,-24.51,7.18,8,1,-6.0200000000000005,-16.71,-1.78,5,2,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_fair_drawdown_cents<=8,7,0.1320754716981132,-24.610000000000003,7.079999999999998,7,0,-6.0200000000000005,-16.810000000000002,-1.78,5,0,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND position_seconds<=45,26,0.49056603773584906,-24.709999999999997,6.980000000000004,18,8,-5.920000000000001,-15.88,-2.9099999999999997,16,3,7,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=75 AND exit_sigma_t_dollars>=75,14,0.2641509433962264,-24.829182,6.860818000000002,11,3,-7.65918,-16.190002000000003,-0.98,7,4,3,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND exit_fair_drawdown_cents<=8,10,0.18867924528301888,-25.130000000000003,6.559999999999999,8,2,-7.6000000000000005,-15.75,-1.78,7,1,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND fair_minus_exit_bid_cents>=15,6,0.11320754716981132,-25.240000000000002,6.449999999999999,4,2,-8.62,-13.34,-3.2800000000000002,2,4,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms>=500,8,0.1509433962264151,-25.309999999999995,6.380000000000006,7,1,-9.95,-15.11,-0.25000000000000006,2,2,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=500,15,0.2830188679245283,-25.359182,6.330818000000001,10,5,-8.64918,-13.430002000000002,-3.2800000000000002,8,7,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_fair_drawdown_cents<=8,10,0.18867924528301888,-25.51,6.18,8,2,-7.0200000000000005,-16.71,-1.78,6,2,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds>=90,5,0.09433962264150944,-25.850002,5.839998000000001,4,1,-11.6,-10.970002000000001,-3.2800000000000002,0,5,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=5,10,0.18867924528301888,-25.890000000000004,5.799999999999997,7,3,-9.88,-13.5,-2.51,2,7,1,True,True
suppress_collapse_exit_if_exit_btc_age_ms<=100 AND entry_to_exit_loss_cents>=20,9,0.16981132075471697,-25.920002,5.769998000000001,6,3,-10.62,-12.020002000000002,-3.2800000000000002,4,5,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND entry_to_exit_loss_cents>=10,6,0.11320754716981132,-25.970000000000002,5.719999999999999,5,1,-6.65,-16.810000000000002,-2.51,5,0,1,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=15,3,0.05660377358490566,-26.130000000000003,5.559999999999999,3,0,-11.6,-11.25,-3.2800000000000002,0,3,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=4 AND exit_sigma_t_dollars>=50,7,0.1320754716981132,-26.26,5.43,6,1,-7.000000000000001,-16.71,-2.55,4,2,1,True,True
suppress_collapse_exit_if_exit_p_hold>=0.65 AND exit_fair_drawdown_cents<=8,7,0.1320754716981132,-26.31,5.380000000000003,6,1,-8.78,-15.75,-1.78,4,1,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_fair_drawdown_cents<=4,5,0.09433962264150944,-26.360000000000003,5.329999999999998,5,0,-7.000000000000001,-16.810000000000002,-2.55,4,0,1,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=20 AND exit_btc_age_ms<=100,4,0.07547169811320754,-26.600002000000003,5.089997999999998,3,1,-10.749999999999998,-12.570001999999999,-3.2800000000000002,1,3,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=55 AND exit_fair_drawdown_cents<=8,5,0.09433962264150944,-26.66,5.030000000000001,5,0,-8.07,-16.810000000000002,-1.78,3,0,2,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=18 AND exit_sigma_t_dollars>=100,8,0.1509433962264151,-26.700000000000003,4.989999999999998,7,1,-7.76,-15.66,-3.2800000000000002,5,3,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND fair_minus_exit_bid_cents>=0,11,0.20754716981132076,-26.720000000000002,4.969999999999999,7,4,-8.23,-16.71,-1.78,7,2,2,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND exit_sigma_t_dollars>=100,6,0.11320754716981132,-26.790000000000003,4.899999999999999,6,0,-7.76,-15.75,-3.2800000000000002,5,1,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=80 AND exit_sigma_t_dollars>=75,7,0.1320754716981132,-26.819181999999998,4.870818000000003,6,1,-8.249179999999999,-16.010002,-2.5600000000000005,4,2,1,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND exit_fair_drawdown_cents<=4,8,0.1509433962264151,-26.880000000000003,4.809999999999999,6,2,-8.58,-15.75,-2.55,6,1,1,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND exit_fair_drawdown_cents<=12,7,0.1320754716981132,-26.900000000000002,4.789999999999999,6,1,-8.309999999999999,-16.810000000000002,-1.78,5,0,2,True,True
suppress_collapse_exit_if_exit_p_hold>=0.65 AND exit_fair_drawdown_cents<=4,6,0.11320754716981132,-27.080000000000002,4.609999999999999,5,1,-8.78,-15.75,-2.55,4,1,1,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8,13,0.24528301886792453,-27.120000000000005,4.569999999999997,8,5,-8.63,-16.71,-1.78,9,2,2,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND position_seconds<=180,13,0.24528301886792453,-27.120000000000005,4.569999999999997,8,5,-8.63,-16.71,-1.78,9,2,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=300,12,0.22641509433962265,-27.129182000000004,4.560817999999998,8,4,-9.49918,-14.350002,-3.2800000000000002,7,5,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=80 AND exit_btc_age_ms<=300,10,0.18867924528301888,-27.169182000000003,4.5208179999999984,7,3,-8.369179999999998,-15.520002,-3.2800000000000002,6,4,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=80 AND exit_btc_age_ms<=500,10,0.18867924528301888,-27.169182000000003,4.5208179999999984,7,3,-8.369179999999998,-15.520002,-3.2800000000000002,6,4,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND position_seconds<=45,22,0.41509433962264153,-27.189999999999994,4.500000000000007,15,7,-8.95,-15.88,-2.3600000000000003,13,3,6,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND position_seconds<=180,9,0.16981132075471697,-27.20918,4.480820000000001,7,2,-8.61918,-16.810000000000002,-1.78,7,0,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents<=70 AND exit_p_hold>=0.6,7,0.1320754716981132,-27.23,4.460000000000001,5,2,-8.2,-15.75,-3.2800000000000002,6,1,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_fair_drawdown_cents<=4,8,0.1509433962264151,-27.26,4.43,6,2,-8.0,-16.71,-2.55,5,2,1,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=100 AND fair_minus_exit_bid_cents>=0,7,0.1320754716981132,-27.3,4.390000000000001,6,1,-8.36,-15.66,-3.2800000000000002,4,3,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents<=45 AND exit_sigma_t_dollars>=75,3,0.05660377358490566,-27.330000000000002,4.359999999999999,2,1,-11.6,-12.45,-3.2800000000000002,0,3,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND fair_minus_exit_bid_cents>=5,10,0.18867924528301888,-27.45,4.240000000000002,6,4,-8.23,-16.71,-2.51,7,2,1,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND exit_fair_drawdown_cents<=10,6,0.11320754716981132,-27.57,4.120000000000001,5,1,-8.979999999999999,-16.810000000000002,-1.78,4,0,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents<=0,5,0.09433962264150944,-27.590002,4.099998000000003,4,1,-11.22,-13.810002,-2.5600000000000005,3,1,1,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND fair_minus_exit_bid_cents>=15,3,0.05660377358490566,-27.650000000000002,4.039999999999999,3,0,-8.62,-15.75,-3.2800000000000002,2,1,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=4 AND entry_to_exit_loss_cents>=10,3,0.05660377358490566,-27.69,4.0,3,0,-7.6000000000000005,-16.810000000000002,-3.2800000000000002,3,0,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=15 AND exit_sigma_t_dollars>=100,7,0.1320754716981132,-27.750000000000004,3.9399999999999977,6,1,-7.76,-16.71,-3.2800000000000002,5,2,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=100,9,0.16981132075471697,-27.77,3.9200000000000017,7,2,-8.830000000000002,-15.66,-3.2800000000000002,6,3,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_sigma_t_dollars>=100,9,0.16981132075471697,-27.77,3.9200000000000017,7,2,-8.830000000000002,-15.66,-3.2800000000000002,6,3,0,True,True
