dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive_net,coverage_pass,median_ask
current,brownian70_skip_book_conflict,9,20,19,0.95,18,1,0.9473684210526315,343.0,0.2354152367879204,True,True,73.0
current,brownian70_skip_book_conflict,10,20,19,0.95,16,3,0.8421052631578947,85.0,0.056105610561056105,True,True,80.0
current,brownian70_skip_book_conflict,11,20,20,1.0,14,6,0.7,-210.0,-0.13043478260869565,False,True,80.0
current,brownian70_skip_book_conflict,12,20,19,0.95,16,3,0.8421052631578947,71.0,0.04643557880967953,True,True,81.0
current,brownian70_skip_book_conflict,13,20,18,0.9,17,1,0.9444444444444444,208.0,0.13941018766756033,True,True,80.5
current,brownian70_skip_book_conflict,14,20,20,1.0,16,4,0.8,54.0,0.03492884864165589,True,True,73.5
current,brownian70_skip_book_conflict,15,7,6,0.8571428571428571,5,1,0.8333333333333334,4.0,0.008064516129032258,True,True,84.5
current,book_margin_skip_brownian_conflict,0,20,20,1.0,12,8,0.6,-123.0,-0.09297052154195011,False,True,63.0
current,book_margin_skip_brownian_conflict,1,20,20,1.0,14,6,0.7,59.0,0.04399701715137957,True,True,64.5
current,book_margin_skip_brownian_conflict,2,20,20,1.0,15,5,0.75,139.0,0.10213078618662748,True,True,63.5
current,book_margin_skip_brownian_conflict,3,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,True,True,63.0
current,book_margin_skip_brownian_conflict,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,62.5
current,book_margin_skip_brownian_conflict,5,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,False,True,62.0
current,book_margin_skip_brownian_conflict,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True,63.5
current,book_margin_skip_brownian_conflict,7,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,True,True,65.0
current,book_margin_skip_brownian_conflict,8,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,True,True,62.0
current,book_margin_skip_brownian_conflict,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True,65.0
current,book_margin_skip_brownian_conflict,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True,66.0
current,book_margin_skip_brownian_conflict,11,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,False,True,64.0
current,book_margin_skip_brownian_conflict,12,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,True,True,62.5
current,book_margin_skip_brownian_conflict,13,20,20,1.0,17,3,0.85,285.0,0.20141342756183744,True,True,67.0
current,book_margin_skip_brownian_conflict,14,20,20,1.0,11,9,0.55,-260.0,-0.19117647058823528,False,True,64.0
current,book_margin_skip_brownian_conflict,15,7,7,1.0,5,2,0.7142857142857143,10.0,0.02040816326530612,True,True,66.0
current,book_margin_conflict_only,0,20,0,0.0,0,0,,0.0,,False,False,
current,book_margin_conflict_only,1,20,0,0.0,0,0,,0.0,,False,False,
current,book_margin_conflict_only,2,20,0,0.0,0,0,,0.0,,False,False,
current,book_margin_conflict_only,3,20,0,0.0,0,0,,0.0,,False,False,
current,book_margin_conflict_only,4,20,0,0.0,0,0,,0.0,,False,False,
current,book_margin_conflict_only,5,20,0,0.0,0,0,,0.0,,False,False,
current,book_margin_conflict_only,6,20,0,0.0,0,0,,0.0,,False,False,
current,book_margin_conflict_only,7,20,0,0.0,0,0,,0.0,,False,False,
current,book_margin_conflict_only,8,20,0,0.0,0,0,,0.0,,False,False,
current,book_margin_conflict_only,9,20,0,0.0,0,0,,0.0,,False,False,
current,book_margin_conflict_only,10,20,0,0.0,0,0,,0.0,,False,False,
current,book_margin_conflict_only,11,20,0,0.0,0,0,,0.0,,False,False,
current,book_margin_conflict_only,12,20,0,0.0,0,0,,0.0,,False,False,
current,book_margin_conflict_only,13,20,0,0.0,0,0,,0.0,,False,False,
current,book_margin_conflict_only,14,20,0,0.0,0,0,,0.0,,False,False,
current,book_margin_conflict_only,15,7,0,0.0,0,0,,0.0,,False,False,
current,book_conflict_only_no_margin,0,20,14,0.7,11,3,0.7857142857142857,138.0,0.14345114345114346,True,False,66.5
current,book_conflict_only_no_margin,1,20,13,0.65,9,4,0.6923076923076923,16.0,0.01809954751131222,True,False,64.0
current,book_conflict_only_no_margin,2,20,14,0.7,10,4,0.7142857142857143,36.0,0.03734439834024896,True,False,63.5
current,book_conflict_only_no_margin,3,20,9,0.45,7,2,0.7777777777777778,97.0,0.16086235489220563,True,False,64.0
current,book_conflict_only_no_margin,4,20,14,0.7,11,3,0.7857142857142857,146.0,0.1530398322851153,True,False,65.0
current,book_conflict_only_no_margin,5,20,11,0.55,6,5,0.5454545454545454,-153.0,-0.20318725099601595,False,False,63.0
current,book_conflict_only_no_margin,6,20,9,0.45,5,4,0.5555555555555556,-109.0,-0.17898193760262726,False,False,63.0
current,book_conflict_only_no_margin,7,20,10,0.5,7,3,0.7,16.0,0.023391812865497075,True,False,64.0
current,book_conflict_only_no_margin,8,20,10,0.5,8,2,0.8,150.0,0.23076923076923078,True,False,62.5
current,book_conflict_only_no_margin,9,20,10,0.5,7,3,0.7,40.0,0.06060606060606061,True,False,63.0
current,book_conflict_only_no_margin,10,20,13,0.65,8,5,0.6153846153846154,-64.0,-0.07407407407407407,False,False,63.0
current,book_conflict_only_no_margin,11,20,15,0.75,10,5,0.6666666666666666,-17.0,-0.01671583087512291,False,False,63.0
current,book_conflict_only_no_margin,12,20,7,0.35,5,2,0.7142857142857143,19.0,0.0395010395010395,True,False,66.0
current,book_conflict_only_no_margin,13,20,13,0.65,10,3,0.7692307692307693,101.0,0.11234705228031146,True,False,65.0
current,book_conflict_only_no_margin,14,20,12,0.6,8,4,0.6666666666666666,7.0,0.008827238335435058,True,False,62.0
current,book_conflict_only_no_margin,15,7,5,0.7142857142857143,3,2,0.6,-38.0,-0.11242603550295859,False,False,66.0
current,brownian70_conflict_only,0,20,2,0.1,0,2,0.0,-66.0,-1.0,False,False,31.0
current,brownian70_conflict_only,1,20,2,0.1,0,2,0.0,-100.0,-1.0,False,False,48.0
current,brownian70_conflict_only,2,20,1,0.05,1,0,1.0,57.0,1.3255813953488371,True,False,41.0
current,brownian70_conflict_only,3,20,0,0.0,0,0,,0.0,,False,False,
current,brownian70_conflict_only,4,20,4,0.2,0,4,0.0,-160.0,-1.0,False,False,37.0
current,brownian70_conflict_only,5,20,1,0.05,0,1,0.0,-52.0,-1.0,False,False,50.0
current,brownian70_conflict_only,6,20,3,0.15,1,2,0.3333333333333333,-17.0,-0.1452991452991453,False,False,38.0
current,brownian70_conflict_only,7,20,2,0.1,2,0,1.0,106.0,1.127659574468085,True,False,45.0
current,brownian70_conflict_only,8,20,1,0.05,0,1,0.0,-51.0,-1.0,False,False,49.0
current,brownian70_conflict_only,9,20,1,0.05,1,0,1.0,53.0,1.127659574468085,True,False,45.0
current,brownian70_conflict_only,10,20,2,0.1,0,2,0.0,-104.0,-1.0,False,False,50.0
current,brownian70_conflict_only,11,20,2,0.1,0,2,0.0,-62.0,-1.0,False,False,29.5
current,brownian70_conflict_only,12,20,3,0.15,1,2,0.3333333333333333,-16.0,-0.13793103448275862,False,False,34.0
current,brownian70_conflict_only,13,20,0,0.0,0,0,,0.0,,False,False,
current,brownian70_conflict_only,14,20,1,0.05,1,0,1.0,54.0,1.173913043478261,True,False,44.0
current,brownian70_conflict_only,15,7,0,0.0,0,0,,0.0,,False,False,
current,brownian70_override_book60_on_conflict,0,20,19,0.95,12,7,0.631578947368421,-290.0,-0.19463087248322147,False,True,80.0
current,brownian70_override_book60_on_conflict,1,20,18,0.9,15,3,0.8333333333333334,102.0,0.07296137339055794,True,True,74.0
current,brownian70_override_book60_on_conflict,2,20,19,0.95,14,5,0.7368421052631579,-154.0,-0.0990990990990991,False,True,80.0
current,brownian70_override_book60_on_conflict,3,20,20,1.0,19,1,0.95,339.0,0.21716848174247277,True,True,76.0
current,brownian70_override_book60_on_conflict,4,20,20,1.0,16,4,0.8,-10.0,-0.006211180124223602,False,True,78.0
current,brownian70_override_book60_on_conflict,5,20,20,1.0,17,3,0.85,133.0,0.08487555839183153,True,True,78.0
current,brownian70_override_book60_on_conflict,6,20,19,0.95,15,4,0.7894736842105263,12.0,0.008064516129032258,True,True,79.0
current,brownian70_override_book60_on_conflict,7,20,18,0.9,15,3,0.8333333333333334,89.0,0.06307583274273565,True,True,80.0
current,brownian70_override_book60_on_conflict,8,20,19,0.95,16,3,0.8421052631578947,113.0,0.07599193006052454,True,True,74.0
current,brownian70_override_book60_on_conflict,9,20,19,0.95,18,1,0.9473684210526315,343.0,0.2354152367879204,True,True,73.0
current,brownian70_override_book60_on_conflict,10,20,19,0.95,16,3,0.8421052631578947,85.0,0.056105610561056105,True,True,80.0
current,brownian70_override_book60_on_conflict,11,20,20,1.0,14,6,0.7,-210.0,-0.13043478260869565,False,True,80.0
current,brownian70_override_book60_on_conflict,12,20,19,0.95,16,3,0.8421052631578947,71.0,0.04643557880967953,True,True,81.0
current,brownian70_override_book60_on_conflict,13,20,18,0.9,17,1,0.9444444444444444,208.0,0.13941018766756033,True,True,80.5
current,brownian70_override_book60_on_conflict,14,20,20,1.0,16,4,0.8,54.0,0.03492884864165589,True,True,73.5
current,brownian70_override_book60_on_conflict,15,7,6,0.8571428571428571,5,1,0.8333333333333334,4.0,0.008064516129032258,True,True,84.5
current,brownian70_override_book65_on_conflict,0,20,19,0.95,12,7,0.631578947368421,-290.0,-0.19463087248322147,False,True,80.0
current,brownian70_override_book65_on_conflict,1,20,18,0.9,15,3,0.8333333333333334,102.0,0.07296137339055794,True,True,74.0
current,brownian70_override_book65_on_conflict,2,20,19,0.95,14,5,0.7368421052631579,-154.0,-0.0990990990990991,False,True,80.0
current,brownian70_override_book65_on_conflict,3,20,20,1.0,19,1,0.95,339.0,0.21716848174247277,True,True,76.0
current,brownian70_override_book65_on_conflict,4,20,20,1.0,16,4,0.8,-10.0,-0.006211180124223602,False,True,78.0
current,brownian70_override_book65_on_conflict,5,20,20,1.0,17,3,0.85,133.0,0.08487555839183153,True,True,78.0
current,brownian70_override_book65_on_conflict,6,20,19,0.95,15,4,0.7894736842105263,12.0,0.008064516129032258,True,True,79.0
current,brownian70_override_book65_on_conflict,7,20,18,0.9,15,3,0.8333333333333334,89.0,0.06307583274273565,True,True,80.0
current,brownian70_override_book65_on_conflict,8,20,19,0.95,16,3,0.8421052631578947,113.0,0.07599193006052454,True,True,74.0
current,brownian70_override_book65_on_conflict,9,20,19,0.95,18,1,0.9473684210526315,343.0,0.2354152367879204,True,True,73.0
current,brownian70_override_book65_on_conflict,10,20,19,0.95,16,3,0.8421052631578947,85.0,0.056105610561056105,True,True,80.0
current,brownian70_override_book65_on_conflict,11,20,20,1.0,14,6,0.7,-210.0,-0.13043478260869565,False,True,80.0
current,brownian70_override_book65_on_conflict,12,20,19,0.95,16,3,0.8421052631578947,71.0,0.04643557880967953,True,True,81.0
current,brownian70_override_book65_on_conflict,13,20,18,0.9,17,1,0.9444444444444444,208.0,0.13941018766756033,True,True,80.5
current,brownian70_override_book65_on_conflict,14,20,20,1.0,16,4,0.8,54.0,0.03492884864165589,True,True,73.5
current,brownian70_override_book65_on_conflict,15,7,6,0.8571428571428571,5,1,0.8333333333333334,4.0,0.008064516129032258,True,True,84.5
current,brownian70_override_book55_no_margin_on_conflict,0,20,20,1.0,14,6,0.7,-12.0,-0.0084985835694051,False,True,63.5
current,brownian70_override_book55_no_margin_on_conflict,1,20,20,1.0,14,6,0.7,98.0,0.07526881720430108,True,True,58.5
current,brownian70_override_book55_no_margin_on_conflict,2,20,20,1.0,16,4,0.8,247.0,0.18255728011825573,True,True,62.5
current,brownian70_override_book55_no_margin_on_conflict,3,20,20,1.0,14,6,0.7,46.0,0.033973412112259974,True,True,63.0
current,brownian70_override_book55_no_margin_on_conflict,4,20,20,1.0,13,7,0.65,-7.0,-0.005355776587605203,False,True,60.5
current,brownian70_override_book55_no_margin_on_conflict,5,20,20,1.0,13,7,0.65,-33.0,-0.024756189047261814,False,True,60.5
current,brownian70_override_book55_no_margin_on_conflict,6,20,19,0.95,12,7,0.631578947368421,-142.0,-0.10581222056631892,False,True,69.0
current,brownian70_override_book55_no_margin_on_conflict,7,20,19,0.95,16,3,0.8421052631578947,265.0,0.19850187265917604,True,True,68.0
current,brownian70_override_book55_no_margin_on_conflict,8,20,20,1.0,15,5,0.75,111.0,0.07991360691144708,True,True,63.0
current,brownian70_override_book55_no_margin_on_conflict,9,20,19,0.95,15,4,0.7894736842105263,184.0,0.1398176291793313,True,True,64.0
current,brownian70_override_book55_no_margin_on_conflict,10,20,20,1.0,15,5,0.75,205.0,0.1583011583011583,True,True,59.5
current,brownian70_override_book55_no_margin_on_conflict,11,20,20,1.0,13,7,0.65,-102.0,-0.07275320970042796,False,True,64.5
current,brownian70_override_book55_no_margin_on_conflict,12,20,20,1.0,15,5,0.75,66.0,0.04602510460251046,True,True,65.5
current,brownian70_override_book55_no_margin_on_conflict,13,20,20,1.0,12,8,0.6,-128.0,-0.0963855421686747,False,True,59.0
current,brownian70_override_book55_no_margin_on_conflict,14,20,20,1.0,12,8,0.6,-188.0,-0.13544668587896252,False,True,67.0
current,brownian70_override_book55_no_margin_on_conflict,15,7,7,1.0,4,3,0.5714285714285714,-27.0,-0.06323185011709602,False,True,58.0
current,brownian70_override_book60_no_margin_on_conflict,0,20,20,1.0,13,7,0.65,-179.0,-0.12102772143340094,False,True,67.5
current,brownian70_override_book60_no_margin_on_conflict,1,20,19,0.95,15,4,0.7894736842105263,122.0,0.08853410740203194,True,True,68.0
current,brownian70_override_book60_no_margin_on_conflict,2,20,20,1.0,15,5,0.75,-4.0,-0.0026595744680851063,False,True,73.0
current,brownian70_override_book60_no_margin_on_conflict,3,20,20,1.0,17,3,0.85,237.0,0.1619958988380041,True,True,71.5
current,brownian70_override_book60_no_margin_on_conflict,4,20,20,1.0,14,6,0.7,-43.0,-0.0297990297990298,False,True,68.0
current,brownian70_override_book60_no_margin_on_conflict,5,20,20,1.0,13,7,0.65,-136.0,-0.0947075208913649,False,True,70.5
current,brownian70_override_book60_no_margin_on_conflict,6,20,19,0.95,15,4,0.7894736842105263,66.0,0.04602510460251046,True,True,74.0
current,brownian70_override_book60_no_margin_on_conflict,7,20,19,0.95,17,2,0.8947368421052632,282.0,0.19887165021156558,True,True,74.0
current,brownian70_override_book60_no_margin_on_conflict,8,20,20,1.0,16,4,0.8,154.0,0.10650069156293222,True,True,66.5
current,brownian70_override_book60_no_margin_on_conflict,9,20,19,0.95,15,4,0.7894736842105263,126.0,0.09170305676855896,True,True,71.0
current,brownian70_override_book60_no_margin_on_conflict,10,20,20,1.0,14,6,0.7,10.0,0.007194244604316547,True,True,66.5
current,brownian70_override_book60_no_margin_on_conflict,11,20,20,1.0,13,7,0.65,-142.0,-0.09847434119278779,False,True,66.0
current,brownian70_override_book60_no_margin_on_conflict,12,20,20,1.0,16,4,0.8,70.0,0.0457516339869281,True,True,75.0
current,brownian70_override_book60_no_margin_on_conflict,13,20,20,1.0,16,4,0.8,120.0,0.08108108108108109,True,True,70.5
current,brownian70_override_book60_no_margin_on_conflict,14,20,20,1.0,14,6,0.7,-31.0,-0.02166317260656883,False,True,69.5
current,brownian70_override_book60_no_margin_on_conflict,15,7,7,1.0,5,2,0.7142857142857143,-10.0,-0.0196078431372549,False,True,68.0
v21,book_margin_locked,0,20,19,0.95,16,3,0.8421052631578947,223.0,0.16194625998547568,True,True,70.0
v21,book_margin_locked,1,20,20,1.0,11,9,0.55,-283.0,-0.20462762111352134,False,True,65.0
v21,book_margin_locked,2,20,20,1.0,13,7,0.65,-104.0,-0.07407407407407407,False,True,65.0
v21,book_margin_locked,3,20,20,1.0,13,7,0.65,-84.0,-0.06069364161849711,False,True,66.0
v21,book_margin_locked,4,20,20,1.0,14,6,0.7,32.0,0.023391812865497075,True,True,65.5
v21,book_margin_locked,5,20,20,1.0,14,6,0.7,40.0,0.029411764705882353,True,True,66.5
v21,book_margin_locked,6,20,20,1.0,17,3,0.85,343.0,0.2527634487840825,True,True,64.5
v21,book_margin_locked,7,20,20,1.0,16,4,0.8,230.0,0.1678832116788321,True,True,64.5
v21,book_margin_locked,8,20,20,1.0,10,10,0.5,-332.0,-0.24924924924924924,False,True,63.5
v21,book_margin_locked,9,20,20,1.0,17,3,0.85,292.0,0.20738636363636365,True,True,67.0
v21,book_margin_locked,10,20,19,0.95,14,5,0.7368421052631579,31.0,0.022644265887509132,True,True,68.0
v21,book_margin_locked,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,True,True,61.0
v21,brownian70_sec120,0,20,19,0.95,18,1,0.9473684210526315,339.0,0.23203285420944558,True,True,76.0
v21,brownian70_sec120,1,20,20,1.0,13,7,0.65,-220.0,-0.14473684210526316,False,True,75.0
v21,brownian70_sec120,2,20,20,1.0,12,8,0.6,-368.0,-0.23469387755102042,False,True,77.0
v21,brownian70_sec120,3,20,19,0.95,14,5,0.7368421052631579,-81.0,-0.054692775151924375,False,True,76.0
v21,brownian70_sec120,4,20,19,0.95,14,5,0.7368421052631579,-86.0,-0.05787348586810229,False,True,79.0
v21,brownian70_sec120,5,20,18,0.9,15,3,0.8333333333333334,87.0,0.06157112526539278,True,True,75.5
v21,brownian70_sec120,6,20,20,1.0,18,2,0.9,168.0,0.10294117647058823,True,True,78.5
v21,brownian70_sec120,7,20,20,1.0,18,2,0.9,189.0,0.11731843575418995,True,True,79.0
v21,brownian70_sec120,8,20,20,1.0,15,5,0.75,-147.0,-0.08925318761384335,False,True,80.0
v21,brownian70_sec120,9,20,19,0.95,15,4,0.7894736842105263,23.0,0.015572105619498984,True,True,76.0
v21,brownian70_sec120,10,20,18,0.9,17,1,0.9444444444444444,210.0,0.14093959731543623,True,True,81.0
v21,brownian70_sec120,11,1,1,1.0,1,0,1.0,18.0,0.21951219512195122,True,True,80.0
v21,score_min60_lock_equiv,0,20,19,0.95,17,2,0.8947368421052632,302.0,0.21602288984263232,True,True,70.0
v21,score_min60_lock_equiv,1,20,20,1.0,12,8,0.6,-214.0,-0.15134370579915135,False,True,66.0
v21,score_min60_lock_equiv,2,20,20,1.0,13,7,0.65,-130.0,-0.09090909090909091,False,True,68.0
v21,score_min60_lock_equiv,3,20,20,1.0,12,8,0.6,-228.0,-0.15966386554621848,False,True,71.0
v21,score_min60_lock_equiv,4,20,19,0.95,14,5,0.7368421052631579,107.0,0.08275328692962104,True,True,65.0
v21,score_min60_lock_equiv,5,20,20,1.0,15,5,0.75,93.0,0.06609808102345416,True,True,68.0
v21,score_min60_lock_equiv,6,20,20,1.0,17,3,0.85,267.0,0.18632240055826937,True,True,68.0
v21,score_min60_lock_equiv,7,20,20,1.0,17,3,0.85,288.0,0.20396600566572237,True,True,67.0
v21,score_min60_lock_equiv,8,20,20,1.0,12,8,0.6,-193.0,-0.13854989231873654,False,True,65.0
v21,score_min60_lock_equiv,9,20,20,1.0,16,4,0.8,120.0,0.08108108108108109,True,True,70.0
v21,score_min60_lock_equiv,10,20,19,0.95,15,4,0.7894736842105263,85.0,0.06007067137809187,True,True,71.0
v21,score_min60_lock_equiv,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,True,True,61.0
v21,brownian70_skip_book_conflict,0,20,18,0.9,18,0,1.0,384.0,0.2711864406779661,True,True,76.0
v21,brownian70_skip_book_conflict,1,20,20,1.0,12,8,0.6,-350.0,-0.22580645161290322,False,True,75.0
v21,brownian70_skip_book_conflict,2,20,20,1.0,12,8,0.6,-368.0,-0.23469387755102042,False,True,77.0
v21,brownian70_skip_book_conflict,3,20,19,0.95,14,5,0.7368421052631579,-81.0,-0.054692775151924375,False,True,76.0
v21,brownian70_skip_book_conflict,4,20,19,0.95,14,5,0.7368421052631579,-86.0,-0.05787348586810229,False,True,79.0
v21,brownian70_skip_book_conflict,5,20,18,0.9,15,3,0.8333333333333334,87.0,0.06157112526539278,True,True,75.5
v21,brownian70_skip_book_conflict,6,20,20,1.0,18,2,0.9,168.0,0.10294117647058823,True,True,78.5
v21,brownian70_skip_book_conflict,7,20,20,1.0,18,2,0.9,189.0,0.11731843575418995,True,True,79.0
v21,brownian70_skip_book_conflict,8,20,20,1.0,15,5,0.75,-147.0,-0.08925318761384335,False,True,80.0
v21,brownian70_skip_book_conflict,9,20,19,0.95,15,4,0.7894736842105263,23.0,0.015572105619498984,True,True,76.0
v21,brownian70_skip_book_conflict,10,20,18,0.9,17,1,0.9444444444444444,210.0,0.14093959731543623,True,True,81.0
v21,brownian70_skip_book_conflict,11,1,1,1.0,1,0,1.0,18.0,0.21951219512195122,True,True,80.0
v21,book_margin_skip_brownian_conflict,0,20,19,0.95,16,3,0.8421052631578947,223.0,0.16194625998547568,True,True,70.0
v21,book_margin_skip_brownian_conflict,1,20,20,1.0,11,9,0.55,-283.0,-0.20462762111352134,False,True,65.0
v21,book_margin_skip_brownian_conflict,2,20,20,1.0,13,7,0.65,-104.0,-0.07407407407407407,False,True,65.0
v21,book_margin_skip_brownian_conflict,3,20,20,1.0,13,7,0.65,-84.0,-0.06069364161849711,False,True,66.0
v21,book_margin_skip_brownian_conflict,4,20,20,1.0,14,6,0.7,32.0,0.023391812865497075,True,True,65.5
v21,book_margin_skip_brownian_conflict,5,20,20,1.0,14,6,0.7,40.0,0.029411764705882353,True,True,66.5
