entry_dt,market,side,market_result,win,qty,ask_cents,strike,seconds_to_close,btc_close,v28_p_side,v28_edge_cents,v28_fair_side_cents,v28_abs_d_sigma,v28_sigma_t_dollars,history_bars
2026-03-24T05:28:49+00:00,KXBTC15M-26MAR240130-30,no,no,True,10,92.0,70187.34,71.0,70176.9,0.5967710529735939,-34.92289470264061,59.67710529735939,0.2717118462414105,38.423057899089905,240
2026-03-24T05:38:26+00:00,KXBTC15M-26MAR240145-45,yes,yes,True,10,90.0,70162.12,394.0,70222.0,0.5709949231734015,-35.60050768265985,57.09949231734015,0.16482639673217778,89.67010316930292,251
2026-03-24T05:55:16+00:00,KXBTC15M-26MAR240200-00,no,no,True,10,90.0,70311.54,284.0,70288.18,0.8911702117692205,-3.5829788230779487,89.11702117692205,1.1823284398688387,75.73191761328746,269
2026-03-24T06:05:47+00:00,KXBTC15M-26MAR240215-15,yes,yes,True,10,90.0,70259.17,553.0,70331.63,0.6167438455611592,-31.025615443884075,61.674384556115925,0.2769519776255401,104.74740151239673,280
2026-03-24T06:35:40+00:00,KXBTC15M-26MAR240245-45,yes,yes,True,10,90.0,70334.66,560.0,70434.45,0.4925713237869612,-43.44286762130388,49.25713237869612,0.029474284738955837,102.80147684106879,311
2026-03-24T06:56:36+00:00,KXBTC15M-26MAR240300-00,yes,yes,True,10,90.0,70443.91,204.0,70476.3,0.43052973769123265,-49.64702623087674,43.05297376912326,0.15423710459318168,61.334138921748135,333
2026-03-24T07:06:03+00:00,KXBTC15M-26MAR240315-15,yes,yes,True,10,92.0,70507.43,537.0,70585.15,0.36666787138774043,-57.93321286122596,36.66678713877404,0.3133367926832669,99.34996695858034,344
2026-03-24T07:22:33+00:00,KXBTC15M-26MAR240330-30,yes,yes,True,10,90.0,70826.04,447.0,70949.56,0.008945090078626462,-91.80549099213735,0.8945090078626462,2.2804034817434506,105.63481503537713,361
2026-03-24T07:51:47+00:00,KXBTC15M-26MAR240400-00,yes,yes,True,10,90.0,70905.41,493.0,70948.95,0.6337078428977528,-29.329215710224712,63.37078428977529,0.36880093660858815,119.71227732225361,391
2026-03-24T08:08:05+00:00,KXBTC15M-26MAR240415-15,no,no,True,10,90.0,71304.0,415.0,71179.79,0.9992504202569971,7.225042025699711,99.92504202569971,3.0690442595781,115.68748117331208,409
