dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive_net,coverage_pass
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,6,20,19,0.95,12,7,0.631578947368421,100.0,0.09090909090909091,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,7,20,20,1.0,9,11,0.45,-240.0,-0.21052631578947367,False,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,8,20,20,1.0,11,9,0.55,-45.0,-0.039301310043668124,False,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,9,20,20,1.0,17,3,0.85,482.0,0.3957307060755337,True,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,10,20,18,0.9,9,9,0.5,-116.0,-0.1141732283464567,False,True
v21,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=120,11,1,1,1.0,1,0,1.0,45.0,0.8181818181818182,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=300,0,20,19,0.95,12,7,0.631578947368421,90.0,0.08108108108108109,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=300,1,20,20,1.0,13,7,0.65,119.0,0.10076206604572396,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=300,2,20,20,1.0,10,10,0.5,-189.0,-0.15895710681244743,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=300,3,20,20,1.0,16,4,0.8,392.0,0.32450331125827814,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=300,4,20,20,1.0,7,13,0.35,-412.0,-0.37050359712230213,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=300,5,20,20,1.0,7,13,0.35,-453.0,-0.39288811795316564,False,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=300,6,20,20,1.0,14,6,0.7,218.0,0.1844331641285956,True,True
current,ridge_physics_fv; p>=0.5; fee_edge>=-2c; ask<=90; sec>=300,7,20,19,0.95,10,9,0.5263157894736842,-85.0,-0.07834101382488479,False,True
