rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_sigma_t_dollars>=75,25,0.4098360655737705,-20.580000000000002,16.52,18,7,-15.84,-1.1599999999999997,-3.580000000000001,15,4,6,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75,28,0.45901639344262296,-21.68,15.420000000000002,19,9,-14.86,-1.1599999999999997,-5.660000000000001,16,4,8,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=10,22,0.36065573770491804,-22.460000000000004,14.639999999999997,15,7,-16.4,-1.1599999999999997,-4.900000000000001,14,4,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND fair_minus_exit_bid_cents>=5,26,0.4262295081967213,-23.6,13.5,16,10,-8.779999999999998,-8.120000000000001,-6.700000000000002,12,4,10,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=15,15,0.2459016393442623,-23.62,13.48,10,5,-16.86,-1.1599999999999997,-5.600000000000001,8,4,3,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND fair_minus_exit_bid_cents>=5,24,0.39344262295081966,-23.88,13.220000000000002,15,9,-11.139999999999997,-8.120000000000001,-4.62,12,4,8,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND position_seconds<=45,27,0.4426229508196721,-23.94,13.16,21,6,-16.34,-7.0200000000000005,-0.5800000000000003,18,3,6,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=100,7,0.11475409836065574,-24.44,12.66,7,0,-15.979999999999997,-1.1599999999999997,-7.300000000000002,3,4,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND position_seconds<=90,33,0.5409836065573771,-24.5,12.600000000000001,23,10,-15.68,-5.5200000000000005,-3.3,19,4,10,True,True
suppress_collapse_exit_if_position_seconds<=45 AND fair_minus_exit_bid_cents>=5,15,0.2459016393442623,-25.12,11.98,12,3,-12.84,-8.3,-3.9800000000000013,8,1,6,True,True
suppress_collapse_exit_if_position_seconds<=45 AND fair_minus_exit_bid_cents>=0,29,0.47540983606557374,-25.260000000000005,11.839999999999996,20,9,-14.780000000000001,-7.82,-2.660000000000001,16,5,8,True,True
suppress_collapse_exit_if_entry_to_exit_loss_cents>=10 AND fair_minus_exit_bid_cents>=5,30,0.4918032786885246,-25.3,11.8,16,14,-12.559999999999999,-8.120000000000001,-4.62,18,4,8,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_sigma_t_dollars>=75,20,0.32786885245901637,-25.580000000000002,11.52,15,5,-16.74,-5.66,-3.1800000000000006,14,2,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_p_hold<=0.6,16,0.26229508196721313,-25.68,11.420000000000002,9,7,-18.1,-2.4800000000000004,-5.1000000000000005,6,6,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND position_seconds<=180,40,0.6557377049180327,-25.82,11.280000000000001,25,15,-13.479999999999999,-6.840000000000001,-5.500000000000001,22,6,12,True,True
suppress_collapse_exit_if_position_seconds<=45 AND entry_to_exit_loss_cents>=10,28,0.45901639344262296,-26.200000000000003,10.899999999999999,19,9,-16.48,-7.82,-1.9000000000000004,19,5,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND fair_minus_exit_bid_cents>=15,7,0.11475409836065574,-26.259999999999998,10.840000000000003,6,1,-12.159999999999998,-6.8,-7.300000000000002,5,2,0,True,True
suppress_collapse_exit_if_position_seconds<=180 AND fair_minus_exit_bid_cents>=5,29,0.47540983606557374,-26.280000000000005,10.819999999999997,16,13,-11.459999999999997,-8.120000000000001,-6.700000000000002,15,4,10,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND position_seconds<=45,31,0.5081967213114754,-26.38,10.720000000000002,21,10,-15.899999999999999,-7.82,-2.660000000000001,18,5,8,True,True
suppress_collapse_exit_if_position_seconds<=90 AND fair_minus_exit_bid_cents>=0,36,0.5901639344262295,-26.64,10.46,22,14,-14.940000000000001,-6.32,-5.380000000000002,18,6,12,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND position_seconds<=90,37,0.6065573770491803,-26.94,10.16,23,14,-15.239999999999998,-6.32,-5.380000000000002,19,6,12,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=20 AND exit_btc_age_ms<=100,7,0.11475409836065574,-26.959999999999997,10.140000000000004,5,2,-17.7,-1.96,-7.300000000000002,1,6,0,True,True
suppress_collapse_exit_if_position_seconds<=90 AND fair_minus_exit_bid_cents>=5,21,0.3442622950819672,-27.160000000000004,9.939999999999998,13,8,-13.66,-6.8,-6.700000000000002,9,2,10,True,True
suppress_collapse_exit_if_position_seconds<=45,34,0.5573770491803278,-27.48,9.620000000000001,22,12,-17.0,-7.82,-2.660000000000001,21,5,8,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=0,23,0.3770491803278688,-27.540000000000003,9.559999999999999,15,8,-15.08,-6.8,-5.660000000000001,13,2,8,True,True
