market,dataset,entry_key,entry_dt,side,outcome,outcome_available,win,qty,ask_cents,spot,strike,seconds_to_close,v28_sigma_t_dollars,v28_p_side,v28_edge_cents,v28_model_max_buy_price_cents,v28_depth_count,v28_balance_count,v28_book_age_ms,v28_btc_age_ms,source_line_no,outcome_method,outcome_source,opportunity_mode,side_sign,margin_dollars,margin_per_sqrt_sec,margin_per_v28_sigma,brownian_p_v28_sigma,candle_close_at_entry,rv_sigma_t_5m,margin_per_rv_sigma_5m,brownian_p_rv_5m,rv_sigma_t_15m,margin_per_rv_sigma_15m,brownian_p_rv_15m,rv_sigma_t_30m,margin_per_rv_sigma_30m,brownian_p_rv_30m,rv_sigma_t_60m,margin_per_rv_sigma_60m,brownian_p_rv_60m,btc_close_lag_1m,signed_move_1m,signed_velocity_dps_1m,adverse_move_1m,drift_projected_margin_1m,drift_p_1m_rv_15m,conservative_p_1m_rv_15m,drift_p_1m_rv_30m,conservative_p_1m_rv_30m,drift_p_1m_rv_60m,conservative_p_1m_rv_60m,btc_close_lag_3m,signed_move_3m,signed_velocity_dps_3m,adverse_move_3m,drift_projected_margin_3m,drift_p_3m_rv_15m,conservative_p_3m_rv_15m,drift_p_3m_rv_30m,conservative_p_3m_rv_30m,drift_p_3m_rv_60m,conservative_p_3m_rv_60m,btc_close_lag_5m,signed_move_5m,signed_velocity_dps_5m,adverse_move_5m,drift_projected_margin_5m,drift_p_5m_rv_15m,conservative_p_5m_rv_15m,drift_p_5m_rv_30m,conservative_p_5m_rv_30m,drift_p_5m_rv_60m,conservative_p_5m_rv_60m,btc_close_lag_10m,signed_move_10m,signed_velocity_dps_10m,adverse_move_10m,drift_projected_margin_10m,drift_p_10m_rv_15m,conservative_p_10m_rv_15m,drift_p_10m_rv_30m,conservative_p_10m_rv_30m,drift_p_10m_rv_60m,conservative_p_10m_rv_60m,btc_close_lag_15m,signed_move_15m,signed_velocity_dps_15m,adverse_move_15m,drift_projected_margin_15m,drift_p_15m_rv_15m,conservative_p_15m_rv_15m,drift_p_15m_rv_30m,conservative_p_15m_rv_30m,drift_p_15m_rv_60m,conservative_p_15m_rv_60m,btc_close_lag_30m,signed_move_30m,signed_velocity_dps_30m,adverse_move_30m,drift_projected_margin_30m,drift_p_30m_rv_15m,conservative_p_30m_rv_15m,drift_p_30m_rv_30m,conservative_p_30m_rv_30m,drift_p_30m_rv_60m,conservative_p_30m_rv_60m,btc_close_lag_60m,signed_move_60m,signed_velocity_dps_60m,adverse_move_60m,drift_projected_margin_60m,drift_p_60m_rv_15m,conservative_p_60m_rv_15m,drift_p_60m_rv_30m,conservative_p_60m_rv_30m,drift_p_60m_rv_60m,conservative_p_60m_rv_60m,shadow_lock_id,shadow_lock_created_utc,fresh_after_lock
KXBTC15M-26APR302230-30,current_v28_websocket_opportunities,signal:2,2026-05-01 02:17:02.401198+00:00,yes,no,True,False,2,69.0,76694.82,76652.0,777.636,75.301755,0.866168,14.116814,81.0,22.0,8.0,422.0,406.0,2,bid>=98,latest_quote,first_per_market,1.0,42.820000000006985,1.5355306305785374,0.5686454452490116,0.7152016112629536,76692.19,86.54316665549366,0.49478198747293956,0.6896229897776855,96.30258967717286,0.4446401716044075,0.6717100941006673,93.59641944041186,0.4574961334633995,0.6763427595988075,74.47066895826231,0.5749914778394941,0.7173514696849115,76660.69,34.13000000000466,0.5688333333334109,0.0,485.1652780000673,0.999999764697806,0.7152016112629536,0.9999998911712791,0.7152016112629536,0.999999999963619,0.7152016112629536,76675.97,18.85000000000582,0.10472222222225457,0.0,124.25577000003213,0.9015205039299601,0.7152016112629536,0.9078398492207316,0.7152016112629536,0.9523936867622856,0.7152016112629536,76666.59,28.230000000010477,0.09410000000003492,0.0,115.99554760003414,0.8857999605236584,0.7152016112629536,0.8923857668977524,0.7152016112629536,0.9403360042091606,0.7152016112629536,76640.06,54.76000000000931,0.09126666666668219,0.0,113.79224560001906,0.8813200520230333,0.7152016112629536,0.8879647972362018,0.7152016112629536,0.9367455037321235,0.7152016112629536,76639.27,55.55000000000291,0.061722222222225454,0.0,90.81742200000949,0.8271703832821424,0.7152016112629536,0.8340536841264794,0.7152016112629536,0.8886738857053179,0.7152016112629536,76600.93,93.89000000001397,0.052161111111118874,0.0,83.38235780001301,0.8067102576877804,0.7152016112629536,0.8135008732420159,0.7152016112629536,0.8685721745924868,0.7152016112629536,76586.55,108.27000000000407,0.030075000000001132,0.0,66.20740270000786,0.7541140966085784,0.7152016112629536,0.7603320559181517,0.7152016112629536,0.8130092055623925,0.7152016112629536,live_v28_websocket_opportunity_shadow_lock_v1,2026-05-02T05:18:38.157084+00:00,False
KXBTC15M-26APR302245-45,current_v28_websocket_opportunities,signal:65,2026-05-01 02:32:50.673731+00:00,no,no,True,True,2,80.0,76534.09,76603.27,729.368,75.535999,0.858747,2.374657,80.0,194.0,7.0,735.0,47.0,65,bid>=98,latest_quote,first_per_market,-1.0,69.18000000000757,2.561575760668313,0.9158547039274288,0.820128446478479,76560.37,44.83914468527863,1.5428483412334224,0.938566211371828,59.520275427589,1.1622930086096521,0.8774417672302238,79.81873231443278,0.866713840148254,0.806950589848084,74.9814935626383,0.9226276606802415,0.8218993621296984,76578.0,43.91000000000349,0.7318333333333915,0.0,602.9558146667167,1.0,0.820128446478479,0.9999999999999789,0.820128446478479,0.9999999999999996,0.820128446478479,76600.29,66.19999999999709,0.3677777777777616,0.0,337.42534222221803,0.9999999928217818,0.820128446478479,0.9999881793994545,0.820128446478479,0.9999966041641717,0.820128446478479,76597.17,63.080000000001746,0.21026666666667249,0.0,222.54177813334516,0.9999075951580788,0.820128446478479,0.9973490061945782,0.820128446478479,0.9985010640811531,0.820128446478479,76580.96,46.870000000009895,0.07811666666668315,0.0,126.15579693335293,0.9829777078851029,0.820128446478479,0.9430070797572898,0.820128446478479,0.9537633062951258,0.820128446478479,76692.19,158.10000000000582,0.17566666666667313,0.0,197.30564533334564,0.999541672339117,0.820128446478479,0.9932805500137577,0.820128446478479,0.9957481960087475,0.820128446478479,76639.27,105.18000000000757,0.058433333333337535,0.0,111.7994034666773,0.9698327686576007,0.820128446478479,0.919343048292161,0.820128446478479,0.932022747929624,0.820128446478479,76519.81,-14.279999999998836,-0.003966666666666343,14.279999999998836,66.28684026667447,0.8672928350991902,0.820128446478479,0.7968626614393111,0.7968626614393111,0.8116634122153548,0.8116634122153548,live_v28_websocket_opportunity_shadow_lock_v1,2026-05-02T05:18:38.157084+00:00,False
KXBTC15M-26APR302330-30,current_v28_websocket_opportunities,signal:88,2026-05-01 03:16:08.170410+00:00,yes,yes,True,True,2,78.0,76713.63,76668.47,831.868,79.389795,0.855738,4.073803,80.0,1468.0,7.0,16.0,156.0,88,bid>=98,latest_quote,first_per_market,1.0,45.16000000000349,1.56576551613337,0.5688388539106757,0.7152672478334481,76700.0,71.20932550407527,0.6341865995826489,0.7370204740970144,89.42043084304406,0.505029997890202,0.6932311166466115,77.55006013895525,0.5823335264870871,0.7198289765002283,72.38689027178346,0.6238698724374812,0.7336434762678931,76665.0,48.63000000000466,0.8105000000000776,0.0,719.3890140000681,0.9999999999999996,0.7152672478334481,1.0,0.7152672478334481,1.0,0.7152672478334481,76667.29,46.34000000001106,0.25744444444450587,0.0,259.3197951111657,0.9981342230231698,0.7152672478334481,0.9995869553165919,0.7152672478334481,0.9998297830198838,0.7152672478334481,76666.2,47.43000000000757,0.15810000000002522,0.0,176.67833080002447,0.9759121978074778,0.7152672478334481,0.9886441206172457,0.7152672478334481,0.9926716093205198,0.7152672478334481,76530.92,182.7100000000064,0.3045166666666773,0.0,298.477670466679,0.9995779500095412,0.7152672478334481,0.9999406604336072,0.7152672478334481,0.9999813312462744,0.7152672478334481,76551.03,162.60000000000582,0.18066666666667314,0.0,195.45081866667556,0.9855830955029945,0.7152672478334481,0.9941375585842878,0.7152672478334481,0.9965339208051363,0.7152672478334481,76545.8,167.83000000000175,0.09323888888888986,0.0,122.72244802222653,0.9150337411755816,0.7152672478334481,0.943231495913997,0.7152672478334481,0.9549972239058988,0.7152672478334481,76660.69,52.94000000000233,0.014705555555556202,0.0,57.39308108889292,0.739509544486783,0.7152672478334481,0.7703736183265604,0.7152672478334481,0.7860719580445277,0.7152672478334481,live_v28_websocket_opportunity_shadow_lock_v1,2026-05-02T05:18:38.157084+00:00,False
KXBTC15M-26MAY010015-15,current_v28_websocket_opportunities,signal:122,2026-05-01 04:13:03.341031+00:00,yes,yes,True,True,2,61.0,77101.18,77099.09,116.681,41.315007,0.873887,22.388745,81.0,434.0,9.0,141.0,32.0,122,bid>=98,latest_quote,first_per_market,1.0,2.0899999999965075,0.193484515739776,0.05058694531980855,0.5201726671839164,77101.18,14.276888585064244,0.1463904398737803,0.558193413057324,26.89709066540602,0.07770357121503046,0.5309680733604434,28.91592658279472,0.07227850693327183,0.5288098655326434,85.11224855593031,0.024555807600630992,0.5097953654572763,77104.59,-3.4100000000034925,-0.05683333333339154,3.4100000000034925,-4.541370166676951,0.4329602912726918,0.4329602912726918,0.43760103293644403,0.43760103293644403,0.4787235645750705,0.4787235645750705,77091.96,9.219999999986612,0.05122222222214785,0.0,8.06666011109894,0.6178764395784395,0.5201726671839164,0.6098658648018153,0.5201726671839164,0.5377539125013893,0.5201726671839164,77120.23,-19.05000000000291,-0.0635000000000097,19.05000000000291,-5.3192435000046245,0.42161533301183785,0.42161533301183785,0.4270241856255359,0.4270241856255359,0.4750836035773904,0.4750836035773904,77078.23,22.94999999999709,0.03824999999999515,0.0,6.553048249995942,0.5962428887564326,0.5201726671839164,0.5896420070788654,0.5201726671839164,0.5306854473768159,0.5201726671839164,77082.21,18.969999999986612,0.0210777777777629,0.0,4.549376188883661,0.5671567718883246,0.5201726671839164,0.5625080669077873,0.5201726671839164,0.5213139081675535,0.5201726671839164,77119.53,-18.35000000000582,-0.010194444444447679,18.35000000000582,0.900502027773908,0.5133539064091062,0.5133539064091062,0.5124218835472136,0.5124218835472136,0.5042207982552235,0.5042207982552235,76667.29,433.8899999999994,0.12052499999999984,0.0,16.152977524996487,0.725929255205213,0.5201726671839164,0.7117890149620928,0.5201726671839164,0.5752609619403807,0.5201726671839164,live_v28_websocket_opportunity_shadow_lock_v1,2026-05-02T05:18:38.157084+00:00,False
KXBTC15M-26MAY010115-15,current_v28_websocket_opportunities,signal:139,2026-05-01 05:05:03.736403+00:00,yes,yes,True,True,2,82.0,77089.1,77018.24,596.288,100.039249,0.889057,3.405742,83.0,70.0,7.0,562.0,171.0,139,bid>=98,latest_quote,first_per_market,1.0,70.86000000000058,2.90183766393672,0.7083219907018753,0.7606273380606272,77089.1,69.03963055744133,1.026367021779537,0.84764069170198,85.34877044072208,0.8302404315152438,0.7967985700525488,74.18740517534805,0.955148651344755,0.8302487356381065,85.83826615338727,0.8255059564388041,0.795457798785947,77047.82,41.279999999998836,0.6879999999999806,0.0,481.10614399998906,0.9999999913452253,0.7606273380606272,0.9999999999556374,0.7606273380606272,0.999999989575102,0.7606273380606272,77009.12,79.98000000001048,0.44433333333339153,0.0,335.81063466670196,0.9999583269553354,0.7606273380606272,0.999997001827165,0.7606273380606272,0.9999542575744436,0.7606273380606272,77004.99,84.11000000000058,0.2803666666666686,0.0,238.03927893333505,0.9973565957647645,0.7606273380606272,0.9993331345219099,0.7606273380606272,0.9972238648240077,0.7606273380606272,77013.49,75.61000000000058,0.12601666666666764,0.0,146.0022261333345,0.9564275093982053,0.7606273380606272,0.9754670766641691,0.7606273380606272,0.9555190283224788,0.7606273380606272,77026.83,62.270000000004075,0.06918888888889342,0.0,112.11650417778105,0.9055142293060353,0.7606273380606272,0.9346389689140602,0.7606273380606272,0.9042469518830931,0.7606273380606272,77051.75,37.35000000000582,0.020750000000003235,0.0,83.23297600000251,0.8352719532058566,0.7606273380606272,0.8690536129081892,0.7606273380606272,0.8338892225627235,0.7606273380606272,77080.79,8.310000000012224,0.002308333333336729,0.0,72.23643146666927,0.8013261380922487,0.7606273380606272,0.8348977603472105,0.7606273380606272,0.7999775731984131,0.7606273380606272,live_v28_websocket_opportunity_shadow_lock_v1,2026-05-02T05:18:38.157084+00:00,False
KXBTC15M-26MAY010200-00,current_v28_websocket_opportunities,signal:246,2026-05-01 05:55:07.010819+00:00,yes,yes,True,True,2,80.0,77133.81,77097.32,293.013,70.130899,0.882247,4.724656,82.0,17.0,8.0,953.0,234.0,246,bid>=98,last_decisive_quote,first_per_market,1.0,36.48999999999069,2.131721271646228,0.5203127369006162,0.6985771900582025,77140.0,35.81830679105499,1.018752790656856,0.8458398283163688,31.31438544691892,1.1652791354262713,0.8780469890501598,36.06355302097695,1.0118248742370362,0.8441891027493583,39.693628223488425,0.9192911213492443,0.8210283397099225,77120.87,12.940000000002328,0.21566666666670548,0.0,99.68313700000206,0.9992719709924689,0.6985771900582025,0.9971459663323384,0.6985771900582025,0.9939858556038412,0.6985771900582025,77105.25,28.55999999999767,0.15866666666665374,0.0,82.98139599998689,0.995974755040242,0.6985771900582025,0.9893035265501262,0.6985771900582025,0.981715655165454,0.6985771900582025,77125.86,7.94999999999709,0.0264999999999903,0.0,44.25484449998784,0.9212078961180027,0.6985771900582025,0.890114053604351,0.6985771900582025,0.8675556203356813,0.6985771900582025,77097.02,36.7899999999936,0.06131666666665599,0.0,54.456580449987555,0.9589850455355158,0.6985771900582025,0.934480464957951,0.6985771900582025,0.9149562126273425,0.6985771900582025,77081.07,52.73999999999069,0.05859999999998965,0.0,53.660561799987654,0.9566995707777489,0.6985771900582025,0.9316172215754199,0.6985771900582025,0.9117912914894326,0.6985771900582025,77066.01,67.80000000000291,0.037666666666668285,0.0,47.52682299999116,0.9354589252039547,0.6985771900582025,0.9062252470176423,0.6985771900582025,0.8844132361305954,0.6985771900582025,77013.49,120.31999999999243,0.03342222222222012,0.0,46.28314559999007,0.930298178974313,0.6985771900582025,0.900320040053485,0.6985771900582025,0.8781946875553543,0.6985771900582025,live_v28_websocket_opportunity_shadow_lock_v1,2026-05-02T05:18:38.157084+00:00,False
KXBTC15M-26MAY010300-00,current_v28_websocket_opportunities,signal:280,2026-05-01 06:50:44.427342+00:00,no,yes,True,False,2,88.0,76867.98,76983.36,555.595,93.318132,0.930283,2.028299,88.0,10.0,7.0,375.0,0.0,280,bid>=98,last_decisive_quote,first_per_market,-1.0,115.38000000000466,4.894985055913287,1.236415662499595,0.891847951427448,76948.74,46.74895913289782,2.4680763409513076,0.9932079327155986,102.9175621923797,1.1210914594375,0.8688755331576796,86.056061559096,1.3407538982105458,0.9099998156086031,72.12987338524593,1.5996146199198165,0.9451579484396534,76962.94,94.9600000000064,1.5826666666667735,0.0,994.7016866667307,1.0,0.891847951427448,1.0,0.891847951427448,1.0,0.891847951427448,76992.7,124.72000000000116,0.6928888888888953,0.0,500.34560222223047,0.9999994178415537,0.891847951427448,0.9999999969534449,0.891847951427448,0.9999999999979936,0.891847951427448,77045.54,177.55999999999767,0.5918666666666589,0.0,444.218160666667,0.9999920649696492,0.891847951427448,0.9999998778128587,0.891847951427448,0.9999999996330176,0.891847951427448,77030.31,162.33000000000175,0.2705500000000029,0.0,265.69622725000625,0.9950834133164178,0.891847951427448,0.9989906876354475,0.891847951427448,0.9998850098965032,0.891847951427448,77149.43,281.4499999999971,0.312722222222219,0.0,289.12690305555844,0.9975175767711341,0.891847951427448,0.9996099356627863,0.891847951427448,0.9999694369670806,0.891847951427448,77116.47,248.49000000000524,0.13805000000000292,0.0,192.0798897500063,0.9690035877362293,0.891847951427448,0.9871935784896371,0.891847951427448,0.9961273160855851,0.891847951427448,77125.86,257.88000000000466,0.07163333333333463,0.0,155.1791218333387,0.9341971657320638,0.891847951427448,0.964324177558334,0.891847951427448,0.984277084742625,0.891847951427448,live_v28_websocket_opportunity_shadow_lock_v1,2026-05-02T05:18:38.157084+00:00,False
KXBTC15M-26MAY010315-15,current_v28_websocket_opportunities,signal:325,2026-05-01 07:10:06.901876+00:00,yes,yes,True,True,2,66.0,77045.0,77015.93,293.129,73.914722,0.879487,17.948699,81.0,2122.0,9.0,391.0,297.0,325,mid>=90_other<=10,last_decisive_quote,first_per_market,1.0,29.070000000006985,1.6979138016905195,0.3932910685912745,0.652947742952982,77061.16,85.2386785353329,0.34104235893282847,0.6334641532982936,93.82302396377253,0.309838659764704,0.6216581744785987,87.86364125900708,0.33085357701388185,0.629622455460654,70.36591454311163,0.41312615900410765,0.6602429076478097,76980.86,64.13999999999942,1.0689999999999904,0.0,342.4249010000042,0.9998687212322891,0.652947742952982,0.9999513505862603,0.652947742952982,0.9999994315984422,0.652947742952982,76972.3,72.69999999999709,0.4038888888888727,0.0,147.46154611111336,0.9419898044459475,0.652947742952982,0.9533557226243279,0.652947742952982,0.9819428811080374,0.652947742952982,76956.47,88.52999999999884,0.29509999999999614,0.0,115.57236790000586,0.8909904220186693,0.652947742952982,0.9058056221362796,0.652947742952982,0.9497514209358062,0.652947742952982,76949.15,95.85000000000582,0.1597500000000097,0.0,75.89735775000983,0.7907256631123005,0.652947742952982,0.8061534436162858,0.652947742952982,0.8596191216183416,0.652947742952982,76972.75,72.25,0.08027777777777778,0.0,52.60174472222921,0.7124814348699505,0.652947742952982,0.7253051056287902,0.652947742952982,0.7726329199066095,0.652947742952982,77030.31,14.690000000002328,0.008161111111112404,0.0,31.462258338896252,0.6313142634269316,0.6313142634269316,0.6398584716462095,0.6398584716462095,0.6726070761554503,0.652947742952982,77106.26,-61.25999999999476,-0.017016666666665212,61.25999999999476,24.08192151667408,0.6012847394610381,0.6012847394610381,0.607989542300124,0.607989542300124,0.6339142742347386,0.6339142742347386,live_v28_websocket_opportunity_shadow_lock_v1,2026-05-02T05:18:38.157084+00:00,False
KXBTC15M-26MAY010330-30,current_v28_websocket_opportunities,signal:359,2026-05-01 07:22:03.972179+00:00,yes,no,True,False,2,76.0,77063.0,77016.34,476.049,90.655881,0.867496,7.249551,81.0,65.0,8.0,78.0,625.0,359,bid>=98,last_decisive_quote,first_per_market,1.0,46.66000000000349,2.13854752410054,0.5146935806624999,0.696616420043171,77063.0,88.03946446739961,0.5299895936700224,0.7019404270564744,89.59669903460849,0.5207781146265238,0.6987393246947218,96.52341043132334,0.48340604410369653,0.6855962712573362,90.4963507962625,0.5156009009142338,0.6969334095204291,77070.44,-7.440000000002328,-0.1240000000000388,7.440000000002328,-12.370076000014976,0.4450949302561147,0.4450949302561147,0.44901267047060683,0.44901267047060683,0.44563735016117473,0.44563735016117473,77036.53,26.470000000001164,0.14705555555556202,0.0,116.66565016667323,0.9035623095591985,0.696616420043171,0.8866065671816032,0.696616420043171,0.9013314057676838,0.696616420043171,77007.87,55.13000000000466,0.18376666666668218,0.0,134.14193790001087,0.9328261357251185,0.696616420043171,0.9176952811477059,0.696616420043171,0.930868576020038,0.696616420043171,77041.38,21.619999999995343,0.03603333333332557,0.0,63.813632299999796,0.7618394245337623,0.696616420043171,0.7457325697052675,0.696616420043171,0.7596420020924453,0.696616420043171,76972.3,90.69999999999709,0.10077777777777454,0.0,94.63516033333528,0.8545695448512143,0.696616420043171,0.8365648688644858,0.696616420043171,0.8521581958654547,0.696616420043171,76896.95,166.0500000000029,0.09225000000000162,0.0,90.57552025000426,0.8439737755440413,0.696616420043171,0.8259751068056629,0.696616420043171,0.8415563381430791,0.696616420043171,77087.66,-24.660000000003492,-0.00685000000000097,24.660000000003492,43.39906435000303,0.6859427475970883,0.6859427475970883,0.6735085468554538,0.6735085468554538,0.6842323453928066,0.6842323453928066,live_v28_websocket_opportunity_shadow_lock_v1,2026-05-02T05:18:38.157084+00:00,False
KXBTC15M-26MAY010400-00,current_v28_websocket_opportunities,signal:376,2026-05-01 07:49:46.497851+00:00,yes,yes,True,True,2,75.0,77077.61,76997.16,613.523,95.710387,0.858772,7.377215,80.0,41.0,8.0,938.0,0.0,376,bid>=98,latest_quote,first_per_market,1.0,80.44999999999709,3.2479596422544343,0.8405566263147289,0.7997018169983812,77040.85,97.13852132709258,0.8281987300290421,0.7962210185287975,60.803391449125854,1.3231169854614038,0.9071017615156736,76.12433800395443,1.0568236402373437,0.8547039584497764,93.21248911134525,0.8630817690523963,0.805953744603848,77018.79,58.820000000006985,0.9803333333334497,0.0,681.9070476667353,1.0,0.7997018169983812,1.0,0.7997018169983812,0.9999999999998719,0.7997018169983812,76980.43,97.18000000000757,0.5398888888889309,0.0,411.6842507778007,0.999999999993594,0.7997018169983812,0.9999999681427378,0.7997018169983812,0.9999949872139737,0.7997018169983812,77006.95,70.66000000000349,0.23553333333334497,0.0,224.9551172666709,0.9998920784260565,0.7997018169983812,0.998437167123555,0.7997018169983812,0.992096859720619,0.7997018169983812,76991.79,85.82000000000698,0.14303333333334498,0.0,168.20423976667092,0.9971657283369728,0.7997018169983812,0.9864334878631217,0.7997018169983812,0.9644254553787235,0.7997018169983812,76984.2,93.41000000000349,0.10378888888889277,0.0,144.12687047777726,0.9911149866423189,0.7997018169983812,0.9708415847415448,0.7997018169983812,0.9389740904905883,0.7997018169983812,77036.53,41.080000000001746,0.02282222222222319,0.0,94.45195824444212,0.9398361395786639,0.7997018169983812,0.8926526060878714,0.7997018169983812,0.844540898028823,0.7997018169983812,76962.94,114.66999999999825,0.03185277777777729,0.0,99.99241178055235,0.9499656130825522,0.7997018169983812,0.9054995822617902,0.7997018169983812,0.8583052542969072,0.7997018169983812,live_v28_websocket_opportunity_shadow_lock_v1,2026-05-02T05:18:38.157084+00:00,False
