dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_seconds_to_close
v21,book_margin_window540_780,hour,1,7,5,2,0.7142857142857143,20.0,2.857142857142857,65.0,779.400567
v21,book_margin_window540_780,hour,10,10,9,1,0.9,176.0,17.6,70.0,749.2843009999999
v21,book_margin_window540_780,hour,11,12,11,1,0.9166666666666666,249.0,20.75,66.5,749.418963
v21,book_margin_window540_780,hour,12,11,9,2,0.8181818181818182,103.0,9.363636363636363,71.0,779.133875
v21,book_margin_window540_780,hour,13,11,7,4,0.6363636363636364,-112.0,-10.181818181818182,70.0,719.59109
v21,book_margin_window540_780,hour,14,11,7,4,0.6363636363636364,-97.0,-8.818181818181818,68.0,779.198749
v21,book_margin_window540_780,hour,15,10,5,5,0.5,-220.0,-22.0,70.5,779.212184
v21,book_margin_window540_780,hour,16,8,6,2,0.75,27.0,3.375,66.0,779.429721
v21,book_margin_window540_780,hour,17,8,5,3,0.625,-60.0,-7.5,67.5,779.294837
v21,book_margin_window540_780,hour,18,8,5,3,0.625,-97.0,-12.125,70.5,779.4819195
v21,book_margin_window540_780,hour,19,6,4,2,0.6666666666666666,-30.0,-5.0,69.0,779.5164635
v21,book_margin_window540_780,hour,2,7,4,3,0.5714285714285714,-94.0,-13.428571428571429,67.0,719.826159
v21,book_margin_window540_780,hour,20,8,4,4,0.5,-189.0,-23.625,70.0,719.230735
v21,book_margin_window540_780,hour,21,8,7,1,0.875,109.0,13.625,72.0,749.483189
v21,book_margin_window540_780,hour,22,7,7,0,1.0,179.0,25.571428571428573,70.0,779.05062
v21,book_margin_window540_780,hour,23,7,7,0,1.0,228.0,32.57142857142857,64.0,779.279339
v21,book_margin_window540_780,hour,3,6,2,4,0.3333333333333333,-215.0,-35.833333333333336,64.0,779.3083305
v21,book_margin_window540_780,hour,4,9,6,3,0.6666666666666666,-39.0,-4.333333333333333,66.0,719.211952
v21,book_margin_window540_780,hour,5,11,10,1,0.9090909090909091,208.0,18.90909090909091,68.0,779.704471
v21,book_margin_window540_780,hour,6,5,4,1,0.8,60.0,12.0,64.0,719.857003
v21,book_margin_window540_780,hour,7,5,5,0,1.0,164.0,32.8,64.0,779.243106
v21,book_margin_window540_780,hour,8,5,2,3,0.4,-146.0,-29.2,67.0,779.28966
v21,book_margin_window540_780,hour,9,8,7,1,0.875,120.0,15.0,70.0,749.3171375
v21,book_margin_window540_780,ask,ask<=70,122,83,39,0.680327868852459,103.0,0.8442622950819673,65.0,779.0793625
v21,book_margin_window540_780,ask,ask<=80,49,36,13,0.7346938775510204,-118.0,-2.4081632653061225,73.0,779.190224
v21,book_margin_window540_780,ask,ask<=95,24,22,2,0.9166666666666666,140.0,5.833333333333333,83.0,779.3561185000001
v21,book_margin_window540_780,time,sec<=600,21,15,6,0.7142857142857143,4.0,0.19047619047619047,68.0,599.501001
v21,book_margin_window540_780,time,sec<=720,58,40,18,0.6896551724137931,-77.0,-1.3275862068965518,67.0,719.2296544999999
v21,book_margin_window540_780,time,sec<=780,116,86,30,0.7413793103448276,198.0,1.706896551724138,69.0,779.4912214999999
v21,book_margin_window540_780,score,p<=0.60,1,1,0,1.0,37.0,37.0,61.0,599.140529
v21,book_margin_window540_780,score,p<=0.65,68,43,25,0.6323529411764706,-131.0,-1.9264705882352942,63.0,779.1151355
v21,book_margin_window540_780,score,p<=0.70,56,40,16,0.7142857142857143,78.0,1.3928571428571428,68.0,779.042504
v21,book_margin_window540_780,score,p<=0.80,46,35,11,0.7608695652173914,1.0,0.021739130434782608,73.5,779.189098
v21,book_margin_window540_780,score,p>0.80,24,22,2,0.9166666666666666,140.0,5.833333333333333,83.0,779.3561185000001
v21,book_margin_window600_780,split,holdout,30,23,7,0.7666666666666667,117.0,3.9,70.5,779.166385
v21,book_margin_window600_780,split,train,110,78,32,0.7090909090909091,-118.0,-1.0727272727272728,68.0,779.3059065
v21,book_margin_window600_780,split,validation,34,25,9,0.7352941176470589,122.0,3.588235294117647,67.0,779.2829215
v21,book_margin_window600_780,side,no,81,58,23,0.7160493827160493,1.0,0.012345679012345678,68.0,779.277907
v21,book_margin_window600_780,side,yes,93,68,25,0.7311827956989247,120.0,1.2903225806451613,68.0,779.252382
v21,book_margin_window600_780,hour,0,6,3,3,0.5,-145.0,-24.166666666666668,69.5,779.2646395
v21,book_margin_window600_780,hour,1,6,5,1,0.8333333333333334,85.0,14.166666666666666,65.5,779.4013205
v21,book_margin_window600_780,hour,10,7,7,0,1.0,201.0,28.714285714285715,70.0,779.144798
v21,book_margin_window600_780,hour,11,11,10,1,0.9090909090909091,214.0,19.454545454545453,67.0,779.022706
v21,book_margin_window600_780,hour,12,11,9,2,0.8181818181818182,103.0,9.363636363636363,71.0,779.133875
v21,book_margin_window600_780,hour,13,11,7,4,0.6363636363636364,-112.0,-10.181818181818182,70.0,719.59109
v21,book_margin_window600_780,hour,14,10,7,3,0.7,-23.0,-2.3,68.0,779.246668
v21,book_margin_window600_780,hour,15,8,3,5,0.375,-286.0,-35.75,71.0,779.40116
v21,book_margin_window600_780,hour,16,7,6,1,0.8571428571428571,92.0,13.142857142857142,66.0,779.581535
v21,book_margin_window600_780,hour,17,7,4,3,0.5714285714285714,-89.0,-12.714285714285714,66.0,779.489766
v21,book_margin_window600_780,hour,18,7,4,3,0.5714285714285714,-113.0,-16.142857142857142,68.0,779.504859
v21,book_margin_window600_780,hour,19,6,4,2,0.6666666666666666,-30.0,-5.0,69.0,779.5164635
v21,book_margin_window600_780,hour,2,5,3,2,0.6,-59.0,-11.8,67.0,779.351787
v21,book_margin_window600_780,hour,20,7,3,4,0.42857142857142855,-212.0,-30.285714285714285,69.0,719.247671
v21,book_margin_window600_780,hour,21,8,7,1,0.875,109.0,13.625,72.0,749.483189
v21,book_margin_window600_780,hour,22,6,6,0,1.0,162.0,27.0,68.5,779.384271
v21,book_margin_window600_780,hour,23,7,7,0,1.0,228.0,32.57142857142857,64.0,779.279339
v21,book_margin_window600_780,hour,3,6,2,4,0.3333333333333333,-215.0,-35.833333333333336,64.0,779.3083305
v21,book_margin_window600_780,hour,4,8,5,3,0.625,-74.0,-9.25,67.0,749.22955
v21,book_margin_window600_780,hour,5,11,10,1,0.9090909090909091,208.0,18.90909090909091,68.0,779.704471
v21,book_margin_window600_780,hour,6,4,3,1,0.75,26.0,6.5,63.5,749.7190805
v21,book_margin_window600_780,hour,7,5,5,0,1.0,164.0,32.8,64.0,779.243106
v21,book_margin_window600_780,hour,8,4,1,3,0.25,-169.0,-42.25,66.5,779.327628
v21,book_margin_window600_780,hour,9,6,5,1,0.8333333333333334,56.0,9.333333333333334,72.5,779.166792
v21,book_margin_window600_780,ask,ask<=70,109,73,36,0.6697247706422018,-26.0,-0.23853211009174313,65.0,779.214524
v21,book_margin_window600_780,ask,ask<=80,43,33,10,0.7674418604651163,40.0,0.9302325581395349,73.0,779.344425
v21,book_margin_window600_780,ask,ask<=95,22,20,2,0.9090909090909091,107.0,4.863636363636363,83.5,779.4190565
v21,book_margin_window600_780,time,sec<=720,58,40,18,0.6896551724137931,-77.0,-1.3275862068965518,67.0,719.2296544999999
v21,book_margin_window600_780,time,sec<=780,116,86,30,0.7413793103448276,198.0,1.706896551724138,69.0,779.4912214999999
v21,book_margin_window600_780,score,p<=0.65,61,38,23,0.6229508196721312,-175.0,-2.8688524590163933,63.0,779.226536
v21,book_margin_window600_780,score,p<=0.70,51,36,15,0.7058823529411765,30.0,0.5882352941176471,68.0,779.214524
v21,book_margin_window600_780,score,p<=0.80,40,32,8,0.8,159.0,3.975,73.0,779.2957865000001
