model,family,blend_start_seconds,blend_end_seconds,posterior_temperature,two_side_all_heartbeats_train_brier,two_side_all_heartbeats_train_logloss,two_side_all_heartbeats_train_brier_delta_ref,two_side_all_heartbeats_train_logloss_delta_ref,two_side_all_heartbeats_validation_brier,two_side_all_heartbeats_validation_logloss,two_side_all_heartbeats_validation_brier_delta_ref,two_side_all_heartbeats_validation_logloss_delta_ref,two_side_all_heartbeats_holdout_brier,two_side_all_heartbeats_holdout_logloss,two_side_all_heartbeats_holdout_brier_delta_ref,two_side_all_heartbeats_holdout_logloss_delta_ref,two_side_all_heartbeats_all_brier,two_side_all_heartbeats_all_logloss,two_side_all_heartbeats_all_brier_delta_ref,two_side_all_heartbeats_all_logloss_delta_ref,two_side_minute_bucket_train_brier,two_side_minute_bucket_train_logloss,two_side_minute_bucket_train_brier_delta_ref,two_side_minute_bucket_train_logloss_delta_ref,two_side_minute_bucket_validation_brier,two_side_minute_bucket_validation_logloss,two_side_minute_bucket_validation_brier_delta_ref,two_side_minute_bucket_validation_logloss_delta_ref,two_side_minute_bucket_holdout_brier,two_side_minute_bucket_holdout_logloss,two_side_minute_bucket_holdout_brier_delta_ref,two_side_minute_bucket_holdout_logloss_delta_ref,two_side_minute_bucket_all_brier,two_side_minute_bucket_all_logloss,two_side_minute_bucket_all_brier_delta_ref,two_side_minute_bucket_all_logloss_delta_ref,validation_mean_brier_delta_ref,holdout_mean_brier_delta_ref,train_mean_brier_delta_ref,validation_mean_logloss_delta_ref,holdout_mean_logloss_delta_ref,train_mean_logloss_delta_ref,beats_ref_all_validation_holdout_brier,beats_ref_all_validation_holdout_logloss
v35_h150_t102,v35_ref,0,0,1.02,0.14969618587429717,0.4553689386501138,0.0001416570166279385,0.001407866732955787,0.13419778430491588,0.40150876612356073,-0.00014808278631281424,-0.00044736501542425033,0.14694220922649162,0.4379998930478279,-6.711724433355881e-05,-2.617642894719996e-06,0.14603435009611523,0.44108328819939735,4.17352128012638e-05,0.0007533181884299411,0.15254502641913903,0.4557992512868646,0.0003326258660604209,0.0012389434005803945,0.13718678034189316,0.4091543677366657,-0.0002677280420148309,-0.0007132327467898603,0.15033780449665932,0.44616815796626436,-0.0001752083585309927,-0.00011110758310267643,0.14902512836114787,0.4445243462411638,0.00011085995969445372,0.0005779824290084168,-0.00020790541416382258,-0.00012116280143227576,0.0002371414413441797,-0.0005802988811070553,-5.6862612998698214e-05,0.0013234050667680908,True,True
v36_s120_e300_t104,v36_piecewise,120,300,1.04,0.14968558491526987,0.4535970454715183,0.000131056057600637,-0.0003640264456397091,0.13422924742197892,0.40140191521085816,-0.00011661966924977896,-0.0005542159281268222,0.14694251306898845,0.4376563683618115,-6.681340183672946e-05,-0.0003461423289111143,0.1460343738893256,0.4399313452592459,4.1759006011637956e-05,-0.00039862475172153244,0.15230568640119055,0.4545192012156187,9.32858481119403e-05,-4.110667066553608e-05,0.13734367768424707,0.4093265222963012,-0.00011083069966091874,-0.0005410781871543757,0.15047655881310557,0.4460436857728755,-3.6454042084743676e-05,-0.0002355797764915235,0.14894072532704075,0.4437661867603772,2.6456925587337032e-05,-0.00018017705177819643,-0.00011372518445534885,-5.163372196073657e-05,0.00011217095285628864,-0.000547647057640599,-0.0002908610527013189,-0.0002025665581526226,True,True
v36_s120_e300_t102,v36_piecewise,120,300,1.02,0.1496116940165842,0.45369619683214,5.716515891496243e-05,-0.0002648750850179904,0.1342815563297668,0.4016905454071962,-6.43107614619054e-05,-0.00026558573178880884,0.14691309776232633,0.4377817920138056,-9.622870849884668e-05,-0.00022071867691697555,0.14599471150064283,0.4400737854197958,2.096617328861683e-06,-0.0002561845911716043,0.15221432402790327,0.4543906082577207,1.9234748246665934e-06,-0.00016969962856350218,0.13736837088427822,0.40946215052819934,-8.613749962976813e-05,-0.00040544995525620964,0.15042404047327154,0.4460307358604803,-8.897238191876711e-05,-0.0002485296888867228,0.14888038705291967,0.44371365834042975,-3.388134853374303e-05,-0.00023270547172565825,-7.522413054583676e-05,-9.26005452088069e-05,2.9544316869814513e-05,-0.00033551784352250924,-0.00023462418290184917,-0.0002172873567907463,True,True
v36_s120_e300_t100,v36_piecewise,120,300,1.0,0.14954811235885604,0.4538612397218461,-6.416498813194282e-06,-9.983219531189969e-05,0.13434750564405243,0.40205721764203817,1.6385528237294888e-06,0.00010108650305318267,0.1468946111563373,0.43797018170318813,-0.00011471531448786765,-3.2328987534469e-05,0.14596615092082943,0.4402839708052959,-2.646396248454086e-05,-4.599920567149862e-05,0.15213306349836,0.45431761248689767,-7.933705471860342e-05,-0.00024269539938653883,0.13740622180578255,0.40966897731776564,-4.82865781254449e-05,-0.00019862316568991512,0.15038180168183957,0.44607353637636427,-0.00013121117335074262,-0.0002057291730027666,0.14883079877833796,0.4437198856244662,-8.346962311545081e-05,-0.00022647818768922745,-2.3324012650857706e-05,-0.00012296324391930513,-4.287677676589885e-05,-4.876833131836622e-05,-0.0001190290802686178,-0.00017126379734921926,False,False
v36_s180_e450_t104,v36_piecewise,180,450,1.04,0.14974829645634385,0.4538027727057155,0.00019376759867462123,-0.00015829921144250303,0.13431800244799072,0.40167908040135325,-2.7864643237979214e-05,-0.0002770507376317344,0.14704702225262495,0.4377891781198537,3.769578179976807e-05,-0.00021333257086891821,0.1461106743087679,0.44013682535188237,0.00011805942545392578,-0.00019314465908504275,0.15241539129731124,0.4549059668336572,0.00020299074423263397,0.0003456589473729843,0.13744527818747748,0.4097674769265676,-9.230196430509707e-06,-0.00010012355688793217,0.1505744518953687,0.4462905051517277,6.143904017838486e-05,1.1239602360657575e-05,0.14904644686918617,0.4441358732008093,0.000132178467732752,0.00018950938865386346,-1.854741983424446e-05,4.9567410989076466e-05,0.0001983791714536276,-0.00018858714725983328,-0.00010104648425413032,9.367986796524064e-05,False,False
v36_s300_e900_t104,v36_piecewise,300,900,1.04,0.14977074804156193,0.4537201533361264,0.00021621918389269634,-0.00024091858103159058,0.13429554469740568,0.40157771786889,-5.032239382302128e-05,-0.0003784132700949683,0.1471371664391768,0.43779356531324154,0.00012783996835161182,-0.00020894537748106234,0.1461376528118125,0.44006784872327825,0.00014503792849854258,-0.0002621212876891543,0.1524739487192385,0.4549964930653462,0.00026154816615989174,0.0004361851790619653,0.13748378143415396,0.4098865340717476,2.9273050245970378e-05,1.893358829202496e-05,0.15069938103285216,0.446435769051844,0.00018636817766184977,0.00015650350247697897,0.14911423629146414,0.4442430492480904,0.00019996789001072712,0.00029668543593497354,-1.0524671788525453e-05,0.0001571040730067308,0.00023888367502629404,-0.00017973984090147166,-2.6220937502041686e-05,9.763329901518736e-05,False,False
v34_h110_t098,v34_ref,0,0,0.98,0.14955452885766923,0.453961071917158,0.0,0.0,0.1343458670912287,0.401956131138985,0.0,0.0,0.14700932647082518,0.4380025106907226,0.0,0.0,0.14599261488331397,0.4403299700109674,0.0,0.0,0.1522124005530786,0.4545603078862842,0.0,0.0,0.137454508383908,0.40986760048345555,0.0,0.0,0.1505130128551903,0.44627926554936703,0.0,0.0,0.14891426840145341,0.4439463638121554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
v36_s180_e600_t104,v36_piecewise,180,600,1.04,0.14975231697828484,0.453758481047375,0.00019778812061560513,-0.00020259086978302587,0.1343411969124724,0.40175882066485724,-4.670178756299714e-06,-0.00019731047412774316,0.14710910111229253,0.4378631674059961,9.977464146734838e-05,-0.0001393432847264786,0.14613015763958698,0.44014109122844325,0.00013754275627300694,-0.00018887878252416002,0.15243576162397665,0.4549283080180845,0.0002233610708980427,0.00036800013180027236,0.13747645438028094,0.4098463324405531,2.1945996372951804e-05,-2.126804290247808e-05,0.15066603330713013,0.44650891904112683,0.0001530204519398226,0.00022965349175979588,0.14908320261883473,0.44420869543405017,0.00016893421738131686,0.00026233162189476245,8.637908808326045e-06,0.0001263975467035855,0.0002105745957568239,-0.00010928925851511062,4.5155103516658635e-05,8.270463100862324e-05,False,False
v36_s300_e900_t102,v36_piecewise,300,900,1.02,0.14967859115535548,0.4537316505740618,0.00012406229768624488,-0.00022942134309622553,0.13433009367848134,0.4017741565842469,-1.577341274736077e-05,-0.00018197455473806246,0.1470921572710879,0.43784084649029886,8.283080026272316e-05,-0.00016166420042373897,0.14608036055253,0.44012362672716465,8.774566921601612e-05,-0.0002063432838027568,0.1523645386061579,0.45478660581412766,0.00015213805307928707,0.00022629792784345515,0.1374909799967906,0.40993713958529704,3.647161288261591e-05,6.953910184148704e-05,0.15063129403625664,0.4463498369648021,0.00011828118106632646,7.057141543509449e-05,0.1490364561758267,0.444110138731369,0.00012218777437328354,0.00016377491921359955,1.034910006762757e-05,0.00010055599066452481,0.00013810017538276598,-5.621772644828771e-05,-4.554639249432224e-05,-1.5617076263851892e-06,False,False
v36_s180_e450_t102,v36_piecewise,180,450,1.02,0.14966731137673314,0.45386587598828154,0.00011278251906390868,-9.51959288764681e-05,0.13436425113433303,0.40193271680391307,1.8384043104335834e-05,-2.341433507191404e-05,0.14701086503297595,0.43788081016680247,1.5385621507657543e-06,-0.00012170052392013186,0.14606419574961152,0.4402438804456367,7.158086629754923e-05,-8.608956533068257e-05,0.15231678575628707,0.454743051075634,0.00010438520320846245,0.00018274318934979883,0.13746373667754655,0.4098701136454312,9.228293638557927e-06,2.5131619756368906e-06,0.15051485651305038,0.44624501729231025,1.8436578600733444e-06,-3.424825705677925e-05,0.14897910078380674,0.44404964527805346,6.483238235333033e-05,0.00010328146589805298,1.380616837144688e-05,1.6911100054195494e-06,0.00010858386113618557,-1.0450586548138574e-05,-7.797439048845556e-05,4.377363023666536e-05,False,False
