dataset,block,start_close_dt,end_close_dt,base_markets,candidate_markets,candidate_wins,candidate_losses,candidate_accuracy,candidate_break_even,candidate_coverage,candidate_net_pnl_cents,candidate_roi,anchor_net_pnl_cents,candidate_minus_anchor_cents,block_pass
current,1,2026-05-01 02:30:00+00:00,2026-05-01 11:30:00+00:00,37,37,26,11,0.7027027027027027,0.6956756756756756,1.0,26.0,0.010101010101010102,-60.0,86.0,True
current,2,2026-05-01 11:45:00+00:00,2026-05-01 20:45:00+00:00,37,36,29,7,0.8055555555555556,0.7058333333333334,0.972972972972973,359.0,0.14128295946477765,319.0,40.0,True
current,3,2026-05-01 21:00:00+00:00,2026-05-02 06:00:00+00:00,37,37,26,11,0.7027027027027027,0.6989189189189189,1.0,14.0,0.005413766434648105,-251.0,265.0,True
current,4,2026-05-02 06:15:00+00:00,2026-05-02 15:15:00+00:00,37,37,28,9,0.7567567567567568,0.724864864864865,1.0,118.0,0.04399701715137957,477.0,-359.0,True
current,5,2026-05-02 15:30:00+00:00,2026-05-03 03:00:00+00:00,37,35,28,7,0.8,0.714857142857143,0.9459459459459459,298.0,0.11910471622701839,155.0,143.0,True
current,6,2026-05-03 03:15:00+00:00,2026-05-03 12:15:00+00:00,37,37,31,6,0.8378378378378378,0.7237837837837837,1.0,422.0,0.15758028379387604,149.0,273.0,True
current,7,2026-05-03 12:30:00+00:00,2026-05-03 21:45:00+00:00,37,37,27,10,0.7297297297297297,0.7181081081081081,1.0,43.0,0.01618366578848325,95.0,-52.0,True
current,8,2026-05-03 22:00:00+00:00,2026-05-04 06:45:00+00:00,36,36,26,10,0.7222222222222222,0.7352777777777777,1.0,-47.0,-0.01775595013222516,104.0,-151.0,False
v21,1,2026-04-30 04:45:00+00:00,2026-04-30 15:45:00+00:00,28,27,21,6,0.7777777777777778,0.7233333333333333,0.9642857142857143,147.0,0.07526881720430108,-20.0,167.0,True
v21,2,2026-04-30 16:00:00+00:00,2026-04-30 22:45:00+00:00,28,28,18,10,0.6428571428571429,0.7171428571428571,1.0,-208.0,-0.10358565737051793,-178.0,-30.0,False
v21,3,2026-04-30 23:00:00+00:00,2026-05-01 05:45:00+00:00,27,27,17,10,0.6296296296296297,0.7118518518518518,1.0,-222.0,-0.11550468262226847,-63.0,-159.0,False
v21,4,2026-05-01 06:00:00+00:00,2026-05-01 13:00:00+00:00,28,27,21,6,0.7777777777777778,0.6933333333333331,0.9642857142857143,228.0,0.12179487179487179,94.0,134.0,True
v21,5,2026-05-01 13:15:00+00:00,2026-05-01 20:15:00+00:00,28,28,22,6,0.7857142857142857,0.7075000000000001,1.0,219.0,0.11055022715800102,301.0,-82.0,True
v21,6,2026-05-01 20:30:00+00:00,2026-05-02 03:00:00+00:00,27,27,21,6,0.7777777777777778,0.6970370370370369,1.0,218.0,0.11583421891604676,160.0,58.0,True
v21,7,2026-05-02 03:15:00+00:00,2026-05-02 10:00:00+00:00,28,28,20,8,0.7142857142857143,0.7135714285714286,1.0,2.0,0.001001001001001001,-6.0,8.0,True
v21,8,2026-05-02 10:15:00+00:00,2026-05-02 17:15:00+00:00,27,26,21,5,0.8076923076923077,0.75,0.9629629629629629,150.0,0.07692307692307693,137.0,13.0,True
