source,candidate,fresh_base,fresh_selected,fresh_skipped,fresh_coverage
locked_interval_candidates,economical_score_min_book_rv15_20260502_1511,12,10,2,0.8333333333333334
locked_interval_candidates,raw_regime_blend_high_price_20260502_1510,12,10,2,0.8333333333333334
locked_interval_candidates,raw_score_min_book_rv15_existing_lock,12,10,2,0.8333333333333334
locked_interval_candidates,staged_score_min_fallback_20260502_1511,12,10,2,0.8333333333333334
locked_interval_pure_physics,pure_brownian_rv15_spread4_best_high_coverage_20260502_1522,12,10,2,0.8333333333333334
locked_interval_pure_physics,pure_brownian_rv30_adverse15_high_price_20260502_1522,12,10,2,0.8333333333333334
locked_interval_pure_physics,pure_brownian_rv30_economical_adverse15_20260502_1522,12,10,2,0.8333333333333334
locked_interval_pure_physics,pure_physics_mean_rv15_rv30_high_price_20260502_1522,12,10,2,0.8333333333333334
locked_interval_logit,locked_logit_book_physics_c005_p095_20260502_1512,12,10,2,0.8333333333333334
market_interval_fixed,market_interval_80coverage,12,10,2,0.8333333333333334
