dataset,candidate,label,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_median_ask,all_mean_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_entry_fee_cents,all_ask_cost_cents,all_entry_cost_cents,all_gross_pnl_cents,all_net_pnl_cents,all_gross_roi_on_ask,all_net_roi_on_cost,all_net_edge_per_selected_cents,all_net_edge_per_base_market_cents,all_fee_aware_break_even_accuracy,all_accuracy_minus_break_even,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_median_ask,train_mean_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_entry_fee_cents,train_ask_cost_cents,train_entry_cost_cents,train_gross_pnl_cents,train_net_pnl_cents,train_gross_roi_on_ask,train_net_roi_on_cost,train_net_edge_per_selected_cents,train_net_edge_per_base_market_cents,train_fee_aware_break_even_accuracy,train_accuracy_minus_break_even,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_median_ask,validation_mean_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_entry_fee_cents,validation_ask_cost_cents,validation_entry_cost_cents,validation_gross_pnl_cents,validation_net_pnl_cents,validation_gross_roi_on_ask,validation_net_roi_on_cost,validation_net_edge_per_selected_cents,validation_net_edge_per_base_market_cents,validation_fee_aware_break_even_accuracy,validation_accuracy_minus_break_even,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_median_ask,holdout_mean_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_entry_fee_cents,holdout_ask_cost_cents,holdout_entry_cost_cents,holdout_gross_pnl_cents,holdout_net_pnl_cents,holdout_gross_roi_on_ask,holdout_net_roi_on_cost,holdout_net_edge_per_selected_cents,holdout_net_edge_per_base_market_cents,holdout_fee_aware_break_even_accuracy,holdout_accuracy_minus_break_even,coverage_pass,all_splits_positive,oos_positive
current,brownian70_sec120,choose=brownian_p_rv_15m; brownian_p_rv_15m>=0.7; ask<=95; sec_to_close>=120,307,293,241,52,0.8225255972696246,0.9543973941368078,0.7746879406507481,78.0,77.4334470989761,83.0,4,0,648.904,500.0,22688.0,23188.0,1412.0,912.0,0.062235543018335684,0.03933068828704502,3.112627986348123,2.970684039087948,0.7913993174061433,0.031126279863481265,184,175,141,34,0.8057142857142857,0.9510869565217391,0.7407907619629084,78.0,77.13714285714286,83.0,4,0,649.413,303.0,13499.0,13802.0,601.0,298.0,0.04452181643084673,0.02159107375742646,1.7028571428571428,1.6195652173913044,0.7886857142857143,0.017028571428571393,61,60,50,10,0.8333333333333334,0.9836065573770492,0.7196838683638547,77.0,77.26666666666667,83.0,0,0,650.0575,102.0,4636.0,4738.0,364.0,262.0,0.07851596203623813,0.05529759392148586,4.366666666666666,4.295081967213115,0.7896666666666667,0.04366666666666663,62,58,50,8,0.8620689655172413,0.9354838709677419,0.7507409056616206,80.0,78.5,86.0,0,0,622.663,95.0,4553.0,4648.0,447.0,352.0,0.09817702613661322,0.0757314974182444,6.068965517241379,5.67741935483871,0.8013793103448277,0.06068965517241365,True,True,True
current,brownian70_sec60,choose=brownian_p_rv_15m; brownian_p_rv_15m>=0.7; ask<=95; sec_to_close>=60,307,297,244,53,0.8215488215488216,0.9674267100977199,0.7739816830754404,78.0,77.48821548821549,83.0,4,0,648.124,505.0,23014.0,23519.0,1386.0,881.0,0.060224211349613276,0.03745907564097113,2.9663299663299663,2.8697068403908794,0.7918855218855219,0.029663299663299725,184,178,143,35,0.8033707865168539,0.967391304347826,0.738840054707459,78.0,77.14606741573034,83.0,4,0,647.7135000000001,307.0,13732.0,14039.0,568.0,261.0,0.041363239149431984,0.01859106773986751,1.4662921348314606,1.4184782608695652,0.7887078651685394,0.014662921348314484,61,60,50,10,0.8333333333333334,0.9836065573770492,0.7196838683638547,77.0,77.26666666666667,83.0,0,0,650.0575,102.0,4636.0,4738.0,364.0,262.0,0.07851596203623813,0.05529759392148586,4.366666666666666,4.295081967213115,0.7896666666666667,0.04366666666666663,62,59,51,8,0.864406779661017,0.9516129032258065,0.7546033919346271,80.0,78.7457627118644,86.5,0,0,599.944,96.0,4646.0,4742.0,454.0,358.0,0.09771846749892381,0.07549557148882328,6.067796610169491,5.774193548387097,0.8037288135593221,0.06067796610169485,True,True,True
current,brownian70_ask90_sec120,choose=brownian_p_rv_15m; brownian_p_rv_15m>=0.7; ask<=90; sec_to_close>=120,307,280,228,52,0.8142857142857143,0.9120521172638436,0.764592851701545,77.0,76.60357142857143,83.0,0,0,650.5605,487.0,21449.0,21936.0,1351.0,864.0,0.06298661942281691,0.03938730853391685,3.085714285714286,2.814332247557003,0.7834285714285715,0.030857142857142805,184,166,132,34,0.7951807228915663,0.9021739130434783,0.7274444190645216,77.0,76.21686746987952,82.0,0,0,652.065,294.0,12652.0,12946.0,548.0,254.0,0.04331331014859311,0.019619959833153098,1.5301204819277108,1.3804347826086956,0.7798795180722892,0.015301204819277103,61,59,49,10,0.8305084745762712,0.9672131147540983,0.71536779263512,77.0,77.0,83.0,0,0,650.644,101.0,4543.0,4644.0,357.0,256.0,0.07858243451463791,0.05512489233419466,4.338983050847458,4.19672131147541,0.7871186440677965,0.04338983050847467,62,55,47,8,0.8545454545454545,0.8870967741935484,0.7383908706854773,79.0,77.34545454545454,85.5,0,0,599.944,92.0,4254.0,4346.0,446.0,354.0,0.10484250117536437,0.08145421076852279,6.4363636363636365,5.709677419354839,0.7901818181818183,0.06436363636363618,True,True,True
current,score_min60_lock_equiv,choose=score_min_book_rv15; score_min_book_rv15>=0.6; ask<=95; sec_to_close>=120,307,304,229,75,0.7532894736842105,0.990228013029316,0.701868149722436,68.5,69.5032894736842,73.0,0,0,768.5325,597.0,21129.0,21726.0,1771.0,1174.0,0.08381844857778409,0.05403663812943017,3.861842105263158,3.824104234527687,0.7146710526315789,0.03861842105263158,184,181,136,45,0.7513812154696132,0.9836956521739131,0.6836300138562955,68.0,68.83977900552486,72.0,0,0,766.964,356.0,12460.0,12816.0,1140.0,784.0,0.09149277688603531,0.06117353308364544,4.331491712707182,4.260869565217392,0.7080662983425414,0.043314917127071806,61,61,47,14,0.7704918032786885,1.0,0.65086594876416,69.0,70.39344262295081,75.0,0,0,768.782,119.0,4294.0,4413.0,406.0,287.0,0.09455053563111318,0.06503512349875368,4.704918032786885,4.704918032786885,0.7234426229508197,0.047049180327868756,62,62,46,16,0.7419354838709677,1.0,0.6211887265285198,69.5,70.56451612903226,74.0,0,0,773.2719999999999,122.0,4375.0,4497.0,225.0,103.0,0.05142857142857143,0.022904158327774073,1.6612903225806452,1.6612903225806452,0.7253225806451613,0.01661290322580644,True,True,True
v21,brownian70_sec120,choose=brownian_p_rv_15m; brownian_p_rv_15m>=0.7; ask<=95; sec_to_close>=120,221,213,170,43,0.7981220657276995,0.9638009049773756,0.7391538588633205,77.0,77.44600938967136,83.0,1,0,659.041274,372.0,16496.0,16868.0,504.0,132.0,0.030552861299709022,0.007825468342423524,0.6197183098591549,0.5972850678733032,0.791924882629108,0.006197183098591519,132,127,96,31,0.7559055118110236,0.9621212121212122,0.6744079798569265,76.0,76.46456692913385,82.0,1,0,659.245558,226.0,9711.0,9937.0,-111.0,-337.0,-0.01143033673154155,-0.03391365603300795,-2.6535433070866143,-2.553030303030303,0.7824409448818895,-0.02653543307086592,44,44,39,5,0.8863636363636364,1.0,0.760208475833917,79.0,79.22727272727273,85.0,0,0,599.401346,73.0,3486.0,3559.0,414.0,341.0,0.11876075731497418,0.09581343073897162,7.75,7.75,0.8088636363636362,0.07750000000000012,45,42,35,7,0.8333333333333334,0.9333333333333333,0.6939599725535115,79.0,78.54761904761905,82.75,0,0,629.278917,73.0,3299.0,3372.0,201.0,128.0,0.060927553804183084,0.03795966785290629,3.0476190476190474,2.8444444444444446,0.8028571428571428,0.030476190476190546,True,False,True
v21,brownian70_sec60,choose=brownian_p_rv_15m; brownian_p_rv_15m>=0.7; ask<=95; sec_to_close>=60,221,214,170,44,0.794392523364486,0.9683257918552036,0.7352827177379679,77.5,77.51869158878505,83.0,1,0,659.028176,373.0,16589.0,16962.0,411.0,38.0,0.024775453613840495,0.002240301851196793,0.17757009345794392,0.17194570135746606,0.7926168224299066,0.0017757009345793495,132,128,96,32,0.75,0.9696969696969697,0.6684443704768314,76.0,76.59375,82.0,1,0,659.2362029999999,227.0,9804.0,10031.0,-204.0,-431.0,-0.0208078335373317,-0.042966802910975974,-3.3671875,-3.265151515151515,0.783671875,-0.03367187500000002,44,44,39,5,0.8863636363636364,1.0,0.760208475833917,79.0,79.22727272727273,85.0,0,0,599.401346,73.0,3486.0,3559.0,414.0,341.0,0.11876075731497418,0.09581343073897162,7.75,7.75,0.8088636363636362,0.07750000000000012,45,42,35,7,0.8333333333333334,0.9333333333333333,0.6939599725535115,79.0,78.54761904761905,82.75,0,0,629.278917,73.0,3299.0,3372.0,201.0,128.0,0.060927553804183084,0.03795966785290629,3.0476190476190474,2.8444444444444446,0.8028571428571428,0.030476190476190546,True,False,True
v21,brownian70_ask90_sec120,choose=brownian_p_rv_15m; brownian_p_rv_15m>=0.7; ask<=90; sec_to_close>=120,221,205,162,43,0.7902439024390244,0.9276018099547512,0.7294300122416061,77.0,76.85853658536585,82.0,0,0,659.162812,364.0,15756.0,16120.0,444.0,80.0,0.02817974105102818,0.004962779156327543,0.3902439024390244,0.36199095022624433,0.7863414634146341,0.0039024390243903584,132,123,92,31,0.7479674796747967,0.9318181818181818,0.6645262127728019,76.0,75.9349593495935,81.0,0,0,659.279316,222.0,9340.0,9562.0,-140.0,-362.0,-0.014989293361884369,-0.037858188663459524,-2.9430894308943087,-2.742424242424242,0.7773983739837397,-0.029430894308942968,44,42,37,5,0.8809523809523809,0.9545454545454546,0.7499960973799031,78.5,78.61904761904762,83.0,0,0,599.6087015,71.0,3302.0,3373.0,398.0,327.0,0.12053301029678982,0.09694633857100504,7.785714285714286,7.431818181818182,0.803095238095238,0.07785714285714296,45,40,33,7,0.825,0.8888888888888888,0.6805000966821229,79.0,77.85,82.0,0,0,659.1093390000001,71.0,3114.0,3185.0,186.0,115.0,0.05973025048169557,0.03610675039246468,2.875,2.5555555555555554,0.79625,0.028749999999999942,True,False,True
v21,score_min60_lock_equiv,choose=score_min_book_rv15; score_min_book_rv15>=0.6; ask<=95; sec_to_close>=120,221,218,161,57,0.7385321100917431,0.9864253393665159,0.6764286388617029,68.0,69.46788990825688,72.0,0,0,779.4352445,422.0,15144.0,15566.0,956.0,534.0,0.06312731114632858,0.03430553771039445,2.44954128440367,2.416289592760181,0.7140366972477062,0.02449541284403689,132,130,92,38,0.7076923076923077,0.9848484848484849,0.6244469876657347,68.0,68.96153846153847,72.0,0,0,779.5278185,254.0,8965.0,9219.0,235.0,-19.0,0.026213050752928055,-0.0020609610586831543,-0.14615384615384616,-0.14393939393939395,0.7091538461538461,-0.001461538461538403,44,44,35,9,0.7954545454545454,1.0,0.6549942193889834,67.0,68.54545454545455,71.25,0,0,779.097888,86.0,3016.0,3102.0,484.0,398.0,0.16047745358090185,0.1283043197936815,9.045454545454545,9.045454545454545,0.705,0.09045454545454545,45,44,34,10,0.7727272727272727,0.9777777777777777,0.6300764193536366,70.0,71.88636363636364,78.25,0,0,779.189098,82.0,3163.0,3245.0,237.0,155.0,0.07492886500158077,0.04776579352850539,3.522727272727273,3.4444444444444446,0.7374999999999999,0.035227272727272774,True,False,True
