model,min_edge_cents,cost_cents,block_kind,block,denominator_markets,selected_markets,coverage,wins,losses,gross_net_cents,net_after_cost_cents
book_time_v33drift85,1.0,2.0,block10,8,33,33,1.0,24,9,524.0,458.0
book_time_v33drift85,1.0,2.0,block10,9,33,33,1.0,18,15,-23.0,-89.0
book_time_v33drift85,1.0,2.0,block20,0,17,17,1.0,10,7,12.0,-22.0
book_time_v33drift85,1.0,2.0,block20,1,16,16,1.0,10,6,73.0,41.0
book_time_v33drift85,1.0,2.0,block20,2,17,17,1.0,11,6,94.0,60.0
book_time_v33drift85,1.0,2.0,block20,3,16,16,1.0,9,7,-4.0,-36.0
book_time_v33drift85,1.0,2.0,block20,4,17,17,1.0,13,4,295.0,261.0
book_time_v33drift85,1.0,2.0,block20,5,16,16,1.0,10,6,66.0,34.0
book_time_v33drift85,1.0,2.0,block20,6,17,17,1.0,10,7,-9.0,-43.0
book_time_v33drift85,1.0,2.0,block20,7,16,16,1.0,10,6,25.0,-7.0
book_time_v33drift85,1.0,2.0,block20,8,17,17,1.0,10,7,14.0,-20.0
book_time_v33drift85,1.0,2.0,block20,9,16,16,1.0,9,7,-98.0,-130.0
book_time_v33drift85,1.0,2.0,block20,10,16,16,1.0,10,6,-52.0,-84.0
book_time_v33drift85,1.0,2.0,block20,11,17,16,0.9411764705882353,12,4,203.0,171.0
book_time_v33drift85,1.0,2.0,block20,12,16,16,1.0,9,7,-69.0,-101.0
book_time_v33drift85,1.0,2.0,block20,13,17,17,1.0,12,5,281.0,247.0
book_time_v33drift85,1.0,2.0,block20,14,16,16,1.0,10,6,59.0,27.0
book_time_v33drift85,1.0,2.0,block20,15,17,17,1.0,10,7,-25.0,-59.0
book_time_v33drift85,1.0,2.0,block20,16,16,16,1.0,12,4,267.0,235.0
book_time_v33drift85,1.0,2.0,block20,17,17,17,1.0,12,5,257.0,223.0
book_time_v33drift85,1.0,2.0,block20,18,16,16,1.0,9,7,38.0,6.0
book_time_v33drift85,1.0,2.0,block20,19,17,17,1.0,9,8,-61.0,-95.0
book_time_v32drift85,1.0,0.0,block10,0,33,33,1.0,20,13,82.0,82.0
book_time_v32drift85,1.0,0.0,block10,1,33,33,1.0,19,14,1.0,1.0
book_time_v32drift85,1.0,0.0,block10,2,33,33,1.0,23,10,355.0,355.0
book_time_v32drift85,1.0,0.0,block10,3,33,33,1.0,20,13,16.0,16.0
book_time_v32drift85,1.0,0.0,block10,4,33,33,1.0,19,14,-91.0,-91.0
book_time_v32drift85,1.0,0.0,block10,5,33,32,0.9696969696969697,22,10,153.0,153.0
