dataset,split,model,rows,brier,logloss,side_accuracy,mean_p_yes,yes_rate
all_heartbeats,all,v28_live_surface,19021,0.14719568906947586,0.4411537473875953,0.7765627464381473,0.5078122247425724,0.4958204090216077
all_heartbeats,all,v38_long60_antipersist,19021,0.14591720722217316,0.4400210693676586,0.776352452552442,0.5066244711920912,0.4958204090216077
all_heartbeats,all,v39_midband_v28_fallback,19021,0.1458782496253923,0.43975128030861654,0.7768781872667052,0.5067128919659539,0.4958204090216077
all_heartbeats,train,v28_live_surface,11398,0.15021180768457804,0.45053443687975286,0.7742586418669942,0.5133149740047459,0.5092998771714335
all_heartbeats,train,v38_long60_antipersist,11398,0.14953097564983164,0.4537911992276498,0.7737322337252149,0.5131473020900983,0.5092998771714335
all_heartbeats,train,v39_midband_v28_fallback,11398,0.14957283236913688,0.4536462650670078,0.773907703105808,0.5131330381484055,0.5092998771714335
all_heartbeats,validation,v28_live_surface,3818,0.1366720507095461,0.4104850288259039,0.785751702462022,0.5210804959207964,0.5188580408590885
all_heartbeats,validation,v38_long60_antipersist,3818,0.13423428235209559,0.40140493921763426,0.7909900471451021,0.5195849482065473,0.5188580408590885
all_heartbeats,validation,v39_midband_v28_fallback,3818,0.1340029168244644,0.40099051008397346,0.7909900471451021,0.5197117213914147,0.5188580408590885
all_heartbeats,holdout,v28_live_surface,3805,0.1487204016274989,0.44382708999913917,0.7742444152431012,0.4780149591844347,0.4323258869908016
all_heartbeats,holdout,v38_long60_antipersist,3805,0.14681488780443464,0.4375202664159148,0.7695137976346912,0.4740803640129376,0.4323258869908016
all_heartbeats,holdout,v39_midband_v28_fallback,3805,0.14672691362558724,0.43702160473477814,0.77161629434954,0.4744378967139196,0.4323258869908016
minute_bucket,all,v28_live_surface,4898,0.15081637420193264,0.4510374295628187,0.7676602694977542,0.507484784390018,0.4963250306247448
minute_bucket,all,v38_long60_antipersist,4898,0.14879919797937927,0.4434609075944869,0.7676602694977542,0.5063995239709228,0.4963250306247448
minute_bucket,all,v39_midband_v28_fallback,4898,0.14878073142337714,0.4433254195619419,0.768068599428338,0.5064845150974865,0.4963250306247448
minute_bucket,train,v28_live_surface,2938,0.15367327731389033,0.45997936075678325,0.765146358066712,0.512482868239483,0.5098706603131382
minute_bucket,train,v38_long60_antipersist,2938,0.152137657597608,0.4542072505901312,0.765146358066712,0.5124757341352086,0.5098706603131382
minute_bucket,train,v39_midband_v28_fallback,2938,0.15219795984537773,0.454185476304319,0.765146358066712,0.5124736515414026,0.5098706603131382
minute_bucket,validation,v28_live_surface,982,0.140475025497193,0.4210097007520474,0.7759674134419552,0.5201243025717217,0.5183299389002036
minute_bucket,validation,v38_long60_antipersist,982,0.13731690666521884,0.40915440221046995,0.7820773930753564,0.518887719762475,0.5183299389002036
minute_bucket,validation,v39_midband_v28_fallback,982,0.13712875260010823,0.4089209791294015,0.7820773930753564,0.5190219609302874,0.5183299389002036
minute_bucket,holdout,v28_live_surface,978,0.15261762480021762,0.45432560527274646,0.7668711656441718,0.4797788772282995,0.4335378323108384
minute_bucket,holdout,v38_long60_antipersist,978,0.15029941854394943,0.4456247445739367,0.7607361963190185,0.47560676964579424,0.4335378323108384
minute_bucket,holdout,v39_midband_v28_fallback,978,0.15021470494138567,0.4452459858151638,0.7627811860940695,0.47590388659029187,0.4335378323108384
