policy,model,edge_floor_cents,ask_cap_cents,pside_floor,book_side_floor,cost_cents,all_coverage,all_selected,all_net_after_cost_cents,train_coverage,train_selected,train_net_after_cost_cents,validation_coverage,validation_selected,validation_net_after_cost_cents,holdout_coverage,holdout_selected,holdout_net_after_cost_cents,block10_positive,block10_worst_net_cents
book_time_v32drift85_edge0_ask60_pside0.55_book0.55,book_time_v32drift85,0.0,60.0,0.55,0.55,1.0,0.6848484848484848,226,668.0,0.6616161616161617,131,264.0,0.5909090909090909,39,110.0,0.8484848484848485,56,294.0,5,-181.0
book_time_v32drift85_edge0_ask60_pside0.55_book0.55,book_time_v32drift85,0.0,60.0,0.55,0.55,2.0,0.6848484848484848,226,442.0,0.6616161616161617,131,133.0,0.5909090909090909,39,71.0,0.8484848484848485,56,238.0,5,-201.0
book_time_v32drift85_edge0_ask60_pside0.55_book0.6,book_time_v32drift85,0.0,60.0,0.55,0.6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.55_book0.6,book_time_v32drift85,0.0,60.0,0.55,0.6,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.55_book0.6,book_time_v32drift85,0.0,60.0,0.55,0.6,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.55_book0.65,book_time_v32drift85,0.0,60.0,0.55,0.65,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.55_book0.65,book_time_v32drift85,0.0,60.0,0.55,0.65,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.55_book0.65,book_time_v32drift85,0.0,60.0,0.55,0.65,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.6_book0,book_time_v32drift85,0.0,60.0,0.6,0.0,0.0,0.5484848484848485,181,782.0,0.5505050505050505,109,435.0,0.4090909090909091,27,6.0,0.6818181818181818,45,341.0,6,-292.0
book_time_v32drift85_edge0_ask60_pside0.6_book0,book_time_v32drift85,0.0,60.0,0.6,0.0,1.0,0.5484848484848485,181,601.0,0.5505050505050505,109,326.0,0.4090909090909091,27,-21.0,0.6818181818181818,45,296.0,6,-307.0
book_time_v32drift85_edge0_ask60_pside0.6_book0,book_time_v32drift85,0.0,60.0,0.6,0.0,2.0,0.5484848484848485,181,420.0,0.5505050505050505,109,217.0,0.4090909090909091,27,-48.0,0.6818181818181818,45,251.0,6,-322.0
book_time_v32drift85_edge0_ask60_pside0.6_book0.52,book_time_v32drift85,0.0,60.0,0.6,0.52,0.0,0.5484848484848485,181,782.0,0.5505050505050505,109,435.0,0.4090909090909091,27,6.0,0.6818181818181818,45,341.0,6,-292.0
book_time_v32drift85_edge0_ask60_pside0.6_book0.52,book_time_v32drift85,0.0,60.0,0.6,0.52,1.0,0.5484848484848485,181,601.0,0.5505050505050505,109,326.0,0.4090909090909091,27,-21.0,0.6818181818181818,45,296.0,6,-307.0
book_time_v32drift85_edge0_ask60_pside0.6_book0.52,book_time_v32drift85,0.0,60.0,0.6,0.52,2.0,0.5484848484848485,181,420.0,0.5505050505050505,109,217.0,0.4090909090909091,27,-48.0,0.6818181818181818,45,251.0,6,-322.0
book_time_v32drift85_edge0_ask60_pside0.6_book0.55,book_time_v32drift85,0.0,60.0,0.6,0.55,0.0,0.5484848484848485,181,782.0,0.5505050505050505,109,435.0,0.4090909090909091,27,6.0,0.6818181818181818,45,341.0,6,-292.0
book_time_v32drift85_edge0_ask60_pside0.6_book0.55,book_time_v32drift85,0.0,60.0,0.6,0.55,1.0,0.5484848484848485,181,601.0,0.5505050505050505,109,326.0,0.4090909090909091,27,-21.0,0.6818181818181818,45,296.0,6,-307.0
book_time_v32drift85_edge0_ask60_pside0.6_book0.55,book_time_v32drift85,0.0,60.0,0.6,0.55,2.0,0.5484848484848485,181,420.0,0.5505050505050505,109,217.0,0.4090909090909091,27,-48.0,0.6818181818181818,45,251.0,6,-322.0
book_time_v32drift85_edge0_ask60_pside0.6_book0.6,book_time_v32drift85,0.0,60.0,0.6,0.6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.6_book0.6,book_time_v32drift85,0.0,60.0,0.6,0.6,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.6_book0.6,book_time_v32drift85,0.0,60.0,0.6,0.6,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.6_book0.65,book_time_v32drift85,0.0,60.0,0.6,0.65,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.6_book0.65,book_time_v32drift85,0.0,60.0,0.6,0.65,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.6_book0.65,book_time_v32drift85,0.0,60.0,0.6,0.65,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
