rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_sigma_t_dollars>=75,27,0.38028169014084506,-23.459999999999994,18.00000000000002,20,7,-18.280000000000005,-4.279999999999999,-0.8999999999999999,15,6,6,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75,30,0.4225352112676056,-24.55999999999999,16.900000000000023,21,9,-17.3,-6.359999999999999,-0.8999999999999999,16,8,6,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=10,24,0.3380281690140845,-25.339999999999993,16.120000000000022,17,7,-18.840000000000003,-4.279999999999999,-2.2199999999999998,14,6,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=15,17,0.23943661971830985,-26.499999999999993,14.960000000000022,12,5,-19.300000000000004,-4.279999999999999,-2.92,8,6,3,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_sigma_t_dollars>=75,22,0.30985915492957744,-28.459999999999994,13.000000000000021,17,5,-19.180000000000003,-8.379999999999999,-0.8999999999999999,14,2,6,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=100,7,0.09859154929577464,-28.799999999999997,12.660000000000018,7,0,-18.42,-3.88,-6.5,3,4,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=15 AND exit_sigma_t_dollars>=75,11,0.15492957746478872,-29.16,12.300000000000015,7,4,-18.380000000000003,-4.279999999999999,-6.5,5,6,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=0,25,0.352112676056338,-30.41999999999999,11.040000000000024,17,8,-17.520000000000003,-12.000000000000002,-0.8999999999999999,13,6,6,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_sigma_t_dollars>=75,24,0.3380281690140845,-30.57999999999999,10.880000000000024,18,6,-19.220000000000006,-10.46,-0.8999999999999999,14,4,6,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND fair_minus_exit_bid_cents>=15,7,0.09859154929577464,-30.619999999999997,10.840000000000018,6,1,-14.599999999999996,-9.520000000000001,-6.5,5,2,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds<=180,26,0.36619718309859156,-30.71999999999999,10.740000000000023,18,8,-17.820000000000004,-12.000000000000002,-0.8999999999999999,14,6,6,True,True
suppress_collapse_exit_if_exit_p_hold<=0.6 AND exit_sigma_t_dollars>=75,13,0.18309859154929578,-31.24,10.220000000000017,7,6,-18.380000000000003,-6.359999999999999,-6.5,5,8,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=20 AND exit_btc_age_ms<=100,7,0.09859154929577464,-31.319999999999997,10.140000000000018,5,2,-20.140000000000004,-4.680000000000001,-6.5,1,6,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=20,12,0.16901408450704225,-31.48,9.980000000000015,7,5,-20.700000000000006,-4.279999999999999,-6.5,6,6,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=500,19,0.2676056338028169,-31.94,9.520000000000014,12,7,-19.080000000000005,-6.359999999999999,-6.5,11,8,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_fair_drawdown_cents<=8,9,0.1267605633802817,-32.18,9.280000000000015,9,0,-15.779999999999996,-14.02,-2.38,5,0,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND position_seconds<=45,35,0.49295774647887325,-32.42,9.040000000000013,23,12,-17.500000000000004,-8.42,-6.5,20,3,12,True,True
