market,decision_key,dataset,entry_key,entry_dt,entry_minute,side,outcome,outcome_available,win,qty,ask_cents,bid_cents,book_mid_cents,book_p_side,book_other_mid_cents,book_margin_cents,spread_cents,spot,strike,seconds_to_close,v28_sigma_t_dollars,source_line_no,position_open_logged,pending_logged,trust_state,outcome_method,outcome_source,side_sign,margin_dollars,margin_per_sqrt_sec,margin_per_sqrt_min,margin_per_v28_sigma,brownian_p_v28_sigma,rv_sigma_t_5m,margin_per_rv_sigma_5m,brownian_p_rv_5m,rv_sigma_t_15m,margin_per_rv_sigma_15m,brownian_p_rv_15m,rv_sigma_t_30m,margin_per_rv_sigma_30m,brownian_p_rv_30m,rv_sigma_t_60m,margin_per_rv_sigma_60m,brownian_p_rv_60m,btc_close_lag_1m,signed_move_1m,signed_velocity_dps_1m,adverse_move_1m,drift_projected_margin_1m,drift_p_1m_rv_15m,drift_p_1m_rv_30m,drift_p_1m_rv_60m,btc_close_lag_3m,signed_move_3m,signed_velocity_dps_3m,adverse_move_3m,drift_projected_margin_3m,drift_p_3m_rv_15m,drift_p_3m_rv_30m,drift_p_3m_rv_60m,btc_close_lag_5m,signed_move_5m,signed_velocity_dps_5m,adverse_move_5m,drift_projected_margin_5m,drift_p_5m_rv_15m,drift_p_5m_rv_30m,drift_p_5m_rv_60m,btc_close_lag_10m,signed_move_10m,signed_velocity_dps_10m,adverse_move_10m,drift_projected_margin_10m,drift_p_10m_rv_15m,drift_p_10m_rv_30m,drift_p_10m_rv_60m,btc_close_lag_15m,signed_move_15m,signed_velocity_dps_15m,adverse_move_15m,drift_projected_margin_15m,drift_p_15m_rv_15m,drift_p_15m_rv_30m,drift_p_15m_rv_60m,btc_close_lag_30m,signed_move_30m,signed_velocity_dps_30m,adverse_move_30m,drift_projected_margin_30m,drift_p_30m_rv_15m,drift_p_30m_rv_30m,drift_p_30m_rv_60m,btc_close_lag_60m,signed_move_60m,signed_velocity_dps_60m,adverse_move_60m,drift_projected_margin_60m,drift_p_60m_rv_15m,drift_p_60m_rv_30m,drift_p_60m_rv_60m,book_minus_brownian_rv15,physics_confirmed_book,score_mean_book_rv15,score_mean_book_rv15_drift5,score_min_book_rv15,opportunity_key,two_side_mode,score_mean_book_rv30,score_min_book_rv15_drift5,score_regime_blend,abs_book_rv15_gap,abs_book_rv30_gap,close_dt,split,candidate,stage_rank,stage_name,stage_label
KXBTC15M-26APR302230-30,heartbeat:99,live_heartbeat_two_side,heartbeat:99:no,2026-05-01 02:27:44.675000+00:00,2026-05-01 02:27:00+00:00,no,no,True,True,1,97.0,96.0,96.5,0.965,3.5,93.0,1.0,76597.17,76652.0,135.325,,99,False,False,synced,bid>=98,latest_quote,-1.0,54.83000000000175,4.713344981286558,36.5094132349063,,,11.1369113502265,4.923268065601207,0.9999995744463156,32.169896394225056,1.7043884546001986,0.9558457302915484,39.09079980031782,1.4026318284630228,0.9196366722458208,31.932889560134512,1.717038475229386,0.9570139288615302,76593.83,-3.3399999999965075,-0.0556666666666084,3.3399999999965075,47.29690833334296,0.9292492605166534,0.8868460278426604,0.930714648325074,76596.57,-0.5999999999912689,-0.0033333333332848,0.5999999999912689,54.378916666674975,0.9545210744763094,0.9179013037512276,0.9557077774227654,76580.96,-16.20999999999185,-0.0540333333333061,16.20999999999185,47.51793916667209,0.9301746884432436,0.8879272522779168,0.93163198355514,76692.19,95.02000000000407,0.1583666666666734,0.0,76.26096916666933,0.9911196432641484,0.974463592570138,0.991533602269553,76666.59,69.41999999999825,0.0771333333333313,0.0,65.26806833333481,0.9787634901975376,0.952505973956419,0.9795189599844364,76714.58,117.41000000000348,0.0652277777777797,0.0,63.65694902777979,0.9760792617745496,0.9482839912271656,0.9768944691430724,76493.34,-103.83000000000176,-0.0288416666666671,103.83000000000176,50.92700145833501,0.943296548987703,0.903676323301554,0.9446230196968546,0.0091542697084516,True,0.9604228651457742,0.9503401395782639,0.9558457302915484,heartbeat:99,two_side_all_heartbeats,0.9423183361229104,0.9301746884432436,0.9552886567761132,0.009154269708451568,0.04536332775417917,2026-05-01 02:30:00+00:00,train,raw_regime_blend_high_price_20260502_1510,,,
KXBTC15M-26APR302245-45,heartbeat:183,live_heartbeat_two_side,heartbeat:183:no,2026-05-01 02:43:00.991000+00:00,2026-05-01 02:43:00+00:00,no,no,True,True,1,96.0,95.0,95.5,0.955,4.5,91.0,1.0,76566.51,76603.27,119.009,,183,False,False,synced,bid>=98,latest_quote,-1.0,36.76000000000931,3.369656253509771,26.10124510457404,,,15.324340245132738,2.3987982132989307,0.9917755117827988,20.43712893051726,1.7986870917625963,0.9639659040274468,25.67335595672448,1.4318346250475669,0.9239044223050572,30.55194461592881,1.2031967346799857,0.8855499008959071,76575.99,9.480000000010476,0.1580000000001746,0.0,55.563422000030094,0.9967235334472616,0.9847772089979192,0.965517897383552,76577.63,11.120000000009895,0.0617777777778327,0.0,44.11211155557141,0.9845527910992624,0.957120466684798,0.9256079687430412,76607.15,40.63999999999942,0.1354666666666647,0.0,52.88175253334242,0.9951667080114084,0.9802907466304616,0.958263422972656,76550.28,-16.229999999995925,-0.0270499999999932,16.229999999995925,33.540806550010124,0.9496189529562598,0.9042992255613872,0.863860386746931,76609.75,43.24000000000524,0.0480444444444502,0.0,42.47772128889889,0.9811664184162312,0.9509915802991556,0.9177878203750998,76666.59,100.08000000000176,0.0556000000000009,0.0,43.37690040000943,0.9831002546858236,0.95444475739488,0.9221634653799462,76597.54,31.02999999999884,0.0086194444444441,0.0,37.78579146389816,0.9677624024796324,0.9294612178356304,0.8919141411046134,-0.0089659040274467,True,0.9594829520137234,0.9713775373462851,0.955,heartbeat:183,two_side_all_heartbeats,0.9394522111525285,0.955,0.9657231128105157,0.008965904027446792,0.031095577694942755,2026-05-01 02:45:00+00:00,train,raw_regime_blend_high_price_20260502_1510,,,
KXBTC15M-26APR302300-00,heartbeat:241,live_heartbeat_two_side,heartbeat:241:no,2026-05-01 02:56:02.295000+00:00,2026-05-01 02:56:00+00:00,no,no,True,True,1,93.0,93.0,93.0,0.93,7.0,86.0,0.0,76528.23,76574.18,237.705,,241,False,False,synced,bid>=98,latest_quote,-1.0,45.94999999999709,2.980343744207572,23.085643374578765,,,31.02919437554649,1.480863455359621,0.930678518494373,23.261190066839188,1.9753933426434076,0.975888236143192,26.34488308220797,1.7441717185311572,0.959435424365838,40.72244086866608,1.1283704763226352,0.8704182545375143,76543.95,15.720000000001164,0.2620000000000194,0.0,108.2287100000017,0.9999983623847016,0.9999800578773472,0.9960663999296387,76573.1,44.870000000009895,0.2492777777778327,0.0,105.20457416667682,0.9999969479504812,0.9999674280791248,0.9951091819459834,76573.68,45.44999999999709,0.1514999999999903,0.0,81.96230749999478,0.9997871084114818,0.9990681298221804,0.977927224405858,76545.8,17.570000000006985,0.0292833333333449,0.0,52.91079474999986,0.98853618290258,0.9776990576014272,0.9030800391275472,76579.29,51.05999999999767,0.0567333333333307,0.0,59.43579699999648,0.994692876177088,0.987966753351902,0.9277909388714968,76593.83,65.60000000000582,0.0364444444444476,0.0,54.61302666666453,0.9905581116967304,0.9809140086503776,0.9100566489373316,76718.1,189.8700000000099,0.0527416666666694,0.0,58.48695787499774,0.9940375332262474,0.9867923133793386,0.9245321294058388,-0.0458882361431919,True,0.9529441180715961,0.9685584481848913,0.93,heartbeat:241,two_side_all_heartbeats,0.944717712182919,0.93,0.957723892525254,0.04588823614319193,0.029435424365837903,2026-05-01 03:00:00+00:00,train,raw_regime_blend_high_price_20260502_1510,,,
KXBTC15M-26APR302315-15,heartbeat:304,live_heartbeat_two_side,heartbeat:304:yes,2026-05-01 03:10:18.410000+00:00,2026-05-01 03:10:00+00:00,yes,yes,True,True,1,98.0,98.0,98.0,0.98,2.0,96.0,0.0,76630.45,76566.01,281.59,,304,False,False,synced,bid>=98,latest_quote,1.0,64.44000000000233,3.840138763074117,29.745586953023206,,,59.597374648927286,1.0812556824793322,0.8602083024450227,53.49336510083397,1.2046353763412372,0.885827953196545,41.78509005112176,1.5421768846534385,0.9384846921971414,42.02084271796341,1.5335246946976386,0.9374266865597842,76640.0,-9.55000000000291,-0.1591666666667151,9.55000000000291,19.62025833332201,0.6431081706121428,0.6806623154026414,0.6797204755217449,76553.61,76.83999999999651,0.4268888888888695,0.0,184.64764222221908,0.9997215552653924,0.9999950416994248,0.999994440718855,76523.2,107.25,0.3575,0.0,165.1084250000023,0.9989874337196096,0.9999611477470214,0.9999573860810004,76566.47,63.979999999995925,0.1066333333333265,0.0,94.46688033333376,0.9612983080970108,0.988113546634688,0.9877149593108838,76543.95,86.5,0.0961111111111111,0.0,91.5039277777801,0.9564193634827226,0.9857331778367984,0.9852815006313675,76577.63,52.81999999999243,0.0293444444444402,0.0,72.70310211111226,0.9129433469897864,0.9590642826755312,0.9581998355851842,76687.2,-56.75,-0.0157638888888888,56.75,60.001046527780105,0.868995207310765,0.9244908519876444,0.9233379148391492,0.094172046803455,True,0.9329139765982725,0.9549384623053848,0.885827953196545,heartbeat:304,two_side_all_heartbeats,0.9592423460985706,0.885827953196545,0.9555458727028855,0.09417204680345503,0.041515307802858614,2026-05-01 03:15:00+00:00,train,raw_regime_blend_high_price_20260502_1510,,,
KXBTC15M-26APR302330-30,heartbeat:367,live_heartbeat_two_side,heartbeat:367:yes,2026-05-01 03:19:04.269000+00:00,2026-05-01 03:19:00+00:00,yes,yes,True,True,1,96.0,95.0,95.5,0.955,4.5,91.0,1.0,76845.42,76668.47,655.731,,367,True,False,synced,bid>=98,latest_quote,1.0,176.9499999999971,6.910153729009547,53.525820624374106,,,146.35937208405153,1.20901037959071,0.8866705711385507,106.62608207468702,1.6595376718057704,0.9514962519712308,94.76861764879864,1.8671792877232096,0.9690617224957944,76.56177362589594,2.311205600651684,0.9895892494177424,76842.47,2.9499999999970896,0.0491666666666181,0.0,209.19010749996528,0.9751131529085104,0.986356149015038,0.9968553543763046,76700.0,145.41999999999825,0.8078888888888792,0.0,706.7077889999907,0.999999999982976,0.9999999999999558,1.0,76664.51,180.9100000000035,0.603033333333345,0.0,572.3776507000048,0.9999999602110174,0.999999999228178,0.9999999999999616,76640.0,205.41999999999825,0.3423666666666637,0.0,401.4504366999952,0.9999167355780804,0.999988628809142,0.9999999212137698,76523.21,322.20999999999185,0.358011111111102,0.0,411.7089838999912,0.9999435936864788,0.9999930158828704,0.9999999622310424,76568.22,277.1999999999971,0.1539999999999984,0.0,277.93257399999607,0.9954278229165596,0.9983201233551716,0.9998583849884666,76626.93,218.49000000000524,0.0606916666666681,0.0,216.74740727499804,0.9789626417243268,0.988905653661024,0.9976799611680266,0.003503748028769,True,0.9532481259856154,0.9688320707274162,0.9514962519712308,heartbeat:367,two_side_all_heartbeats,0.9620308612478972,0.9514962519712308,0.9629488676335727,0.0035037480287691825,0.014061722495794404,2026-05-01 03:30:00+00:00,train,raw_regime_blend_high_price_20260502_1510,,,
KXBTC15M-26APR302345-45,heartbeat:467,live_heartbeat_two_side,heartbeat:467:no,2026-05-01 03:41:05.935000+00:00,2026-05-01 03:41:00+00:00,no,no,True,True,1,96.0,95.0,95.5,0.955,4.5,91.0,1.0,77081.5,77219.61,234.065,,467,False,False,synced,bid>=98,latest_quote,-1.0,138.11000000000058,9.027279439557098,69.92500586193053,,,51.26855001191006,2.693854223845157,0.996468447554959,77.01360383597444,1.793319532145916,0.963539077006952,164.99637858488543,0.8370486745498317,0.7987173956795118,119.5696733201235,1.1550587717191392,0.8759668200423789,77104.59,23.089999999996508,0.3848333333332751,0.0,228.1860141666536,0.9984763769383972,0.9166638712508792,0.9718298263094106,77209.82,128.32000000000698,0.7128888888889277,0.0,304.9723377777874,0.99996252199365,0.9677246979367622,0.99462284938066,77226.23,144.72999999999593,0.4824333333333197,0.0,251.03075816666404,0.9994420816725456,0.935924258983563,0.9821114509071168,77215.1,133.60000000000582,0.2226666666666763,0.0,190.22847333333615,0.9932455419577648,0.8755294444255254,0.9441887400622172,77199.21,117.7100000000064,0.130788888888896,0.0,168.72310127778002,0.9857676637655912,0.8467483482330009,0.9208903826163096,76666.2,-415.3000000000029,-0.2307222222222238,415.3000000000029,84.10600305555576,0.8626038453928809,0.6948847776089742,0.7590985569702992,76579.29,-502.2100000000064,-0.1395027777777795,502.2100000000064,105.4572823194446,0.914552423099509,0.7386370205512964,0.8111044288683872,-0.008539077006952,True,0.959269538503476,0.9726603862264991,0.955,heartbeat:467,two_side_all_heartbeats,0.8768586978397559,0.955,0.9664501394365947,0.008539077006952,0.15628260432048813,2026-05-01 03:45:00+00:00,train,raw_regime_blend_high_price_20260502_1510,,,
KXBTC15M-26MAY010000-00,heartbeat:537,live_heartbeat_two_side,heartbeat:537:no,2026-05-01 03:57:07.238000+00:00,2026-05-01 03:57:00+00:00,no,no,True,True,1,95.0,95.0,95.0,0.95,5.0,90.0,0.0,77049.14,77133.88,172.762,,537,False,False,synced,bid>=98,latest_quote,-1.0,84.74000000000524,6.447099132930699,49.93901514637775,,,24.560606360717568,3.450240550067977,0.9997199563782092,34.64887799116299,2.4456780396068734,0.9927709977451906,53.13682004794831,1.5947510581841295,0.9446160423063452,104.02197659856547,0.8146355488612571,0.7923595221569182,77093.44,44.30000000000291,0.7383333333333818,0.0,212.2959433333469,0.9999999995524268,0.9999676897180778,0.9793684172283807,77118.32,69.18000000000757,0.3843333333333754,0.0,151.13819533334583,0.9999935558775496,0.9977746936655238,0.9268804667037004,77158.64,109.5,0.365,0.0,147.79813000000524,0.9999900315557076,0.9972942799397032,0.9223177241600152,77141.75,92.61000000000058,0.1543500000000009,0.0,111.4058147000054,0.9993484113427752,0.9819847982168102,0.8579115629327285,77131.59,82.44999999999709,0.0916111111111078,0.0,100.56691877778246,0.998148766951508,0.9707946749538764,0.8331743149474731,77236.44,187.3000000000029,0.1040555555555571,0.0,102.7168458888944,0.9984841589175903,0.9733858104260488,0.8382897712994416,76509.68,-539.4600000000064,-0.1498500000000018,539.4600000000064,58.851614300004925,0.9552946307581214,0.865971608732025,0.7142219894340249,-0.0427709977451906,True,0.9713854988725953,0.9809203431002994,0.95,heartbeat:537,two_side_all_heartbeats,0.9473080211531726,0.95,0.9728293056346986,0.042770997745190664,0.0053839576936547395,2026-05-01 04:00:00+00:00,train,raw_regime_blend_high_price_20260502_1510,,,
KXBTC15M-26MAY010015-15,heartbeat:624,live_heartbeat_two_side,heartbeat:624:yes,2026-05-01 04:14:08.446000+00:00,2026-05-01 04:14:00+00:00,yes,yes,True,True,1,98.0,98.0,98.0,0.98,2.0,96.0,0.0,77134.51,77099.09,51.554,,624,False,False,synced,bid>=98,latest_quote,1.0,35.419999999998254,4.9330710805654725,38.211404281375,,,16.257025801279315,2.178750309740601,0.9853248889293464,19.427361845525684,1.8232017440986632,0.9658635794871716,19.748698069850164,1.793535952330603,0.9635563663751112,56.67095104042387,0.6250115685324015,0.7340182672783725,77101.18,33.330000000001746,0.5555000000000291,0.0,64.05824699999975,0.9995119405356164,0.9994099968369228,0.8708364956919705,77097.68,36.83000000000175,0.2046111111111208,0.0,45.96852122222098,0.991013505845182,0.9900352764276672,0.7913596208647824,77105.8,28.70999999999185,0.0956999999999728,0.0,40.35371779999685,0.981106552654444,0.9794916383164988,0.761789468897111,77060.14,74.36999999999534,0.1239499999999922,0.0,41.81011829999785,0.984306259255574,0.9828746405657915,0.7696728371616788,77090.55,43.95999999999185,0.0488444444444353,0.0,37.938126488886674,0.9745794925656904,0.9726369469962788,0.7483944073594387,77140.45,-5.940000000002328,-0.0033000000000012,5.940000000002328,35.24987179999819,0.9651953477343888,0.962862958273127,0.733032200251247,76664.51,470.0,0.1305555555555555,0.0,42.150661111109365,0.9849834815335984,0.9835929861047106,0.7714948949737647,0.0141364205128283,True,0.9729317897435859,0.9756567107138719,0.9658635794871716,heartbeat:624,two_side_all_heartbeats,0.9717781831875556,0.9658635794871716,0.9759803843770403,0.014136420512828374,0.016443633624888765,2026-05-01 04:15:00+00:00,train,raw_regime_blend_high_price_20260502_1510,,,
KXBTC15M-26MAY010030-30,heartbeat:690,live_heartbeat_two_side,heartbeat:690:no,2026-05-01 04:29:09.975000+00:00,2026-05-01 04:29:00+00:00,no,no,True,True,1,100.0,100.0,100.0,1.0,0.0,100.0,0.0,76997.18,77131.71,50.025,,690,False,False,synced,bid>=98,latest_quote,-1.0,134.5300000000134,19.02066048373329,147.33340257472912,,,43.56129131399516,3.088292287533548,0.9989934481667596,36.44678890895367,3.6911345012060632,0.9998883719821908,29.13560900965474,4.617373879345849,0.9999980568663795,28.75042270798876,4.679235549557054,0.9999985602675634,77091.04,93.86000000000058,1.5643333333333431,0.0,212.78577500001387,0.9999999973625364,0.9999999999998596,0.9999999999999324,77139.06,141.88000000000466,0.7882222222222481,0.0,173.96081666668135,0.999999092527308,0.9999999988190188,0.9999999992790096,77116.01,118.83000000000176,0.3961000000000058,0.0,154.3449025000137,0.9999885622966056,0.9999999412896684,0.9999999602895696,77169.14,171.9600000000064,0.2866000000000107,0.0,148.86716500001393,0.9999779147540048,0.9999998384576878,0.9999998878086208,77134.51,137.33000000000175,0.1525888888888908,0.0,142.16325916668015,0.9999520168059884,0.9999994678592048,0.9999996187650032,77090.55,93.3700000000099,0.0518722222222277,0.0,137.12490791668034,0.9999158316953664,0.9999987395807252,0.9999990765441054,77264.72,267.5400000000081,0.0743166666666689,0.0,138.2476912500135,0.999925622212802,0.9999989573315816,0.9999992398346252,0.0001116280178092,True,0.9999441859910954,0.999958978092932,0.9998883719821908,heartbeat:690,two_side_all_heartbeats,0.9999990284331898,0.9998883719821908,0.9999642240539783,0.00011162801780917331,1.9431336204522864e-06,2026-05-01 04:30:00+00:00,train,raw_regime_blend_high_price_20260502_1510,,,
KXBTC15M-26MAY010045-45,heartbeat:756,live_heartbeat_two_side,heartbeat:756:yes,2026-05-01 04:44:11.478000+00:00,2026-05-01 04:44:00+00:00,yes,yes,True,True,1,100.0,100.0,100.0,1.0,0.0,100.0,0.0,77033.57,76977.88,48.522,,756,False,False,synced,bid>=98,latest_quote,1.0,55.69000000000233,7.994804921540429,61.92749263460635,,,30.34137919512459,1.835447216880335,0.9667802734493088,19.45776816688261,2.8620959774198296,0.9978957527842428,28.8688982683076,1.929065649905284,0.9731386436540588,24.324004022008737,2.289507925981806,0.988975071038829,77014.84,18.73000000001048,0.3121666666668413,0.0,70.8369510000108,0.9998639711358984,0.9929311648659228,0.9982056747145208,76996.39,37.18000000000757,0.2065555555555976,0.0,65.71248866667104,0.9996338415122225,0.9885841212650168,0.9965491344781692,77028.13,5.440000000002328,0.018133333333341,0.0,56.56986560000271,0.998177271793662,0.9749754220107636,0.9899822033696,77023.43,10.14000000001397,0.0169000000000232,0.0,56.51002180000346,0.9981592687672596,0.97485392190583,0.9899163416815628,76997.18,36.39000000001397,0.0404333333333488,0.0,57.65190620000308,0.9984763455648742,0.9770887562693472,0.9911099289339648,77134.51,-100.93999999998778,-0.0560777777777709,100.93999999998778,52.968994066669325,0.9967580891308824,0.9667332072917272,0.9852836825774696,77140.45,-106.8799999999901,-0.0296888888888861,106.8799999999901,54.249435733335794,0.9973487683550224,0.9698890460804308,0.9871357009415078,0.0021042472157571,True,0.9989478763921213,0.9986910081926349,0.9978957527842428,heartbeat:756,two_side_all_heartbeats,0.9865693218270294,0.9978957527842428,0.9990041801940053,0.0021042472157571934,0.026861356345941223,2026-05-01 04:45:00+00:00,train,raw_regime_blend_high_price_20260502_1510,,,
