dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive,coverage_pass,positive_and_coverage
current,book_margin,0,20,20,1.0,12,8,0.6,-123.0,-0.09297052154195011,False,True,False
current,book_margin,1,20,20,1.0,14,6,0.7,59.0,0.04399701715137957,True,True,True
current,book_margin,2,20,20,1.0,15,5,0.75,139.0,0.10213078618662748,True,True,True
current,book_margin,3,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,True,True,True
current,book_margin,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,False
current,book_margin,5,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,False,True,False
current,book_margin,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True,True
current,book_margin,7,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,True,True,True
current,book_margin,8,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,True,True,True
current,book_margin,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True,True
current,book_margin,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True,False
current,book_margin,11,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,False,True,False
current,book_margin,12,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,True,True,True
current,book_margin,13,20,20,1.0,17,3,0.85,285.0,0.20141342756183744,True,True,True
current,book_margin,14,20,20,1.0,11,9,0.55,-260.0,-0.19117647058823528,False,True,False
current,book_margin,15,20,20,1.0,15,5,0.75,129.0,0.09409190371991247,True,True,True
current,book_margin,16,8,8,1.0,3,5,0.375,-252.0,-0.45652173913043476,False,True,False
current,book_margin__only_follow_prev1,0,20,16,0.8,6,10,0.375,-462.0,-0.4350282485875706,False,True,False
current,book_margin__only_follow_prev1,1,20,14,0.7,10,4,0.7142857142857143,59.0,0.06269925611052073,True,False,False
current,book_margin__only_follow_prev1,2,20,15,0.75,12,3,0.8,180.0,0.17647058823529413,True,False,False
current,book_margin__only_follow_prev1,3,20,12,0.6,10,2,0.8333333333333334,172.0,0.20772946859903382,True,False,False
current,book_margin__only_follow_prev1,4,20,17,0.85,13,4,0.7647058823529411,133.0,0.11396743787489289,True,True,True
current,book_margin__only_follow_prev1,5,20,13,0.65,11,2,0.8461538461538461,217.0,0.24575311438278596,True,False,False
current,book_margin__only_follow_prev1,6,20,10,0.5,6,4,0.6,-69.0,-0.1031390134529148,False,False,False
current,book_margin__only_follow_prev1,7,20,12,0.6,8,4,0.6666666666666666,-20.0,-0.024390243902439025,False,False,False
current,book_margin__only_follow_prev1,8,20,11,0.55,6,5,0.5454545454545454,-146.0,-0.19571045576407506,False,False,False
current,book_margin__only_follow_prev1,9,20,10,0.5,8,2,0.8,118.0,0.17302052785923755,True,False,False
current,book_margin__only_follow_prev1,10,20,12,0.6,8,4,0.6666666666666666,-25.0,-0.030303030303030304,False,False,False
current,book_margin__only_follow_prev1,11,20,13,0.65,6,7,0.46153846153846156,-292.0,-0.3273542600896861,False,False,False
current,book_margin__only_follow_prev1,12,20,12,0.6,7,5,0.5833333333333334,-94.0,-0.11838790931989925,False,False,False
current,book_margin__only_follow_prev1,13,20,16,0.8,12,4,0.75,49.0,0.04257167680278019,True,True,True
current,book_margin__only_follow_prev1,14,20,16,0.8,13,3,0.8125,196.0,0.17753623188405798,True,True,True
current,book_margin__only_follow_prev1,15,20,15,0.75,10,5,0.6666666666666666,-30.0,-0.02912621359223301,False,False,False
current,book_margin__only_follow_prev1,16,8,8,1.0,5,3,0.625,-68.0,-0.11971830985915492,False,True,False
current,book_margin__only_fade_prev1,0,20,17,0.85,13,4,0.7647058823529411,140.0,0.1206896551724138,True,True,True
current,book_margin__only_fade_prev1,1,20,15,0.75,9,6,0.6,-127.0,-0.12366114897760468,False,False,False
