model,entry_policy,exit_policy,trades,min_split_coverage,all_net_after_fees_1c_entry_dollars,min_split_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_entry_dollars,positive_1c_days,total_days,worst_1c_day_dollars,settled_count,exit_count,losses,block10_positive,block10_worst_dollars
v47_recross_sigma1_v3cap68,edge0_ask100_p0.65_stc0-600,hold,334,0.8133333333333334,-0.52,-3.97,5.46,-2.01,-3.97,2,5,-3.46,334,0,57,6,-6.61
v47_recross_sigma1_v3cap68,edge0_ask100_p0.65_stc0-600,prob50,334,0.8133333333333334,8.81,-1.57,6.56,3.82,-1.57,3,5,-1.4,254,80,57,8,-4.21
v47_recross_sigma1_v3cap68,edge0_ask100_p0.65_stc0-600,prob52,334,0.8133333333333334,11.44,0.22,7.14,4.08,0.22,5,5,0.14,252,82,57,8,-2.78
v47_recross_sigma1_v3cap68,edge0_ask100_p0.65_stc0-600,prob54,334,0.8133333333333334,12.1,0.86,7.16,4.08,0.86,5,5,0.14,251,83,57,8,-2.5
v47_recross_sigma1_v3cap68,edge0_ask100_p0.65_stc0-600,prob56,334,0.8133333333333334,8.97,1.08,6.25,1.08,1.64,4,5,-0.74,244,90,57,8,-3.61
v47_recross_sigma1_v3cap68,edge0_ask100_p0.65_stc0-600,prob57,334,0.8133333333333334,6.54,0.74,4.51,1.29,0.74,4,5,-1.25,237,97,57,8,-3.15
v47_recross_sigma1_v3cap68,edge0_ask100_p0.65_stc0-600,prob60,334,0.8133333333333334,5.52,-0.92,5.5,0.94,-0.92,5,5,0.34,230,104,57,7,-3.46
v47_recross_sigma1_v3cap68,edge0_ask100_p0.65_stc0-600,prob62,334,0.8133333333333334,0.68,-2.1,2.63,0.15,-2.1,2,5,-0.79,221,113,57,5,-3.77
v47_recross_sigma1_v3cap68,edge0_ask100_p0.65_stc0-600,take3,334,0.8133333333333334,-17.02,-17.02,-5.73,-6.45,-4.84,0,5,-9.31,48,286,57,2,-6.58
v47_recross_sigma1_v3cap68,edge0_ask100_p0.65_stc0-600,take3_or_prob52,334,0.8133333333333334,-10.06,-10.06,-4.13,-3.11,-2.82,0,5,-4.03,27,307,57,4,-3.48
v47_recross_sigma1_v3cap68,edge0_ask100_p0.65_stc0-600,take3_or_prob54,334,0.8133333333333334,-9.83,-9.83,-3.73,-3.11,-2.99,0,5,-4.03,27,307,57,3,-3.28
v47_recross_sigma1_v3cap68,edge0_ask100_p0.65_stc0-600,take3_or_prob56,334,0.8133333333333334,-10.59,-10.59,-4.4,-3.7,-2.49,0,5,-4.66,27,307,57,4,-3.35
v47_recross_sigma1_v3cap68,edge0_ask100_p0.65_stc0-600,take3_or_prob57,334,0.8133333333333334,-11.49,-11.49,-4.54,-4.44,-2.51,1,5,-4.76,27,307,57,3,-3.45
v47_recross_sigma1_v3cap68,edge0_ask100_p0.65_stc0-600,take3_or_prob60,334,0.8133333333333334,-10.64,-10.64,-3.99,-3.91,-2.74,1,5,-4.11,27,307,57,2,-2.59
v47_recross_sigma1_v3cap68,edge0_ask100_p0.65_stc0-600,take5,334,0.8133333333333334,-18.04,-18.04,-6.19,-8.75,-3.1,1,5,-10.86,86,248,57,3,-7.13
