dataset,entry_dt,market,side,outcome,win,qty,ask_cents,spot,strike,seconds_to_close,margin_dollars,margin_per_sqrt_sec,margin_per_v28_sigma,brownian_p_v28_sigma,rv_sigma_t_15m,margin_per_rv_sigma_15m,brownian_p_rv_15m,signed_move_3m,signed_move_5m,signed_move_15m,adverse_move_3m,adverse_move_5m,drift_projected_margin_3m,drift_projected_margin_5m,conservative_p_3m_rv_15m,v28_p_side,v28_edge_cents,source_file
current_v28_live_fills,2026-05-01 02:17:02.454334+00:00,KXBTC15M-26APR302230-30,yes,no,False,2,69.0,76694.82,76652.0,777.636,42.820000000006985,1.5355306305785374,0.5686454452490116,0.7152016112629536,96.30258967717286,0.4446401716044075,0.6717100941006673,18.85000000000582,28.230000000010477,55.55000000000291,0.0,0.0,124.25577000003213,115.99554760003414,0.7152016112629536,0.866168,14.116814,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 02:19:55.259900+00:00,KXBTC15M-26APR302230-30,no,no,True,2,80.0,76590.8,76652.0,604.81,61.19999999999709,2.4885246129835346,0.9112312331592085,0.8189132246763392,82.2409484501851,0.7441548420014524,0.7716085979311813,69.88999999999942,85.16999999999825,32.39999999999418,0.0,0.0,296.0342827777729,232.90555899999353,0.8189132246763392,0.857255,2.225544,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 02:21:31.434845+00:00,KXBTC15M-26APR302230-30,no,no,True,2,85.0,76580.81,76652.0,508.631,71.19000000000233,3.1565856651287896,1.1425562213414404,0.8733885545810285,79.13342402655528,0.8996198619702425,0.815838708228277,78.26000000000931,79.88000000000466,44.49000000000524,0.0,0.0,292.3314558889175,206.62148093334355,0.8733885545810285,0.903024,2.302384,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 02:32:50.731602+00:00,KXBTC15M-26APR302245-45,no,no,True,2,80.0,76534.09,76603.27,729.368,69.18000000000757,2.561575760668313,0.9158547039274288,0.820128446478479,59.520275427589,1.1622930086096521,0.8774417672302238,66.19999999999709,63.080000000001746,158.10000000000582,0.0,0.0,337.42534222221803,222.54177813334516,0.820128446478479,0.858747,2.374657,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 03:16:08.224718+00:00,KXBTC15M-26APR302330-30,yes,yes,True,2,78.0,76713.63,76668.47,831.868,45.16000000000349,1.56576551613337,0.5688388539106757,0.7152672478334481,89.42043084304406,0.505029997890202,0.6932311166466115,46.34000000001106,47.43000000000757,162.60000000000582,0.0,0.0,259.3197951111657,176.67833080002447,0.7152672478334481,0.855738,4.073803,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 03:17:01.433822+00:00,KXBTC15M-26APR302330-30,yes,yes,True,2,85.0,76732.56,76668.47,778.631,64.08999999999651,2.29680659406061,0.843598652590339,0.8005531412579651,82.91773247169071,0.7729347883684318,0.7802195124797415,68.05000000000291,80.92999999999302,202.86000000000058,0.0,0.0,358.45577527778687,274.1386894333117,0.8005531412579651,0.912419,3.241861,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 04:13:03.389357+00:00,KXBTC15M-26MAY010015-15,yes,yes,True,2,61.0,77101.18,77099.09,116.681,2.0899999999965075,0.193484515739776,0.05058694531980855,0.5201726671839164,26.89709066540602,0.07770357121503046,0.5309680733604434,9.219999999986612,-19.05000000000291,18.969999999986612,0.0,19.05000000000291,8.06666011109894,-5.3192435000046245,0.5201726671839164,0.873887,22.388745,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 05:05:03.783115+00:00,KXBTC15M-26MAY010115-15,yes,yes,True,2,82.0,77089.1,77018.24,596.288,70.86000000000058,2.90183766393672,0.7083219907018753,0.7606273380606272,85.34877044072208,0.8302404315152438,0.7967985700525488,79.98000000001048,84.11000000000058,62.270000000004075,0.0,0.0,335.81063466670196,238.03927893333505,0.7606273380606272,0.889057,3.405742,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 05:55:07.057813+00:00,KXBTC15M-26MAY010200-00,yes,yes,True,2,80.0,77133.81,77097.32,293.013,36.48999999999069,2.131721271646228,0.5203127369006162,0.6985771900582025,31.31438544691892,1.1652791354262713,0.8780469890501598,28.55999999999767,7.94999999999709,52.73999999999069,0.0,0.0,82.98139599998689,44.25484449998784,0.6985771900582025,0.882247,4.724656,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 05:57:05.293619+00:00,KXBTC15M-26MAY010200-00,yes,yes,True,2,79.0,77117.12,77097.32,174.779,19.79999999998836,1.4976852931545288,0.3654223089653071,0.642601904580754,25.388819471379335,0.7798708412696691,0.7822665484355907,-3.75,11.869999999995343,51.30999999999767,3.75,0.0,16.158770833321693,26.715422433318977,0.642601904580754,0.86034,3.534036,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 06:50:44.479996+00:00,KXBTC15M-26MAY010300-00,no,yes,False,2,88.0,76867.98,76983.36,555.595,115.38000000000466,4.894985055913287,1.236415662499595,0.891847951427448,102.9175621923797,1.1210914594375,0.8688755331576796,124.72000000000116,177.55999999999767,281.4499999999971,0.0,0.0,500.34560222223047,444.218160666667,0.891847951427448,0.930283,2.028299,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 06:56:03.097269+00:00,KXBTC15M-26MAY010300-00,yes,yes,True,2,85.0,77028.0,76983.36,236.977,44.63999999999942,2.899820310183116,0.6981100063419388,0.7574457996144619,79.06712651143876,0.5645835629746995,0.7138214760393937,87.52000000000407,127.97999999999593,14.380000000004657,0.0,0.0,159.86348355556032,145.7343881999962,0.7574457996144619,0.90246,2.246004,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 07:10:06.946502+00:00,KXBTC15M-26MAY010315-15,yes,yes,True,2,66.0,77045.0,77015.93,293.129,29.070000000006985,1.6979138016905195,0.3932910685912745,0.652947742952982,93.82302396377253,0.309838659764704,0.6216581744785987,72.69999999999709,88.52999999999884,72.25,0.0,0.0,147.46154611111336,115.57236790000586,0.652947742952982,0.879487,17.948699,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 07:13:03.774389+00:00,KXBTC15M-26MAY010315-15,yes,yes,True,2,84.0,77026.55,77015.93,116.301,10.620000000009895,0.9847654252210585,0.2285699281395063,0.5903984001476354,53.153172931934776,0.1997999256527794,0.5791814702625377,-34.61000000000058,23.35000000000582,-38.56999999999243,34.61000000000058,0.0,-11.742097833323815,19.67209450001215,0.4125810327743666,0.903935,3.393467,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 07:22:04.017620+00:00,KXBTC15M-26MAY010330-30,yes,no,False,2,76.0,77063.0,77016.34,476.049,46.66000000000349,2.13854752410054,0.5146935806624999,0.696616420043171,89.59669903460849,0.5207781146265238,0.6987393246947218,26.470000000001164,55.13000000000466,90.69999999999709,0.0,0.0,116.66565016667323,134.14193790001087,0.696616420043171,0.867496,7.249551,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 07:49:46.592703+00:00,KXBTC15M-26MAY010400-00,yes,yes,True,1,75.0,77077.61,76997.16,613.523,80.44999999999709,3.2479596422544343,0.8405566263147289,0.7997018169983812,60.803391449125854,1.3231169854614038,0.9071017615156736,97.18000000000757,70.66000000000349,93.41000000000349,0.0,0.0,411.6842507778007,224.9551172666709,0.7997018169983812,0.858772,7.377215,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 08:15:51.181238+00:00,KXBTC15M-26MAY010430-30,yes,yes,True,2,83.0,77296.08,77188.32,848.875,107.75999999999476,3.698585911010671,0.9842306269371424,0.8374989348858045,113.75941363277023,0.9472622665571894,0.8282474232978224,125.69000000000233,178.0,188.05999999999767,0.0,0.0,700.5105486111169,611.4258333333281,0.8374989348858045,0.904074,4.407365,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 08:17:58.680865+00:00,KXBTC15M-26MAY010430-30,yes,yes,True,2,90.0,77363.73,77188.32,721.392,175.40999999998894,6.53083464047276,1.6601535539347407,0.9515582171975203,121.67533108832102,1.441623363018945,0.9252956730410562,197.13999999999942,193.3399999999965,270.2699999999895,0.0,0.0,965.49454933332,640.3230975999805,0.9515582171975203,0.976829,4.682921,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 08:58:29.999190+00:00,KXBTC15M-26MAY010500-00,yes,yes,True,2,90.0,77396.49,77353.67,90.067,42.820000000006985,4.511945179800354,1.4041255254119007,0.9198592630664962,11.292573787087257,3.7918725002240374,0.9999252421627414,54.970000000001164,47.41000000000349,25.230000000010477,0.0,0.0,70.32546105556312,57.053588233341365,0.9198592630664962,0.954577,2.457696,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 09:24:38.370158+00:00,KXBTC15M-26MAY010530-30,yes,yes,True,2,87.0,77390.61,77319.74,321.695,70.86999999999534,3.9513024825411094,1.288414130006955,0.9011990786680348,42.76063059839901,1.6573656423731218,0.9512772133442132,60.169999999998254,75.33000000000175,78.47000000000116,0.0,0.0,178.40548972221444,151.64761449999722,0.9011990786680348,0.943043,4.304269,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 09:26:57.485658+00:00,KXBTC15M-26MAY010530-30,yes,yes,True,2,85.0,77364.07,77319.74,182.568,44.330000000001746,3.2808426522511613,1.0570950812553135,0.8547659020806944,40.52819789046618,1.0938063449011608,0.8629800396126563,52.98000000001048,33.63000000000466,24.60000000000582,0.0,0.0,98.06584800001238,64.79587280000459,0.8547659020806944,0.909647,2.964718,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 10:16:32.508577+00:00,KXBTC15M-26MAY010630-30,yes,yes,True,2,77.0,77214.5,77156.79,807.582,57.7100000000064,2.0307560654727954,0.7653645372540016,0.7779727480975125,62.3569933366608,0.9254775913975579,0.8226412326691053,65.52999999999884,66.80000000000291,-12.89999999999418,0.0,0.0,351.7147136666678,237.53159200001423,0.7779727480975125,0.851978,4.697759,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 10:53:39.000515+00:00,KXBTC15M-26MAY010700-00,yes,yes,True,2,78.0,77279.42,77238.15,381.09,41.270000000004075,2.1140764699736403,0.8381293067601207,0.7990209575123679,27.808150934512366,1.484097238151292,0.9311084370878714,25.44999999999709,43.44000000000233,10.160000000003492,0.0,0.0,95.15189166666457,96.45183200000702,0.7990209575123679,0.860201,4.52012,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 10:56:07.845518+00:00,KXBTC15M-26MAY010700-00,yes,yes,True,1,80.0,77270.98,77238.15,232.222,32.830000000001746,2.1543645898317356,0.8847809563445018,0.8118626087809109,16.533620708885586,1.9856509701083245,0.9764639536633094,28.519999999989523,28.75999999999476,29.39999999999418,0.0,0.0,69.624285777766,55.09234906666436,0.8118626087809109,0.873023,3.802285,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 10:58:16.556311+00:00,KXBTC15M-26MAY010700-00,yes,yes,True,2,82.0,77269.57,77238.15,103.505,31.420000000012806,3.0883429115052197,1.27619842017898,0.8990573065145384,9.706094739709714,3.237141285203703,0.9993963318935595,18.70000000001164,27.110000000000582,34.080000000001746,0.0,0.0,42.17301944446395,40.77340183334634,0.8990573065145384,0.95031,9.531,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 11:00:34.860134+00:00,KXBTC15M-26MAY010715-15,yes,yes,True,2,65.0,77327.38,77271.46,865.208,55.919999999998254,1.9011084821254147,0.7810550243207888,0.7826149335981516,38.53432503320966,1.451173725031002,0.9266342543169663,78.5,76.51000000000931,98.3700000000099,0.0,0.0,433.2468222222205,276.5768802666918,0.7826149335981516,0.853929,16.39295,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 11:02:01.436785+00:00,KXBTC15M-26MAY010715-15,yes,yes,True,2,68.0,77326.57,77271.46,778.647,55.11000000000058,1.9749681839665212,0.8096970053861026,0.7909428302161101,41.27139264728749,1.3353074966716107,0.9091121369811526,78.6200000000099,77.69000000000233,91.34000000001106,0.0,0.0,395.2057063333768,256.75361810000663,0.7909428302161101,0.863377,14.337733,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 11:11:38.950204+00:00,KXBTC15M-26MAY010715-15,yes,yes,True,2,57.0,77300.15,77271.46,201.126,28.689999999987776,2.023002595795881,0.855193171712886,0.8037778921222675,23.095104627358232,1.2422546016960618,0.8929286801743274,45.23999999999069,25.419999999998254,56.44999999999709,0.0,0.0,79.23966799997737,45.73207639998661,0.8037778921222675,0.862803,25.280318,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 11:16:36.718473+00:00,KXBTC15M-26MAY010730-30,yes,yes,True,2,72.0,77374.41,77309.64,803.384,64.77000000000407,2.285137345572443,0.9738067484492549,0.8349237491390702,43.1934783028212,1.4995319327124808,0.9331321544969711,76.61000000000058,106.83000000000175,74.80999999999767,0.0,0.0,406.6991568888956,350.85504240000876,0.8349237491390702,0.908444,15.344378,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 11:18:37.638200+00:00,KXBTC15M-26MAY010730-30,yes,yes,True,2,89.0,77411.73,77309.64,682.438,102.08999999999651,3.9079734365522985,1.6395192587143324,0.9494474184301418,58.6124887091628,1.7417789663662062,0.9592264357153435,93.66999999999825,113.92999999999302,123.50999999999476,0.0,0.0,457.2231525555455,361.2572044666473,0.9494474184301418,0.97504,5.503985,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 11:26:48.786132+00:00,KXBTC15M-26MAY010730-30,yes,yes,True,2,90.0,77378.42,77309.64,191.287,68.77999999999884,4.973011270063644,1.83491818900668,0.9667410939027365,49.44466919980765,1.3910498565994331,0.9178948456107889,-92.86000000000058,-65.5,110.83999999999651,92.86000000000058,65.5,-29.902837888890687,27.015671666665504,0.2726646695932283,0.981753,5.175329,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 11:30:33.002884+00:00,KXBTC15M-26MAY010745-45,yes,yes,True,2,69.0,77425.34,77358.36,867.064,66.97999999999593,2.2746761064061074,0.8326736878619863,0.7974856060364988,115.81231202589592,0.5783495625665347,0.7184859305149871,49.75,11.75,107.27999999999884,0.0,0.0,306.6268555555515,100.94000666666258,0.7974856060364988,0.868614,14.361406,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 11:32:12.386064+00:00,KXBTC15M-26MAY010745-45,yes,yes,True,2,67.0,77420.26,77358.36,767.714,61.89999999999418,2.234039866229915,0.8159741318008106,0.7927425345229787,108.58630255348169,0.5700534832144851,0.7156792881355861,75.06999999999243,44.669999999998254,71.25999999999476,0.0,0.0,382.07938877773967,176.2126145999897,0.7927425345229787,0.865198,15.519833,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
current_v28_live_fills,2026-05-01 11:33:55.526948+00:00,KXBTC15M-26MAY010745-45,yes,yes,True,2,69.0,77417.06,77358.36,664.53,58.69999999999709,2.277093194557485,0.8347867083695544,0.7980810945569474,98.53037128850082,0.5957553922954494,0.7243306761766951,45.270000000004075,69.06999999999243,40.41000000000349,0.0,0.0,225.82929500001214,211.69695699998033,0.7980810945569474,0.866975,14.197549,C:\Users\organ\Desktop\KALSHI PROBABILITY MODEL BOT\logs\edge_research\fv_accuracy_volume_trades_latest.csv
