name,path,overlay,registered,resolved,pending,fresh_base_markets,coverage_denominator,resolved_coverage_denominator,coverage_source,observed_post_lock_markets,resolved_post_lock_markets,wins,losses,accuracy,break_even,wilson95_lower,wilson_minus_break_even,registered_coverage,resolved_coverage,net_pnl_cents,net_roi_on_cost,posterior_alpha,posterior_beta,prob_win_rate_gt_break_even,posterior_mean_win_rate,posterior_p05_win_rate,posterior_p95_win_rate,posterior_mean_edge_cents,posterior_p05_edge_cents,posterior_p95_edge_cents,posterior_extra_perfect_wins_to_gate,registered_ready,registered_bayesian_ready
original,logs\edge_research\profit_frontier_fresh_validation_latest.json,,138,138,0,125,204,201,market_denominator_audit,204,201,92,46,0.6666666666666666,0.6634782608695652,0.5844433722661659,-0.07903488860339924,0.6764705882352942,0.6865671641791045,44.0,0.004805591961555264,93.0,47.0,0.51643,0.6642655371255164,0.5975195317210228,0.7282351364235955,0.07872762559513681,-6.5958729148542385,6.475687555403024,29,False,False
frontier_v2,logs\edge_research\profit_frontier_v2_fresh_validation_latest.json,,116,116,0,67,145,143,market_denominator_audit,145,143,72,44,0.6206896551724138,0.631896551724138,0.5298630447498485,-0.10203350697428948,0.8,0.8111888111888111,-130.0,-0.017735334242837655,73.0,45.0,0.39015,0.6188141459638776,0.544352115255836,0.6910676386928226,-1.3082405760260125,-8.75444364683019,5.917108696868463,30,False,False
frontier_v2_continuous,logs\edge_research\profit_frontier_v2_continuous_validation_latest.json,,107,107,0,34,112,110,market_denominator_audit,112,110,66,41,0.616822429906542,0.6333644859813085,0.5221772310609086,-0.11118725492039983,0.9553571428571429,0.9727272727272728,-177.0,-0.02611775121735281,67.0,42.0,0.34989,0.6145979151718637,0.5367223617939465,0.6898770675938714,-1.8766570809444776,-9.66421241873619,5.651258161256288,31,False,False
book_margin,logs\edge_research\profit_frontier_book_margin_validation_latest.json,,106,106,0,33,111,109,market_denominator_audit,111,109,73,33,0.6886792452830188,0.6819811320754716,0.5952376131106486,-0.08674351896482302,0.954954954954955,0.9724770642201835,71.0,0.009821552081892377,74.0,34.0,0.539845,0.6852672046995897,0.610442419227249,0.7563131759249405,0.3286072624117965,-7.153871284822274,7.433204384946885,26,False,False
book_margin_early,logs\edge_research\profit_frontier_book_margin_early_validation_latest.json,,102,102,0,29,107,105,market_denominator_audit,107,105,70,32,0.6862745098039216,0.6822549019607842,0.5908573003203406,-0.09139760164044364,0.9532710280373832,0.9714285714285714,41.0,0.005891651099295876,71.0,33.0,0.513085,0.6826712942424357,0.6059536078057651,0.7551101303908653,0.04163922816514193,-7.630129415501915,7.2855228430081,27,False,False
book_margin_gap015,logs\edge_research\profit_frontier_book_margin_gap015_validation_latest.json,,90,90,0,27,105,103,market_denominator_audit,105,103,61,29,0.6777777777777778,0.6727777777777777,0.5756683783279567,-0.097109399449821,0.8571428571428571,0.8737864077669902,45.0,0.007431874483897605,62.0,30.0,0.519965,0.6740753865919438,0.5923981361143007,0.7519166494280168,0.1297608814166154,-8.037964166347708,7.913887165023909,25,False,False
book_margin_adverse100,logs\edge_research\profit_frontier_book_margin_adverse100_validation_latest.json,,70,70,0,15,93,91,market_denominator_audit,93,91,46,24,0.6571428571428571,0.6765714285714286,0.5403954969794421,-0.1361759315919865,0.7526881720430108,0.7692307692307693,-136.0,-0.028716216216216218,47.0,25.0,0.34403,0.6528032246113006,0.5589944634192471,0.7419253274529021,-2.376820396012779,-11.757696515218145,6.535389888147339,29,False,False
book_margin_delayed_adv100_brownian55,logs\edge_research\profit_book_margin_delayed_adv100_brownian55_validation_latest.json,,82,82,0,10,88,86,market_denominator_audit,88,86,55,27,0.6707317073170732,0.7103658536585366,0.5633838807286914,-0.14698197292984516,0.9318181818181818,0.9534883720930233,-325.0,-0.055793991416309016,56.0,28.0,0.19995,0.6665107168776162,0.5798442107940673,0.7481699871134626,-4.38551367809202,-13.052164286446924,3.780413345492603,41,False,False
book_hour04_v2_switch,logs\edge_research\profit_book_hour04_v2_switch_validation_latest.json,,86,86,0,12,90,88,market_denominator_audit,90,88,52,34,0.6046511627906976,0.6482558139534883,0.4989772079672809,-0.1492786059862074,0.9555555555555556,0.9772727272727273,-375.0,-0.06726457399103139,53.0,35.0,0.190225,0.6022539432842439,0.5153742668519666,0.6868185782007392,-4.600187066924437,-13.288154710152172,3.856276424725086,36,False,False
book_refmargin_score_switch,logs\edge_research\profit_book_refmargin_score_switch_validation_latest.json,,79,79,0,9,87,85,market_denominator_audit,87,85,55,24,0.6962025316455697,0.7188607594936708,0.5876533928859551,-0.1312073666077157,0.9080459770114943,0.9294117647058824,-179.0,-0.03151963373833421,56.0,25.0,0.303225,0.6913346889792741,0.6046756276728085,0.7725769779403385,-2.7526070514396666,-11.418513182086237,5.371621844666765,35,False,False
