name,path,overlay,registered,resolved,pending,fresh_base_markets,coverage_denominator,resolved_coverage_denominator,coverage_source,observed_post_lock_markets,resolved_post_lock_markets,wins,losses,accuracy,break_even,wilson95_lower,wilson_minus_break_even,registered_coverage,resolved_coverage,net_pnl_cents,net_roi_on_cost,posterior_alpha,posterior_beta,prob_win_rate_gt_break_even,posterior_mean_win_rate,posterior_p05_win_rate,posterior_p95_win_rate,posterior_mean_edge_cents,posterior_p05_edge_cents,posterior_p95_edge_cents,posterior_extra_perfect_wins_to_gate,registered_ready,registered_bayesian_ready
score_min60,logs\edge_research\profit_frontier_score_min60_validation_latest.json,,103,103,0,33,111,109,market_denominator_audit,111,109,72,31,0.6990291262135923,0.7231067961165049,0.6046054631486113,-0.11850133296789356,0.9279279279279279,0.944954128440367,-248.0,-0.03329752953813104,73.0,32.0,0.274885,0.6954382720574572,0.6199791904025923,0.7666427572138681,-2.766852405904761,-10.312760571391252,4.353596109736324,42,False,False
score_min60_gap020,logs\edge_research\profit_frontier_score_min60_gap020_validation_latest.json,,92,92,0,22,100,98,market_denominator_audit,100,98,64,28,0.6956521739130435,0.7221739130434783,0.5953572670272532,-0.1268166460162251,0.92,0.9387755102040817,-244.0,-0.03672486453943408,65.0,29.0,0.264825,0.6914286320766433,0.611407661301844,0.767054323570138,-3.0745280966834945,-11.076625174163429,4.488041052665973,40,False,False
book_early_score_gap020_wait,logs\edge_research\profit_book_early_score_gap020_wait_validation_latest.json,,89,89,0,19,97,95,market_denominator_audit,97,95,61,28,0.6853932584269663,0.7188764044943821,0.5829550301758069,-0.1359213743185752,0.9175257731958762,0.9368421052631579,-298.0,-0.04657705532979056,62.0,29.0,0.22384,0.6812302918114513,0.5991864750176165,0.7587786929383247,-3.7646112682930717,-11.968992947676563,3.9902288443942577,42,False,False
book_score_gap020_wait,logs\edge_research\profit_book_score_gap020_wait_validation_latest.json,,86,86,0,16,94,92,market_denominator_audit,94,92,58,28,0.6744186046511628,0.7184883720930233,0.569778553659483,-0.14870981843354025,0.9148936170212766,0.9347826086956522,-379.0,-0.06133678588768409,59.0,29.0,0.168415,0.6703096659211418,0.5863130157194358,0.7500215352438224,-4.817870617188146,-13.21753563735875,3.1533163150798993,44,False,False
v2_wait_score_min60_early,logs\edge_research\profit_v2_wait_score_min60_early_validation_latest.json,,102,102,0,21,110,108,market_denominator_audit,110,108,71,31,0.696078431372549,0.7214705882352941,0.6010479530545229,-0.12042263518077123,0.9272727272727272,0.9444444444444444,-259.0,-0.03519499932055986,72.0,32.0,0.26512,0.6923169504707707,0.616198603091706,0.764357758649376,-2.9153637764523195,-10.527198514358801,4.288717041408204,42,False,False
v2_wait_score_min60_brownian70_early,logs\edge_research\profit_v2_wait_score_min60_brownian70_early_validation_latest.json,,98,98,0,17,106,104,market_denominator_audit,106,104,69,29,0.7040816326530612,0.7215306122448979,0.6073991576853616,-0.11413145455953633,0.9245283018867925,0.9423076923076923,-171.0,-0.024183283835383963,70.0,30.0,0.32708,0.700090720643957,0.6229561248705672,0.7726101965144009,-2.143989160094082,-9.857448737433076,5.107958426950308,38,False,False
challenger,logs\edge_research\profit_challenger_fresh_validation_latest.json,ask>=50 AND ask<=80,129,129,0,124,203,200,market_denominator_audit,203,200,87,42,0.6744186046511628,0.6683720930232557,0.5895305031355976,-0.0788415898876581,0.6354679802955665,0.645,78.0,0.009046624913013222,88.0,43.0,0.542025,0.6718035423997314,0.6029516013144002,0.7375918474058261,0.34314493764757253,-6.542049170885558,6.92197543825703,27,False,False
touch_hazard,logs\edge_research\profit_touch_hazard_fresh_validation_latest.json,,147,147,0,121,200,197,market_denominator_audit,200,197,88,59,0.5986394557823129,0.6026530612244898,0.5178635047399761,-0.0847895564845137,0.735,0.7461928934010152,-59.0,-0.006659893893215939,89.0,60.0,0.45225,0.5973889172494802,0.5306737821447364,0.6623874302361137,-0.5264143975009656,-7.197927907975344,5.973436901162387,29,False,False
touch_overlay,logs\edge_research\profit_touch_hazard_overlay_fresh_validation_latest.json,ask>=50 AND touch_loss15>=0.80,139,139,0,114,193,190,market_denominator_audit,193,190,85,54,0.6115107913669064,0.6001438848920864,0.5285251826755655,-0.07161870221652089,0.7202072538860104,0.7315789473684211,158.0,0.018940302085830737,86.0,55.0,0.59877,0.6100320280527408,0.5416971171193721,0.6766091884881738,0.9888143160654365,-5.8446767772714265,7.646530359608747,22,False,False
kinetic_touch,logs\edge_research\profit_kinetic_touch_fresh_validation_latest.json,,135,135,0,112,190,188,market_denominator_audit,190,188,89,46,0.6592592592592592,0.685111111111111,0.5758930961040766,-0.10921801500703443,0.7105263157894737,0.7180851063829787,-349.0,-0.037733809060438966,90.0,47.0,0.247065,0.6570298228127924,0.5898484749293851,0.7222888011912907,-2.8081288298318756,-9.526263618172605,3.7177690080179704,44,False,False
hazard_mean_touch80,logs\edge_research\profit_hazard_mean_touch80_fresh_validation_latest.json,,70,70,0,14,82,80,market_denominator_audit,82,80,50,20,0.7142857142857143,0.7245714285714285,0.5994980341827975,-0.12507339438863108,0.8536585365853658,0.875,-72.0,-0.014195583596214511,51.0,21.0,0.39359,0.7083308234399384,0.6172039846018613,0.793081598649556,-1.6240605131490322,-10.73674439695672,6.851017007812749,30,False,False
logit_blend_edge10,logs\edge_research\profit_logit_blend_edge10_fresh_validation_latest.json,,76,76,0,3,81,79,market_denominator_audit,81,79,49,27,0.6447368421052632,0.6213157894736842,0.5325638551414933,-0.08875193433219086,0.9382716049382716,0.9620253164556962,178.0,0.037695891571368066,50.0,28.0,0.648625,0.6410016594239338,0.5502886178583464,0.7275898666952048,1.968586995024971,-7.102717161533786,10.627407722152064,16,False,False
logit_blend_thresh55_edge15,logs\edge_research\profit_logit_blend_thresh55_edge15_fresh_validation_latest.json,,70,70,0,1,79,77,market_denominator_audit,79,77,49,21,0.7,0.7152857142857143,0.5845568276122731,-0.13072888667344118,0.8860759493670886,0.9090909090909091,-107.0,-0.021370081885360496,50.0,22.0,0.362175,0.6944375155832918,0.6023319090401482,0.780097235671069,-2.0848198702422414,-11.295380524556606,6.481152138535488,31,False,False
hazard_fallback_logit55,logs\edge_research\profit_hazard_fallback_logit55_fresh_validation_latest.json,,69,69,0,10,78,76,market_denominator_audit,78,76,48,21,0.6956521739130435,0.715072463768116,0.5791642983213836,-0.13590816544673234,0.8846153846153846,0.9078947368421053,-134.0,-0.027158492095662748,49.0,22.0,0.334375,0.6900508078815825,0.5976130929512967,0.7767253829549896,-2.5021655886533485,-11.745937081681918,6.165291918687373,32,False,False
hazard_fallback_logit55_wait8,logs\edge_research\profit_hazard_fallback_logit55_wait8_fresh_validation_latest.json,,62,62,0,6,74,72,market_denominator_audit,74,72,42,20,0.6774193548387096,0.724516129032258,0.5536808809284809,-0.17083524810377715,0.8378378378378378,0.8611111111111112,-292.0,-0.06500445235975066,43.0,21.0,0.186235,0.6719255984290616,0.5730239678958454,0.7643585380318889,-5.259053060319631,-15.149216113641263,3.984240899963075,38,False,False
hazard_fallback_score60,logs\edge_research\profit_hazard_fallback_score60_fresh_validation_latest.json,,65,65,0,5,73,71,market_denominator_audit,73,71,46,19,0.7076923076923077,0.72,0.588039627634997,-0.13196037236500302,0.8904109589041096,0.9154929577464789,-80.0,-0.017094017094017096,47.0,20.0,0.383875,0.7015906107769276,0.6067689304514072,0.7893658392430121,-1.84093892230724,-11.32310695485928,6.936583924301212,29,False,False
impulse_reversal_book_margin_fade,logs\edge_research\profit_impulse_reversal_book_margin_fade_fresh_validation_latest.json,,59,59,0,0,64,62,market_denominator_audit,64,62,33,26,0.559322033898305,0.5561016949152543,0.4328935482915867,-0.12320814662366758,0.921875,0.9516129032258065,19.0,0.005790917403230723,34.0,27.0,0.51322,0.5573939449400668,0.45208173894396914,0.6600676991276583,0.12922500248124963,-10.401995597128511,10.396600421240397,16,False,False
kinetic_guard,logs\edge_research\profit_kinetic_guard_fresh_validation_latest.json,kinetic>=0.57 AND adverse15<=50,127,127,0,111,189,187,market_denominator_audit,189,187,89,38,0.7007874015748031,0.7001574803149606,0.6162093720641555,-0.08394810825080512,0.671957671957672,0.679144385026738,8.0,0.000899685110211426,90.0,39.0,0.484755,0.6976138862960151,0.6297666431751278,0.7620337930308297,-0.2543594018945406,-7.039083713983279,6.187631271586914,32,False,False
kinetic_price_guard,logs\edge_research\profit_kinetic_price_guard_fresh_validation_latest.json,adverse15<=100 AND ask<=70,108,108,0,110,188,186,market_denominator_audit,188,186,69,39,0.6388888888888888,0.6437962962962963,0.5449722923436944,-0.09882400395260194,0.574468085106383,0.5806451612903226,-53.0,-0.0076226089457788,70.0,40.0,0.442825,0.6363717708606754,0.5597292764044819,0.7101578660816938,-0.742452543562078,-8.406701989181446,6.636156978539755,28,False,False
kinetic_combo_price_guard,logs\edge_research\profit_kinetic_combo_price_guard_fresh_validation_latest.json,kinetic>=0.57 AND adverse15<=100 AND ask<=70,101,101,0,83,161,159,market_denominator_audit,161,159,67,34,0.6633663366336634,0.6506930693069307,0.5667267191475078,-0.08396635015942289,0.6273291925465838,0.6352201257861635,128.0,0.019476567255021303,68.0,35.0,0.588235,0.6603026505296166,0.5824425027995642,0.7351904875557558,0.9609581222685776,-6.825056650736653,8.449741824882501,22,False,False
kinetic_path_confirm,logs\edge_research\profit_kinetic_path_confirm_fresh_validation_latest.json,same_side_for>=60s AND confirm_score>=0.6,119,119,0,105,183,181,market_denominator_audit,183,181,89,30,0.7478991596638656,0.7550420168067227,0.6629702080798199,-0.09207180872690279,0.6502732240437158,0.6574585635359116,-85.0,-0.009460211463550361,90.0,31.0,0.402235,0.7439492176179585,0.676556833107383,0.8067741673329478,-1.1092799188764109,-7.848518369933958,5.173215052622522,41,False,False
book_p80_ask90_frontier,logs\edge_research\book_p80_ask90_frontier_validation_latest.json,,41,41,0,0,53,52,market_denominator_audit,53,52,34,7,0.8292682926829268,0.8475609756097561,0.6873738759959582,-0.16018709961379785,0.7735849056603774,0.7884615384615384,-75.0,-0.02158273381294964,35.0,8.0,0.30456,0.8141376593357298,0.7097501384473248,0.9015087671878519,-3.3423316274026265,-13.781083716243126,5.394779157809585,42,False,False
book_p80_profit_frontier,logs\edge_research\book_p80_profit_frontier_validation_latest.json,,42,42,0,0,54,53,market_denominator_audit,54,53,34,8,0.8095238095238095,0.8497619047619048,0.6669922598996131,-0.18276964486229175,0.7777777777777778,0.7924528301886793,-169.0,-0.04735219949565705,35.0,9.0,0.187935,0.7956301166155918,0.6895730206959775,0.8862748752046565,-5.4131788146313164,-16.018888406592737,3.6512970442751667,50,False,False
hazard_mean_touch80_ask76,logs\edge_research\hazard_mean_touch80_ask76_validation_latest.json,,54,54,0,0,68,66,market_denominator_audit,68,66,37,17,0.6851851851851852,0.7174074074074075,0.552565551752049,-0.16484185565535847,0.7941176470588235,0.8181818181818182,-174.0,-0.04491481672689726,38.0,18.0,0.273135,0.6783670422673961,0.5727286169340083,0.7763729967758851,-3.9040365140011355,-14.467879047339917,5.896558936847763,31,False,False
