dataset,candidate,label,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_median_ask,all_mean_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_entry_fee_cents,all_ask_cost_cents,all_entry_cost_cents,all_gross_pnl_cents,all_net_pnl_cents,all_gross_roi_on_ask,all_net_roi_on_cost,all_net_edge_per_selected_cents,all_net_edge_per_base_market_cents,all_fee_aware_break_even_accuracy,all_accuracy_minus_break_even,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_median_ask,train_mean_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_entry_fee_cents,train_ask_cost_cents,train_entry_cost_cents,train_gross_pnl_cents,train_net_pnl_cents,train_gross_roi_on_ask,train_net_roi_on_cost,train_net_edge_per_selected_cents,train_net_edge_per_base_market_cents,train_fee_aware_break_even_accuracy,train_accuracy_minus_break_even,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_median_ask,validation_mean_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_entry_fee_cents,validation_ask_cost_cents,validation_entry_cost_cents,validation_gross_pnl_cents,validation_net_pnl_cents,validation_gross_roi_on_ask,validation_net_roi_on_cost,validation_net_edge_per_selected_cents,validation_net_edge_per_base_market_cents,validation_fee_aware_break_even_accuracy,validation_accuracy_minus_break_even,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_median_ask,holdout_mean_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_entry_fee_cents,holdout_ask_cost_cents,holdout_entry_cost_cents,holdout_gross_pnl_cents,holdout_net_pnl_cents,holdout_gross_roi_on_ask,holdout_net_roi_on_cost,holdout_net_edge_per_selected_cents,holdout_net_edge_per_base_market_cents,holdout_fee_aware_break_even_accuracy,holdout_accuracy_minus_break_even,coverage_pass,all_splits_positive,oos_positive
current,hazard45_touch80_ask80_locked,choose=hazard_discounted_mean_15; hazard_discounted_mean_15>=0.45; 0<=ask<=80; sec>=60; gate=touch_loss15<=0.80,295,280,210,70,0.75,0.9491525423728814,0.6961285392763563,69.0,69.72857142857143,73.0,0,0,766.711,560.0,19524.0,20084.0,1476.0,916.0,0.07559926244622003,0.04560844453296156,3.2714285714285714,3.1050847457627118,0.7172857142857143,0.032714285714285696,177,166,123,43,0.7409638554216867,0.9378531073446328,0.6694009420855891,69.0,69.15060240963855,73.0,0,0,766.4145000000001,332.0,11479.0,11811.0,821.0,489.0,0.0715219095740047,0.04140208280416561,2.9457831325301207,2.76271186440678,0.7115060240963855,0.02945783132530122,59,57,45,12,0.7894736842105263,0.9661016949152542,0.6671387891680949,69.0,70.0701754385965,74.0,0,0,768.281,114.0,3994.0,4108.0,506.0,392.0,0.12669003505257886,0.09542356377799416,6.87719298245614,6.6440677966101696,0.7207017543859648,0.06877192982456148,59,57,42,15,0.7368421052631579,0.9661016949152542,0.6102342073651618,70.0,71.0701754385965,75.0,0,0,766.037,114.0,4051.0,4165.0,149.0,35.0,0.0367810417180943,0.008403361344537815,0.6140350877192983,0.5932203389830508,0.730701754385965,0.0061403508771928905,True,True,True
current,hazard45_touch90_ask80_control,choose=hazard_discounted_mean_15; hazard_discounted_mean_15>=0.45; 0<=ask<=80; sec>=60; gate=touch_loss15<=0.90,295,281,211,70,0.7508896797153025,0.9525423728813559,0.6971660526535228,69.0,69.79359430604983,74.0,0,0,766.964,562.0,19612.0,20174.0,1488.0,926.0,0.07587191515398735,0.04590066422127491,3.295373665480427,3.1389830508474574,0.7179359430604982,0.03295373665480428,177,167,124,43,0.7425149700598802,0.943502824858757,0.6712693164739519,69.0,69.26946107784431,73.0,0,0,766.614,334.0,11568.0,11902.0,832.0,498.0,0.07192254495159059,0.041841707276088054,2.9820359281437128,2.8135593220338984,0.7126946107784432,0.029820359281437003,59,57,45,12,0.7894736842105263,0.9661016949152542,0.6671387891680949,69.0,70.08771929824562,74.0,0,0,768.281,114.0,3995.0,4109.0,505.0,391.0,0.12640801001251564,0.09515697249939158,6.859649122807017,6.627118644067797,0.7208771929824561,0.06859649122807021,59,57,42,15,0.7368421052631579,0.9661016949152542,0.6102342073651618,70.0,71.03508771929825,75.0,0,0,766.535,114.0,4049.0,4163.0,151.0,37.0,0.03729315880464312,0.008887821282728801,0.6491228070175439,0.6271186440677966,0.7303508771929825,0.0064912280701753255,True,True,True
current,hazard45_touch80_ask95_control,choose=hazard_discounted_mean_15; hazard_discounted_mean_15>=0.45; 0<=ask<=95; sec>=60; gate=touch_loss15<=0.80,295,290,220,70,0.7586206896551724,0.9830508474576272,0.7061954011297151,70.0,70.67586206896551,74.0,0,0,766.886,564.0,20496.0,21060.0,1504.0,940.0,0.07338017174082748,0.0446343779677113,3.2413793103448274,3.1864406779661016,0.7262068965517242,0.03241379310344816,177,174,131,43,0.7528735632183908,0.9830508474576272,0.6837819030047885,69.0,70.16091954022988,74.0,0,0,766.2465,338.0,12208.0,12546.0,892.0,554.0,0.07306684141546527,0.044157500398533396,3.1839080459770117,3.1299435028248586,0.7210344827586207,0.03183908045977013,59,58,46,12,0.7931034482758621,0.9830508474576272,0.6723078207851659,69.0,70.6896551724138,74.75,0,0,768.5315,113.0,4100.0,4213.0,500.0,387.0,0.12195121951219512,0.09185853311179681,6.672413793103448,6.559322033898305,0.7263793103448276,0.06672413793103449,59,58,43,15,0.7413793103448276,0.9830508474576272,0.6162261423525958,71.0,72.20689655172414,76.75,0,0,768.308,113.0,4188.0,4301.0,112.0,-1.0,0.026743075453677174,-0.00023250406882120437,-0.017241379310344827,-0.01694915254237288,0.741551724137931,-0.00017241379310339866,True,False,False
current,hazard50_touch80_ask80_control,choose=hazard_discounted_mean_15; hazard_discounted_mean_15>=0.5; 0<=ask<=80; sec>=60; gate=touch_loss15<=0.80,295,266,207,59,0.7781954887218046,0.9016949152542373,0.7245066486295559,73.0,72.41353383458646,77.0,0,0,711.076,532.0,19262.0,19794.0,1438.0,906.0,0.07465476066867408,0.04577144589269476,3.406015037593985,3.071186440677966,0.7441353383458646,0.0340601503759399,177,155,122,33,0.7870967741935484,0.8757062146892656,0.7161153535964172,73.0,72.18709677419355,77.0,0,0,706.858,310.0,11189.0,11499.0,1011.0,701.0,0.09035660023237108,0.060961822767197145,4.52258064516129,3.9604519774011298,0.7418709677419355,0.04522580645161289,59,57,45,12,0.7894736842105263,0.9661016949152542,0.6671387891680949,73.0,72.6842105263158,76.0,0,0,716.447,114.0,4143.0,4257.0,357.0,243.0,0.08616944243301955,0.05708245243128964,4.2631578947368425,4.11864406779661,0.7468421052631579,0.042631578947368465,59,54,40,14,0.7407407407407407,0.9152542372881356,0.6106910949571831,73.0,72.77777777777777,77.0,0,0,712.194,108.0,3930.0,4038.0,70.0,-38.0,0.017811704834605598,-0.009410599306587419,-0.7037037037037037,-0.6440677966101694,0.7477777777777779,-0.007037037037037175,True,False,False
current,hazard45_touch80_ask80_sec120_control,choose=hazard_discounted_mean_15; hazard_discounted_mean_15>=0.45; 0<=ask<=80; sec>=120; gate=touch_loss15<=0.80,295,280,210,70,0.75,0.9491525423728814,0.6961285392763563,69.0,69.72857142857143,73.0,0,0,766.711,560.0,19524.0,20084.0,1476.0,916.0,0.07559926244622003,0.04560844453296156,3.2714285714285714,3.1050847457627118,0.7172857142857143,0.032714285714285696,177,166,123,43,0.7409638554216867,0.9378531073446328,0.6694009420855891,69.0,69.15060240963855,73.0,0,0,766.4145000000001,332.0,11479.0,11811.0,821.0,489.0,0.0715219095740047,0.04140208280416561,2.9457831325301207,2.76271186440678,0.7115060240963855,0.02945783132530122,59,57,45,12,0.7894736842105263,0.9661016949152542,0.6671387891680949,69.0,70.0701754385965,74.0,0,0,768.281,114.0,3994.0,4108.0,506.0,392.0,0.12669003505257886,0.09542356377799416,6.87719298245614,6.6440677966101696,0.7207017543859648,0.06877192982456148,59,57,42,15,0.7368421052631579,0.9661016949152542,0.6102342073651618,70.0,71.0701754385965,75.0,0,0,766.037,114.0,4051.0,4165.0,149.0,35.0,0.0367810417180943,0.008403361344537815,0.6140350877192983,0.5932203389830508,0.730701754385965,0.0061403508771928905,True,True,True
v21,hazard45_touch80_ask80_locked,choose=hazard_discounted_mean_15; hazard_discounted_mean_15>=0.45; 0<=ask<=80; sec>=60; gate=touch_loss15<=0.80,221,204,153,51,0.75,0.9230769230769231,0.6863298230089772,68.0,69.05882352941177,72.25,0,0,779.2975665,408.0,14088.0,14496.0,1212.0,804.0,0.08603066439522998,0.055463576158940396,3.9411764705882355,3.6380090497737556,0.7105882352941175,0.03941176470588248,132,124,88,36,0.7096774193548387,0.9393939393939394,0.6244416488936401,68.0,68.41129032258064,72.0,0,0,779.466718,248.0,8483.0,8731.0,317.0,69.0,0.03736885535777437,0.007902874813881572,0.5564516129032258,0.5227272727272727,0.7041129032258064,0.005564516129032304,44,40,34,6,0.85,0.9090909090909091,0.709276756335103,69.5,70.25,74.25,0,0,719.772034,80.0,2810.0,2890.0,590.0,510.0,0.2099644128113879,0.17647058823529413,12.75,11.590909090909092,0.7224999999999999,0.12750000000000006,45,40,31,9,0.775,0.8888888888888888,0.6249690325768998,69.5,69.875,75.25,0,0,779.160447,80.0,2795.0,2875.0,305.0,225.0,0.10912343470483005,0.0782608695652174,5.625,5.0,0.71875,0.05625000000000002,True,True,True
v21,hazard45_touch90_ask80_control,choose=hazard_discounted_mean_15; hazard_discounted_mean_15>=0.45; 0<=ask<=80; sec>=60; gate=touch_loss15<=0.90,221,204,153,51,0.75,0.9230769230769231,0.6863298230089772,68.0,69.05882352941177,72.25,0,0,779.2975665,408.0,14088.0,14496.0,1212.0,804.0,0.08603066439522998,0.055463576158940396,3.9411764705882355,3.6380090497737556,0.7105882352941175,0.03941176470588248,132,124,88,36,0.7096774193548387,0.9393939393939394,0.6244416488936401,68.0,68.41129032258064,72.0,0,0,779.466718,248.0,8483.0,8731.0,317.0,69.0,0.03736885535777437,0.007902874813881572,0.5564516129032258,0.5227272727272727,0.7041129032258064,0.005564516129032304,44,40,34,6,0.85,0.9090909090909091,0.709276756335103,69.5,70.25,74.25,0,0,719.772034,80.0,2810.0,2890.0,590.0,510.0,0.2099644128113879,0.17647058823529413,12.75,11.590909090909092,0.7224999999999999,0.12750000000000006,45,40,31,9,0.775,0.8888888888888888,0.6249690325768998,69.5,69.875,75.25,0,0,779.160447,80.0,2795.0,2875.0,305.0,225.0,0.10912343470483005,0.0782608695652174,5.625,5.0,0.71875,0.05625000000000002,True,True,True
v21,hazard45_touch80_ask95_control,choose=hazard_discounted_mean_15; hazard_discounted_mean_15>=0.45; 0<=ask<=95; sec>=60; gate=touch_loss15<=0.80,221,219,166,53,0.7579908675799086,0.9909502262443439,0.6971340249580882,70.0,70.82648401826484,75.0,0,0,779.247148,416.0,15511.0,15927.0,1089.0,673.0,0.0702082393140352,0.042255289759527845,3.0730593607305936,3.0452488687782804,0.7272602739726027,0.0307305936073059,132,131,93,38,0.7099236641221374,0.9924242424242424,0.6271154560889036,68.0,69.94656488549619,73.0,0,0,779.458061,253.0,9163.0,9416.0,137.0,-116.0,0.014951435119502346,-0.01231945624468989,-0.8854961832061069,-0.8787878787878788,0.7187786259541985,-0.008854961832061137,44,44,38,6,0.8636363636363636,1.0,0.7329054695148455,71.0,72.3409090909091,76.5,0,0,719.3745415,81.0,3183.0,3264.0,617.0,536.0,0.19384228715048696,0.1642156862745098,12.181818181818182,12.181818181818182,0.7418181818181818,0.12181818181818183,45,44,35,9,0.7954545454545454,0.9777777777777777,0.6549942193889834,70.0,71.93181818181819,79.0,0,0,779.189098,82.0,3165.0,3247.0,335.0,253.0,0.10584518167456557,0.07791807822605482,5.75,5.622222222222222,0.7379545454545454,0.057499999999999996,True,False,True
v21,hazard50_touch80_ask80_control,choose=hazard_discounted_mean_15; hazard_discounted_mean_15>=0.5; 0<=ask<=80; sec>=60; gate=touch_loss15<=0.80,221,188,139,49,0.7393617021276596,0.8506787330316742,0.6722650563808193,73.0,72.76063829787235,76.25,0,0,659.8221094999999,376.0,13679.0,14055.0,221.0,-155.0,0.016156151765479933,-0.011028103877623622,-0.824468085106383,-0.7013574660633484,0.7476063829787235,-0.00824468085106389,132,113,80,33,0.7079646017699115,0.8560606060606061,0.6183975397243283,73.0,72.20353982300885,76.0,0,0,659.933711,226.0,8159.0,8385.0,-159.0,-385.0,-0.01948768231400907,-0.045915324985092425,-3.4070796460176993,-2.9166666666666665,0.7420353982300886,-0.03407079646017708,44,38,32,6,0.8421052631578947,0.8636363636363636,0.6958318822077686,74.0,73.8157894736842,77.0,0,0,659.730548,76.0,2805.0,2881.0,395.0,319.0,0.1408199643493761,0.11072544255466851,8.394736842105264,7.25,0.758157894736842,0.08394736842105266,45,37,27,10,0.7297297297297297,0.8222222222222222,0.5702183167528574,73.0,73.37837837837837,78.0,0,0,659.200114,74.0,2715.0,2789.0,-15.0,-89.0,-0.0055248618784530384,-0.031911079239870924,-2.4054054054054053,-1.9777777777777779,0.7537837837837837,-0.02405405405405403,True,False,False
v21,hazard45_touch80_ask80_sec120_control,choose=hazard_discounted_mean_15; hazard_discounted_mean_15>=0.45; 0<=ask<=80; sec>=120; gate=touch_loss15<=0.80,221,204,153,51,0.75,0.9230769230769231,0.6863298230089772,68.0,69.05882352941177,72.25,0,0,779.2975665,408.0,14088.0,14496.0,1212.0,804.0,0.08603066439522998,0.055463576158940396,3.9411764705882355,3.6380090497737556,0.7105882352941175,0.03941176470588248,132,124,88,36,0.7096774193548387,0.9393939393939394,0.6244416488936401,68.0,68.41129032258064,72.0,0,0,779.466718,248.0,8483.0,8731.0,317.0,69.0,0.03736885535777437,0.007902874813881572,0.5564516129032258,0.5227272727272727,0.7041129032258064,0.005564516129032304,44,40,34,6,0.85,0.9090909090909091,0.709276756335103,69.5,70.25,74.25,0,0,719.772034,80.0,2810.0,2890.0,590.0,510.0,0.2099644128113879,0.17647058823529413,12.75,11.590909090909092,0.7224999999999999,0.12750000000000006,45,40,31,9,0.775,0.8888888888888888,0.6249690325768998,69.5,69.875,75.25,0,0,779.160447,80.0,2795.0,2875.0,305.0,225.0,0.10912343470483005,0.0782608695652174,5.625,5.0,0.71875,0.05625000000000002,True,True,True
