ts_wall,market,side,outcome,win,qty,ask_cents,v28_p_side,v28_edge_cents,v22_actual_p_side,v22_actual_edge_cents,v22_best_side,v22_best_side_agrees,market_p_side,market_side_agrees,v28_seconds_to_close,v28_book_age_ms,v28_btc_age_ms,v28_btc_price,v28_strike,v28_sigma_t_dollars,v28_d_sigma,v28_abs_d_sigma,v28_margin_dollars,v28_margin_per_sqrt_sec,v28_margin_per_sigma,outcome_method,entry_key
2026-05-01T02:17:02.454334+00:00,KXBTC15M-26APR302230-30,yes,no,False,2,69.0,0.866168,14.116814,0.809901,9.490148,yes,True,0.685,True,777.636,422.0,406.0,76694.82,76652.0,75.301755,-0.926273,0.926273,42.820000000006985,1.5355306305785374,0.5686454452490116,bid>=98,ee75f88f-c758-424c-8234-8427c0bbd06c
2026-05-01T02:19:55.259900+00:00,KXBTC15M-26APR302230-30,no,no,True,2,80.0,0.857255,2.225544,0.442581,-38.241888,yes,False,0.795,True,604.81,250.0,0.0,76590.8,76652.0,67.161877,0.911231,0.911231,61.19999999999709,2.4885246129835346,0.9112312331592085,bid>=98,d53889f0-ddfb-4ffb-8141-f27412861894
2026-05-01T02:21:31.434845+00:00,KXBTC15M-26APR302230-30,no,no,True,2,85.0,0.903024,2.302384,0.744586,-12.54142,yes,False,0.865,True,508.631,422.0,781.0,76580.81,76652.0,62.307656,1.142556,1.142556,71.19000000000233,3.1565856651287896,1.1425562213414404,bid>=98,1426175a-d6a5-44fb-9cfb-8967103e6a9b
2026-05-01T02:32:50.731602+00:00,KXBTC15M-26APR302245-45,no,no,True,2,80.0,0.858747,2.374657,0.579687,-24.531279,yes,False,0.795,True,729.368,735.0,47.0,76534.09,76603.27,75.535999,0.915855,0.915855,69.18000000000757,2.561575760668313,0.9158547039274288,bid>=98,607c83db-223a-4942-8899-dc48d0f18a51
2026-05-01T03:16:08.224718+00:00,KXBTC15M-26APR302330-30,yes,yes,True,2,78.0,0.855738,4.073803,0.812442,0.744231,yes,True,0.775,True,831.868,16.0,156.0,76713.63,76668.47,79.389795,-0.882607,0.882607,45.16000000000349,1.56576551613337,0.5688388539106757,bid>=98,1563710e-455c-4155-b1b6-e8556f338492
2026-05-01T03:17:01.433822+00:00,KXBTC15M-26APR302330-30,yes,yes,True,2,85.0,0.912419,3.241861,0.878587,0.858716,yes,True,0.845,True,778.631,234.0,484.0,76732.56,76668.47,75.972146,-1.13897,1.13897,64.08999999999651,2.29680659406061,0.843598652590339,bid>=98,746d3cba-3c37-4fc4-8643-7a284ec73fb6
2026-05-01T04:13:03.389357+00:00,KXBTC15M-26MAY010015-15,yes,yes,True,2,61.0,0.873887,22.388745,0.791954,15.195445,yes,True,0.605,True,116.681,141.0,32.0,77101.18,77099.09,41.315007,-0.990681,0.990681,2.0899999999965075,0.193484515739776,0.05058694531980855,bid>=98,b8d32ffb-8f82-4ecd-acc5-ab5a2abe46b6
2026-05-01T05:05:03.783115+00:00,KXBTC15M-26MAY010115-15,yes,yes,True,2,82.0,0.889057,3.405742,0.848157,0.315685,yes,True,0.825,True,596.288,562.0,171.0,77089.1,77018.24,100.039249,-1.008804,1.008804,70.86000000000058,2.90183766393672,0.7083219907018753,bid>=98,e3c1f72d-be01-4408-b72b-92bd9185fde4
2026-05-01T05:55:07.057813+00:00,KXBTC15M-26MAY010200-00,yes,yes,True,2,80.0,0.882247,4.724656,0.895859,7.08591,yes,True,0.795,True,293.013,953.0,234.0,77133.81,77097.32,70.130899,-0.994426,0.994426,36.48999999999069,2.131721271646228,0.5203127369006162,bid>=98,bdcfee63-acf4-40d1-9a9b-b184354b1394
2026-05-01T05:57:05.293619+00:00,KXBTC15M-26MAY010200-00,yes,yes,True,2,79.0,0.86034,3.534036,0.857627,4.262733,yes,True,0.785,True,174.779,188.0,750.0,77117.12,77097.32,54.183884,-0.910787,0.910787,19.79999999998836,1.4976852931545288,0.3654223089653071,bid>=98,3cbb1b3b-c891-4bf8-bb5e-d444961b2233
