candidate_id,model_hash,model_type,model_track,slice,rows,markets,candidate_brier,v28_brier,delta_brier_candidate_minus_v28,candidate_logloss,v28_logloss,delta_logloss_candidate_minus_v28,candidate_side_accuracy,v28_side_accuracy,delta_side_accuracy_candidate_minus_v28,candidate_ece_10bin,v28_ece_10bin,candidate_shadow_net_pnl_cents,candidate_shadow_expected_ev_cents
v28s_boundary_monotonic_blend_v001,db7461bb1e38cb2256cf3530,monotonic_tabular_calibration,pure_physics,all_rows,1760,154,0.1321759146359767,0.12977074979326159,0.0024051648427151073,0.40808588593984546,0.40136129117148994,0.0067245947683555185,0.8147727272727273,0.8147727272727273,0.0,0.09411925790093609,0.0833140487629162,-5225.000000000004,5605.808550503729
v28s_boundary_monotonic_blend_v001,db7461bb1e38cb2256cf3530,monotonic_tabular_calibration,pure_physics,near_boundary_abs_d_lte_1,1156,139,0.18816360859082096,0.1862711207034956,0.0018924878873253503,0.5616989248453074,0.556873760562747,0.004825164282560412,0.7283737024221453,0.7283737024221453,0.0,0.11684287785743944,0.11275437461678202,-4336.299999999998,4376.61891324
v28s_boundary_monotonic_blend_v001,db7461bb1e38cb2256cf3530,monotonic_tabular_calibration,pure_physics,late_lte_180s,324,37,0.05481782368527618,0.05289235308585674,0.0019254705994194363,0.1816684324462151,0.17346689685403313,0.00820153559218198,0.9259259259259259,0.9259259259259259,0.0,0.08763478001264288,0.0916610053693713,-819.4000000000004,1084.5367342925347
v28s_boundary_monotonic_blend_v001,db7461bb1e38cb2256cf3530,monotonic_tabular_calibration,pure_physics,side_yes,880,154,0.1321759146359767,0.12977074979326159,0.0024051648427151073,0.40808588593984546,0.40136129117148994,0.0067245947683555185,0.8147727272727273,0.8147727272727273,0.0,0.09411925790093609,0.0833140487629162,-1969.0999999999995,1731.289554684699
v28s_boundary_monotonic_blend_v001,db7461bb1e38cb2256cf3530,monotonic_tabular_calibration,pure_physics,side_no,880,154,0.1321759146359767,0.12977074979326159,0.0024051648427151073,0.40808588593984546,0.40136129117148994,0.0067245947683555185,0.8147727272727273,0.8147727272727273,0.0,0.09411925790093609,0.0833140487629162,-3255.9,3874.5189958190253
v28s_boundary_monotonic_blend_v001,db7461bb1e38cb2256cf3530,monotonic_tabular_calibration,pure_physics,book_disagreement_gt_10c,361,50,0.1849976975458927,0.18231199359637767,0.0026857039495150337,0.5576528920656019,0.5565897520751313,0.0010631399904705852,0.7340720221606648,0.7340720221606648,0.0,0.1992555040251136,0.19857789454284214,-1591.5,2551.765934578299
v28s_boundary_monotonic_light_v001,c1edea2fdb0e0eb8b405faf0,monotonic_tabular_calibration,pure_physics,all_rows,1754,152,0.13042472169015282,0.12983777073802324,0.0005869509521295724,0.402964036320415,0.4013560536591946,0.0016079826612204196,0.814139110604333,0.814139110604333,0.0,0.08697064092634406,0.08246575685275513,-4670.400000000001,5061.714927773724
v28s_boundary_monotonic_light_v001,c1edea2fdb0e0eb8b405faf0,monotonic_tabular_calibration,pure_physics,near_boundary_abs_d_lte_1,1150,137,0.18714681492405302,0.18666812675790723,0.00047868816614579646,0.558976736922078,0.5576771416234266,0.0012995952986514236,0.7269565217391304,0.7269565217391304,0.0,0.11294463224452173,0.11161414674260871,-3971.2999999999984,4174.020403600001
v28s_boundary_monotonic_light_v001,c1edea2fdb0e0eb8b405faf0,monotonic_tabular_calibration,pure_physics,late_lte_180s,322,36,0.05304199344305563,0.05257759919709126,0.00046439424596436685,0.17466240104717928,0.17213227098595993,0.0025301300612193545,0.9254658385093167,0.9254658385093167,0.0,0.09304872581290775,0.09023145009464689,-793.3000000000004,999.0374144155353
v28s_boundary_monotonic_light_v001,c1edea2fdb0e0eb8b405faf0,monotonic_tabular_calibration,pure_physics,side_yes,877,152,0.13042472169015282,0.12983777073802324,0.0005869509521295724,0.402964036320415,0.4013560536591946,0.0016079826612204196,0.814139110604333,0.814139110604333,0.0,0.08697064092634406,0.08246575685275513,-1732.0999999999995,1232.9120543087
