candidate_id,split,slice,rows,markets,avg_pred,win_rate,brier,logloss,ece_10bin,side_accuracy,calibration_intercept,calibration_slope,shadow_trades,shadow_coverage,shadow_net_pnl_cents,shadow_expected_ev_cents
v28_raw,all,all_rows,795,176,0.5161985031446541,0.4968553459119497,0.16330634137287547,0.5009962822456109,0.056954143396226384,0.7509433962264151,-0.11360396084075777,0.940300894247701,425,0.5345911949685535,613.0,2436.4871999999996
v28_raw,all,near_boundary_v28_40_60,237,119,0.5083565485232068,0.47257383966244726,0.2386954029044135,0.6703476622106317,0.05257456540084391,0.5949367088607594,-0.2228365490384485,2.9655013065447857,86,0.3628691983122363,59.0,427.5678
v28_raw,all,near_boundary_abs_d_lte_1,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,all,high_recross,349,168,0.4955627134670487,0.4785100286532951,0.23227838506587678,0.653652024861407,0.1015083123209169,0.5959885386819485,-0.07253660232398373,1.0986681038748138,139,0.3982808022922636,112.0,765.9011999999999
v28_raw,all,prior_recross_seen,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,all,adverse_memory_gt_1sigma,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,all,late_lte_180s,61,43,0.45735067213114755,0.32786885245901637,0.13746061264457377,0.5338799443771307,0.15307686885245902,0.8360655737704918,-0.9255266710238059,0.7263107545577319,23,0.3770491803278688,-12.0,260.5764
v28_raw,all,fresh_feed_lte_1000ms,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,all,stale_feed_gt_1000ms,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,all,entry_source,173,107,0.5449251791907515,0.5260115606936416,0.13363403471027746,0.47325610936565615,0.041544219653179185,0.8439306358381503,-0.08915912821103338,0.7613033498166051,173,1.0,853.0,1544.2554
v28_raw,all,rejected_actionable_source,622,174,0.5082086077170418,0.4887459807073955,0.17155924981761736,0.5087117965675275,0.061240183279742774,0.72508038585209,-0.1163439372628687,1.0752419867988101,252,0.40514469453376206,-240.0,892.2317999999998
v28_raw,train,all_rows,497,105,0.5328712414486922,0.5231388329979879,0.16167412796192154,0.4987378799302173,0.07257437223340044,0.7505030181086519,-0.05145757543936059,0.9188453996422301,267,0.5372233400402414,441.0,1436.3059999999998
v28_raw,train,near_boundary_v28_40_60,136,67,0.507149544117647,0.4632352941176471,0.24070137511974998,0.6743805167182808,0.04875070588235298,0.5882352941176471,-0.23506049436959162,2.7183281469965817,47,0.34558823529411764,352.0,173.1872
