market,decision_key,dataset,entry_key,entry_dt,entry_minute,side,outcome,outcome_available,win,qty,ask_cents,bid_cents,book_mid_cents,book_p_side,book_other_mid_cents,book_margin_cents,spread_cents,spot,strike,seconds_to_close,v28_sigma_t_dollars,source_line_no,position_open_logged,pending_logged,trust_state,outcome_method,outcome_source,side_sign,margin_dollars,margin_per_sqrt_sec,margin_per_sqrt_min,margin_per_v28_sigma,brownian_p_v28_sigma,rv_sigma_t_5m,margin_per_rv_sigma_5m,brownian_p_rv_5m,rv_sigma_t_15m,margin_per_rv_sigma_15m,brownian_p_rv_15m,rv_sigma_t_30m,margin_per_rv_sigma_30m,brownian_p_rv_30m,rv_sigma_t_60m,margin_per_rv_sigma_60m,brownian_p_rv_60m,btc_close_lag_1m,signed_move_1m,signed_velocity_dps_1m,adverse_move_1m,drift_projected_margin_1m,drift_p_1m_rv_15m,drift_p_1m_rv_30m,drift_p_1m_rv_60m,btc_close_lag_3m,signed_move_3m,signed_velocity_dps_3m,adverse_move_3m,drift_projected_margin_3m,drift_p_3m_rv_15m,drift_p_3m_rv_30m,drift_p_3m_rv_60m,btc_close_lag_5m,signed_move_5m,signed_velocity_dps_5m,adverse_move_5m,drift_projected_margin_5m,drift_p_5m_rv_15m,drift_p_5m_rv_30m,drift_p_5m_rv_60m,btc_close_lag_10m,signed_move_10m,signed_velocity_dps_10m,adverse_move_10m,drift_projected_margin_10m,drift_p_10m_rv_15m,drift_p_10m_rv_30m,drift_p_10m_rv_60m,btc_close_lag_15m,signed_move_15m,signed_velocity_dps_15m,adverse_move_15m,drift_projected_margin_15m,drift_p_15m_rv_15m,drift_p_15m_rv_30m,drift_p_15m_rv_60m,btc_close_lag_30m,signed_move_30m,signed_velocity_dps_30m,adverse_move_30m,drift_projected_margin_30m,drift_p_30m_rv_15m,drift_p_30m_rv_30m,drift_p_30m_rv_60m,btc_close_lag_60m,signed_move_60m,signed_velocity_dps_60m,adverse_move_60m,drift_projected_margin_60m,drift_p_60m_rv_15m,drift_p_60m_rv_30m,drift_p_60m_rv_60m,book_minus_brownian_rv15,physics_confirmed_book,score_mean_book_rv15,score_mean_book_rv15_drift5,score_min_book_rv15,opportunity_key,two_side_mode,score_mean_book_rv30,score_min_book_rv15_drift5,score_regime_blend,abs_book_rv15_gap,abs_book_rv30_gap,close_dt,touch_loss_rv_15m,touch_survival_rv_15m,touch_loss_rv_30m,touch_survival_rv_30m,touch_loss_rv_60m,touch_survival_rv_60m,touch_survival_min_15_30,touch_loss_max_15_30,adverse_norm_15m,touch_terminal_blend_15,touch_terminal_blend_30,book_touch_blend_15,book_touch_drift_15,hazard_discounted_book_15,hazard_discounted_mean_15,kinetic_touch_score_15,touch_margin_energy_15,blend_book_hazard_50_50,blend_book_hazard_70_30,blend_book_hazard_30_70,blend_book_rv_hazard_mean,blend_book_rv_hazard_min,blend_mean_minus_half_disagreement,blend_mean_minus_disagreement,blend_logit_book_hazard_mean,blend_logit_book_rv_hazard_mean,blend_scoremin_hazard_min,blend_hazard_kinetic_mean,blend_hazard_kinetic_min,split,selector,entry_fee_cents,entry_cost_cents,gross_pnl_cents,net_pnl_cents,fee_aware_break_even_p,fair_edge_cents
KXBTC15M-26APR302230-30,heartbeat:19,live_heartbeat_two_side,heartbeat:19:yes,2026-05-01 02:17:13.847000+00:00,2026-05-01 02:17:00+00:00,yes,no,True,False,1,70.0,69.0,69.5,0.695,30.5,39.0,1.0,76692.19,76652.0,766.153,,19,True,False,synced,bid>=98,latest_quote,1.0,40.19000000000233,1.4519787250295495,11.246978842173847,,,85.90181827433608,0.4678597124877092,0.6800575422186286,95.58891680873482,0.4204462331173712,0.6629202501745215,92.90280127955567,0.4326026712484782,0.6673482757565203,73.91878664535561,0.543704812050341,0.7066776897367746,76660.69,31.5,0.525,0.0,442.4203250000024,0.999998157173292,0.999999042459955,0.9999999989195234,76675.97,16.220000000001164,0.0901111111111175,0.0,109.2288981111184,0.8734172047342783,0.8801492254103644,0.9302543354388108,76666.59,25.60000000000582,0.0853333333333527,0.0,105.56838933335052,0.8652901460334934,0.8720910959383869,0.9233781359169072,76640.06,52.13000000000466,0.0868833333333411,0.0,106.7559264833416,0.8679650510362977,0.8747455493534293,0.9256632308024992,76639.27,52.919999999998254,0.058799999999998,0.0,85.23979640000084,0.8137319830353651,0.8205638148973528,0.8755765538422122,76600.93,91.26000000000931,0.0507000000000051,0.0,79.03395710000629,0.7958278708417323,0.8025366057504563,0.8575101914357344,76586.55,105.63999999999942,0.0293444444444442,0.0,62.67233414444665,0.7439735116700699,0.7500353905828219,0.8017403393118707,0.0320797498254784,True,0.6789601250872608,0.7410701320693382,0.6629202501745215,heartbeat:19,two_side_all_heartbeats,0.6811741378782601,0.6629202501745215,0.7194341042590551,0.032079749825478454,0.027651724243479614,2026-05-01 02:30:00+00:00,0.674159499650957,0.325840500349043,0.6653034484869595,0.33469655151304045,0.5866446205264508,0.41335537947354917,0.325840500349043,0.674159499650957,0.0,0.561796325226878,0.5675527584834763,0.613148162613439,0.6301771772167883,0.5264601250872607,0.5104202501745215,0.6825181542939593,0.4123695149523923,0.6027101250872607,0.6396260750523564,0.565794175122165,0.6227801667830143,0.5104202501745215,0.5825188521571502,0.5422575375312861,0.6065047474370022,0.6257142102786099,0.5104202501745215,0.5964692022342404,0.5104202501745215,train,hazard_primary_0.45,2,72.0,-70.0,-72.0,0.72,
KXBTC15M-26APR302245-45,heartbeat:120,live_heartbeat_two_side,heartbeat:120:no,2026-05-01 02:31:30.097000+00:00,2026-05-01 02:31:00+00:00,no,no,True,True,1,73.0,72.0,72.5,0.725,27.5,45.0,1.0,76578.0,76603.27,809.903,,120,False,False,synced,bid>=98,latest_quote,-1.0,25.270000000004075,0.8879504631346411,6.878034711955256,,,44.350585272140485,0.5697782756404304,0.7155859540814336,72.57152672831656,0.3482081904464608,0.636158081423558,83.92145074023507,0.3011149089667571,0.6183365636930627,78.92069275964259,0.3201948578551544,0.6255896894956037,76597.08,19.080000000001743,0.3180000000000291,0.0,282.81915400002765,0.999951326105152,0.9996242218923512,0.9998305459748116,76609.75,31.75,0.1763888888888889,0.0,168.12789027778186,0.9897404988824606,0.9774325943638013,0.9834282136919972,76593.83,15.830000000001746,0.0527666666666724,0.0,68.00588163334211,0.8256432638942106,0.7911309357940286,0.805573410599409,76576.75,-1.25,-0.0020833333333333,1.25,23.58270208333741,0.6273935907524122,0.6106483389973296,0.6174594712406846,76660.69,82.69000000000233,0.0918777777777803,0.0,99.68208785556172,0.9152124261169288,0.88254433575498,0.8967173696555724,76654.17,76.16999999999825,0.0423166666666657,0.0,59.542395283336624,0.7940244536517107,0.7609933398813665,0.7747130518301424,76502.43,-75.57000000000698,-0.0209916666666686,75.57000000000698,8.268786191669168,0.5453572476142983,0.539244301081357,0.5417221755302077,0.0888419185764419,True,0.680579040711779,0.7289337817725895,0.636158081423558,heartbeat:120,two_side_all_heartbeats,0.6716682818465314,0.636158081423558,0.7184760772059096,0.08884191857644197,0.10666343630693731,2026-05-01 02:45:00+00:00,0.727683837152884,0.272316162847116,0.7633268726138747,0.23667312738612534,0.7488206210087927,0.25117937899120735,0.23667312738612534,0.7633268726138747,0.0,0.5270055058506253,0.5038375328009814,0.6122527529253127,0.6223170793147337,0.5430790407117789,0.498658081423558,0.6732076934906212,0.3548804892365371,0.611829040711779,0.6570974244270673,0.5665606569964906,0.6199387209490387,0.498658081423558,0.5733823630465495,0.5268260051440604,0.6182239133429186,0.6242405997182828,0.498658081423558,0.5859328874570896,0.498658081423558,train,hazard_primary_0.45,2,75.0,27.0,25.0,0.75,
KXBTC15M-26APR302300-00,heartbeat:201,live_heartbeat_two_side,heartbeat:201:no,2026-05-01 02:46:01.424000+00:00,2026-05-01 02:46:00+00:00,no,no,True,True,1,62.0,61.0,61.5,0.615,38.5,23.0,1.0,76545.8,76574.18,838.576,,201,False,False,synced,bid>=98,latest_quote,-1.0,28.379999999990105,0.980034076612524,7.591311314872138,,,30.74060228823006,0.9232089772963302,0.8220508442971763,54.10745379475678,0.5245118372718591,0.7000387055987373,63.909901926043055,0.4440626435764464,0.6715013530809657,81.43026819631092,0.3485190535240779,0.6362747964633925,76563.28,17.479999999995925,0.2913333333332654,0.0,272.68514133326653,0.9999997668645686,0.9999900812480816,0.9995940345564696,76566.51,20.70999999999185,0.1150555555555102,0.0,124.86282755550768,0.9894916006449002,0.9746335466158756,0.9374077889283364,76579.29,33.48999999999069,0.1116333333333022,0.0,121.9930341332974,0.9879221514320804,0.9718578823111016,0.932950111740675,76560.6,14.80000000000291,0.0246666666666715,0.0,49.06487466666084,0.8177448663963045,0.7786730604254021,0.7265921404468931,76578.0,32.19999999999709,0.0357777777777745,0.0,58.382385777765165,0.8597079616389771,0.8195130225287561,0.763301143926284,76660.69,114.88999999999942,0.0638277777777774,0.0,81.90444257776761,0.934953693000609,0.9000016687798211,0.8427496568477896,76583.98,38.179999999993015,0.0106055555555536,0.0,37.27356435554403,0.7545507323674608,0.720127560544198,0.6764289356632754,-0.0850387055987372,True,0.6575193527993686,0.7676536190102725,0.615,heartbeat:201,two_side_all_heartbeats,0.6432506765404828,0.615,0.7150960419660373,0.08503870559873727,0.05650135308096571,2026-05-01 03:00:00+00:00,0.5999225888025255,0.40007741119747453,0.6569972938380686,0.3430027061619314,0.7274504070732151,0.27254959292678493,0.3430027061619314,0.6569972938380686,0.0,0.6100503172783583,0.5729517590052554,0.5932751586391792,0.6305673737823873,0.4650193527993686,0.5075387055987373,0.6936037830857847,0.49886962634068255,0.5612693527993686,0.5827616116796211,0.539777093919116,0.6075258037324914,0.5075387055987373,0.5681431505981821,0.5287604974638729,0.5619963276205977,0.6103236197546416,0.5075387055987373,0.6005712443422611,0.5075387055987373,train,hazard_primary_0.45,2,64.0,38.0,36.0,0.64,
KXBTC15M-26APR302315-15,heartbeat:271,live_heartbeat_two_side,heartbeat:271:no,2026-05-01 03:02:02.767000+00:00,2026-05-01 03:02:00+00:00,no,yes,True,False,1,65.0,64.0,64.5,0.645,35.5,29.0,1.0,76529.7,76566.01,777.233,,271,False,False,synced,bid>=98,latest_quote,-1.0,36.30999999999767,1.302418729691834,10.088492099770187,,,85.15584294298807,0.4263946987678491,0.6650898681930365,61.71835634999707,0.5883176764152338,0.7218404584749326,55.57131827784002,0.6533946129990744,0.7432490445864635,69.71915644919528,0.520803776885295,0.6987482641194982,76551.03,21.330000000001743,0.3555000000000291,0.0,312.6163315000203,0.9999997960230008,0.9999999907513144,0.9999963360912176,76542.98,13.279999999998836,0.0737777777777713,0.0,93.6525235555482,0.9354193653703712,0.9540314907624992,0.9104097435800944,76509.68,-20.020000000004075,-0.0667333333333469,20.020000000004075,-15.557348866679549,0.4004934615378496,0.3897568400383235,0.4117120665452137,76588.12,58.419999999998254,0.0973666666666637,0.0,111.98658643332874,0.9651978999694932,0.9780574593771704,0.9458908057405938,76555.49,25.79000000000815,0.0286555555555646,0.0,58.58204341111582,0.8287363454385559,0.854099211708538,0.7996179846935415,76560.37,30.669999999998254,0.0170388888888879,0.0,49.55318672777469,0.788981476764979,0.8137242916677705,0.7613817321393004,76639.27,109.57000000000698,0.030436111111113,0.0,59.96594994722141,0.834376800983637,0.8597241747519188,0.8051350296206788,-0.0768404584749326,True,0.6834202292374663,0.5891113066709274,0.645,heartbeat:271,two_side_all_heartbeats,0.6941245222932317,0.4004934615378496,0.6191508298500498,0.0768404584749326,0.09824904458646344,2026-05-01 03:15:00+00:00,0.5563190830501348,0.4436809169498652,0.5135019108270731,0.4864980891729269,0.6025034717610036,0.3974965282389964,0.4436809169498652,0.5563190830501348,0.0,0.6383925960174124,0.6662237579624024,0.6239462980087063,0.5994956441624911,0.5059202292374663,0.5443404584749325,0.5990189215450363,0.4837302631036502,0.5946702292374663,0.6148021375424797,0.5745383209324527,0.637060305649955,0.5443404584749325,0.6007196911812481,0.5643790767125413,0.5956760955347434,0.6401903174598919,0.5443404584749325,0.5716796900099844,0.5443404584749325,train,hazard_primary_0.45,2,67.0,-65.0,-67.0,0.67,
KXBTC15M-26APR302330-30,heartbeat:333,live_heartbeat_two_side,heartbeat:333:yes,2026-05-01 03:16:04.060000+00:00,2026-05-01 03:16:00+00:00,yes,yes,True,True,1,72.0,71.0,71.5,0.715,28.5,43.0,1.0,76700.0,76668.47,835.94,,333,False,False,synced,bid>=98,latest_quote,1.0,31.52999999999884,1.0905269867305551,8.447185716394392,,,71.38339782976314,0.4416993440854741,0.6706466078035703,89.63902050459014,0.3517441380161475,0.6374849220785017,77.73963249103222,0.4055846289681911,0.6574760876131754,72.56384117322405,0.4345139327000423,0.6680423602429598,76665.0,35.0,0.5833333333333334,0.0,519.1616666666655,0.9999999965159738,0.999999999987906,0.9999999999995804,76667.29,32.7100000000064,0.1817222222222577,0.0,183.43887444447304,0.979642351909273,0.9908540825721732,0.99426371592025,76666.2,33.80000000000291,0.1126666666666763,0.0,125.71257333334027,0.9196067627310188,0.9470713928577592,0.9584024630386818,76530.92,169.08000000000175,0.2818000000000029,0.0,267.0978920000013,0.9985573723681856,0.9997045974072372,0.9998837791573398,76551.03,148.97000000000116,0.1655222222222235,0.0,169.89664644444437,0.970976480354746,0.9855723328352092,0.990392678073622,76545.8,154.1999999999971,0.085666666666665,0.0,103.14219333333082,0.8750597020808456,0.907706719965264,0.9223996456330577,76660.69,39.30999999999767,0.0109194444444437,0.0,40.65800038888719,0.6749325510404157,0.6995136458829047,0.7123648427243248,0.0775150779214982,True,0.6762424610392508,0.7573638949365068,0.6374849220785017,heartbeat:333,two_side_all_heartbeats,0.6862380438065877,0.6374849220785017,0.7326668291697542,0.07751507792149825,0.05752391238682453,2026-05-01 03:30:00+00:00,0.7250301558429968,0.2749698441570032,0.6850478247736491,0.3149521752263509,0.6639152795140806,0.3360847204859194,0.2749698441570032,0.7250301558429968,0.0,0.5287303987020521,0.554718913897128,0.607615199351026,0.6280758756241279,0.5337424610392507,0.4949849220785016,0.6886638135854547,0.3669305204301051,0.6049924610392508,0.6489954766235504,0.5609894454549511,0.6158232813856678,0.4949849220785016,0.5702645671875223,0.5247058529893768,0.6106074187120131,0.6196506420180232,0.4949849220785016,0.5918243678319781,0.4949849220785016,train,hazard_primary_0.45,2,74.0,28.0,26.0,0.74,
KXBTC15M-26APR302345-45,heartbeat:459,live_heartbeat_two_side,heartbeat:459:no,2026-05-01 03:39:05.762000+00:00,2026-05-01 03:39:00+00:00,no,no,True,True,1,70.0,69.0,69.5,0.695,30.5,39.0,1.0,77171.23,77219.61,354.238,,459,False,False,synced,bid>=98,latest_quote,-1.0,48.38000000000466,2.5705040379021025,19.91103866030753,,,63.30054140432811,0.764290461450883,0.7776529158129283,106.50088067108364,0.4542685440266077,0.6751822231851826,199.542113749098,0.2424550842477148,0.5957862218829935,145.4075615413803,0.3327199733435912,0.6303271643958855,77209.82,38.59000000001106,0.643166666666851,0.0,276.21407366673657,0.995250296995666,0.91685743230073,0.9712562218593698,77226.23,55.0,0.3055555555555556,0.0,156.61938888889355,0.9292993137845982,0.7837421120656172,0.8592835925690331,77196.01,24.77999999999884,0.0825999999999961,0.0,77.64005880000329,0.7670018016008743,0.651395618308136,0.7033112017999812,77264.72,93.49000000000524,0.1558166666666754,0.0,103.57618436667444,0.8346085871541535,0.6981437903824094,0.7618655509933041,77346.0,174.77000000000407,0.1941888888888934,0.0,117.16908362222848,0.8643709903692447,0.721461861749521,0.789820257626697,76640.0,-531.2299999999959,-0.2951277777777755,531.2299999999959,-56.16547374443898,0.2989679961875816,0.3891742852749082,0.3496511719780699,76603.9,-567.3300000000017,-0.1575916666666671,567.3300000000017,-7.444956816662184,0.4721345890653393,0.4851188350791853,0.4795828302371696,0.0198177768148173,True,0.6850911115925913,0.7123946749286856,0.6751822231851826,heartbeat:459,two_side_all_heartbeats,0.6453931109414968,0.6751822231851826,0.7034550272757296,0.019817776814817334,0.09921377811700649,2026-05-01 03:45:00+00:00,0.6496355536296348,0.35036444637036523,0.8084275562340131,0.19157244376598692,0.7393456712082289,0.2606543287917711,0.19157244376598692,0.8084275562340131,0.0,0.5777368901407374,0.4745220884478915,0.6211184450703687,0.6283186252304561,0.5325911115925912,0.5226822231851826,0.6689914719127661,0.4270646265304527,0.6088411115925914,0.6433046669555547,0.5743775562296278,0.6309548154567884,0.5226822231851826,0.5924615222154532,0.5539682289741181,0.61234869312337,0.6338346675615318,0.5226822231851826,0.5958368475489744,0.5226822231851826,train,hazard_primary_0.45,2,72.0,30.0,28.0,0.72,
KXBTC15M-26MAY010000-00,heartbeat:517,live_heartbeat_two_side,heartbeat:517:yes,2026-05-01 03:52:06.802000+00:00,2026-05-01 03:52:00+00:00,yes,no,True,False,1,74.0,73.0,73.5,0.735,26.5,47.0,1.0,77158.64,77133.88,473.198,,517,False,False,synced,bid>=98,latest_quote,1.0,24.75999999999476,1.138227804121871,8.816674659108488,,,50.158049463244645,0.4936396104904091,0.6892196393580241,82.60839796903119,0.2997273958669064,0.6178074500440068,140.219917032464,0.1765797650148536,0.5700807552582148,171.52136089589595,0.1443551979220985,0.557390003469754,77146.12,12.520000000004076,0.2086666666667345,0.0,123.50064933336024,0.9325445076147804,0.8107772047792956,0.7642469599388406,77152.01,6.630000000004657,0.0368333333333592,0.0,42.18945966667367,0.6952251555848554,0.6182472466543901,0.5971480631484107,77141.75,16.889999999999418,0.056299999999998,0.0,51.40104739999384,0.7331031824077338,0.6430317877489325,0.6177883180893631,77131.59,27.05000000000291,0.0450833333333381,0.0,46.09334316666372,0.7115689510689323,0.6288170114271946,0.6059321829680573,77230.09,-71.44999999999709,-0.0793888888888856,71.44999999999709,-12.806663444448148,0.4383993891808335,0.4636141183469902,0.4702405791474885,77224.44,-65.80000000000291,-0.0365555555555571,65.80000000000291,7.46198422221622,0.5359873538092065,0.5212202130572386,0.5173503883724031,76588.12,570.5200000000041,0.1584777777777789,0.0,99.75136748888418,0.8863842004206955,0.7615794114376937,0.7195712128754995,0.1171925499559931,True,0.6764037250220034,0.6953035441505802,0.6178074500440068,heartbeat:517,two_side_all_heartbeats,0.6525403776291074,0.6178074500440068,0.6994628714947488,0.11719254995599315,0.1649192447417852,2026-05-01 04:00:00+00:00,0.7643850999119866,0.23561490008801345,0.8598384894835704,0.14016151051642955,0.885219993060492,0.11478000693950796,0.14016151051642955,0.8598384894835704,1.0,0.5031496850572088,0.4411049818356792,0.6058248425286045,0.6056351607693778,0.5439037250220033,0.48530745004400677,0.5995243615035502,0.10892521832878681,0.6101537250220034,0.660092235013202,0.5602152150308047,0.6127049666960045,0.48530745004400677,0.5617047724510819,0.5107045782061592,0.6179076724628837,0.6178742661041658,0.48530745004400677,0.5424159057737785,0.48530745004400677,train,hazard_primary_0.45,2,76.0,-74.0,-76.0,0.76,
KXBTC15M-26MAY010015-15,heartbeat:573,live_heartbeat_two_side,heartbeat:573:no,2026-05-01 04:04:07.652000+00:00,2026-05-01 04:04:00+00:00,no,yes,True,False,1,55.0,54.0,54.5,0.545,45.5,9.0,1.0,77060.14,77099.09,652.348,,573,False,False,synced,bid>=98,latest_quote,-1.0,38.94999999999709,1.5249928040348946,11.812543466226591,,,97.19314786769544,0.4007484154440386,0.6556973193937852,82.30186377582154,0.4732578123150563,0.6819853717113202,88.30888122529038,0.4410654903511831,0.6704172070570289,202.94759308442025,0.1919214680402493,0.5760981395165017,77078.23,18.089999999996508,0.3014999999999418,0.0,235.6329219999591,0.9979019632968928,0.9961879783571108,0.8771898369409823,77094.42,34.27999999999884,0.1904444444444379,0.0,163.1860524444373,0.9763036988279846,0.9676916527526558,0.789324544268091,77090.55,30.41000000000349,0.1013666666666783,0.0,105.07634226667136,0.899149240956193,0.8829518191407839,0.6976840345188249,77118.32,58.18000000000757,0.0969666666666792,0.0,102.20601106667198,0.892852792543936,0.8764392975881283,0.6927315298322316,77152.01,91.86999999999534,0.1020777777777726,0.0,105.5402341777715,0.9001409877371566,0.8839810846294776,0.6984810665652144,77196.01,135.86999999999534,0.0754833333333307,0.0,88.19140153332873,0.8580411908742411,0.8410226317562799,0.6680563916949522,76523.21,-536.929999999993,-0.1491472222222203,536.929999999993,-58.34589212222387,0.2391853466452365,0.2544015836320254,0.3868676573297938,-0.1369853717113202,True,0.6134926858556602,0.7087115375558378,0.545,heartbeat:573,two_side_all_heartbeats,0.6077086035285144,0.545,0.6569254597046347,0.1369853717113202,0.12541720705702886,2026-05-01 04:15:00+00:00,0.6360292565773595,0.36397074342264046,0.6591655858859422,0.3408344141140578,0.8478037209669966,0.15219627903300337,0.3408344141140578,0.6591655858859422,0.0,0.5865809832247163,0.5715423691741376,0.5430404916123582,0.5784554157079775,0.38599268585566016,0.4544853717113203,0.6388225340468987,0.45388566751825976,0.4997426858556602,0.517845611513396,0.4816397601979242,0.560490247807547,0.4544853717113203,0.5137301805619894,0.46697011331643185,0.4997405602920452,0.5630652798634166,0.4544853717113203,0.5466539528791095,0.4544853717113203,train,hazard_primary_0.45,2,57.0,-55.0,-57.0,0.57,
KXBTC15M-26MAY010030-30,heartbeat:636,live_heartbeat_two_side,heartbeat:636:no,2026-05-01 04:15:38.601000+00:00,2026-05-01 04:15:00+00:00,no,no,True,True,1,60.0,59.0,59.5,0.595,40.5,19.0,1.0,77072.91,77131.71,861.399,,636,False,False,synced,bid>=98,latest_quote,-1.0,58.80000000000291,2.003434482516773,15.518536772010274,,,132.89398067566475,0.4424579631150309,0.6709210784700388,101.43966753469476,0.5796548966398369,0.7189263175258769,90.74183754634508,0.6479921675596625,0.7415049919059827,233.9228966919862,0.2513648763396888,0.5992339896533879,77134.51,61.59999999999127,1.0266666666665212,0.0,943.1696399998776,1.0,1.0,0.9999723441431312,77104.59,31.67999999999301,0.1759999999999612,0.0,210.40622399996948,0.9809696598957676,0.9897952800851352,0.8157983561994755,77091.96,19.05000000000291,0.0635000000000097,0.0,113.49883650001128,0.8684043765989885,0.894494153314821,0.6862319206260458,77080.79,7.879999999990105,0.0131333333333168,0.0,70.1130401999887,0.7552736941320284,0.7801396617333962,0.6178073514633764,77091.85,18.94000000000233,0.021044444444447,0.0,76.92766340000514,0.7758818889793027,0.8017152928535778,0.6288688891352812,77126.0,53.08999999999651,0.0294944444444425,0.0,84.20648495000124,0.7967628248290478,0.8232906693113871,0.6405672296122055,76665.0,-407.9100000000035,-0.1133083333333343,407.9100000000035,-38.80368502499792,0.3510342538086868,0.334461251300637,0.4341247601017459,-0.1239263175258769,True,0.6569631587629384,0.7274435647082885,0.595,heartbeat:636,two_side_all_heartbeats,0.6682524959529914,0.595,0.6868587705775607,0.1239263175258769,0.14650499190598276,2026-05-01 04:30:00+00:00,0.5621473649482462,0.43785263505175376,0.5169900161880345,0.48300998381196547,0.8015320206932242,0.19846797930677584,0.43785263505175376,0.5621473649482462,0.0,0.63460421278364,0.6639564894777775,0.5945521063918199,0.6218925440517189,0.4544631587629384,0.5164263175258769,0.6711440340827362,0.5246930727116526,0.5557131587629385,0.571427895257763,0.5399984222681138,0.6101175450172512,0.5164263175258769,0.5684382783380187,0.5267590116587864,0.5560636651447828,0.6137687065349453,0.5164263175258769,0.5937851758043065,0.5164263175258769,train,hazard_primary_0.45,2,62.0,40.0,38.0,0.62,
KXBTC15M-26MAY010045-45,heartbeat:708,live_heartbeat_two_side,heartbeat:708:yes,2026-05-01 04:32:10.192000+00:00,2026-05-01 04:32:00+00:00,yes,yes,True,True,1,72.0,71.0,71.5,0.715,28.5,43.0,1.0,77026.81,76977.88,769.808,,708,False,False,synced,bid>=98,latest_quote,1.0,48.929999999993015,1.763534684954764,13.660280930577889,,,174.91373528985704,0.2797378943335068,0.6101606984844903,128.2761932079268,0.3814425637084574,0.6485625586321383,113.56585130677072,0.4308513469231207,0.666711769151079,102.57260495895892,0.4770279551696162,0.683328892364288,77005.38,21.42999999999301,0.3571666666665502,0.0,323.8797573332367,0.9942128226890294,0.9978271401100792,0.9992045385722024,76997.18,29.630000000004657,0.164611111111137,0.0,175.64895022223516,0.9145476780582482,0.9390286380465738,0.956591761404083,77144.21,-117.40000000000872,-0.3913333333333624,117.40000000000872,-252.32153066669605,0.024590590451634,0.0131481378481758,0.0069481864893407,77107.93,-81.11999999999534,-0.1351999999999922,81.11999999999534,-55.14804160000101,0.3336282207644222,0.3136239488961828,0.295409754224004,77132.24,-105.43000000000757,-0.1171444444444528,105.43000000000757,-41.24873048890234,0.3738923231538573,0.358222438267995,0.3437898411638405,77126.31,-99.5,-0.0552777777777777,99.5,6.376724444437457,0.5198236131059973,0.5223888503931609,0.5247854413112553,77179.09,-152.27999999999884,-0.0422999999999996,152.27999999999884,16.36712159999326,0.5507643943913977,0.55729718268573,0.563388599953959,0.0664374413678616,True,0.6817812793160691,0.4627177163612574,0.6485625586321383,heartbeat:708,two_side_all_heartbeats,0.6908558845755395,0.024590590451634,0.5569868856799682,0.06643744136786167,0.04828823084892098,2026-05-01 04:45:00+00:00,0.7028748827357234,0.2971251172642766,0.6665764616978422,0.33342353830215776,0.6333422152714241,0.3666577847285759,0.2971251172642766,0.7028748827357234,1.0,0.5431313262217797,0.5667252998964025,0.6148156631108899,0.5457747221560533,0.5392812793160691,0.5060625586321383,0.4651993974063959,0.09958417630943998,0.6105312793160691,0.6523187675896415,0.5687437910424968,0.6232083724214256,0.5060625586321383,0.5796273374212049,0.5360463024209842,0.6158623177926856,0.6268960906367325,0.5060625586321383,0.48563097801926713,0.4651993974063959,train,hazard_primary_0.45,2,74.0,28.0,26.0,0.74,
