variant,source,market,side,reason,p,outcome,brier,raw_v28_p,book_p,v28_minus_book_p,edge_cents,recross_hazard_score,gross_cents
large_disagreement_book_anchor,entry,KXBTC15M-26MAY051330-30,yes,approved_entry,0.879391,1.0,0.014546530880999992,0.879391,0.82,0.05939100000000008,2.439055,0.30242891547156237,0.0
v28_premium_book_anchor,entry,KXBTC15M-26MAY051330-30,yes,approved_entry,0.879391,1.0,0.014546530880999992,0.879391,0.82,0.05939100000000008,2.439055,0.30242891547156237,0.0
v28_raw,entry,KXBTC15M-26MAY051545-45,yes,approved_entry,0.851935,1.0,0.021923244225,0.851935,0.75,0.101935,6.693536,0.38190335478068066,16.0
book_ask_prior,entry,KXBTC15M-26MAY051545-45,yes,approved_entry,0.75,1.0,0.0625,0.851935,0.75,0.101935,6.693536,0.38190335478068066,16.0
fixed_shrink_75_v28_25_book,entry,KXBTC15M-26MAY051545-45,yes,approved_entry,0.82645125,1.0,0.030119168626562512,0.851935,0.75,0.101935,6.693536,0.38190335478068066,16.0
fixed_shrink_50_v28_50_book,entry,KXBTC15M-26MAY051545-45,yes,approved_entry,0.8009675,1.0,0.03961393605624998,0.851935,0.75,0.101935,6.693536,0.38190335478068066,16.0
recross_shrink,entry,KXBTC15M-26MAY051545-45,yes,approved_entry,0.79587075,1.0,0.041668750705562516,0.851935,0.75,0.101935,6.693536,0.38190335478068066,16.0
edge_confidence_shrink,entry,KXBTC15M-26MAY051545-45,yes,approved_entry,0.8213545,1.0,0.031914214670250005,0.851935,0.75,0.101935,6.693536,0.38190335478068066,16.0
book_when_v28_coinflip,entry,KXBTC15M-26MAY051545-45,yes,approved_entry,0.851935,1.0,0.021923244225,0.851935,0.75,0.101935,6.693536,0.38190335478068066,16.0
book_when_v28_coinflip_else_edge,entry,KXBTC15M-26MAY051545-45,yes,approved_entry,0.851935,1.0,0.021923244225,0.851935,0.75,0.101935,6.693536,0.38190335478068066,16.0
large_disagreement_book_anchor,entry,KXBTC15M-26MAY051545-45,yes,approved_entry,0.8060642499999999,1.0,0.03761107512806253,0.851935,0.75,0.101935,6.693536,0.38190335478068066,16.0
v28_premium_book_anchor,entry,KXBTC15M-26MAY051545-45,yes,approved_entry,0.8009675,1.0,0.03961393605624998,0.851935,0.75,0.101935,6.693536,0.38190335478068066,16.0
v28_raw,entry,KXBTC15M-26MAY051615-15,no,approved_entry,0.855253,0.0,0.7314576940090001,0.855253,0.76,0.09525300000000003,6.02531,0.2723002958536802,-24.0
book_ask_prior,entry,KXBTC15M-26MAY051615-15,no,approved_entry,0.76,0.0,0.5776,0.855253,0.76,0.09525300000000003,6.02531,0.2723002958536802,-24.0
fixed_shrink_75_v28_25_book,entry,KXBTC15M-26MAY051615-15,no,approved_entry,0.8314397499999999,0.0,0.6912920578800623,0.855253,0.76,0.09525300000000003,6.02531,0.2723002958536802,-24.0
fixed_shrink_50_v28_50_book,entry,KXBTC15M-26MAY051615-15,no,approved_entry,0.8076265,0.0,0.65226056350225,0.855253,0.76,0.09525300000000003,6.02531,0.2723002958536802,-24.0
recross_shrink,entry,KXBTC15M-26MAY051615-15,no,approved_entry,0.8171518000000001,0.0,0.6677370642432402,0.855253,0.76,0.09525300000000003,6.02531,0.2723002958536802,-24.0
edge_confidence_shrink,entry,KXBTC15M-26MAY051615-15,no,approved_entry,0.8457277,0.0,0.71525534254729,0.855253,0.76,0.09525300000000003,6.02531,0.2723002958536802,-24.0
book_when_v28_coinflip,entry,KXBTC15M-26MAY051615-15,no,approved_entry,0.855253,0.0,0.7314576940090001,0.855253,0.76,0.09525300000000003,6.02531,0.2723002958536802,-24.0
book_when_v28_coinflip_else_edge,entry,KXBTC15M-26MAY051615-15,no,approved_entry,0.855253,0.0,0.7314576940090001,0.855253,0.76,0.09525300000000003,6.02531,0.2723002958536802,-24.0
large_disagreement_book_anchor,entry,KXBTC15M-26MAY051615-15,no,approved_entry,0.81238915,0.0,0.6599761310377225,0.855253,0.76,0.09525300000000003,6.02531,0.2723002958536802,-24.0
v28_premium_book_anchor,entry,KXBTC15M-26MAY051615-15,no,approved_entry,0.8076265,0.0,0.65226056350225,0.855253,0.76,0.09525300000000003,6.02531,0.2723002958536802,-24.0
v28_raw,entry,KXBTC15M-26MAY051615-15,yes,approved_entry,0.92219,1.0,0.0060543961000000075,0.92219,0.56,0.3621899999999999,32.218966,0.1613755631733708,32.0
book_ask_prior,entry,KXBTC15M-26MAY051615-15,yes,approved_entry,0.56,1.0,0.19359999999999997,0.92219,0.56,0.3621899999999999,32.218966,0.1613755631733708,32.0
fixed_shrink_75_v28_25_book,entry,KXBTC15M-26MAY051615-15,yes,approved_entry,0.8316425,1.0,0.028344247806250018,0.92219,0.56,0.3621899999999999,32.218966,0.1613755631733708,32.0
fixed_shrink_50_v28_50_book,entry,KXBTC15M-26MAY051615-15,yes,approved_entry,0.7410950000000001,1.0,0.06703179902499996,0.92219,0.56,0.3621899999999999,32.218966,0.1613755631733708,32.0
recross_shrink,entry,KXBTC15M-26MAY051615-15,yes,approved_entry,0.849752,1.0,0.022574461504000016,0.92219,0.56,0.3621899999999999,32.218966,0.1613755631733708,32.0
edge_confidence_shrink,entry,KXBTC15M-26MAY051615-15,yes,approved_entry,0.813533,1.0,0.03476994208900002,0.92219,0.56,0.3621899999999999,32.218966,0.1613755631733708,32.0
book_when_v28_coinflip,entry,KXBTC15M-26MAY051615-15,yes,approved_entry,0.92219,1.0,0.0060543961000000075,0.92219,0.56,0.3621899999999999,32.218966,0.1613755631733708,32.0
book_when_v28_coinflip_else_edge,entry,KXBTC15M-26MAY051615-15,yes,approved_entry,0.92219,1.0,0.0060543961000000075,0.92219,0.56,0.3621899999999999,32.218966,0.1613755631733708,32.0
large_disagreement_book_anchor,entry,KXBTC15M-26MAY051615-15,yes,approved_entry,0.6867665000000001,1.0,0.09811522552224997,0.92219,0.56,0.3621899999999999,32.218966,0.1613755631733708,32.0
v28_premium_book_anchor,entry,KXBTC15M-26MAY051615-15,yes,approved_entry,0.6686570000000001,1.0,0.10978818364899996,0.92219,0.56,0.3621899999999999,32.218966,0.1613755631733708,32.0
v28_raw,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.877551,0.0,0.7700957576009999,0.877551,0.82,0.05755100000000002,2.255072,0.3259898292285944,-28.0
