dataset,candidate,block_index,block_start_close_dt,block_end_close_dt,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
v21,logit55_edge10_sec600,8,2026-05-02 01:45:00+00:00,2026-05-02 06:30:00+00:00,20,13,0.65,8,5,0.6153846153846154,-97.0,-0.10813823857302118,65.0,False,False
v21,logit55_edge10_sec600,9,2026-05-02 06:45:00+00:00,2026-05-02 11:30:00+00:00,20,12,0.6,9,3,0.75,70.0,0.08433734939759036,66.5,True,False
v21,logit55_edge10_sec600,10,2026-05-02 11:45:00+00:00,2026-05-02 17:00:00+00:00,20,11,0.55,9,2,0.8181818181818182,101.0,0.12640801001251564,68.0,True,False
v21,logit55_edge10_sec600,11,2026-05-02 17:15:00+00:00,2026-05-02 17:15:00+00:00,1,0,0.0,0,0,,0.0,,,False,False
v21,logit60_edge15_sec600,0,2026-04-30 04:45:00+00:00,2026-04-30 13:45:00+00:00,20,15,0.75,13,2,0.8666666666666667,144.0,0.1245674740484429,74.0,True,False
v21,logit60_edge15_sec600,1,2026-04-30 14:00:00+00:00,2026-04-30 18:45:00+00:00,20,17,0.85,10,7,0.5882352941176471,-255.0,-0.20318725099601595,71.0,False,True
v21,logit60_edge15_sec600,2,2026-04-30 19:00:00+00:00,2026-04-30 23:45:00+00:00,20,11,0.55,6,5,0.5454545454545454,-197.0,-0.24717691342534504,68.0,False,False
v21,logit60_edge15_sec600,3,2026-05-01 00:00:00+00:00,2026-05-01 05:00:00+00:00,20,14,0.7,11,3,0.7857142857142857,84.0,0.08267716535433071,69.5,True,False
v21,logit60_edge15_sec600,4,2026-05-01 05:15:00+00:00,2026-05-01 10:15:00+00:00,20,12,0.6,9,3,0.75,52.0,0.06132075471698113,68.0,True,False
v21,logit60_edge15_sec600,5,2026-05-01 10:30:00+00:00,2026-05-01 15:15:00+00:00,20,17,0.85,14,3,0.8235294117647058,139.0,0.11022997620935765,71.0,True,True
