dataset,policy,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_median_ask,all_mean_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_entry_fee_cents,all_ask_cost_cents,all_entry_cost_cents,all_gross_pnl_cents,all_net_pnl_cents,all_gross_roi_on_ask,all_net_roi_on_cost,all_net_edge_per_selected_cents,all_net_edge_per_base_market_cents,all_fee_aware_break_even_accuracy,all_accuracy_minus_break_even,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_median_ask,train_mean_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_entry_fee_cents,train_ask_cost_cents,train_entry_cost_cents,train_gross_pnl_cents,train_net_pnl_cents,train_gross_roi_on_ask,train_net_roi_on_cost,train_net_edge_per_selected_cents,train_net_edge_per_base_market_cents,train_fee_aware_break_even_accuracy,train_accuracy_minus_break_even,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_median_ask,validation_mean_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_entry_fee_cents,validation_ask_cost_cents,validation_entry_cost_cents,validation_gross_pnl_cents,validation_net_pnl_cents,validation_gross_roi_on_ask,validation_net_roi_on_cost,validation_net_edge_per_selected_cents,validation_net_edge_per_base_market_cents,validation_fee_aware_break_even_accuracy,validation_accuracy_minus_break_even,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_median_ask,holdout_mean_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_entry_fee_cents,holdout_ask_cost_cents,holdout_entry_cost_cents,holdout_gross_pnl_cents,holdout_net_pnl_cents,holdout_gross_roi_on_ask,holdout_net_roi_on_cost,holdout_net_edge_per_selected_cents,holdout_net_edge_per_base_market_cents,holdout_fee_aware_break_even_accuracy,holdout_accuracy_minus_break_even,oos_positive,all_coverage_ok
current,frontier_v2,281,279,178,101,0.6379928315412187,0.9928825622775801,0.5800802153458384,61.0,60.71326164874552,66.0,0,0,834.611,555.0,16939.0,17494.0,861.0,306.0,0.05082944683865635,0.01749171144392363,1.096774193548387,1.0889679715302492,0.6270250896057348,0.010967741935483888,168,167,106,61,0.6347305389221557,0.9940476190476191,0.5594349254127945,60.0,59.59880239520958,65.0,0,0,836.463,333.0,9953.0,10286.0,647.0,314.0,0.06500552597206873,0.03052692980750535,1.8802395209580838,1.869047619047619,0.6159281437125749,0.018802395209580824,56,55,38,17,0.6909090909090909,0.9821428571428571,0.5597140984246408,61.0,61.29090909090909,69.0,0,0,832.083,110.0,3371.0,3481.0,429.0,319.0,0.12726194007712846,0.09164033323757541,5.8,5.696428571428571,0.632909090909091,0.05799999999999994,57,57,34,23,0.5964912280701754,1.0,0.4669729242085391,63.0,63.421052631578945,68.0,0,0,830.828,112.0,3615.0,3727.0,-215.0,-327.0,-0.059474412171507604,-0.08773812718003757,-5.7368421052631575,-5.7368421052631575,0.6538596491228069,-0.05736842105263151,False,True
current,book_margin,281,279,200,79,0.7168458781362007,0.9928825622775801,0.6613131864035504,64.0,65.62007168458781,68.0,0,0,819.463,555.0,18308.0,18863.0,1692.0,1137.0,0.09241861481319642,0.060276732227111274,4.075268817204301,4.0462633451957295,0.6760931899641577,0.04075268817204303,168,167,118,49,0.7065868263473054,0.9940476190476191,0.6335068419504755,63.0,65.08383233532935,67.0,0,0,811.856,333.0,10869.0,11202.0,931.0,598.0,0.08565645413561505,0.05338332440635601,3.5808383233532934,3.5595238095238093,0.6707784431137725,0.03580838323353286,56,55,40,15,0.7272727272727273,0.9821428571428571,0.5976780188832919,65.0,66.18181818181819,69.0,0,0,825.509,110.0,3640.0,3750.0,360.0,250.0,0.0989010989010989,0.06666666666666667,4.545454545454546,4.464285714285714,0.6818181818181821,0.04545454545454519,57,57,42,15,0.7368421052631579,1.0,0.6102342073651618,64.0,66.64912280701755,69.0,0,0,825.724,112.0,3799.0,3911.0,401.0,289.0,0.10555409318241643,0.07389414472002045,5.0701754385964914,5.0701754385964914,0.6861403508771929,0.050701754385964914,True,True
current,book_margin_early,281,271,195,76,0.7195571955719557,0.9644128113879004,0.6632916338393601,64.0,65.66051660516605,68.0,0,0,822.776,539.0,17794.0,18333.0,1706.0,1167.0,0.09587501404967967,0.06365570283096056,4.306273062730627,4.153024911032029,0.6764944649446495,0.043062730627306256,168,161,115,46,0.7142857142857143,0.9583333333333334,0.6401483365267528,63.0,65.1055900621118,67.0,0,0,817.169,321.0,10482.0,10803.0,1018.0,697.0,0.09711887044457165,0.06451911506063131,4.329192546583851,4.148809523809524,0.6709937888198758,0.04329192546583849,56,53,38,15,0.7169811320754716,0.9464285714285714,0.5842971358358297,65.0,66.28301886792453,69.0,0,0,827.059,106.0,3513.0,3619.0,287.0,181.0,0.08169655565044122,0.05001381597126278,3.4150943396226414,3.232142857142857,0.6828301886792455,0.03415094339622615,57,57,42,15,0.7368421052631579,1.0,0.6102342073651618,64.0,66.64912280701755,69.0,0,0,825.724,112.0,3799.0,3911.0,401.0,289.0,0.10555409318241643,0.07389414472002045,5.0701754385964914,5.0701754385964914,0.6861403508771929,0.050701754385964914,True,True
current,book_margin_gap015,281,250,181,69,0.724,0.8896797153024911,0.6655148817430401,63.0,64.74,66.0,0,0,818.7919999999999,499.0,16185.0,16684.0,1915.0,1416.0,0.11831943157244362,0.08487173339726685,5.664,5.039145907473309,0.6673600000000001,0.05663999999999991,168,152,110,42,0.7236842105263158,0.9047619047619048,0.647746685046236,63.0,64.25657894736842,65.25,0,0,816.4894999999999,304.0,9767.0,10071.0,1233.0,929.0,0.1262414252073308,0.09224506007347831,6.1118421052631575,5.529761904761905,0.6625657894736842,0.061118421052631655,56,48,36,12,0.75,0.8571428571428571,0.6121562719049204,64.0,65.35416666666667,68.0,0,0,816.6769999999999,96.0,3137.0,3233.0,463.0,367.0,0.1475932419509085,0.1135168574079802,7.645833333333333,6.553571428571429,0.6735416666666666,0.0764583333333334,57,50,35,15,0.7,0.8771929824561403,0.562496495355466,64.0,65.62,67.75,0,0,822.111,99.0,3281.0,3380.0,219.0,120.0,0.06674794270039622,0.03550295857988166,2.4,2.1052631578947367,0.676,0.02399999999999991,True,True
current,score_min60,281,278,212,66,0.762589928057554,0.9893238434163701,0.7092067683402752,68.0,69.55755395683454,73.0,0,0,768.3530000000001,545.0,19337.0,19882.0,1863.0,1318.0,0.0963437968661116,0.06629111759380343,4.741007194244604,4.690391459074733,0.7151798561151079,0.047410071942446064,168,166,123,43,0.7409638554216867,0.9880952380952381,0.6694009420855891,68.0,68.8433734939759,72.0,0,0,766.446,327.0,11428.0,11755.0,872.0,545.0,0.07630381519075954,0.04636324968098681,3.283132530120482,3.244047619047619,0.7081325301204819,0.032831325301204806,56,55,47,8,0.8545454545454545,0.9821428571428571,0.7383908706854773,69.0,69.9090909090909,73.0,0,0,769.478,107.0,3845.0,3952.0,855.0,748.0,0.2223667100130039,0.18927125506072875,13.6,13.357142857142858,0.7185454545454547,0.1359999999999998,57,57,42,15,0.7368421052631579,1.0,0.6102342073651618,69.0,71.29824561403508,77.0,0,0,773.382,111.0,4064.0,4175.0,136.0,25.0,0.03346456692913386,0.005988023952095809,0.43859649122807015,0.43859649122807015,0.7324561403508771,0.004385964912280715,True,True
current,score_min60_gap020,281,276,212,64,0.7681159420289855,0.9822064056939501,0.714851548060456,68.0,69.47101449275362,73.0,0,0,768.3530000000001,541.0,19174.0,19715.0,2026.0,1485.0,0.10566391989151977,0.07532335784935329,5.380434782608695,5.284697508896797,0.7143115942028987,0.053804347826086785,168,164,123,41,0.75,0.9761904761904762,0.6785200122900301,68.0,68.6890243902439,72.0,0,0,766.446,323.0,11265.0,11588.0,1035.0,712.0,0.09187749667110519,0.06144287193648602,4.341463414634147,4.238095238095238,0.7065853658536585,0.0434146341463415,56,55,47,8,0.8545454545454545,0.9821428571428571,0.7383908706854773,69.0,69.9090909090909,73.0,0,0,769.478,107.0,3845.0,3952.0,855.0,748.0,0.2223667100130039,0.18927125506072875,13.6,13.357142857142858,0.7185454545454547,0.1359999999999998,57,57,42,15,0.7368421052631579,1.0,0.6102342073651618,69.0,71.29824561403508,77.0,0,0,773.382,111.0,4064.0,4175.0,136.0,25.0,0.03346456692913386,0.005988023952095809,0.43859649122807015,0.43859649122807015,0.7324561403508771,0.004385964912280715,True,True
current,v2_wait_score_min60_early,281,278,212,66,0.762589928057554,0.9893238434163701,0.7092067683402752,68.0,69.48920863309353,73.0,0,0,768.3530000000001,545.0,19318.0,19863.0,1882.0,1337.0,0.09742209338440833,0.06731108090419373,4.809352517985611,4.758007117437723,0.7144964028776978,0.04809352517985621,168,166,123,43,0.7409638554216867,0.9880952380952381,0.6694009420855891,68.0,68.8433734939759,72.0,0,0,766.446,327.0,11428.0,11755.0,872.0,545.0,0.07630381519075954,0.04636324968098681,3.283132530120482,3.244047619047619,0.7081325301204819,0.032831325301204806,56,55,47,8,0.8545454545454545,0.9821428571428571,0.7383908706854773,69.0,69.56363636363636,73.0,0,0,769.478,107.0,3826.0,3933.0,874.0,767.0,0.2284370099320439,0.19501652682430715,13.945454545454545,13.696428571428571,0.7150909090909093,0.13945454545454516,57,57,42,15,0.7368421052631579,1.0,0.6102342073651618,69.0,71.29824561403508,77.0,0,0,773.382,111.0,4064.0,4175.0,136.0,25.0,0.03346456692913386,0.005988023952095809,0.43859649122807015,0.43859649122807015,0.7324561403508771,0.004385964912280715,True,True
current,v2_wait_score_min60_brownian70_early,281,278,212,66,0.762589928057554,0.9893238434163701,0.7092067683402752,68.0,69.22661870503597,73.0,0,0,769.1134999999999,545.0,19245.0,19790.0,1955.0,1410.0,0.1015848272278514,0.07124810510358767,5.071942446043166,5.01779359430605,0.7118705035971223,0.05071942446043165,168,166,124,42,0.7469879518072289,0.9880952380952381,0.675782065712167,68.0,68.5421686746988,72.0,0,0,767.5405000000001,327.0,11378.0,11705.0,1022.0,695.0,0.08982246440499209,0.05937633489961555,4.186746987951807,4.136904761904762,0.7051204819277108,0.04186746987951806,56,55,47,8,0.8545454545454545,0.9821428571428571,0.7383908706854773,69.0,69.56363636363636,73.0,0,0,769.478,107.0,3826.0,3933.0,874.0,767.0,0.2284370099320439,0.19501652682430715,13.945454545454545,13.696428571428571,0.7150909090909093,0.13945454545454516,57,57,41,16,0.7192982456140351,1.0,0.5916980132395605,69.0,70.89473684210526,77.0,0,0,774.221,111.0,4041.0,4152.0,59.0,-52.0,0.014600346448898788,-0.012524084778420038,-0.9122807017543859,-0.9122807017543859,0.728421052631579,-0.009122807017543866,False,True
v21,frontier_v2,221,219,149,70,0.680365296803653,0.9909502262443439,0.6159494431339545,60.0,60.20091324200913,65.0,0,0,839.811894,433.0,13184.0,13617.0,1716.0,1283.0,0.13015776699029127,0.09422045971946831,5.858447488584475,5.8054298642533935,0.6217808219178083,0.05858447488584473,132,131,87,44,0.6641221374045801,0.9924242424242424,0.5795924913457884,60.0,60.0763358778626,65.0,0,0,839.822694,259.0,7870.0,8129.0,830.0,571.0,0.10546378653113088,0.07024234223151679,4.358778625954199,4.325757575757576,0.6205343511450382,0.04358778625954196,44,44,28,16,0.6363636363636364,1.0,0.48866376879043444,60.0,59.54545454545455,64.25,0,0,839.8762744999999,88.0,2620.0,2708.0,180.0,92.0,0.06870229007633588,0.033973412112259974,2.090909090909091,2.090909090909091,0.6154545454545455,0.020909090909090877,45,44,34,10,0.7727272727272727,0.9777777777777777,0.6300764193536366,60.5,61.22727272727273,67.0,0,0,839.5514605000001,86.0,2694.0,2780.0,706.0,620.0,0.26206384558277657,0.22302158273381295,14.090909090909092,13.777777777777779,0.6318181818181817,0.14090909090909098,True,True
v21,book_margin,221,219,156,63,0.7123287671232876,0.9909502262443439,0.6491214398502179,66.0,67.32420091324201,70.5,0,0,779.813589,431.0,14744.0,15175.0,856.0,425.0,0.05805751492132393,0.02800658978583196,1.9406392694063928,1.9230769230769231,0.6929223744292238,0.019406392694063856,132,131,90,41,0.6870229007633588,0.9924242424242424,0.6032467934308663,66.0,67.33587786259542,71.0,0,0,779.94713,259.0,8821.0,9080.0,179.0,-80.0,0.020292483845369007,-0.00881057268722467,-0.6106870229007634,-0.6060606060606061,0.6931297709923665,-0.006106870229007688,44,44,32,12,0.7272727272727273,1.0,0.581511269075488,64.5,65.93181818181819,67.0,0,0,779.7111965,87.0,2901.0,2988.0,299.0,212.0,0.10306790761806274,0.07095046854082998,4.818181818181818,4.818181818181818,0.6790909090909091,0.048181818181818215,45,44,34,10,0.7727272727272727,0.9777777777777777,0.6300764193536366,67.0,68.68181818181819,71.25,0,0,779.378346,85.0,3022.0,3107.0,378.0,293.0,0.12508272667107875,0.09430318635339556,6.659090909090909,6.511111111111111,0.7061363636363637,0.06659090909090903,True,True
