dataset,candidate,slice,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_edge
current,score_m60_edge_m5,split=holdout,59,43,16,0.7288135593220338,108.0,1.8305084745762712,68.0,-3.0
current,score_m60_edge_m5,split=train,183,142,41,0.7759562841530054,1139.0,6.224043715846994,67.0,-2.515800583558871
current,score_m60_edge_m5,split=validation,63,47,16,0.746031746031746,192.0,3.0476190476190474,68.0,-2.825625069732638
current,score_m60_edge_m5,side=no,149,115,34,0.7718120805369127,919.0,6.167785234899329,68.0,-2.5202110653085725
current,score_m60_edge_m5,side=yes,156,117,39,0.75,520.0,3.3333333333333335,67.0,-2.922006241731083
current,score_m60_edge_m5,"score=(-1.001, 0.625]",89,62,27,0.6966292134831461,478.0,5.370786516853933,62.0,-2.5
current,score_m60_edge_m5,"score=(0.625, 0.65]",46,31,15,0.6739130434782609,21.0,0.45652173913043476,65.0,-3.0
current,score_m60_edge_m5,"score=(0.65, 0.7]",78,60,18,0.7692307692307693,520.0,6.666666666666667,68.0,-3.0
current,score_m60_edge_m5,"score=(0.7, 0.8]",61,51,10,0.8360655737704918,410.0,6.721311475409836,74.0,-2.5
current,score_m60_edge_m5,"score=(0.8, 2.0]",31,28,3,0.9032258064516129,10.0,0.3225806451612903,89.0,-2.946976527523418
current,score_m60_edge_m5,"edge=(-3.0, 0.0]",164,121,43,0.7378048780487805,494.0,3.0121951219512195,66.0,-2.5
current,score_m60_edge_m5,"edge=(-5.0, -3.0]",141,111,30,0.7872340425531915,945.0,6.702127659574468,68.0,-3.5450511406317133
current,score_m60_edge_m5,"ask=(60.0, 70.0]",207,149,58,0.7198067632850241,1058.0,5.111111111111111,65.0,-2.682294027349073
current,score_m60_edge_m5,"ask=(70.0, 80.0]",65,53,12,0.8153846153846154,338.0,5.2,73.0,-2.5
current,score_m60_edge_m5,"ask=(80.0, 90.0]",21,19,2,0.9047619047619048,80.0,3.8095238095238093,85.0,-3.0
current,score_m60_edge_m5,"ask=(90.0, 101.0]",12,11,1,0.9166666666666666,-37.0,-3.0833333333333335,94.0,-2.705111144825885
current,score_m60_edge_m5,"time=(-1.001, 600.0]",79,62,17,0.7848101265822784,293.0,3.7088607594936707,69.0,-2.9039883740953343
current,score_m60_edge_m5,"time=(600.0, 720.0]",84,66,18,0.7857142857142857,586.0,6.976190476190476,68.0,-3.0
current,score_m60_edge_m5,"time=(720.0, 840.0]",131,97,34,0.7404580152671756,569.0,4.343511450381679,66.0,-2.5
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,split=holdout,59,43,16,0.7288135593220338,108.0,1.8305084745762712,68.0,-3.0
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,split=train,183,142,41,0.7759562841530054,1139.0,6.224043715846994,67.0,-2.515800583558871
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,split=validation,63,47,16,0.746031746031746,192.0,3.0476190476190474,68.0,-2.825625069732638
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,side=no,149,115,34,0.7718120805369127,919.0,6.167785234899329,68.0,-2.5202110653085725
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,side=yes,156,117,39,0.75,520.0,3.3333333333333335,67.0,-2.922006241731083
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,"score=(-1.001, 0.625]",89,62,27,0.6966292134831461,478.0,5.370786516853933,62.0,-2.5
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,"score=(0.625, 0.65]",46,31,15,0.6739130434782609,21.0,0.45652173913043476,65.0,-3.0
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,"score=(0.65, 0.7]",78,60,18,0.7692307692307693,520.0,6.666666666666667,68.0,-3.0
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,"score=(0.7, 0.8]",61,51,10,0.8360655737704918,410.0,6.721311475409836,74.0,-2.5
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,"score=(0.8, 2.0]",31,28,3,0.9032258064516129,10.0,0.3225806451612903,89.0,-2.946976527523418
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,"edge=(-3.0, 0.0]",164,121,43,0.7378048780487805,494.0,3.0121951219512195,66.0,-2.5
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,"edge=(-5.0, -3.0]",141,111,30,0.7872340425531915,945.0,6.702127659574468,68.0,-3.5450511406317133
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,"ask=(60.0, 70.0]",207,149,58,0.7198067632850241,1058.0,5.111111111111111,65.0,-2.682294027349073
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,"ask=(70.0, 80.0]",65,53,12,0.8153846153846154,338.0,5.2,73.0,-2.5
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,"ask=(80.0, 90.0]",21,19,2,0.9047619047619048,80.0,3.8095238095238093,85.0,-3.0
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,"ask=(90.0, 101.0]",12,11,1,0.9166666666666666,-37.0,-3.0833333333333335,94.0,-2.705111144825885
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,"time=(-1.001, 600.0]",79,62,17,0.7848101265822784,293.0,3.7088607594936707,69.0,-2.9039883740953343
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,"time=(600.0, 720.0]",84,66,18,0.7857142857142857,586.0,6.976190476190476,68.0,-3.0
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,"time=(720.0, 840.0]",131,97,34,0.7404580152671756,569.0,4.343511450381679,66.0,-2.5
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p9,split=holdout,59,43,16,0.7288135593220338,108.0,1.8305084745762712,68.0,-3.0
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p9,split=train,183,142,41,0.7759562841530054,1139.0,6.224043715846994,67.0,-2.515800583558871
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p9,split=validation,63,47,16,0.746031746031746,192.0,3.0476190476190474,68.0,-2.825625069732638
