policy,market,opportunity_key,entry_dt,close_time,source_line_no,selected_side,selected_ask_cents,selected_edge_cents,selected_p_side,p_yes,registered_utc,exit_dt,exit_bid_cents,exit_p_side,exit_fee_cents,outcome,resolved_utc,win,gross_pnl_cents,entry_fee_cents,total_fee_cents,fee_net_cents,fee_net_1c_entry_cents,status
v38_edgehole_block_first_8_20_p65_prob52,KXBTC15M-26MAY042115-15,heartbeat:56450,2026-05-05 01:05:04.463000+00:00,2026-05-05 01:15:00+00:00,56450,no,70.0,1.2565241988330769,0.7125652419883308,0.2874347580116692,2026-05-05 01:49:07.565949+00:00,2026-05-05 01:07:04.698000+00:00,48.0,0.49685471738424325,4.0,,,,-44.0,3.0,7.0,-51.0,-53.0,exited
v38_edgehole_block_first_8_20_p65_prob52,KXBTC15M-26MAY042130-30,heartbeat:57797,2026-05-05 01:25:31.269000+00:00,2026-05-05 01:30:00+00:00,57797,yes,72.0,0.6021044810997296,0.7260210448109973,0.7260210448109973,2026-05-05 01:49:07.565949+00:00,,,,0.0,yes,2026-05-05 03:56:01.828073+00:00,True,56.0,3.0,3.0,53.0,51.0,settled
v38_edgehole_block_first_8_20_p65_prob52,KXBTC15M-26MAY042200-00,heartbeat:58068,2026-05-05 01:52:33.922000+00:00,2026-05-05 02:00:00+00:00,58068,yes,93.0,1.7246611302572745,0.9472466113025727,0.9472466113025727,2026-05-05 01:57:50.547798+00:00,,,,0.0,yes,2026-05-05 03:56:01.828073+00:00,True,14.0,1.0,1.0,13.0,11.0,settled
v38_edgehole_block_first_8_20_p65_prob52,KXBTC15M-26MAY042215-15,heartbeat:58142,2026-05-05 02:05:20.208000+00:00,2026-05-05 02:15:00+00:00,58142,yes,93.0,1.6404812238563835,0.9464048122385639,0.9464048122385639,2026-05-05 02:11:52.304987+00:00,,,,0.0,yes,2026-05-05 03:56:01.828073+00:00,True,14.0,1.0,1.0,13.0,11.0,settled
v38_edgehole_block_first_8_20_p65_prob52,KXBTC15M-26MAY042230-30,heartbeat:58242,2026-05-05 02:22:06.525000+00:00,2026-05-05 02:30:00+00:00,58242,no,65.0,2.1569308452971256,0.6715693084529712,0.3284306915470287,2026-05-05 02:30:32.742975+00:00,2026-05-05 02:24:06.626000+00:00,33.0,0.458812009605047,4.0,,,,-64.0,4.0,8.0,-72.0,-74.0,exited
v38_edgehole_block_first_8_20_p65_prob52,KXBTC15M-26MAY042245-45,heartbeat:58373,2026-05-05 02:37:08.036000+00:00,2026-05-05 02:45:00+00:00,58373,yes,86.0,2.469291737075224,0.8846929173707522,0.8846929173707522,2026-05-05 02:54:05.483206+00:00,,,,0.0,yes,2026-05-05 03:56:01.828073+00:00,True,28.0,2.0,2.0,26.0,24.0,settled
v38_edgehole_block_first_8_20_p65_prob52,KXBTC15M-26MAY042300-00,heartbeat:58462,2026-05-05 02:50:09.031000+00:00,2026-05-05 03:00:00+00:00,58462,no,95.0,3.9149465926155926,0.9891494659261559,0.010850534073844032,2026-05-05 02:54:05.483206+00:00,,,,0.0,no,2026-05-05 03:56:01.828073+00:00,True,10.0,1.0,1.0,9.0,7.0,settled
v38_edgehole_block_first_8_20_p65_prob52,KXBTC15M-26MAY042315-15,heartbeat:58534,2026-05-05 03:05:10.692000+00:00,2026-05-05 03:15:00+00:00,58534,no,74.0,1.017334309139855,0.7501733430913986,0.24982665690860137,2026-05-05 03:33:16.698102+00:00,2026-05-05 03:10:11.318000+00:00,63.0,0.5197308214952445,4.0,,,,-22.0,3.0,7.0,-29.0,-31.0,exited
v38_edgehole_block_first_8_20_p65_prob52,KXBTC15M-26MAY042330-30,heartbeat:58636,2026-05-05 03:21:12.092000+00:00,2026-05-05 03:30:00+00:00,58636,yes,95.0,0.5359767181104331,0.9553597671811044,0.9553597671811044,2026-05-05 03:33:16.698102+00:00,,,,0.0,yes,2026-05-05 03:56:01.828073+00:00,True,10.0,1.0,1.0,9.0,7.0,settled
v38_edgehole_block_first_8_20_p65_prob52,KXBTC15M-26MAY050000-00,heartbeat:58814,2026-05-05 03:50:14.615000+00:00,2026-05-05 04:00:00+00:00,58814,no,63.0,31.051361125062954,0.9405136112506295,0.05948638874937048,2026-05-05 03:56:01.766379+00:00,,,,0.0,,,,,4.0,,,,open
