candidate_id,split,bin,p_min,p_max,rows,avg_pred,win_rate,brier
v28_raw,all,0,0.0,0.1,67,0.05365483582089553,0.08955223880597014,0.08407485538480597
v28_raw,all,1,0.1,0.2,130,0.13510242307692308,0.1076923076923077,0.0971292671999923
v28_raw,all,2,0.2,0.3,24,0.24901533333333334,0.041666666666666664,0.08214820253858333
v28_raw,all,3,0.3,0.4,50,0.36836262,0.56,0.28060629633934
v28_raw,all,4,0.4,0.5,93,0.45667029032258066,0.34408602150537637,0.23949651051973117
v28_raw,all,5,0.5,0.6,144,0.5417372569444444,0.5555555555555556,0.23817802090285417
v28_raw,all,6,0.6,0.7,34,0.6401848529411764,0.5588235294117647,0.24322761150814706
v28_raw,all,7,0.7,0.8,17,0.7470173529411764,0.6470588235294118,0.23562398183817646
v28_raw,all,8,0.8,0.9,154,0.8626790714285714,0.8181818181818182,0.14925074346517533
v28_raw,all,9,0.9,1.0,82,0.9393471097560977,0.9512195121951219,0.045561929295768286
v28_raw,train,0,0.0,0.1,36,0.05428180555555557,0.08333333333333333,0.07832169452369445
v28_raw,train,1,0.1,0.2,82,0.13610314634146342,0.0975609756097561,0.08978129417382927
v28_raw,train,2,0.2,0.3,18,0.24523894444444444,0.05555555555555555,0.08646216547227778
v28_raw,train,3,0.3,0.4,32,0.36675725,0.75,0.333633380851875
v28_raw,train,4,0.4,0.5,57,0.46142485964912283,0.3508771929824561,0.2441653633101579
v28_raw,train,5,0.5,0.6,79,0.5401407721518987,0.5443037974683544,0.23820204186844304
v28_raw,train,6,0.6,0.7,14,0.6456984285714286,0.7142857142857143,0.19495137768357143
v28_raw,train,7,0.7,0.8,8,0.75818925,0.5,0.3185813171725
v28_raw,train,8,0.8,0.9,119,0.8614432352941177,0.8151260504201681,0.15169086117147057
v28_raw,train,9,0.9,1.0,52,0.9419710769230769,0.9615384615384616,0.03602380741473077
v28_raw,validation,0,0.0,0.1,14,0.05480414285714285,0.21428571428571427,0.19659424773357143
v28_raw,validation,1,0.1,0.2,19,0.12552368421052632,0.15789473684210525,0.13268868094178946
v28_raw,validation,2,0.2,0.3,4,0.28451725,0.0,0.08133768260575
v28_raw,validation,3,0.3,0.4,6,0.3714326666666667,0.3333333333333333,0.20917333778733335
v28_raw,validation,4,0.4,0.5,17,0.4410187058823529,0.35294117647058826,0.22699103507811763
v28_raw,validation,5,0.5,0.6,33,0.5443636363636363,0.6363636363636364,0.2352040437929697
v28_raw,validation,6,0.6,0.7,10,0.6434131,0.7,0.21592322336789999
v28_raw,validation,7,0.7,0.8,6,0.7516203333333333,1.0,0.061768462571
v28_raw,validation,8,0.8,0.9,14,0.8683765,0.7857142857142857,0.16950364127135714
v28_raw,validation,9,0.9,1.0,16,0.93533275,0.9375,0.058991044749375
