policy,variant,entries,resolved,wins,losses,gross_cents,avg_gross_cents,avg_p,win_rate,calibration_error,avg_brier,coverage_pct,added_reject_count
baseline_v28_approved,v28_raw,107,107,91,16,494.0,4.616822429906542,0.8871741495327102,0.8504672897196262,-0.03670685981308408,0.12616712376902806,59.11602209944752,0
baseline_v28_approved,book_ask_prior,107,107,91,16,494.0,4.616822429906542,0.7882242990654206,0.8504672897196262,0.06224299065420558,0.1280448598130841,59.11602209944752,0
baseline_v28_approved,fixed_shrink_75_v28_25_book,107,107,91,16,494.0,4.616822429906542,0.8624366869158879,0.8504672897196262,-0.011969397196261777,0.12382121117381659,59.11602209944752,0
baseline_v28_approved,fixed_shrink_50_v28_50_book,107,107,91,16,494.0,4.616822429906542,0.8376992242990654,0.8504672897196262,0.012768065420560748,0.12335219631608878,59.11602209944752,0
baseline_v28_approved,recross_shrink,107,107,91,16,494.0,4.616822429906542,0.851893401869159,0.8504672897196262,-0.00142611214953281,0.12473620576788275,59.11602209944752,0
baseline_v28_approved,edge_confidence_shrink,107,107,91,16,494.0,4.616822429906542,0.8668621420560748,0.8504672897196262,-0.016394852336448662,0.12422943895943082,59.11602209944752,0
baseline_v28_approved,book_when_v28_coinflip,107,107,91,16,494.0,4.616822429906542,0.8871741495327102,0.8504672897196262,-0.03670685981308408,0.12616712376902806,59.11602209944752,0
baseline_v28_approved,book_when_v28_coinflip_else_edge,107,107,91,16,494.0,4.616822429906542,0.8871741495327102,0.8504672897196262,-0.03670685981308408,0.12616712376902806,59.11602209944752,0
baseline_v28_approved,large_disagreement_book_anchor,107,107,91,16,494.0,4.616822429906542,0.8506170196261682,0.8504672897196262,-0.00014972990654205098,0.12421774864687607,59.11602209944752,0
baseline_v28_approved,v28_premium_book_anchor,107,107,91,16,494.0,4.616822429906542,0.8473080205607477,0.8504672897196262,0.0031592691588784305,0.12451130348951925,59.11602209944752,0
book_plus_03,v28_raw,175,175,87,88,-303.0,-1.7314285714285715,0.5793747542857143,0.49714285714285716,-0.08223189714285711,0.21487392635148572,96.68508287292818,167
book_plus_03,book_ask_prior,175,175,87,88,-303.0,-1.7314285714285715,0.49771428571428566,0.49714285714285716,-0.0005714285714285006,0.20329142857142857,96.68508287292818,167
book_plus_03,fixed_shrink_75_v28_25_book,175,175,87,88,-303.0,-1.7314285714285715,0.5589596371428571,0.49714285714285716,-0.06181677999999996,0.20982488104413927,96.68508287292818,167
book_plus_03,fixed_shrink_50_v28_50_book,175,175,87,88,-303.0,-1.7314285714285715,0.53854452,0.49714285714285716,-0.04140166285714281,0.20621144964501428,96.68508287292818,167
book_plus_03,recross_shrink,175,175,87,88,-303.0,-1.7314285714285715,0.5355422128571429,0.49714285714285716,-0.03839935571428571,0.20581225562191527,96.68508287292818,167
book_plus_03,edge_confidence_shrink,175,175,87,88,-303.0,-1.7314285714285715,0.5565674134285714,0.49714285714285716,-0.05942455628571425,0.2087078759132189,96.68508287292818,167
book_plus_03,book_when_v28_coinflip,175,175,87,88,-303.0,-1.7314285714285715,0.5495141314285714,0.49714285714285716,-0.05237127428571425,0.20313939685453145,96.68508287292818,167
book_plus_03,book_when_v28_coinflip_else_edge,175,175,87,88,-303.0,-1.7314285714285715,0.54630128,0.49714285714285716,-0.049158422857142836,0.20263374546558002,96.68508287292818,167
book_plus_03,large_disagreement_book_anchor,175,175,87,88,-303.0,-1.7314285714285715,0.5516155968571429,0.49714285714285716,-0.054472739714285734,0.20661805268154504,96.68508287292818,167
book_plus_03,v28_premium_book_anchor,175,175,87,88,-303.0,-1.7314285714285715,0.5491135594285714,0.49714285714285716,-0.051970702285714265,0.20625188318931034,96.68508287292818,167
